date,open,high,low,close,volume
2021-12-31 00:00:00+05:30,90.3,90.3,90.3,90.3,3800
2022-01-19 00:00:00+05:30,81.5,96.9,81.5,96.9,20950
2022-01-27 00:00:00+05:30,97.35,97.35,97.35,97.35,1000
2022-01-28 00:00:00+05:30,96.85,98.8,96.85,98.8,100100
2022-01-31 00:00:00+05:30,96.3,98.85,96.3,98.85,95100
2022-02-01 00:00:00+05:30,98.0,98.0,97.0,97.0,2520
2022-02-03 00:00:00+05:30,95.2,95.2,95.2,95.2,10
2022-02-04 00:00:00+05:30,95.6,96.5,95.6,96.5,3100
2022-02-11 00:00:00+05:30,87.0,88.0,87.0,88.0,2700
2022-02-22 00:00:00+05:30,96.8,96.8,96.8,96.8,100
2022-02-23 00:00:00+05:30,97.7,97.7,97.7,97.7,99900
2022-02-24 00:00:00+05:30,99.65,99.65,99.65,99.65,100
2022-02-25 00:00:00+05:30,99.75,100.0,99.2,99.5,12500
2022-02-28 00:00:00+05:30,99.5,99.5,99.5,99.5,100
2022-03-02 00:00:00+05:30,100.0,100.05,100.0,100.05,1300
2022-03-03 00:00:00+05:30,100.05,100.05,100.05,100.05,100
2022-03-04 00:00:00+05:30,100.05,101.0,99.5,101.0,400
2022-03-07 00:00:00+05:30,100.05,101.9,100.05,101.9,300
2022-03-08 00:00:00+05:30,99.05,99.05,99.05,99.05,100
2022-03-09 00:00:00+05:30,100.25,100.25,100.25,100.25,10
2022-03-10 00:00:00+05:30,99.0,99.0,99.0,99.0,100
2022-03-11 00:00:00+05:30,99.0,99.0,98.8,99.0,16000
2022-03-14 00:00:00+05:30,99.0,99.25,99.0,99.0,3000
2022-03-15 00:00:00+05:30,99.5,100.7,99.5,100.7,110
2022-03-22 00:00:00+05:30,98.9,98.9,98.9,98.9,100
2022-03-24 00:00:00+05:30,98.5,98.5,98.5,98.5,1000
2022-03-25 00:00:00+05:30,98.5,98.5,98.5,98.5,980
2022-03-28 00:00:00+05:30,99.0,99.0,99.0,99.0,9000
2022-03-31 00:00:00+05:30,98.9,98.9,98.9,98.9,650
2022-04-01 00:00:00+05:30,98.5,98.5,98.5,98.5,9840
2022-04-04 00:00:00+05:30,99.05,99.05,99.05,99.05,119000
2022-04-05 00:00:00+05:30,98.2,98.2,98.2,98.2,5000
2022-04-06 00:00:00+05:30,88.55,102.0,88.45,102.0,600
2022-04-08 00:00:00+05:30,92.0,92.0,92.0,92.0,1250
2022-04-11 00:00:00+05:30,83.0,83.0,83.0,83.0,1000
2022-04-13 00:00:00+05:30,75.1,75.1,75.1,75.1,2500
2022-04-18 00:00:00+05:30,68.0,68.0,68.0,68.0,250
2022-04-20 00:00:00+05:30,62.0,62.0,62.0,62.0,5000
2022-04-22 00:00:00+05:30,68.2,68.2,68.2,68.2,1250
2022-05-09 00:00:00+05:30,75.0,75.0,75.0,75.0,1520
2022-05-10 00:00:00+05:30,82.5,82.5,82.5,82.5,1000
2022-05-17 00:00:00+05:30,90.75,90.75,90.75,90.75,900
2022-05-18 00:00:00+05:30,93.0,93.0,93.0,93.0,2000
2022-05-24 00:00:00+05:30,100.0,100.0,95.95,95.95,1000
2022-05-25 00:00:00+05:30,91.0,91.0,91.0,91.0,200
2022-05-26 00:00:00+05:30,95.7,95.7,95.7,95.7,4000
2022-05-27 00:00:00+05:30,94.0,94.0,94.0,94.0,100
2022-06-13 00:00:00+05:30,88.0,88.0,88.0,88.0,350
2022-06-17 00:00:00+05:30,79.5,88.05,79.5,88.05,3250
2022-06-22 00:00:00+05:30,80.0,81.0,80.0,81.0,2300
2022-06-23 00:00:00+05:30,89.1,89.1,89.1,89.1,3000
2022-06-24 00:00:00+05:30,81.0,81.0,81.0,81.0,2000
2022-07-07 00:00:00+05:30,89.1,89.1,89.1,89.1,10
2022-07-14 00:00:00+05:30,90.1,90.1,90.1,90.1,1000
2022-07-15 00:00:00+05:30,94.0,94.0,90.5,90.85,210
2022-07-18 00:00:00+05:30,91.1,91.1,91.1,91.1,310
2022-08-02 00:00:00+05:30,93.5,93.5,93.5,93.5,500
2022-08-03 00:00:00+05:30,93.75,93.75,93.75,93.75,5000
2022-08-12 00:00:00+05:30,93.05,93.55,93.05,93.55,1080
2022-08-17 00:00:00+05:30,94.0,94.0,94.0,94.0,720
2022-08-18 00:00:00+05:30,94.0,96.0,84.65,96.0,210
2022-08-19 00:00:00+05:30,86.5,99.0,86.5,92.65,8760
2022-08-22 00:00:00+05:30,92.05,93.2,92.05,93.2,61000
2022-08-25 00:00:00+05:30,93.25,93.25,92.55,92.55,50080
2022-08-29 00:00:00+05:30,95.15,95.15,94.3,94.3,110
2022-08-30 00:00:00+05:30,94.0,94.9,94.0,94.9,1610
2022-09-01 00:00:00+05:30,94.0,95.5,94.0,94.05,1080
2022-09-07 00:00:00+05:30,93.45,94.0,93.45,94.0,51000
2022-09-13 00:00:00+05:30,98.95,98.95,95.0,96.0,210
2022-09-14 00:00:00+05:30,94.5,94.55,94.5,94.55,300
2022-09-26 00:00:00+05:30,90.0,92.05,90.0,92.05,3000
2022-10-27 00:00:00+05:30,94.5,94.5,94.5,94.5,220000
2022-11-09 00:00:00+05:30,92.15,103.95,92.15,94.0,15400
2022-11-14 00:00:00+05:30,93.2,93.2,93.2,93.2,9700
2023-02-08 00:00:00+05:30,95.0,95.0,95.0,95.0,6500
2023-02-09 00:00:00+05:30,95.0,96.9,95.0,96.65,9360
2023-02-10 00:00:00+05:30,95.0,95.0,95.0,95.0,300
2023-03-14 00:00:00+05:30,92.0,94.1,92.0,94.1,5500
2023-03-15 00:00:00+05:30,95.0,95.0,95.0,95.0,3800
2023-03-16 00:00:00+05:30,95.18,95.18,95.18,95.18,100000
2023-04-11 00:00:00+05:30,94.65,94.65,94.65,94.65,5000
2023-08-10 00:00:00+05:30,94.6,94.6,94.0,94.6,9200
2023-08-11 00:00:00+05:30,94.65,94.65,94.65,94.65,1800
2023-08-14 00:00:00+05:30,94.6,96.0,93.5,93.5,510
2023-08-16 00:00:00+05:30,94.5,94.5,94.5,94.5,400
2023-08-18 00:00:00+05:30,95.0,95.0,95.0,95.0,400
2023-08-23 00:00:00+05:30,95.0,95.0,92.0,92.0,650
2023-08-31 00:00:00+05:30,94.6,96.01,94.6,96.01,4880
2023-09-04 00:00:00+05:30,91.85,101.0,91.85,99.0,10250
2023-09-06 00:00:00+05:30,97.0,97.0,97.0,97.0,150
2023-09-07 00:00:00+05:30,97.0,97.0,97.0,97.0,190
2023-09-08 00:00:00+05:30,97.0,101.0,97.0,101.0,260
2023-09-11 00:00:00+05:30,101.0,101.0,101.0,101.0,100
2023-09-12 00:00:00+05:30,101.0,101.0,101.0,101.0,10
2023-09-26 00:00:00+05:30,99.0,99.0,99.0,99.0,800
2023-09-27 00:00:00+05:30,100.0,100.0,99.0,100.0,2200
2023-09-29 00:00:00+05:30,100.0,100.0,100.0,100.0,1000
2023-10-03 00:00:00+05:30,99.99,99.99,97.1,97.2,4110
2023-10-04 00:00:00+05:30,97.5,97.5,97.5,97.5,20
2023-10-05 00:00:00+05:30,97.5,97.5,97.5,97.5,50
2023-10-09 00:00:00+05:30,100.0,100.0,100.0,100.0,1000
2023-10-10 00:00:00+05:30,95.0,95.0,94.85,95.0,580
2023-10-16 00:00:00+05:30,100.4,100.4,100.0,100.0,4500
2023-10-17 00:00:00+05:30,93.22,98.9,93.22,98.9,2100
2023-10-18 00:00:00+05:30,98.5,98.5,98.5,98.5,900
2023-10-30 00:00:00+05:30,99.99,100.0,99.99,100.0,350
2023-11-01 00:00:00+05:30,93.0,93.0,93.0,93.0,1000
2023-11-13 00:00:00+05:30,100.0,100.0,100.0,100.0,400
2023-11-15 00:00:00+05:30,96.01,96.01,96.0,96.0,670
2023-11-17 00:00:00+05:30,99.5,99.5,99.5,99.5,1
2023-11-28 00:00:00+05:30,97.02,97.02,97.02,97.02,30
2023-12-06 00:00:00+05:30,95.55,95.55,95.55,95.55,1
2023-12-20 00:00:00+05:30,95.0,95.0,94.8,94.8,100
2024-01-11 00:00:00+05:30,96.0,96.0,96.0,96.0,100
2024-01-17 00:00:00+05:30,96.0,96.0,93.0,93.0,1000
2024-01-18 00:00:00+05:30,93.0,93.0,93.0,93.0,1
2024-02-07 00:00:00+05:30,98.99,98.99,98.99,98.99,2
2024-02-08 00:00:00+05:30,96.52,96.52,96.52,96.52,11
2024-02-23 00:00:00+05:30,95.86,95.86,95.86,95.86,300
2024-02-26 00:00:00+05:30,105.44,105.44,97.1,97.1,340
2024-02-28 00:00:00+05:30,99.52,99.52,99.52,99.52,2
2024-02-29 00:00:00+05:30,97.2,97.26,97.2,97.26,295
2024-03-01 00:00:00+05:30,97.25,97.25,97.25,97.25,18772
2024-06-06 00:00:00+05:30,95.5,95.5,95.5,95.5,3
2024-06-14 00:00:00+05:30,100.0,100.95,97.21,97.32,130
2024-06-20 00:00:00+05:30,97.21,99.21,97.21,99.2,2001
2024-06-24 00:00:00+05:30,99.25,99.25,99.25,99.25,3
2024-06-25 00:00:00+05:30,99.25,99.25,99.25,99.25,297
2024-06-26 00:00:00+05:30,99.25,99.25,99.25,99.25,12
2024-07-01 00:00:00+05:30,108.4,108.4,108.4,108.4,1
2024-07-08 00:00:00+05:30,97.61,97.61,97.56,97.56,1200
2024-07-11 00:00:00+05:30,99.31,99.31,98.85,98.85,13
2024-07-15 00:00:00+05:30,99.0,99.0,99.0,99.0,1
2024-07-16 00:00:00+05:30,97.05,97.05,97.05,97.05,1000
2024-07-22 00:00:00+05:30,97.05,97.05,97.05,97.05,1000
2024-07-26 00:00:00+05:30,98.0,98.01,98.0,98.0,5495
2024-08-05 00:00:00+05:30,99.76,100.04,99.76,100.04,19
2024-08-12 00:00:00+05:30,100.04,100.04,100.04,100.04,6
2024-08-28 00:00:00+05:30,98.31,98.31,98.31,98.31,10
2024-09-02 00:00:00+05:30,97.56,97.56,97.56,97.56,1
