date,open,high,low,close,volume
2015-12-31 00:00:00+05:30,0.85,0.85,0.85,0.85,21600
2016-01-01 00:00:00+05:30,0.95,0.95,0.95,0.95,6900
2016-01-05 00:00:00+05:30,0.95,0.95,0.95,0.95,15900
2016-01-06 00:00:00+05:30,1.0,1.0,1.0,1.0,22800
2016-01-07 00:00:00+05:30,1.05,1.05,1.05,1.05,20550
2016-01-08 00:00:00+05:30,1.1,1.1,1.1,1.1,14850
2016-01-11 00:00:00+05:30,1.15,1.15,1.15,1.15,16200
2016-01-12 00:00:00+05:30,1.15,1.15,1.15,1.15,5550
2016-01-13 00:00:00+05:30,1.15,1.15,1.15,1.15,5550
2016-01-14 00:00:00+05:30,1.35,1.35,1.35,1.35,127680
2016-01-15 00:00:00+05:30,1.65,1.65,1.65,1.65,3000
2016-01-18 00:00:00+05:30,1.65,1.65,1.65,1.65,6000
2016-01-19 00:00:00+05:30,1.65,1.65,1.65,1.65,6000
2016-01-21 00:00:00+05:30,1.65,1.65,1.65,1.65,1500
2016-02-03 00:00:00+05:30,1.8,1.8,1.8,1.8,750
2016-02-04 00:00:00+05:30,1.95,1.95,1.95,1.95,13560
2016-02-05 00:00:00+05:30,2.35,2.35,2.35,2.35,65490
2016-02-08 00:00:00+05:30,2.65,2.65,2.4,2.65,116040
2016-02-09 00:00:00+05:30,2.65,2.65,2.6,2.65,113340
2016-02-10 00:00:00+05:30,2.6,2.65,2.25,2.35,48090
2016-02-11 00:00:00+05:30,2.4,2.45,2.25,2.4,34440
2016-02-12 00:00:00+05:30,2.45,2.65,2.15,2.65,205110
2016-02-15 00:00:00+05:30,2.65,2.65,2.4,2.65,57645
2016-02-16 00:00:00+05:30,2.65,2.65,2.65,2.65,79785
2016-02-17 00:00:00+05:30,2.65,2.65,2.55,2.55,61455
2016-02-18 00:00:00+05:30,2.65,2.65,2.55,2.65,16875
2016-02-19 00:00:00+05:30,2.55,2.65,2.55,2.55,8625
2016-02-22 00:00:00+05:30,2.6,2.65,2.45,2.65,7185
2016-02-23 00:00:00+05:30,2.6,2.65,2.55,2.65,19665
2016-02-24 00:00:00+05:30,2.65,2.65,2.45,2.65,24900
2016-02-25 00:00:00+05:30,2.65,2.65,2.65,2.65,1500
2016-02-26 00:00:00+05:30,2.65,2.65,2.55,2.65,27000
2016-02-29 00:00:00+05:30,2.65,2.65,2.55,2.65,23235
2016-03-01 00:00:00+05:30,2.55,2.65,2.45,2.65,21795
2016-03-02 00:00:00+05:30,2.65,2.65,2.45,2.65,47100
2016-03-03 00:00:00+05:30,2.65,2.65,2.65,2.65,1920
2016-03-04 00:00:00+05:30,2.55,2.65,2.55,2.65,16140
2016-03-08 00:00:00+05:30,2.55,2.65,2.45,2.65,60000
2016-03-09 00:00:00+05:30,2.65,2.65,2.65,2.65,750
2016-03-10 00:00:00+05:30,2.65,2.65,2.65,2.65,18585
2016-03-11 00:00:00+05:30,2.6,2.6,2.6,2.6,7500
2016-03-16 00:00:00+05:30,2.65,2.65,2.45,2.6,12150
2016-03-17 00:00:00+05:30,2.55,2.55,2.55,2.55,1500
2016-03-21 00:00:00+05:30,2.2,2.65,2.2,2.35,16875
2016-03-22 00:00:00+05:30,2.35,2.6,2.35,2.55,180
2016-03-28 00:00:00+05:30,2.4,2.45,2.1,2.45,4710
2016-03-29 00:00:00+05:30,2.05,2.4,1.95,2.35,6510
2016-03-30 00:00:00+05:30,1.95,2.35,1.95,2.05,25920
2016-04-06 00:00:00+05:30,2.65,2.65,1.8,2.65,6870
2016-04-07 00:00:00+05:30,2.65,3.05,2.25,2.4,44520
2016-04-08 00:00:00+05:30,2.25,2.8,2.25,2.65,2520
2016-04-11 00:00:00+05:30,2.65,2.8,2.25,2.25,82515
2016-04-12 00:00:00+05:30,2.4,2.55,2.25,2.45,25470
2016-04-13 00:00:00+05:30,2.45,2.45,2.25,2.25,28305
2016-04-18 00:00:00+05:30,2.05,2.45,2.0,2.15,15975
2016-04-20 00:00:00+05:30,2.3,2.3,2.15,2.3,1305
2016-04-21 00:00:00+05:30,2.15,2.15,2.15,2.15,1500
2016-04-22 00:00:00+05:30,2.0,2.05,2.0,2.05,1650
2016-04-25 00:00:00+05:30,2.25,2.25,1.85,2.15,13155
2016-04-26 00:00:00+05:30,2.2,2.2,1.9,2.05,1140
2016-04-27 00:00:00+05:30,2.2,2.2,1.9,2.0,8310
2016-04-28 00:00:00+05:30,2.3,2.3,1.85,1.9,24495
2016-04-29 00:00:00+05:30,1.9,2.2,1.9,1.9,7665
2016-05-02 00:00:00+05:30,2.05,2.15,2.05,2.15,6285
2016-05-03 00:00:00+05:30,1.85,2.15,1.85,2.15,4815
2016-05-06 00:00:00+05:30,2.2,2.2,2.2,2.2,30
2016-05-11 00:00:00+05:30,1.8,2.2,1.8,1.95,84420
2016-05-12 00:00:00+05:30,2.15,2.15,1.95,1.95,600
2016-05-13 00:00:00+05:30,2.15,2.15,1.85,1.85,17325
2016-05-17 00:00:00+05:30,2.1,2.1,1.9,1.95,9000
2016-05-18 00:00:00+05:30,2.05,2.05,1.95,2.05,2025
2016-05-20 00:00:00+05:30,2.1,2.45,2.1,2.45,13020
2016-05-23 00:00:00+05:30,2.35,2.35,2.35,2.35,150
2016-05-24 00:00:00+05:30,2.8,2.8,2.15,2.2,8025
2016-05-25 00:00:00+05:30,2.45,2.45,2.05,2.25,3210
2016-05-26 00:00:00+05:30,2.35,2.35,1.95,1.95,1200
2016-05-27 00:00:00+05:30,2.25,2.25,1.9,1.9,18735
2016-06-01 00:00:00+05:30,2.05,2.25,1.85,2.15,13005
2016-06-02 00:00:00+05:30,1.9,2.0,1.9,2.0,150
2016-06-03 00:00:00+05:30,2.4,2.4,2.2,2.2,1875
2016-06-08 00:00:00+05:30,1.8,2.55,1.8,2.1,27780
2016-06-09 00:00:00+05:30,2.35,2.45,2.05,2.45,60495
2016-06-10 00:00:00+05:30,2.4,2.45,2.15,2.15,39930
2016-06-13 00:00:00+05:30,2.45,2.45,2.15,2.4,5115
2016-06-14 00:00:00+05:30,2.15,2.3,2.15,2.3,11640
2016-06-16 00:00:00+05:30,1.95,2.35,1.95,1.95,8490
2016-06-17 00:00:00+05:30,2.0,2.35,1.95,2.05,38880
2016-06-20 00:00:00+05:30,2.15,2.25,2.15,2.25,7935
2016-06-21 00:00:00+05:30,2.45,2.75,2.35,2.35,264285
2016-06-22 00:00:00+05:30,2.65,2.65,2.05,2.15,95775
2016-06-23 00:00:00+05:30,2.2,2.35,2.0,2.15,99930
2016-06-24 00:00:00+05:30,2.2,2.2,2.0,2.05,36300
2016-06-27 00:00:00+05:30,1.8,2.25,1.8,1.95,213375
2016-06-28 00:00:00+05:30,1.9,2.15,1.55,1.8,1362810
2016-06-29 00:00:00+05:30,1.75,1.85,1.55,1.6,299820
2016-06-30 00:00:00+05:30,1.55,1.65,1.35,1.55,584400
2016-07-01 00:00:00+05:30,1.5,1.6,1.45,1.45,107790
2016-07-04 00:00:00+05:30,1.45,1.55,1.45,1.5,25455
2016-07-05 00:00:00+05:30,1.45,1.5,1.35,1.4,24165
2016-07-07 00:00:00+05:30,1.55,1.55,1.35,1.45,30720
2016-07-08 00:00:00+05:30,1.45,1.45,1.35,1.4,58005
2016-07-11 00:00:00+05:30,1.4,1.4,1.25,1.3,20415
2016-07-12 00:00:00+05:30,1.4,1.4,1.4,1.4,10665
2016-07-13 00:00:00+05:30,1.55,1.55,1.3,1.3,62550
2016-07-14 00:00:00+05:30,1.3,1.3,1.2,1.2,10050
2016-07-15 00:00:00+05:30,1.2,1.2,1.2,1.2,35325
2016-07-19 00:00:00+05:30,1.2,1.2,1.2,1.2,750
2016-07-20 00:00:00+05:30,1.2,1.2,1.2,1.2,2250
2016-07-21 00:00:00+05:30,1.2,1.2,1.2,1.2,375
2016-07-22 00:00:00+05:30,1.05,1.15,1.05,1.15,9825
2016-07-25 00:00:00+05:30,1.15,1.15,1.15,1.15,525
2016-07-26 00:00:00+05:30,1.15,1.15,1.15,1.15,9150
2016-07-27 00:00:00+05:30,1.05,1.05,1.05,1.05,51165
2016-07-28 00:00:00+05:30,0.95,0.95,0.95,0.95,99270
2016-07-29 00:00:00+05:30,0.95,0.95,0.95,0.95,34350
2016-08-01 00:00:00+05:30,1.0,1.0,1.0,1.0,7425
2016-08-05 00:00:00+05:30,1.0,1.0,0.95,0.95,18600
2016-08-08 00:00:00+05:30,0.95,0.95,0.95,0.95,6000
2016-08-11 00:00:00+05:30,0.95,0.95,0.95,0.95,150
2016-08-12 00:00:00+05:30,0.95,0.95,0.95,0.95,1755
2016-08-16 00:00:00+05:30,0.95,0.95,0.95,0.95,18000
2016-08-17 00:00:00+05:30,0.95,1.0,0.95,1.0,30000
2016-08-18 00:00:00+05:30,1.05,1.05,1.05,1.05,4500
2016-08-19 00:00:00+05:30,1.1,1.1,1.1,1.1,3900
2016-08-22 00:00:00+05:30,1.15,1.15,1.15,1.15,240
2016-08-23 00:00:00+05:30,1.25,1.25,1.25,1.25,10500
2016-08-24 00:00:00+05:30,1.3,1.3,1.3,1.3,4830
2016-08-25 00:00:00+05:30,1.35,1.35,1.35,1.35,3030
2016-08-26 00:00:00+05:30,1.35,1.35,1.35,1.35,24285
2016-08-29 00:00:00+05:30,1.4,1.4,1.4,1.4,56415
2016-08-30 00:00:00+05:30,1.4,1.4,1.4,1.4,28500
2016-08-31 00:00:00+05:30,1.4,1.4,1.4,1.4,14820
2016-09-01 00:00:00+05:30,1.45,1.45,1.45,1.45,21270
2016-09-02 00:00:00+05:30,1.55,1.55,1.55,1.55,65940
2016-09-06 00:00:00+05:30,1.65,1.65,1.5,1.6,27135
2016-09-07 00:00:00+05:30,1.65,1.65,1.65,1.65,87240
2016-09-08 00:00:00+05:30,1.65,1.65,1.65,1.65,18690
