date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,71.0,81.75,71.0,71.95,47120
2008-01-02 00:00:00+05:30,74.59,74.59,65.0,68.34,35556
2008-01-03 00:00:00+05:30,69.5,70.0,67.7,68.9,15807
2008-01-04 00:00:00+05:30,69.5,72.9,69.0,70.5,19168
2008-01-07 00:00:00+05:30,70.0,84.6,70.0,84.4,218769
2008-01-08 00:00:00+05:30,87.0,99.9,84.2,85.5,168884
2008-01-09 00:00:00+05:30,85.0,85.0,77.3,78.95,47653
2008-01-10 00:00:00+05:30,78.0,81.95,74.0,77.8,40746
2008-01-11 00:00:00+05:30,75.15,81.0,73.34,79.2,36479
2008-01-14 00:00:00+05:30,82.95,82.95,76.09,81.5,16519
2008-01-15 00:00:00+05:30,80.0,82.75,79.0,80.09,14680
2008-01-16 00:00:00+05:30,78.0,80.2,76.0,76.95,10394
2008-01-17 00:00:00+05:30,76.5,89.9,76.5,83.95,30187
2008-01-18 00:00:00+05:30,78.0,86.0,76.05,77.4,26799
2008-01-21 00:00:00+05:30,84.0,84.0,71.25,75.7,32981
2008-01-22 00:00:00+05:30,76.5,76.7,60.6,61.35,8955
2008-01-23 00:00:00+05:30,65.0,73.0,61.05,70.59,10462
2008-01-24 00:00:00+05:30,70.0,79.95,65.5,66.8,14835
2008-01-25 00:00:00+05:30,67.55,69.3,63.1,67.05,16264
2008-01-28 00:00:00+05:30,67.09,68.34,64.0,65.45,7432
2008-01-29 00:00:00+05:30,71.7,71.9,65.2,65.84,10077
2008-01-30 00:00:00+05:30,65.7,67.5,63.0,63.4,11106
2008-01-31 00:00:00+05:30,63.0,66.34,61.25,64.84,7243
2008-02-01 00:00:00+05:30,66.15,66.15,63.1,65.9,5498
2008-02-04 00:00:00+05:30,68.0,69.55,64.05,67.05,5693
2008-02-05 00:00:00+05:30,69.59,69.59,65.09,68.55,5901
2008-02-06 00:00:00+05:30,67.0,68.0,62.3,64.8,2773
2008-02-07 00:00:00+05:30,63.75,67.34,62.65,65.8,3444
2008-02-08 00:00:00+05:30,62.75,65.9,61.1,62.0,2883
2008-02-11 00:00:00+05:30,56.6,65.0,51.0,54.75,5806
2008-02-12 00:00:00+05:30,52.1,54.0,46.75,48.05,9372
2008-02-13 00:00:00+05:30,46.0,52.0,46.0,47.45,5549
2008-02-14 00:00:00+05:30,46.95,51.4,46.95,49.15,6683
2008-02-15 00:00:00+05:30,50.0,53.0,49.6,50.1,3465
2008-02-18 00:00:00+05:30,54.0,54.6,48.5,52.6,4634
2008-02-19 00:00:00+05:30,54.0,54.45,48.75,53.2,1769
2008-02-20 00:00:00+05:30,49.55,53.9,49.5,52.8,14705
2008-02-21 00:00:00+05:30,52.05,54.6,52.05,52.6,1122
2008-02-22 00:00:00+05:30,54.95,54.95,50.35,53.6,2436
2008-02-25 00:00:00+05:30,51.15,53.6,50.0,51.95,1537
2008-02-26 00:00:00+05:30,50.5,53.95,49.0,49.85,3479
2008-02-27 00:00:00+05:30,51.5,51.5,48.0,49.25,3243
2008-02-28 00:00:00+05:30,49.4,49.4,47.05,48.0,3221
2008-02-29 00:00:00+05:30,57.0,57.0,45.0,54.6,10708
2008-03-03 00:00:00+05:30,53.95,53.95,49.0,49.6,2601
2008-03-04 00:00:00+05:30,50.0,51.4,43.25,44.85,4427
2008-03-05 00:00:00+05:30,50.9,50.9,42.1,43.2,5488
2008-03-07 00:00:00+05:30,42.0,43.5,41.4,42.65,2210
2008-03-10 00:00:00+05:30,40.25,43.0,34.15,34.79,36011
2008-03-11 00:00:00+05:30,41.7,41.7,34.65,38.79,13632
2008-03-12 00:00:00+05:30,45.8,45.8,39.0,40.95,14496
2008-03-13 00:00:00+05:30,41.5,41.5,38.0,39.9,4845
2008-03-14 00:00:00+05:30,44.0,45.0,38.1,38.65,5044
2008-03-17 00:00:00+05:30,37.5,38.95,34.25,34.25,4247
2008-03-18 00:00:00+05:30,32.4,35.0,32.0,33.95,2680
2008-03-19 00:00:00+05:30,35.0,35.0,32.7,33.95,73595
2008-03-24 00:00:00+05:30,33.9,33.9,29.1,30.0,53250
2008-03-25 00:00:00+05:30,27.25,34.35,27.25,31.95,63990
2008-03-26 00:00:00+05:30,29.55,36.85,29.55,34.54,61795
2008-03-27 00:00:00+05:30,34.25,37.5,34.25,37.04,73681
2008-03-28 00:00:00+05:30,36.1,41.2,36.1,40.04,943
2008-03-31 00:00:00+05:30,33.1,39.95,33.1,37.9,3182
2008-04-01 00:00:00+05:30,37.1,41.75,37.1,39.79,2756
2008-04-02 00:00:00+05:30,39.2,41.5,39.0,40.0,2885
2008-04-03 00:00:00+05:30,40.5,41.0,39.04,39.04,1533
2008-04-04 00:00:00+05:30,38.5,40.0,38.0,38.75,4070
2008-04-07 00:00:00+05:30,37.35,40.0,37.35,39.95,1815
2008-04-08 00:00:00+05:30,38.0,39.79,37.0,37.15,427
2008-04-09 00:00:00+05:30,43.0,43.0,38.0,38.6,596
2008-04-10 00:00:00+05:30,37.0,39.95,37.0,39.95,680
2008-04-11 00:00:00+05:30,38.0,40.9,35.25,39.85,6037
2008-04-15 00:00:00+05:30,41.5,41.5,38.25,39.2,2273
2008-04-16 00:00:00+05:30,42.0,42.0,40.6,40.85,945
2008-04-17 00:00:00+05:30,42.0,46.9,36.0,45.7,10754
2008-04-21 00:00:00+05:30,44.3,47.0,43.95,45.3,3075
2008-04-22 00:00:00+05:30,54.0,54.0,40.0,42.05,14827
2008-04-23 00:00:00+05:30,43.85,44.0,40.0,40.5,9936
2008-04-24 00:00:00+05:30,42.0,42.0,39.79,39.9,3205
2008-04-25 00:00:00+05:30,41.0,42.85,39.95,40.79,13175
2008-04-28 00:00:00+05:30,41.0,42.0,38.95,39.6,13364
2008-04-29 00:00:00+05:30,38.29,40.0,38.0,38.2,22551
2008-04-30 00:00:00+05:30,39.5,41.2,38.5,40.85,6582
2008-05-02 00:00:00+05:30,40.9,42.1,40.6,42.1,3179
2008-05-05 00:00:00+05:30,43.0,43.0,40.25,41.1,2597
2008-05-06 00:00:00+05:30,40.04,41.95,40.0,41.75,3000
2008-05-07 00:00:00+05:30,40.0,41.75,40.0,40.25,880
2008-05-08 00:00:00+05:30,40.25,40.25,40.0,40.0,2205
2008-05-09 00:00:00+05:30,40.0,41.2,40.0,40.2,1183
2008-05-12 00:00:00+05:30,40.0,42.0,39.1,41.45,10903
2008-05-13 00:00:00+05:30,41.9,44.25,40.54,41.75,2821
2008-05-14 00:00:00+05:30,42.5,43.5,41.0,42.05,7294
2008-05-15 00:00:00+05:30,43.95,44.85,42.95,43.6,2814
2008-05-16 00:00:00+05:30,44.0,47.9,43.0,46.25,10950
2008-05-20 00:00:00+05:30,46.0,51.3,45.4,49.75,15923
2008-05-21 00:00:00+05:30,50.0,59.65,50.0,58.15,18949
2008-05-22 00:00:00+05:30,59.8,62.85,52.6,54.55,24828
2008-05-23 00:00:00+05:30,57.8,58.4,52.05,55.2,6521
2008-05-26 00:00:00+05:30,53.0,57.0,53.0,54.7,2773
2008-05-27 00:00:00+05:30,57.45,57.45,53.0,53.5,4469
2008-05-28 00:00:00+05:30,53.05,53.05,49.0,50.75,950
2008-05-29 00:00:00+05:30,53.5,53.9,52.25,52.25,1110
2008-05-30 00:00:00+05:30,52.25,53.6,49.5,50.65,7324
2008-06-02 00:00:00+05:30,48.3,50.9,46.0,47.7,2913
2008-06-03 00:00:00+05:30,45.0,49.65,42.45,44.8,8677
2008-06-04 00:00:00+05:30,45.0,45.0,42.25,42.4,3567
2008-06-05 00:00:00+05:30,42.05,45.25,42.0,44.0,3309
2008-06-06 00:00:00+05:30,42.25,45.0,42.2,43.8,1415
2008-06-09 00:00:00+05:30,40.7,44.65,40.6,42.4,2510
2008-06-10 00:00:00+05:30,42.0,45.95,40.6,42.65,2246
2008-06-11 00:00:00+05:30,43.0,45.0,41.5,44.45,2481
2008-06-12 00:00:00+05:30,42.6,44.0,42.1,42.7,2022
2008-06-13 00:00:00+05:30,42.0,45.8,42.0,44.75,278
2008-06-16 00:00:00+05:30,46.0,47.95,43.3,47.25,813
2008-06-17 00:00:00+05:30,43.65,46.0,43.65,45.8,1397
2008-06-18 00:00:00+05:30,46.0,46.0,45.0,45.0,400
2008-06-19 00:00:00+05:30,43.0,45.5,43.0,44.0,1685
2008-06-20 00:00:00+05:30,43.0,45.9,42.0,42.0,2687
2008-06-23 00:00:00+05:30,41.0,42.85,40.25,40.5,664
2008-06-24 00:00:00+05:30,42.95,45.0,41.05,41.55,1154
2008-06-26 00:00:00+05:30,41.05,43.8,41.05,43.8,8
2008-06-27 00:00:00+05:30,41.5,42.75,41.0,41.15,526
2008-06-30 00:00:00+05:30,40.5,42.55,40.5,40.5,829
2008-07-01 00:00:00+05:30,40.5,43.0,37.5,42.15,1444
2008-07-02 00:00:00+05:30,37.5,40.4,35.5,37.75,3009
2008-07-03 00:00:00+05:30,38.0,39.85,38.0,38.0,314
2008-07-04 00:00:00+05:30,36.0,37.04,36.0,37.04,101
2008-07-07 00:00:00+05:30,37.29,41.85,35.0,37.0,10716
2008-07-08 00:00:00+05:30,35.0,38.6,35.0,38.35,57
2008-07-09 00:00:00+05:30,37.0,41.5,37.0,39.0,111
2008-07-10 00:00:00+05:30,37.0,41.9,37.0,37.75,685
2008-07-11 00:00:00+05:30,38.0,42.0,37.29,38.29,1901
2008-07-14 00:00:00+05:30,37.0,42.1,36.2,36.25,2198
2008-07-15 00:00:00+05:30,35.85,39.4,35.0,35.25,1059
2008-07-16 00:00:00+05:30,34.54,39.7,34.54,38.7,298
2008-07-17 00:00:00+05:30,37.0,37.95,36.04,36.75,1786
2008-07-18 00:00:00+05:30,35.0,39.85,35.0,36.25,3847
2008-07-21 00:00:00+05:30,35.0,35.0,34.04,35.0,725
2008-07-22 00:00:00+05:30,37.5,38.5,37.25,38.15,1949
2008-07-23 00:00:00+05:30,40.0,40.9,37.2,40.45,2712
2008-07-24 00:00:00+05:30,40.04,40.9,38.6,38.6,401
2008-07-25 00:00:00+05:30,38.6,38.9,38.6,38.6,1475
2008-07-28 00:00:00+05:30,41.45,41.45,39.5,39.95,350
2008-07-29 00:00:00+05:30,37.5,40.0,37.0,37.5,2324
2008-07-30 00:00:00+05:30,37.0,39.79,37.0,39.0,1054
2008-07-31 00:00:00+05:30,38.0,39.0,38.0,39.0,80
2008-08-01 00:00:00+05:30,39.9,41.95,39.29,40.2,1558
2008-08-04 00:00:00+05:30,42.0,48.2,42.0,47.65,20339
2008-08-05 00:00:00+05:30,45.1,54.0,45.1,53.1,47250
2008-08-06 00:00:00+05:30,55.0,57.6,52.05,56.65,140207
2008-08-07 00:00:00+05:30,54.05,57.6,51.1,52.65,44249
2008-08-08 00:00:00+05:30,49.0,51.7,47.4,47.4,30944
2008-08-11 00:00:00+05:30,48.0,49.0,44.1,47.6,6632
