date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,58.5,58.5,56.9,58.5,13637
2008-01-02 00:00:00+05:30,61.4,61.4,58.25,61.4,73765
2008-01-03 00:00:00+05:30,64.0,64.45,59.65,64.25,49220
2008-01-04 00:00:00+05:30,65.0,67.0,61.1,63.1,17093
2008-01-07 00:00:00+05:30,64.09,66.25,64.09,66.25,16077
2008-01-08 00:00:00+05:30,69.55,69.55,65.05,69.0,63901
2008-01-09 00:00:00+05:30,68.0,69.0,65.59,66.25,38416
2008-01-10 00:00:00+05:30,69.3,69.3,62.95,64.75,34477
2008-01-11 00:00:00+05:30,65.0,66.9,61.55,62.9,21195
2008-01-14 00:00:00+05:30,60.0,63.5,59.9,62.5,7112
2008-01-15 00:00:00+05:30,63.9,65.5,62.8,63.3,6465
2008-01-16 00:00:00+05:30,64.5,64.5,60.15,63.2,8311
2008-01-17 00:00:00+05:30,61.05,66.34,60.3,65.4,17541
2008-01-18 00:00:00+05:30,65.95,68.0,62.2,62.7,13584
2008-01-21 00:00:00+05:30,63.8,65.59,59.6,59.6,10916
2008-01-22 00:00:00+05:30,56.65,56.65,56.65,56.65,550
2008-01-23 00:00:00+05:30,53.85,53.85,53.85,53.85,1573
2008-01-24 00:00:00+05:30,51.2,52.0,51.2,51.2,4197
2008-01-25 00:00:00+05:30,53.75,53.75,48.65,49.6,7273
2008-01-28 00:00:00+05:30,47.15,48.75,47.15,48.55,5955
2008-01-29 00:00:00+05:30,50.0,50.0,46.15,46.5,3893
2008-01-30 00:00:00+05:30,48.0,48.8,46.0,46.1,3579
2008-01-31 00:00:00+05:30,44.05,48.4,44.05,48.4,2209
2008-02-01 00:00:00+05:30,50.8,50.8,46.5,47.95,4066
2008-02-04 00:00:00+05:30,50.3,50.3,50.0,50.3,3507
2008-02-05 00:00:00+05:30,52.2,52.8,51.0,52.8,8844
2008-02-06 00:00:00+05:30,55.1,55.4,52.55,55.4,5681
2008-02-07 00:00:00+05:30,57.5,58.15,54.0,55.15,10236
2008-02-08 00:00:00+05:30,54.95,55.8,52.5,54.25,9191
2008-02-11 00:00:00+05:30,55.0,55.0,51.55,51.55,5250
2008-02-12 00:00:00+05:30,53.95,54.05,49.0,49.0,3975
2008-02-13 00:00:00+05:30,46.6,47.5,46.6,46.6,5275
2008-02-14 00:00:00+05:30,46.5,48.75,45.0,47.1,5492
2008-02-15 00:00:00+05:30,46.5,49.0,46.5,48.4,2991
2008-02-18 00:00:00+05:30,50.0,50.8,50.0,50.8,7630
2008-02-19 00:00:00+05:30,52.5,53.25,49.0,50.05,2835
2008-02-20 00:00:00+05:30,50.8,50.8,47.6,48.05,2925
2008-02-21 00:00:00+05:30,48.2,50.0,47.5,47.75,4875
2008-02-22 00:00:00+05:30,48.95,48.95,47.5,47.65,1425
2008-02-25 00:00:00+05:30,45.35,46.75,45.3,45.55,4650
2008-02-26 00:00:00+05:30,46.9,47.15,46.3,46.45,4525
2008-02-27 00:00:00+05:30,46.7,48.0,46.7,47.55,1700
2008-02-28 00:00:00+05:30,46.55,48.95,46.5,46.85,995
2008-02-29 00:00:00+05:30,48.65,48.65,44.55,45.95,3569
2008-03-03 00:00:00+05:30,46.8,47.85,44.0,44.65,21540
2008-03-04 00:00:00+05:30,44.0,44.0,42.45,42.45,11791
2008-03-05 00:00:00+05:30,42.1,42.1,41.0,41.5,1559
2008-03-07 00:00:00+05:30,39.5,40.0,39.45,39.85,30235
2008-03-10 00:00:00+05:30,35.9,43.0,35.9,41.65,6210
2008-03-11 00:00:00+05:30,40.04,43.7,40.04,42.3,4765
2008-03-12 00:00:00+05:30,42.0,43.85,41.3,43.85,18689
2008-03-13 00:00:00+05:30,40.0,41.85,39.5,39.5,2664
2008-03-14 00:00:00+05:30,38.5,40.0,35.75,38.29,4194
2008-03-17 00:00:00+05:30,40.0,40.0,34.5,34.5,4052
2008-03-18 00:00:00+05:30,31.15,32.4,31.1,32.2,41248
2008-03-19 00:00:00+05:30,33.5,34.45,29.6,29.6,12989
2008-03-24 00:00:00+05:30,28.35,29.7,28.15,28.25,34228
2008-03-25 00:00:00+05:30,26.85,29.6,26.85,28.25,18558
2008-03-26 00:00:00+05:30,29.25,29.5,28.8,29.0,9106
2008-03-27 00:00:00+05:30,30.45,30.45,30.3,30.45,650
2008-03-28 00:00:00+05:30,31.95,31.95,31.95,31.95,400
2008-03-31 00:00:00+05:30,33.5,33.5,33.5,33.5,1340
2008-04-01 00:00:00+05:30,35.15,35.15,32.04,35.15,7740
2008-04-02 00:00:00+05:30,36.9,36.9,36.9,36.9,715
2008-04-03 00:00:00+05:30,35.1,36.0,35.1,35.79,3741
