date,open,high,low,close,volume
2016-10-17 00:00:00+05:30,15.7,16.5,15.7,16.5,224000
2016-10-18 00:00:00+05:30,19.8,19.8,16.5,16.5,72000
2016-10-19 00:00:00+05:30,15.03,15.5,14.7,14.7,384000
2016-10-20 00:00:00+05:30,16.0,16.0,16.0,16.0,8000
2016-10-21 00:00:00+05:30,15.15,16.6,15.15,15.15,48000
2016-10-24 00:00:00+05:30,15.15,15.6,15.15,15.15,80000
2016-10-25 00:00:00+05:30,15.25,15.25,15.0,15.0,112000
2016-10-26 00:00:00+05:30,15.15,15.25,15.15,15.15,232000
2016-10-27 00:00:00+05:30,15.15,15.15,15.15,15.15,16000
2016-11-03 00:00:00+05:30,15.99,17.99,15.99,17.99,40000
2016-11-04 00:00:00+05:30,20.65,20.65,20.65,20.65,8000
2016-11-07 00:00:00+05:30,21.0,21.57,21.0,21.57,16000
2016-11-09 00:00:00+05:30,19.42,19.75,19.42,19.42,40000
2016-11-10 00:00:00+05:30,21.36,21.36,21.36,21.36,8000
2016-11-11 00:00:00+05:30,21.35,21.35,21.35,21.35,8000
2016-11-15 00:00:00+05:30,19.3,19.3,19.25,19.25,16000
2016-11-16 00:00:00+05:30,17.35,17.35,17.35,17.35,8000
2016-11-17 00:00:00+05:30,15.62,17.0,15.62,17.0,48000
2016-11-21 00:00:00+05:30,15.75,17.0,15.75,17.0,16000
2016-11-22 00:00:00+05:30,17.0,17.0,17.0,17.0,8000
2016-12-01 00:00:00+05:30,17.0,18.0,17.0,18.0,16000
2016-12-12 00:00:00+05:30,19.0,19.0,19.0,19.0,8000
2016-12-21 00:00:00+05:30,19.0,19.0,19.0,19.0,8000
2017-01-09 00:00:00+05:30,16.3,21.0,16.0,21.0,24000
2017-01-16 00:00:00+05:30,21.1,21.1,21.1,21.1,8000
2017-02-03 00:00:00+05:30,22.5,22.5,22.5,22.5,8000
2017-02-08 00:00:00+05:30,23.4,23.4,23.4,23.4,16000
2017-02-10 00:00:00+05:30,25.5,26.0,19.0,25.9,112000
2017-02-17 00:00:00+05:30,26.5,26.5,26.5,26.5,16000
2017-02-27 00:00:00+05:30,27.0,27.0,27.0,27.0,64000
2017-02-28 00:00:00+05:30,25.0,27.0,25.0,27.0,24000
2017-03-06 00:00:00+05:30,27.95,32.0,27.95,32.0,32000
2017-03-24 00:00:00+05:30,32.1,32.8,32.1,32.8,104000
2017-03-27 00:00:00+05:30,32.0,32.1,31.9,32.1,24000
2017-03-28 00:00:00+05:30,32.4,32.5,26.15,32.0,48000
2017-03-29 00:00:00+05:30,32.1,37.75,27.75,31.0,104000
2017-03-30 00:00:00+05:30,31.05,31.25,30.95,31.25,24000
2017-03-31 00:00:00+05:30,31.35,31.45,31.35,31.45,24000
2017-04-03 00:00:00+05:30,31.5,31.7,31.5,31.6,24000
2017-04-05 00:00:00+05:30,30.0,37.9,30.0,37.9,64000
2017-04-06 00:00:00+05:30,33.0,33.0,32.85,32.85,24000
2017-04-07 00:00:00+05:30,32.7,32.8,32.5,32.5,24000
2017-04-10 00:00:00+05:30,32.8,32.9,32.8,32.9,24000
2017-04-11 00:00:00+05:30,33.15,39.45,33.15,39.45,24000
2017-04-12 00:00:00+05:30,38.5,39.0,38.25,38.25,32000
2017-04-13 00:00:00+05:30,44.5,44.6,44.5,44.6,16000
2017-04-17 00:00:00+05:30,50.5,50.6,50.5,50.6,16000
2017-04-18 00:00:00+05:30,45.55,45.55,45.55,45.55,16000
2017-05-04 00:00:00+05:30,42.0,42.0,42.0,42.0,4000
2017-05-09 00:00:00+05:30,41.0,41.0,37.8,37.8,8000
2017-05-25 00:00:00+05:30,37.0,37.0,37.0,37.0,4000
2017-05-26 00:00:00+05:30,37.0,37.0,37.0,37.0,4000
2017-06-14 00:00:00+05:30,40.0,40.0,39.0,40.0,12000
2017-06-15 00:00:00+05:30,42.3,42.3,42.3,42.3,4000
2017-06-16 00:00:00+05:30,42.75,42.75,42.75,42.75,4000
2017-06-20 00:00:00+05:30,40.5,40.5,40.5,40.5,4000
2017-06-22 00:00:00+05:30,40.05,40.05,40.05,40.05,4000
2017-06-29 00:00:00+05:30,44.5,44.5,44.5,44.5,4000
2017-06-30 00:00:00+05:30,40.75,40.75,40.75,40.75,4000
2017-07-03 00:00:00+05:30,41.5,41.5,41.5,41.5,4000
2017-07-04 00:00:00+05:30,41.65,41.65,41.65,41.65,4000
2017-07-05 00:00:00+05:30,40.5,42.0,40.5,42.0,8000
2017-07-06 00:00:00+05:30,42.5,43.95,42.5,43.95,8000
2017-07-07 00:00:00+05:30,44.0,44.0,44.0,44.0,4000
2017-07-11 00:00:00+05:30,44.5,44.5,44.5,44.5,4000
2017-07-12 00:00:00+05:30,44.8,48.0,44.8,48.0,12000
2017-07-13 00:00:00+05:30,49.0,49.0,49.0,49.0,4000
2017-07-17 00:00:00+05:30,49.5,49.5,49.5,49.5,4000
2017-07-18 00:00:00+05:30,50.0,50.0,50.0,50.0,4000
2017-07-19 00:00:00+05:30,52.5,60.0,52.5,59.0,24000
2017-07-21 00:00:00+05:30,59.5,59.55,59.5,59.55,8000
2017-07-25 00:00:00+05:30,59.85,59.85,59.45,59.5,16000
2017-07-27 00:00:00+05:30,59.9,59.9,59.9,59.9,4000
2017-07-28 00:00:00+05:30,60.5,60.5,60.5,60.5,4000
2017-07-31 00:00:00+05:30,61.25,61.25,61.25,61.25,4000
2017-08-04 00:00:00+05:30,58.0,58.0,58.0,58.0,4000
2017-08-09 00:00:00+05:30,58.25,58.25,58.25,58.25,4000
2017-08-10 00:00:00+05:30,54.6,54.6,54.6,54.6,4000
2017-08-17 00:00:00+05:30,55.15,55.4,51.15,53.95,20000
2017-08-18 00:00:00+05:30,53.0,53.15,52.95,52.95,16000
2017-08-21 00:00:00+05:30,54.0,54.45,54.0,54.45,16000
2017-08-22 00:00:00+05:30,55.25,55.45,55.25,55.45,16000
2017-08-23 00:00:00+05:30,55.0,55.5,54.7,55.5,28000
2017-08-24 00:00:00+05:30,56.0,56.05,55.35,55.35,16000
2017-08-28 00:00:00+05:30,57.8,57.8,57.4,57.4,16000
2017-08-29 00:00:00+05:30,58.4,58.4,56.5,57.25,16000
2017-08-30 00:00:00+05:30,54.0,59.0,54.0,57.5,12000
2017-08-31 00:00:00+05:30,58.0,58.0,57.85,58.0,16000
2017-09-01 00:00:00+05:30,58.5,58.7,58.25,58.25,16000
2017-09-04 00:00:00+05:30,60.0,60.25,58.8,58.8,16000
2017-09-07 11:00:00+05:30,54.5,54.65,54.4,54.4,16000
2017-09-08 00:00:00+05:30,54.9,54.95,51.1,51.1,20000
2017-09-11 00:00:00+05:30,52.5,52.75,52.4,52.6,16000
2017-09-12 00:00:00+05:30,53.0,53.1,52.85,52.95,16000
2017-09-13 00:00:00+05:30,52.75,52.8,52.5,52.8,16000
2017-09-14 00:00:00+05:30,53.0,53.1,52.75,52.75,16000
2017-09-15 00:00:00+05:30,53.0,53.0,52.9,52.95,12000
2017-09-18 13:00:00+05:30,52.5,52.9,52.5,52.9,12000
2017-09-19 00:00:00+05:30,52.9,52.9,52.9,52.9,4000
2017-09-20 00:00:00+05:30,52.2,52.9,52.2,52.9,12000
2017-09-21 00:00:00+05:30,53.2,53.2,53.2,53.2,4000
2017-09-22 11:00:00+05:30,53.1,53.1,53.0,53.0,16000
2017-09-25 00:00:00+05:30,52.9,52.9,49.0,49.0,32000
2017-09-26 00:00:00+05:30,49.0,50.0,49.0,49.15,12000
2017-09-27 00:00:00+05:30,49.25,49.35,49.0,49.0,16000
2017-09-28 00:00:00+05:30,49.0,49.35,49.0,49.1,16000
2017-09-29 00:00:00+05:30,49.0,49.35,48.9,49.35,16000
2017-10-03 00:00:00+05:30,51.0,51.0,50.1,50.35,16000
2017-10-04 00:00:00+05:30,49.5,49.75,49.5,49.75,16000
2017-10-05 00:00:00+05:30,51.0,51.0,50.6,50.7,16000
2017-10-06 00:00:00+05:30,51.05,60.0,49.05,60.0,40000
2017-10-09 00:00:00+05:30,53.25,64.0,52.1,52.1,76000
2017-10-10 00:00:00+05:30,65.0,70.0,52.15,70.0,148000
2017-10-11 00:00:00+05:30,70.0,74.5,64.95,74.5,92000
2017-10-12 00:00:00+05:30,78.1,79.0,67.6,79.0,52000
2017-10-13 00:00:00+05:30,77.5,77.7,77.4,77.4,16000
2017-10-16 00:00:00+05:30,79.05,84.0,79.0,84.0,64000
2017-10-17 00:00:00+05:30,88.25,88.4,88.05,88.05,16000
2017-10-18 00:00:00+05:30,88.5,91.0,88.2,91.0,36000
2017-10-19 00:00:00+05:30,100.0,100.1,100.0,100.1,36000
2017-10-23 12:00:00+05:30,101.75,101.85,101.65,101.65,16000
2017-10-24 00:00:00+05:30,98.1,98.1,96.6,96.6,12000
2017-10-25 00:00:00+05:30,95.15,95.15,95.15,95.15,4000
2017-10-26 00:00:00+05:30,98.0,99.5,97.0,99.5,48000
2017-10-27 00:00:00+05:30,98.4,98.45,93.95,93.95,20000
2017-10-30 00:00:00+05:30,97.0,97.25,97.0,97.2,16000
2017-10-31 00:00:00+05:30,97.5,97.55,97.4,97.55,16000
2017-11-01 00:00:00+05:30,98.55,102.0,98.25,102.0,48000
2017-11-02 00:00:00+05:30,101.25,101.5,96.55,96.55,44000
2017-11-06 00:00:00+05:30,94.5,94.5,94.5,94.5,2000
2017-11-07 00:00:00+05:30,96.0,96.0,96.0,96.0,2000
2017-11-08 00:00:00+05:30,96.85,96.85,96.85,96.85,2000
2017-11-09 00:00:00+05:30,97.5,97.5,97.5,97.5,2000
2017-11-10 00:00:00+05:30,92.65,98.25,92.65,98.25,8000
2017-11-13 00:00:00+05:30,99.5,99.5,99.5,99.5,4000
2017-11-14 00:00:00+05:30,99.5,99.5,99.5,99.5,2000
2017-11-15 00:00:00+05:30,94.65,94.65,94.65,94.65,4000
2017-11-16 00:00:00+05:30,99.0,99.0,99.0,99.0,2000
2017-11-17 00:00:00+05:30,99.25,99.25,99.25,99.25,2000
2017-11-20 00:00:00+05:30,101.0,101.0,101.0,101.0,22000
2017-11-22 00:00:00+05:30,98.5,98.5,98.5,98.5,2000
2017-11-23 00:00:00+05:30,100.0,102.0,100.0,102.0,12000
2017-11-24 00:00:00+05:30,101.0,101.0,101.0,101.0,2000
2017-11-27 00:00:00+05:30,106.0,106.0,106.0,106.0,36000
2017-11-28 00:00:00+05:30,106.0,106.0,106.0,106.0,8000
2017-12-06 00:00:00+05:30,111.0,111.0,111.0,111.0,2000
2017-12-07 00:00:00+05:30,122.0,122.1,122.0,122.1,6000
2017-12-08 00:00:00+05:30,134.3,134.3,134.3,134.3,12000
2017-12-12 00:00:00+05:30,147.7,147.7,147.7,147.7,2000
2017-12-13 00:00:00+05:30,153.45,153.45,153.45,153.45,8000
2017-12-14 00:00:00+05:30,153.45,153.45,153.45,153.45,4000
2017-12-20 00:00:00+05:30,146.25,153.45,146.25,153.45,32000
2017-12-26 00:00:00+05:30,145.8,145.8,145.8,145.8,2000
2017-12-27 00:00:00+05:30,145.4,145.4,145.4,145.4,2000
2017-12-29 00:00:00+05:30,152.0,152.0,152.0,152.0,54000
2018-01-01 00:00:00+05:30,151.95,155.8,151.95,155.8,22000
2018-01-03 00:00:00+05:30,157.0,162.9,157.0,162.9,32000
2018-01-05 00:00:00+05:30,163.0,163.0,163.0,163.0,32000
2018-01-08 00:00:00+05:30,165.0,167.0,165.0,167.0,32000
2018-01-09 00:00:00+05:30,168.4,168.4,168.4,168.4,2000
2018-01-11 00:00:00+05:30,173.0,173.0,173.0,173.0,56000
2018-01-12 00:00:00+05:30,178.0,178.0,178.0,178.0,56000
2018-01-15 00:00:00+05:30,186.0,186.0,186.0,186.0,2000
2018-01-16 00:00:00+05:30,194.0,195.3,186.2,195.3,8000
2018-01-18 00:00:00+05:30,197.0,199.0,197.0,199.0,62000
2018-01-19 00:00:00+05:30,200.0,200.0,189.05,189.05,6000
2018-01-22 00:00:00+05:30,190.0,193.0,190.0,193.0,24000
