date,open,high,low,close,volume
2015-07-31 00:00:00+05:30,27.0,28.35,25.65,28.35,8571999
2015-08-03 00:00:00+05:30,28.8,29.75,27.0,29.75,2911021
2015-08-04 00:00:00+05:30,31.2,31.2,31.2,31.2,590269
2015-08-05 00:00:00+05:30,32.75,32.75,32.75,32.75,225728
2015-08-06 00:00:00+05:30,34.35,34.35,33.0,34.35,3059350
2015-08-07 00:00:00+05:30,36.04,36.04,36.04,36.04,142003
2015-08-10 00:00:00+05:30,37.85,37.85,35.0,35.75,4195970
2015-08-11 00:00:00+05:30,35.9,37.5,34.0,37.45,711618
2015-08-12 00:00:00+05:30,37.35,37.75,35.6,35.65,670025
2015-08-13 00:00:00+05:30,35.5,36.6,33.95,35.15,149070
2015-08-14 00:00:00+05:30,37.0,40.7,34.5,40.1,1132065
2015-08-17 00:00:00+05:30,41.0,42.5,40.25,41.05,648026
2015-08-18 00:00:00+05:30,41.0,41.75,40.29,40.9,351623
2015-08-19 00:00:00+05:30,41.0,41.1,37.25,40.1,324532
2015-08-20 00:00:00+05:30,39.0,39.85,38.1,38.45,258493
2015-08-21 00:00:00+05:30,37.7,37.7,35.2,36.35,207542
2015-08-24 00:00:00+05:30,34.0,34.75,32.65,33.1,212406
2015-08-25 00:00:00+05:30,33.25,34.5,29.1,33.0,409940
2015-08-26 00:00:00+05:30,33.7,33.7,31.25,32.75,237637
2015-08-27 00:00:00+05:30,33.79,34.79,32.5,33.15,322792
2015-08-28 00:00:00+05:30,33.0,34.5,31.9,32.54,327421
2015-08-31 00:00:00+05:30,32.25,32.35,31.0,31.2,88176
2015-09-01 00:00:00+05:30,31.0,31.0,29.0,29.2,90552
2015-09-02 00:00:00+05:30,29.7,30.4,29.1,29.2,141524
2015-09-03 00:00:00+05:30,29.7,30.5,28.6,29.3,215777
2015-09-04 00:00:00+05:30,29.35,29.35,27.85,28.5,263099
2015-09-07 00:00:00+05:30,28.3,28.6,26.5,27.2,165286
2015-09-08 00:00:00+05:30,26.6,27.2,25.5,26.95,226644
2015-09-09 00:00:00+05:30,27.75,27.95,26.5,27.1,78059
2015-09-10 00:00:00+05:30,26.1,26.95,25.5,26.75,62355
2015-09-11 00:00:00+05:30,27.1,28.2,26.7,27.8,171403
2015-09-14 00:00:00+05:30,27.9,29.05,27.1,27.85,179830
2015-09-15 00:00:00+05:30,27.65,27.75,26.5,27.2,183387
2015-09-16 00:00:00+05:30,27.75,28.2,27.05,27.85,145637
2015-09-18 00:00:00+05:30,28.25,28.5,26.7,27.2,289457
2015-09-21 00:00:00+05:30,25.6,26.55,25.25,26.1,239850
