date,open,high,low,close,volume
2024-06-19 00:00:00+05:30,62.34,65.45,62.34,65.45,1906
2024-06-20 00:00:00+05:30,68.72,68.72,68.72,68.72,2694
2024-06-21 00:00:00+05:30,72.15,72.15,72.15,72.15,2251
2024-06-24 00:00:00+05:30,75.75,75.75,75.75,75.75,150
2024-06-25 00:00:00+05:30,79.53,79.53,79.53,79.53,999
2024-06-26 00:00:00+05:30,83.5,83.5,83.5,83.5,8280
2024-06-27 00:00:00+05:30,87.67,87.67,87.67,87.67,5850
2024-06-28 00:00:00+05:30,92.05,92.05,92.05,92.05,22870
2024-07-01 00:00:00+05:30,96.65,96.65,89.1,96.65,62787
2024-07-02 00:00:00+05:30,101.48,101.48,101.0,101.48,39317
2024-07-03 00:00:00+05:30,111.62,111.62,111.62,111.62,24777
2024-07-04 00:00:00+05:30,122.78,122.78,122.78,122.78,14718
2024-07-05 00:00:00+05:30,135.05,135.05,134.8,135.05,125376
2024-07-08 00:00:00+05:30,141.8,141.8,137.75,141.8,46710
2024-07-09 00:00:00+05:30,148.89,148.89,148.89,148.89,13552
2024-07-10 00:00:00+05:30,156.33,156.33,156.33,156.33,13196
2024-07-11 00:00:00+05:30,164.14,164.14,164.14,164.14,18723
2024-07-12 00:00:00+05:30,172.34,172.34,172.34,172.34,18042
2024-07-15 00:00:00+05:30,180.95,180.95,175.79,180.95,58005
2024-07-16 00:00:00+05:30,177.34,177.34,177.34,177.34,7956
2024-07-18 00:00:00+05:30,173.8,173.8,173.8,173.8,1598
2024-07-19 00:00:00+05:30,170.33,170.33,170.33,170.33,185
2024-07-22 00:00:00+05:30,166.93,166.93,166.93,166.93,1293
2024-07-23 00:00:00+05:30,163.6,163.6,163.6,163.6,340
2024-07-24 00:00:00+05:30,160.33,160.33,160.33,160.33,519
2024-07-25 00:00:00+05:30,157.13,157.13,157.13,157.13,264
2024-07-26 00:00:00+05:30,153.99,153.99,153.99,153.99,345
2024-07-29 00:00:00+05:30,150.92,150.92,150.92,150.92,241
2024-07-30 00:00:00+05:30,147.91,147.91,147.91,147.91,291
2024-07-31 00:00:00+05:30,144.96,144.96,144.96,144.96,306
2024-08-01 00:00:00+05:30,142.1,142.1,142.1,142.1,172
2024-08-02 00:00:00+05:30,139.3,139.3,139.3,139.3,258
2024-08-05 00:00:00+05:30,136.55,136.55,136.55,136.55,205
2024-08-06 00:00:00+05:30,133.85,133.85,133.85,133.85,236
2024-08-07 00:00:00+05:30,131.2,131.2,131.2,131.2,375
2024-08-08 00:00:00+05:30,128.6,128.6,128.6,128.6,368
2024-08-09 00:00:00+05:30,126.05,126.05,126.05,126.05,697
2024-08-12 00:00:00+05:30,123.55,123.55,123.55,123.55,261
2024-08-13 00:00:00+05:30,121.1,121.1,121.1,121.1,164
2024-08-14 00:00:00+05:30,118.7,118.7,118.7,118.7,213
2024-08-16 00:00:00+05:30,116.35,116.35,116.35,116.35,410
