date,open,high,low,close,volume
2012-11-08 00:00:00+05:30,4.5,4.5,4.5,4.5,333
2012-11-19 00:00:00+05:30,4.73,4.73,4.73,4.73,3
2013-02-21 00:00:00+05:30,4.65,4.65,4.65,4.65,17
2013-03-08 00:00:00+05:30,4.88,4.88,4.88,4.88,809280
2013-03-11 00:00:00+05:30,5.12,5.12,5.12,5.12,70
2013-03-13 00:00:00+05:30,5.37,5.37,5.37,5.37,3
2013-03-14 00:00:00+05:30,5.63,5.63,5.63,5.63,3
2013-03-18 00:00:00+05:30,5.9,5.9,5.9,5.9,286135
2013-06-03 00:00:00+05:30,5.62,5.62,5.62,5.62,33
2013-07-18 00:00:00+05:30,5.35,5.35,5.35,5.35,17
2013-08-23 00:00:00+05:30,5.09,5.09,5.09,5.09,17
2013-09-20 00:00:00+05:30,5.33,5.33,5.33,5.33,7
2013-09-23 00:00:00+05:30,5.29,5.29,5.29,5.29,7
2013-11-27 00:00:00+05:30,0.55,0.55,0.55,0.55,366
2013-12-26 00:00:00+05:30,0.58,0.58,0.58,0.58,17
2013-12-27 00:00:00+05:30,0.6,0.6,0.6,0.6,10
2013-12-30 00:00:00+05:30,0.63,0.63,0.63,0.63,10
2014-01-02 00:00:00+05:30,0.66,0.66,0.66,0.66,10
2014-01-03 00:00:00+05:30,0.69,0.69,0.69,0.69,10
2014-01-07 00:00:00+05:30,0.73,0.73,0.73,0.73,13
2014-01-08 00:00:00+05:30,0.76,0.76,0.76,0.76,13
2014-01-10 00:00:00+05:30,0.8,0.8,0.8,0.8,37
2014-02-07 00:00:00+05:30,0.84,0.84,0.84,0.84,16659
2014-02-10 00:00:00+05:30,0.88,0.88,0.88,0.88,1029
2014-02-11 00:00:00+05:30,0.92,0.92,0.92,0.92,666
2014-02-12 00:00:00+05:30,0.97,0.97,0.97,0.97,666
2014-02-13 00:00:00+05:30,1.02,1.02,1.02,1.02,666
2014-02-14 00:00:00+05:30,1.07,1.07,1.07,1.07,666
2014-02-17 00:00:00+05:30,1.12,1.12,1.12,1.12,666
2014-02-18 00:00:00+05:30,1.17,1.17,1.17,1.17,666
2014-02-19 00:00:00+05:30,1.23,1.23,1.23,1.23,666
2014-02-20 00:00:00+05:30,1.29,1.29,1.29,1.29,666
2014-02-21 00:00:00+05:30,1.35,1.35,1.35,1.35,666
2014-02-24 00:00:00+05:30,1.42,1.42,1.42,1.42,937700
2014-03-04 00:00:00+05:30,1.49,1.49,1.49,1.49,1665
2014-05-08 00:00:00+05:30,1.56,1.56,1.56,1.56,410
2014-06-18 00:00:00+05:30,1.63,1.63,1.63,1.63,33
2014-08-12 00:00:00+05:30,1.71,1.71,1.71,1.71,17
2014-08-14 00:00:00+05:30,1.8,1.8,1.8,1.8,20
