date,open,high,low,close,volume
2024-08-06 00:00:00+05:30,725.0,797.45,724.5,796.35,1739736
2024-08-07 00:00:00+05:30,816.05,822.4,782.95,791.7,192145
2024-08-08 00:00:00+05:30,786.05,814.9,786.0,799.95,74660
2024-08-09 00:00:00+05:30,805.45,814.95,795.0,803.7,47880
2024-08-12 00:00:00+05:30,800.0,884.05,795.05,884.05,140594
2024-08-13 00:00:00+05:30,901.75,958.0,887.05,937.35,160700
2024-08-14 00:00:00+05:30,938.0,1031.05,936.7,968.85,431980
2024-08-16 00:00:00+05:30,996.45,1065.7,978.25,1065.7,109887
2024-08-19 00:00:00+05:30,1092.55,1118.95,1089.0,1118.95,6777
2024-08-20 00:00:00+05:30,1174.85,1174.85,1063.05,1063.05,62909
2024-08-21 00:00:00+05:30,1009.9,1009.9,1009.9,1009.9,3335
2024-08-22 00:00:00+05:30,959.45,1008.9,959.45,959.45,168372
2024-08-23 00:00:00+05:30,971.0,1007.4,919.0,940.95,88776
2024-08-26 00:00:00+05:30,969.9,969.9,893.95,893.95,78608
2024-08-27 00:00:00+05:30,882.05,899.0,851.15,856.5,45143
2024-08-28 00:00:00+05:30,870.05,899.0,862.75,883.55,54062
2024-08-29 00:00:00+05:30,890.0,892.2,857.3,867.55,78486
2024-08-30 00:00:00+05:30,877.75,889.6,861.3,863.75,40207
2024-09-02 00:00:00+05:30,864.5,875.05,821.1,832.65,40982
2024-09-03 00:00:00+05:30,820.0,861.9,820.0,853.75,35658
2024-09-04 00:00:00+05:30,858.0,896.4,832.15,896.4,25620
2024-09-05 00:00:00+05:30,933.95,934.0,873.6,884.6,21954
2024-09-06 00:00:00+05:30,888.0,890.45,861.05,865.0,55894
2024-09-09 00:00:00+05:30,852.55,882.0,849.0,867.2,17086
2024-09-10 00:00:00+05:30,891.0,910.55,873.65,910.55,5934
2024-09-11 00:00:00+05:30,925.05,948.8,901.55,910.35,20755
2024-09-12 00:00:00+05:30,930.65,930.65,900.2,907.55,11681
2024-09-13 00:00:00+05:30,948.95,948.95,901.65,903.05,13150
2024-09-16 00:00:00+05:30,904.6,911.15,885.0,889.1,17083
2024-09-17 00:00:00+05:30,889.0,894.1,852.35,855.6,20767
2024-09-18 00:00:00+05:30,855.6,865.2,828.4,846.4,29627
2024-09-19 00:00:00+05:30,850.55,860.2,830.55,837.3,17016
2024-09-20 00:00:00+05:30,848.9,856.4,846.45,850.75,3910
2024-09-23 00:00:00+05:30,851.0,881.1,851.0,857.25,5744
2024-09-24 00:00:00+05:30,874.0,874.0,832.1,839.5,14257
2024-09-25 00:00:00+05:30,830.3,851.3,830.3,835.1,3368
2024-09-26 00:00:00+05:30,836.4,845.0,828.0,831.1,3548
2024-09-27 00:00:00+05:30,831.1,848.05,831.1,832.55,2071
2024-09-30 00:00:00+05:30,848.0,852.9,833.2,836.4,4295
2024-10-01 00:00:00+05:30,832.5,878.2,832.5,867.6,29050
2024-10-03 00:00:00+05:30,868.0,880.0,837.7,845.65,8828
2024-10-04 00:00:00+05:30,833.05,852.45,831.9,836.6,8313
2024-10-07 00:00:00+05:30,846.0,854.6,814.2,824.9,15800
2024-10-08 00:00:00+05:30,820.0,846.0,815.0,841.95,8580
2024-10-09 00:00:00+05:30,850.15,861.0,849.05,852.5,7742
2024-10-10 00:00:00+05:30,869.6,888.0,852.0,854.25,10208
2024-10-11 00:00:00+05:30,856.5,860.0,853.0,856.75,4084
2024-10-14 00:00:00+05:30,866.75,866.75,841.0,844.1,2724
2024-10-15 00:00:00+05:30,836.4,889.95,815.0,881.05,11978
2024-10-16 00:00:00+05:30,880.0,928.0,872.0,920.3,35855
2024-10-17 00:00:00+05:30,920.0,932.0,900.85,914.75,6150
2024-10-18 00:00:00+05:30,896.0,935.0,896.0,909.8,19653
2024-10-21 00:00:00+05:30,928.0,928.0,901.65,913.55,4203
2024-10-22 00:00:00+05:30,904.25,925.0,890.0,903.25,4030
2024-10-23 00:00:00+05:30,885.9,890.9,870.0,884.2,1652
2024-10-24 00:00:00+05:30,899.95,899.95,872.1,877.35,4216
2024-10-25 00:00:00+05:30,894.9,894.9,843.05,847.55,5889
2024-10-28 00:00:00+05:30,848.0,882.95,846.1,862.25,19380
2024-10-29 00:00:00+05:30,859.0,896.7,859.0,888.85,3178
2024-10-30 00:00:00+05:30,896.25,919.1,884.2,902.0,4236
2024-10-31 00:00:00+05:30,891.5,892.0,834.05,841.1,12173
2024-11-01 00:00:00+05:30,857.95,859.9,849.95,856.05,1437
2024-11-04 00:00:00+05:30,850.0,852.9,836.85,845.3,12020
2024-11-05 00:00:00+05:30,849.8,849.8,827.35,831.8,7235
2024-11-06 00:00:00+05:30,833.45,841.9,805.5,808.2,9478
2024-11-07 00:00:00+05:30,815.0,815.0,800.9,802.6,8616
2024-11-08 00:00:00+05:30,804.95,807.15,794.35,796.6,5935
2024-11-11 00:00:00+05:30,790.55,794.0,716.95,716.95,57990
2024-11-12 00:00:00+05:30,700.0,700.15,645.3,645.3,49957
2024-11-13 00:00:00+05:30,613.05,639.0,613.05,613.05,53287
2024-11-14 00:00:00+05:30,582.95,582.95,582.4,582.4,7373
2024-11-18 00:00:00+05:30,563.3,569.9,553.3,553.3,25527
2024-11-19 00:00:00+05:30,536.15,580.95,527.0,580.95,112256
2024-11-21 00:00:00+05:30,609.95,609.95,609.95,609.95,17054
2024-11-22 00:00:00+05:30,640.4,640.4,640.4,640.4,6383
2024-11-25 00:00:00+05:30,672.4,672.4,672.4,672.4,8291
2024-11-26 00:00:00+05:30,706.0,706.0,638.8,641.55,701935
2024-11-27 00:00:00+05:30,643.35,651.35,628.25,638.35,26272
2024-11-28 00:00:00+05:30,649.25,653.05,606.45,606.45,16648
2024-11-29 00:00:00+05:30,615.0,636.75,582.7,605.4,58271
2024-12-02 00:00:00+05:30,614.95,625.55,593.6,617.3,45025
2024-12-03 00:00:00+05:30,625.95,632.65,611.9,623.65,9522
2024-12-04 00:00:00+05:30,630.0,630.0,606.2,611.65,25508
2024-12-05 00:00:00+05:30,612.05,617.55,606.85,609.05,17015
2024-12-06 00:00:00+05:30,610.4,634.9,608.5,624.35,36104
2024-12-09 00:00:00+05:30,624.3,632.35,615.65,624.55,21363
2024-12-10 00:00:00+05:30,627.0,628.55,608.05,612.45,16931
2024-12-11 00:00:00+05:30,612.7,615.9,608.55,612.45,16417
2024-12-12 00:00:00+05:30,612.45,612.7,574.2,595.5,158910
2024-12-13 00:00:00+05:30,583.85,593.0,579.15,589.6,25187
2024-12-16 00:00:00+05:30,588.85,593.95,581.0,584.65,19172
2024-12-17 00:00:00+05:30,589.65,589.65,577.0,578.8,21105
2024-12-18 00:00:00+05:30,587.95,590.45,569.0,570.9,27127
2024-12-19 00:00:00+05:30,567.1,567.1,555.75,560.85,26459
2024-12-20 00:00:00+05:30,560.85,578.0,553.0,573.15,47288
2024-12-23 00:00:00+05:30,584.5,604.95,555.45,597.95,75199
2024-12-24 00:00:00+05:30,604.8,625.55,576.65,595.8,128718
2024-12-26 00:00:00+05:30,597.85,614.0,585.0,607.4,26827
2024-12-27 00:00:00+05:30,619.25,668.1,608.05,668.1,133956
2024-12-30 00:00:00+05:30,668.1,678.8,633.55,644.05,48122
2024-12-31 00:00:00+05:30,656.0,656.0,633.65,638.1,19167
2025-01-01 00:00:00+05:30,645.0,647.7,628.4,633.5,15410
2025-01-02 00:00:00+05:30,633.55,645.0,622.85,641.0,32223
2025-01-03 00:00:00+05:30,644.85,652.0,630.85,633.75,14924
2025-01-06 00:00:00+05:30,632.85,637.7,603.0,608.75,14677
2025-01-07 00:00:00+05:30,608.8,621.35,608.8,611.75,19001
2025-01-08 00:00:00+05:30,604.0,651.0,604.0,625.05,56897
2025-01-09 00:00:00+05:30,636.85,636.85,607.6,618.0,12075
2025-01-10 00:00:00+05:30,612.05,631.35,608.25,617.35,39414
2025-01-13 00:00:00+05:30,601.35,629.4,595.45,607.65,24351
2025-01-14 00:00:00+05:30,600.1,627.85,600.1,625.35,6397
2025-01-15 00:00:00+05:30,626.9,629.9,614.3,619.6,16693
2025-01-16 00:00:00+05:30,629.75,634.1,610.0,628.3,5926
2025-01-17 00:00:00+05:30,625.5,635.0,618.4,631.9,5477
2025-01-20 00:00:00+05:30,632.65,635.25,622.2,625.95,3760
2025-01-21 00:00:00+05:30,626.55,633.3,616.6,626.2,4704
2025-01-22 00:00:00+05:30,626.2,626.2,573.0,581.75,50537
2025-01-23 00:00:00+05:30,593.6,593.6,568.55,579.45,9262
2025-01-24 00:00:00+05:30,580.05,595.45,562.2,565.7,24260
2025-01-27 00:00:00+05:30,567.6,567.6,544.95,550.9,9483
2025-01-28 00:00:00+05:30,558.25,564.25,526.55,554.85,17173
2025-01-29 00:00:00+05:30,560.0,602.75,551.4,577.8,15358
2025-01-30 00:00:00+05:30,580.0,585.75,555.0,556.65,10655
2025-01-31 00:00:00+05:30,557.95,570.0,554.75,566.0,5079
2025-02-01 00:00:00+05:30,577.35,577.35,567.05,570.8,2691
2025-02-03 00:00:00+05:30,564.0,570.8,561.5,565.7,4308
2025-02-04 00:00:00+05:30,571.65,576.25,560.95,568.5,2204
