date,open,high,low,close,volume
2022-08-24 00:00:00+05:30,0.15,0.15,0.15,0.15,190000
2022-08-25 00:00:00+05:30,0.15,0.15,0.15,0.15,20000
2022-08-26 00:00:00+05:30,0.15,0.15,0.15,0.15,20000
2022-08-29 00:00:00+05:30,0.2,0.2,0.2,0.2,9500
2022-08-30 00:00:00+05:30,0.2,0.2,0.2,0.2,20000
2022-09-01 00:00:00+05:30,0.2,0.2,0.2,0.2,20000
2022-09-02 00:00:00+05:30,0.2,0.2,0.2,0.2,20000
2022-09-05 00:00:00+05:30,0.2,0.2,0.2,0.2,20000
2022-09-06 00:00:00+05:30,0.25,0.25,0.25,0.25,20000
2022-09-07 00:00:00+05:30,0.25,0.25,0.25,0.25,20000
2022-09-08 00:00:00+05:30,0.25,0.25,0.25,0.25,20000
2022-09-09 00:00:00+05:30,0.3,0.3,0.3,0.3,20000
2022-09-12 00:00:00+05:30,0.3,0.3,0.3,0.3,20000
2022-09-13 00:00:00+05:30,0.35,0.35,0.35,0.35,20000
2022-09-14 00:00:00+05:30,0.35,0.35,0.35,0.35,20000
2022-09-15 00:00:00+05:30,0.35,0.35,0.35,0.35,20000
2022-09-16 00:00:00+05:30,0.4,0.4,0.4,0.4,20000
2022-09-19 00:00:00+05:30,0.4,0.4,0.4,0.4,20000
2022-09-20 00:00:00+05:30,0.45,0.45,0.45,0.45,20000
2022-09-21 00:00:00+05:30,0.45,0.45,0.45,0.45,20000
2022-09-22 00:00:00+05:30,0.45,0.45,0.45,0.45,20000
2022-09-23 00:00:00+05:30,0.5,0.5,0.5,0.5,20000
2022-09-26 00:00:00+05:30,0.5,0.5,0.5,0.5,20000
2022-09-27 00:00:00+05:30,0.55,0.55,0.55,0.55,20000
2022-09-28 00:00:00+05:30,0.55,0.55,0.55,0.55,20000
2022-09-29 00:00:00+05:30,0.6,0.6,0.6,0.6,20000
2022-09-30 00:00:00+05:30,0.65,0.65,0.65,0.65,20000
2022-10-03 00:00:00+05:30,0.65,0.65,0.65,0.65,30000100
2022-10-04 00:00:00+05:30,0.7,0.7,0.7,0.7,500000
2022-10-06 00:00:00+05:30,0.75,0.75,0.7,0.75,6303000
2022-10-07 00:00:00+05:30,0.75,0.75,0.75,0.75,10255900
2022-10-10 00:00:00+05:30,0.75,0.8,0.75,0.8,5154000
2022-10-11 00:00:00+05:30,0.85,0.85,0.85,0.85,11197400
2022-10-12 00:00:00+05:30,0.9,0.9,0.8,0.9,5677400
2022-10-13 00:00:00+05:30,0.95,0.95,0.95,0.95,95100
2022-10-14 00:00:00+05:30,1.0,1.0,1.0,1.0,267800
2022-10-17 00:00:00+05:30,1.05,1.05,1.05,1.05,4883400
2022-10-18 00:00:00+05:30,1.1,1.1,1.1,1.1,29471900
2022-10-19 00:00:00+05:30,1.05,1.15,1.05,1.15,5642600
2022-10-20 00:00:00+05:30,1.2,1.2,1.2,1.2,2521300
2022-10-21 00:00:00+05:30,1.25,1.25,1.25,1.25,587300
2022-10-24 00:00:00+05:30,1.3,1.3,1.3,1.3,6835900
2022-10-25 00:00:00+05:30,1.25,1.4,1.25,1.4,6765900
2022-10-27 00:00:00+05:30,1.45,1.45,1.45,1.45,7638600
2022-10-28 00:00:00+05:30,1.5,1.5,1.5,1.5,19544500
2022-10-31 00:00:00+05:30,1.6,1.6,1.6,1.6,7191600
2022-11-01 00:00:00+05:30,1.65,1.65,1.6,1.65,7813300
2022-11-02 00:00:00+05:30,1.7,1.75,1.7,1.75,21234400
2022-11-03 00:00:00+05:30,1.85,1.85,1.85,1.85,17185200
2022-11-04 00:00:00+05:30,1.95,1.95,1.75,1.95,15386900
2022-11-07 00:00:00+05:30,2.05,2.05,2.0,2.05,12348900
2022-11-09 00:00:00+05:30,2.15,2.15,2.15,2.15,14222000
2022-11-10 00:00:00+05:30,2.2,2.25,2.2,2.25,11320600
2022-11-11 00:00:00+05:30,2.35,2.35,2.35,2.35,20578700
2022-11-14 00:00:00+05:30,2.45,2.45,2.45,2.45,39093900
2022-11-15 00:00:00+05:30,2.6,2.6,2.6,2.6,43253100
2022-11-16 00:00:00+05:30,2.7,2.7,2.7,2.7,36006600
2022-11-17 00:00:00+05:30,2.85,2.85,2.85,2.85,34735100
