date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,32.04,32.04,31.1,31.1,34881
2008-01-02 00:00:00+05:30,32.65,32.65,29.55,30.15,34575
2008-01-03 00:00:00+05:30,30.0,31.65,30.0,31.65,43680
2008-01-04 00:00:00+05:30,33.2,33.2,33.2,33.2,10913
2008-01-07 00:00:00+05:30,34.85,34.85,34.5,34.85,19405
2008-01-08 00:00:00+05:30,36.54,36.54,33.15,33.15,39374
2008-01-09 00:00:00+05:30,34.0,34.0,31.5,31.5,4445
2008-01-10 00:00:00+05:30,29.95,30.95,29.95,29.95,13495
2008-01-11 00:00:00+05:30,28.5,28.5,28.5,28.5,455
2008-01-14 00:00:00+05:30,27.1,27.25,27.1,27.1,2476
2008-01-15 00:00:00+05:30,25.8,28.45,25.8,28.45,9605
2008-01-16 00:00:00+05:30,29.85,29.85,27.05,28.0,9612
2008-01-17 00:00:00+05:30,29.3,29.4,28.2,29.4,5400
2008-01-18 00:00:00+05:30,29.5,30.4,28.1,28.4,5393
2008-01-21 00:00:00+05:30,27.0,28.0,27.0,27.0,1700
2008-01-22 00:00:00+05:30,25.7,25.7,25.7,25.7,225
2008-01-23 00:00:00+05:30,24.45,24.45,24.45,24.45,921
2008-01-24 00:00:00+05:30,23.25,23.25,23.25,23.25,1000
2008-01-25 00:00:00+05:30,22.1,22.1,22.1,22.1,675
2008-01-28 00:00:00+05:30,21.0,21.0,21.0,21.0,675
2008-01-29 00:00:00+05:30,20.0,20.0,20.0,20.0,3510
2008-01-30 00:00:00+05:30,19.05,19.05,19.05,19.05,1172
2008-01-31 00:00:00+05:30,18.1,19.0,18.1,18.6,5208
2008-02-01 00:00:00+05:30,18.39,18.39,17.7,17.7,5183
2008-02-04 00:00:00+05:30,18.0,18.55,17.8,18.55,2019
2008-02-05 00:00:00+05:30,19.39,19.45,19.39,19.45,600
2008-02-06 00:00:00+05:30,19.89,20.39,19.2,20.35,6470
2008-02-07 00:00:00+05:30,21.35,21.35,21.0,21.25,3300
2008-02-08 00:00:00+05:30,21.0,21.45,20.2,20.2,1061
2008-02-11 00:00:00+05:30,19.2,19.89,19.2,19.2,1650
2008-02-12 00:00:00+05:30,18.25,18.64,18.25,18.64,790
2008-02-13 00:00:00+05:30,17.75,17.8,17.75,17.75,1100
2008-02-14 00:00:00+05:30,17.0,17.7,16.89,17.5,3652
2008-02-15 00:00:00+05:30,17.0,17.5,16.64,17.39,3941
2008-02-18 00:00:00+05:30,17.05,17.39,17.05,17.2,2100
2008-02-19 00:00:00+05:30,17.5,18.0,17.45,17.45,1050
2008-02-20 00:00:00+05:30,17.75,17.75,16.6,16.64,1689
2008-02-21 00:00:00+05:30,16.0,17.0,15.95,16.95,1536
2008-02-22 00:00:00+05:30,16.2,17.75,16.2,17.75,1905
2008-02-25 00:00:00+05:30,17.05,17.05,17.05,17.05,50
2008-02-26 00:00:00+05:30,16.3,16.95,16.25,16.45,1300
2008-02-27 00:00:00+05:30,16.55,17.0,16.5,16.5,751
2008-02-28 00:00:00+05:30,15.8,17.3,15.8,17.3,1349
2008-02-29 00:00:00+05:30,18.14,18.14,16.6,18.05,400
2008-03-04 00:00:00+05:30,17.2,18.85,17.14,17.35,2335
2008-03-05 00:00:00+05:30,16.7,17.55,16.7,16.7,703
2008-03-07 00:00:00+05:30,15.95,16.75,15.9,15.9,180
2008-03-10 00:00:00+05:30,16.8,16.85,14.55,14.55,101
2008-03-11 00:00:00+05:30,14.6,16.0,13.25,16.0,4656
2008-03-12 00:00:00+05:30,17.6,17.6,17.14,17.14,550
2008-03-13 00:00:00+05:30,15.5,16.7,15.5,16.7,1614
2008-03-14 00:00:00+05:30,15.75,16.7,15.7,16.7,208
2008-03-17 00:00:00+05:30,15.4,16.89,15.25,16.89,1020
2008-03-18 00:00:00+05:30,15.25,15.95,15.25,15.25,601
2008-03-19 00:00:00+05:30,13.8,15.55,13.8,14.3,1863
2008-03-24 00:00:00+05:30,12.9,13.95,12.9,13.95,502
2008-03-25 00:00:00+05:30,14.5,14.95,12.85,14.5,2601
2008-03-26 00:00:00+05:30,15.0,15.05,15.0,15.05,2600
2008-03-27 00:00:00+05:30,13.6,14.45,13.55,14.45,2748
2008-03-28 00:00:00+05:30,14.9,15.45,14.9,15.45,925
2008-03-31 00:00:00+05:30,14.05,15.9,14.0,14.95,2152
2008-04-01 00:00:00+05:30,16.35,16.35,14.55,15.95,200
2008-04-02 00:00:00+05:30,16.6,16.6,15.11,15.12,1259
2008-04-03 00:00:00+05:30,15.65,15.74,15.65,15.69,100
2008-04-04 00:00:00+05:30,15.5,16.3,15.5,15.57,110
2008-04-07 00:00:00+05:30,14.41,15.0,14.21,14.85,1750
2008-04-08 00:00:00+05:30,15.3,15.3,15.0,15.0,600
2008-04-09 00:00:00+05:30,14.02,15.0,14.02,15.0,150
2008-04-10 00:00:00+05:30,15.05,15.49,13.51,13.89,5503
