date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,147.85,147.85,147.85,147.85,2315
2008-01-02 00:00:00+05:30,155.25,155.25,141.4,150.7,95276
2008-01-03 00:00:00+05:30,158.2,158.2,143.15,143.15,9989
2008-01-04 00:00:00+05:30,141.85,146.1,136.0,136.0,10529
2008-01-07 00:00:00+05:30,129.25,142.8,129.25,141.3,13028
2008-01-08 00:00:00+05:30,134.25,145.05,134.25,134.45,11223
2008-01-09 00:00:00+05:30,127.75,130.65,127.75,128.15,5179
2008-01-10 00:00:00+05:30,128.95,128.95,121.75,121.75,7851
2008-01-11 00:00:00+05:30,115.7,127.8,115.7,124.7,7854
2008-01-14 00:00:00+05:30,118.7,129.65,118.7,125.25,1031
2008-01-15 00:00:00+05:30,119.5,128.95,119.05,126.35,192
2008-01-16 00:00:00+05:30,122.9,124.45,120.05,120.05,500
2008-01-17 00:00:00+05:30,114.75,126.05,114.3,126.05,4082
2008-01-18 00:00:00+05:30,121.2,132.3,121.2,121.65,4153
2008-01-21 00:00:00+05:30,115.65,115.65,115.6,115.6,933
2008-01-22 00:00:00+05:30,109.85,109.85,109.85,109.85,116
2008-01-24 00:00:00+05:30,104.4,104.4,104.4,104.4,95
2008-01-25 00:00:00+05:30,99.3,99.3,99.3,99.3,58
2008-01-28 00:00:00+05:30,94.35,94.35,94.35,94.35,1
2008-01-29 00:00:00+05:30,89.65,98.0,89.65,89.65,2052
2008-01-30 00:00:00+05:30,85.95,85.95,85.85,85.85,1512
2008-01-31 00:00:00+05:30,81.6,81.6,81.6,81.6,1643
2008-02-01 00:00:00+05:30,77.55,77.55,77.55,77.55,116
2008-02-04 00:00:00+05:30,73.7,81.25,73.7,77.35,3752
2008-02-05 00:00:00+05:30,74.05,81.25,74.05,77.35,342
2008-02-06 00:00:00+05:30,78.2,79.95,73.55,74.8,1024
2008-02-07 00:00:00+05:30,77.35,78.55,71.1,71.2,2213
2008-02-08 00:00:00+05:30,67.75,69.1,67.7,69.1,482
2008-02-11 00:00:00+05:30,68.75,68.75,65.65,65.65,344
2008-02-12 00:00:00+05:30,65.65,65.65,62.4,62.4,291
2008-02-13 00:00:00+05:30,59.3,62.4,59.3,59.3,964
2008-02-14 00:00:00+05:30,61.9,62.25,61.9,62.25,1803
2008-02-15 00:00:00+05:30,65.15,65.35,65.15,65.35,537
2008-02-18 00:00:00+05:30,68.65,68.65,68.65,68.65,58
2008-02-19 00:00:00+05:30,72.05,72.05,72.05,72.05,528
2008-02-20 00:00:00+05:30,70.9,75.6,70.9,75.6,1515
2008-02-21 00:00:00+05:30,71.85,79.35,71.85,77.65,3694
2008-02-22 00:00:00+05:30,73.9,81.55,73.9,81.45,1816
2008-02-25 00:00:00+05:30,81.65,85.5,77.55,84.25,3095
2008-02-26 00:00:00+05:30,87.6,88.45,82.5,88.45,2007
2008-02-27 00:00:00+05:30,92.75,92.85,92.75,92.85,7730
2008-02-28 00:00:00+05:30,90.1,97.45,90.1,97.15,3597
2008-02-29 00:00:00+05:30,92.85,94.1,92.3,94.1,286
2008-03-04 00:00:00+05:30,89.45,89.45,89.45,89.45,3
2008-03-05 00:00:00+05:30,84.95,84.95,84.95,84.95,12
2008-03-07 00:00:00+05:30,80.75,80.75,80.75,80.75,2
2008-03-10 00:00:00+05:30,76.75,76.75,76.75,76.75,116
2008-03-11 00:00:00+05:30,72.95,75.65,72.95,73.0,2008
2008-03-12 00:00:00+05:30,69.6,70.5,69.6,70.5,7805
2008-03-13 00:00:00+05:30,67.05,67.25,67.0,67.0,24783
2008-03-14 00:00:00+05:30,63.7,63.7,63.7,63.7,244
2008-03-17 00:00:00+05:30,60.5,60.5,60.5,60.5,209
2008-03-18 00:00:00+05:30,57.5,60.15,57.5,57.5,25711
2008-03-19 00:00:00+05:30,55.0,55.0,54.65,54.65,1837
2008-03-24 00:00:00+05:30,51.95,52.0,51.95,52.0,148
2008-03-25 00:00:00+05:30,49.95,52.45,49.4,52.4,1152
2008-03-26 00:00:00+05:30,52.0,52.85,49.8,51.5,6899
2008-03-27 00:00:00+05:30,48.95,52.6,48.95,50.65,12334
2008-03-28 00:00:00+05:30,48.2,53.1,48.2,53.05,318
2008-03-31 00:00:00+05:30,55.65,55.65,51.85,52.15,3171
2008-04-01 00:00:00+05:30,50.2,54.6,50.2,54.6,173
2008-04-02 00:00:00+05:30,52.0,55.95,52.0,55.95,1049
2008-04-03 00:00:00+05:30,54.85,54.85,53.15,53.15,2
2008-04-04 00:00:00+05:30,52.0,52.0,52.0,52.0,320
2008-04-07 00:00:00+05:30,53.2,53.2,51.6,51.65,843
2008-04-08 00:00:00+05:30,51.55,51.55,51.55,51.55,233
2008-04-09 00:00:00+05:30,54.0,54.15,51.55,54.0,732
2008-04-10 00:00:00+05:30,56.4,56.4,56.4,56.4,1
2008-04-11 00:00:00+05:30,58.95,58.95,54.95,58.25,565
2008-04-15 00:00:00+05:30,61.1,61.1,57.65,61.05,1803
2008-04-16 00:00:00+05:30,64.05,64.05,64.05,64.05,116
2008-04-17 00:00:00+05:30,61.35,66.55,61.35,66.1,727
2008-04-21 00:00:00+05:30,67.05,67.05,67.05,67.05,116
2008-04-22 00:00:00+05:30,70.4,70.4,63.95,67.4,1572
2008-04-23 00:00:00+05:30,64.05,64.05,64.05,64.05,233
2008-04-24 00:00:00+05:30,66.45,66.45,60.85,61.35,1163
2008-04-25 00:00:00+05:30,59.75,59.8,59.75,59.8,2113
2008-04-28 00:00:00+05:30,62.75,62.75,62.6,62.6,118
2008-04-29 00:00:00+05:30,63.6,65.65,63.6,65.65,599
2008-04-30 00:00:00+05:30,68.95,68.95,66.2,68.75,611
2008-05-02 00:00:00+05:30,72.05,72.05,72.05,72.05,29
2008-05-05 00:00:00+05:30,75.2,75.6,68.75,72.0,2429
2008-05-06 00:00:00+05:30,74.7,75.55,68.75,70.8,5779
2008-05-07 00:00:00+05:30,73.05,73.05,72.2,72.2,98
2008-05-08 00:00:00+05:30,75.65,75.65,68.65,71.35,560
2008-05-09 00:00:00+05:30,67.9,73.9,67.9,67.9,393
2008-05-12 00:00:00+05:30,64.55,65.35,64.55,65.35,175
2008-05-13 00:00:00+05:30,62.1,63.6,62.1,62.1,836
2008-05-14 00:00:00+05:30,60.4,60.4,59.0,59.0,944
2008-05-15 00:00:00+05:30,59.05,61.95,59.0,61.85,270
2008-05-16 00:00:00+05:30,58.8,59.35,58.8,59.35,282
2008-05-20 00:00:00+05:30,59.75,61.45,59.75,61.45,18132
2008-05-21 00:00:00+05:30,64.5,64.5,60.15,63.6,4850
2008-05-22 00:00:00+05:30,63.5,65.15,62.45,64.45,699
2008-05-23 00:00:00+05:30,61.95,61.95,61.35,61.35,169
2008-05-26 00:00:00+05:30,58.45,60.15,58.3,58.3,3589
2008-05-28 00:00:00+05:30,55.45,61.15,55.45,61.15,292
2008-05-29 00:00:00+05:30,59.9,64.2,59.9,64.2,970
2008-05-30 00:00:00+05:30,64.45,67.3,64.45,67.3,244
2008-06-02 00:00:00+05:30,63.95,67.45,63.95,66.25,151
2008-06-03 00:00:00+05:30,62.95,69.6,62.95,67.25,2656
2008-06-04 00:00:00+05:30,69.6,69.8,63.9,67.9,910
2008-06-05 00:00:00+05:30,64.55,64.55,64.55,64.55,23
2008-06-06 00:00:00+05:30,66.8,66.8,61.3,61.3,4335
2008-06-10 00:00:00+05:30,64.05,64.05,64.05,64.05,1
2008-06-12 00:00:00+05:30,67.05,67.05,61.05,66.95,340
2008-06-13 00:00:00+05:30,69.6,69.6,69.6,69.6,1
2008-06-17 00:00:00+05:30,69.6,70.0,66.2,68.75,582
2008-06-18 00:00:00+05:30,68.7,68.7,65.35,65.75,64
2008-06-19 00:00:00+05:30,67.9,67.9,62.5,62.5,292
2008-06-20 00:00:00+05:30,65.35,65.35,65.35,65.35,1
2008-06-24 00:00:00+05:30,66.6,66.6,62.65,62.65,7
2008-06-27 00:00:00+05:30,59.55,59.55,59.55,59.55,6
2008-07-01 00:00:00+05:30,61.9,61.9,56.6,56.6,7
2008-07-02 00:00:00+05:30,53.85,53.85,53.85,53.85,122
2008-07-03 00:00:00+05:30,51.2,51.2,51.2,51.2,6
2008-07-08 00:00:00+05:30,49.0,49.0,49.0,49.0,194
2008-07-10 00:00:00+05:30,50.7,50.7,46.85,47.3,3
2008-07-11 00:00:00+05:30,47.3,47.3,47.3,47.3,116
2008-07-14 00:00:00+05:30,49.65,49.65,49.65,49.65,87
2008-07-15 00:00:00+05:30,52.1,52.1,49.0,49.0,80
2008-07-16 00:00:00+05:30,46.6,46.6,46.6,46.6,349
2008-07-18 00:00:00+05:30,44.25,44.25,44.25,44.25,2
2008-07-22 00:00:00+05:30,46.35,46.45,46.35,46.45,111
2008-07-23 00:00:00+05:30,47.3,48.8,44.15,48.2,262
2008-07-24 00:00:00+05:30,50.6,50.6,45.75,45.75,355
2008-07-25 00:00:00+05:30,43.85,43.85,43.5,43.5,582
2008-07-29 00:00:00+05:30,43.4,43.4,43.4,43.4,6
2008-07-31 00:00:00+05:30,43.0,43.0,43.0,43.0,320
2008-08-01 00:00:00+05:30,45.15,45.15,45.15,45.15,116
2008-08-05 00:00:00+05:30,47.3,47.3,45.55,45.55,116
