date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,1.45,1.48,1.4,1.48,326810
2008-01-02 00:00:00+05:30,1.55,1.55,1.41,1.55,462970
2008-01-03 00:00:00+05:30,1.55,1.63,1.53,1.63,265360
2008-01-04 00:00:00+05:30,1.71,1.71,1.55,1.56,408550
2008-01-07 00:00:00+05:30,1.6,1.64,1.48,1.5,430820
2008-01-08 00:00:00+05:30,1.55,1.55,1.42,1.42,178430
2008-01-09 00:00:00+05:30,1.35,1.35,1.35,1.35,47750
2008-01-10 00:00:00+05:30,1.29,1.39,1.29,1.3,34570
2008-01-11 00:00:00+05:30,1.23,1.36,1.23,1.28,205990
2008-01-14 00:00:00+05:30,1.34,1.34,1.22,1.3,47950
2008-01-15 00:00:00+05:30,1.36,1.36,1.23,1.23,157420
2008-01-16 00:00:00+05:30,1.18,1.29,1.18,1.2,55010
2008-01-17 00:00:00+05:30,1.24,1.26,1.16,1.24,49770
2008-01-18 00:00:00+05:30,1.24,1.26,1.18,1.18,55500
2008-01-21 00:00:00+05:30,1.13,1.24,1.13,1.18,18030
2008-01-23 00:00:00+05:30,1.12,1.12,1.12,1.12,62920
2008-01-24 00:00:00+05:30,1.14,1.14,1.07,1.07,15700
2008-01-25 00:00:00+05:30,1.01,1.12,1.01,1.01,41430
2008-01-28 00:00:00+05:30,0.97,1.0,0.96,1.0,3600
2008-01-29 00:00:00+05:30,1.0,1.0,0.95,1.0,8280
2008-01-30 00:00:00+05:30,1.0,1.0,0.95,0.95,20410
2008-01-31 00:00:00+05:30,0.9,1.0,0.9,1.0,122920
2008-02-01 00:00:00+05:30,0.95,1.0,0.95,0.97,59850
2008-02-04 00:00:00+05:30,1.02,1.02,1.02,1.02,26800
2008-02-05 00:00:00+05:30,1.07,1.07,1.07,1.07,2500
2008-02-06 00:00:00+05:30,1.13,1.13,1.02,1.13,163750
2008-02-07 00:00:00+05:30,1.18,1.18,1.18,1.18,72230
2008-02-08 00:00:00+05:30,1.23,1.24,1.14,1.24,188920
2008-02-11 00:00:00+05:30,1.3,1.3,1.2,1.3,315960
2008-02-12 00:00:00+05:30,1.37,1.37,1.3,1.35,399790
2008-02-13 00:00:00+05:30,1.41,1.41,1.39,1.41,282810
2008-02-14 00:00:00+05:30,1.41,1.48,1.35,1.47,345150
2008-02-15 00:00:00+05:30,1.45,1.54,1.4,1.51,374380
2008-02-18 00:00:00+05:30,1.57,1.58,1.53,1.58,270000
2008-02-19 00:00:00+05:30,1.65,1.66,1.61,1.64,661520
2008-02-20 00:00:00+05:30,1.72,1.72,1.56,1.72,600520
2008-02-21 00:00:00+05:30,1.81,1.81,1.81,1.81,111330
2008-02-22 00:00:00+05:30,1.9,1.9,1.9,1.9,184430
2008-02-25 00:00:00+05:30,2.0,2.0,2.0,2.0,154590
2008-02-26 00:00:00+05:30,2.09,2.09,2.09,2.09,216170
2008-02-27 00:00:00+05:30,2.2,2.2,2.2,2.2,169400
2008-02-28 00:00:00+05:30,2.31,2.31,2.31,2.31,175850
2008-02-29 00:00:00+05:30,2.42,2.42,2.19,2.19,391800
2008-03-03 00:00:00+05:30,2.08,2.08,2.08,2.08,17870
2008-03-04 00:00:00+05:30,1.98,1.98,1.98,1.98,10950
2008-03-05 00:00:00+05:30,1.89,1.89,1.89,1.89,24330
2008-03-07 00:00:00+05:30,1.8,1.8,1.8,1.8,6760
2008-03-10 00:00:00+05:30,1.71,1.71,1.71,1.71,1340
2008-03-11 00:00:00+05:30,1.63,1.63,1.63,1.63,25100
2008-03-12 00:00:00+05:30,1.55,1.55,1.55,1.55,35500
2008-03-13 00:00:00+05:30,1.47,1.47,1.47,1.47,10500
2008-03-14 00:00:00+05:30,1.4,1.4,1.4,1.4,8500
2008-03-17 00:00:00+05:30,1.33,1.33,1.33,1.33,24000
2008-03-18 00:00:00+05:30,1.27,1.27,1.27,1.27,2000
2008-03-19 00:00:00+05:30,1.21,1.21,1.21,1.21,4500
2008-03-24 00:00:00+05:30,1.15,1.15,1.15,1.15,5000
2008-03-25 00:00:00+05:30,1.09,1.09,1.09,1.09,6000
2008-03-26 00:00:00+05:30,1.04,1.14,1.04,1.14,251020
2008-03-27 00:00:00+05:30,1.2,1.2,1.2,1.2,37830
2008-03-28 00:00:00+05:30,1.26,1.26,1.26,1.26,10000
2008-03-31 00:00:00+05:30,1.32,1.32,1.32,1.32,132550
2008-04-01 00:00:00+05:30,1.39,1.39,1.39,1.39,24500
2008-04-02 00:00:00+05:30,1.45,1.45,1.45,1.45,55050
2008-04-03 00:00:00+05:30,1.53,1.53,1.38,1.53,580050
