date,open,high,low,close,volume
2019-01-10 00:00:00+05:30,1.16,1.21,1.16,1.16,16853325
2019-01-11 00:00:00+05:30,1.21,1.21,1.16,1.19,2026666
2019-01-14 00:00:00+05:30,1.16,1.19,1.16,1.19,1013333
2019-01-15 00:00:00+05:30,1.16,1.16,1.16,1.16,960000
2019-01-16 00:00:00+05:30,1.16,1.16,1.13,1.13,1600000
2019-01-17 00:00:00+05:30,1.16,1.16,1.13,1.13,320000
2019-01-18 00:00:00+05:30,1.16,1.16,1.13,1.16,533333
2019-01-21 00:00:00+05:30,1.13,1.13,1.13,1.13,213333
2019-01-22 00:00:00+05:30,1.13,1.16,1.13,1.16,160000
2019-01-23 00:00:00+05:30,1.16,1.19,1.13,1.13,426667
2019-01-25 00:00:00+05:30,1.19,1.19,1.19,1.19,53333
2019-01-28 00:00:00+05:30,1.16,1.16,1.16,1.16,53333
2019-01-29 00:00:00+05:30,1.13,1.13,1.13,1.13,53333
2019-01-30 00:00:00+05:30,1.16,1.16,1.16,1.16,53333
2019-01-31 00:00:00+05:30,1.13,1.13,1.13,1.13,106667
2019-02-01 00:00:00+05:30,1.1,1.13,1.1,1.13,160000
2019-02-04 00:00:00+05:30,1.13,1.13,1.13,1.13,53333
2019-02-05 00:00:00+05:30,1.13,1.13,1.13,1.13,106667
2019-02-06 00:00:00+05:30,1.13,1.13,1.13,1.13,53333
2019-02-11 00:00:00+05:30,1.13,1.13,1.13,1.13,53333
2019-02-14 00:00:00+05:30,1.16,1.16,1.1,1.1,106667
2019-02-15 00:00:00+05:30,1.32,1.32,1.1,1.1,106667
2019-02-20 00:00:00+05:30,1.16,1.16,1.16,1.16,106667
2019-02-22 00:00:00+05:30,1.32,1.32,1.32,1.32,53333
2019-03-01 00:00:00+05:30,1.3,1.41,1.3,1.35,106667
2019-03-05 00:00:00+05:30,1.21,1.38,1.21,1.38,320000
2019-03-06 00:00:00+05:30,1.38,1.52,1.38,1.43,106667
2019-03-11 00:00:00+05:30,1.32,1.49,1.32,1.49,266667
2019-03-20 00:00:00+05:30,1.35,1.35,1.32,1.32,160000
2019-03-22 00:00:00+05:30,1.32,1.35,1.32,1.32,320000
2019-03-25 00:00:00+05:30,1.21,1.35,1.21,1.3,533333
2019-03-26 00:00:00+05:30,1.3,1.3,1.27,1.27,3146665
2019-03-27 00:00:00+05:30,1.27,1.3,1.24,1.3,1973333
2019-03-28 00:00:00+05:30,1.3,1.43,1.3,1.43,160000
2019-03-29 00:00:00+05:30,1.41,1.55,1.41,1.52,480000
2019-04-01 00:00:00+05:30,1.41,1.46,1.41,1.46,106667
2019-04-18 00:00:00+05:30,1.35,1.35,1.35,1.35,53333
2019-04-22 00:00:00+05:30,1.35,1.35,1.35,1.35,53333
2019-04-30 00:00:00+05:30,1.35,1.38,1.35,1.38,960000
2019-05-06 00:00:00+05:30,1.38,1.38,1.38,1.38,53333
2019-05-13 00:00:00+05:30,1.38,1.38,1.38,1.38,53333
2019-05-14 00:00:00+05:30,1.41,1.41,1.41,1.41,53333
2019-05-16 00:00:00+05:30,1.38,1.38,1.38,1.38,53333
2019-05-17 00:00:00+05:30,1.41,1.49,1.41,1.49,106667
2019-05-20 00:00:00+05:30,1.35,1.35,1.35,1.35,53333
