date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,14.63,14.63,14.11,14.63,1216149
2008-01-02 00:00:00+05:30,15.36,15.36,14.2,15.36,1573857
2008-01-03 00:00:00+05:30,16.1,16.12,15.75,16.12,1267878
2008-01-04 00:00:00+05:30,16.92,16.92,16.68,16.92,1297551
2008-01-07 00:00:00+05:30,17.63,17.76,17.25,17.76,1663966
2008-01-08 00:00:00+05:30,18.64,18.64,16.88,16.88,3714433
2008-01-09 00:00:00+05:30,16.04,16.04,16.04,16.04,166607
2008-01-10 00:00:00+05:30,15.3,15.3,15.24,15.24,128422
2008-01-11 00:00:00+05:30,14.48,14.48,14.48,14.48,30228
2008-01-14 00:00:00+05:30,13.76,13.76,13.76,13.76,48145
2008-01-15 00:00:00+05:30,13.08,14.44,13.08,13.08,485938
2008-01-16 00:00:00+05:30,12.43,13.0,12.43,12.43,107885
2008-01-17 00:00:00+05:30,11.85,13.05,11.81,13.01,398780
2008-01-18 00:00:00+05:30,12.9,13.66,12.36,12.36,240228
2008-01-21 00:00:00+05:30,12.2,12.2,11.75,11.75,17319
2008-01-22 00:00:00+05:30,11.17,11.17,11.17,11.17,1350
2008-01-23 00:00:00+05:30,10.62,10.62,10.62,10.62,17561
2008-01-24 00:00:00+05:30,10.09,10.09,10.09,10.09,36117
2008-01-25 00:00:00+05:30,9.59,9.59,9.59,9.59,275727
2008-01-28 00:00:00+05:30,9.11,9.11,9.11,9.11,31772
2008-01-29 00:00:00+05:30,8.67,8.67,8.67,8.67,126131
2008-01-30 00:00:00+05:30,8.24,8.24,8.24,8.24,63725
2008-01-31 00:00:00+05:30,7.83,7.83,7.83,7.83,79300
2008-02-01 00:00:00+05:30,7.44,8.22,7.44,7.58,174737
2008-02-04 00:00:00+05:30,7.22,7.95,7.22,7.95,70073
2008-02-05 00:00:00+05:30,8.33,8.34,8.33,8.34,137854
2008-02-06 00:00:00+05:30,8.34,8.75,7.93,8.75,162061
2008-02-07 00:00:00+05:30,9.15,9.18,8.43,8.66,153240
2008-02-08 00:00:00+05:30,8.24,8.99,8.23,8.23,56757
2008-02-11 00:00:00+05:30,8.25,8.27,7.82,7.88,34255
2008-02-12 00:00:00+05:30,7.95,7.95,7.49,7.49,13205
2008-02-13 00:00:00+05:30,7.86,7.86,7.12,7.12,80059
2008-02-14 00:00:00+05:30,7.47,7.47,6.77,7.19,97836
2008-02-15 00:00:00+05:30,7.5,7.5,7.0,7.28,102262
2008-02-18 00:00:00+05:30,7.63,7.64,7.1,7.63,106207
2008-02-19 00:00:00+05:30,7.98,8.01,7.8,8.0,199310
2008-02-20 00:00:00+05:30,8.4,8.4,7.61,7.79,44022
2008-02-21 00:00:00+05:30,8.15,8.15,7.61,7.76,68322
2008-02-22 00:00:00+05:30,7.41,7.86,7.38,7.38,57702
2008-02-25 00:00:00+05:30,7.06,7.06,7.02,7.02,17426
2008-02-26 00:00:00+05:30,6.67,6.67,6.67,6.67,63542
2008-02-27 00:00:00+05:30,6.37,7.0,6.34,6.52,132511
2008-04-17 00:00:00+05:30,25.1,41.0,20.0,24.9,241605
2008-04-21 00:00:00+05:30,24.9,25.9,22.0,22.38,138322
2008-04-22 00:00:00+05:30,22.79,22.8,20.39,20.88,79287
2008-04-23 00:00:00+05:30,22.8,22.8,20.0,21.29,86620
2008-04-24 00:00:00+05:30,24.5,24.5,21.0,21.7,73752
2008-04-25 00:00:00+05:30,21.06,23.75,21.02,21.21,80444
