date,open,high,low,close,volume
2014-04-10 00:00:00+05:30,4.5,4.72,4.5,4.72,1500
2014-04-23 00:00:00+05:30,4.95,4.95,4.95,4.95,1
2014-05-02 00:00:00+05:30,5.19,5.19,5.19,5.19,200
2014-05-05 00:00:00+05:30,5.44,5.44,5.44,5.44,200
2014-05-09 00:00:00+05:30,5.71,5.71,5.71,5.71,1
2014-05-12 00:00:00+05:30,5.99,5.99,5.99,5.99,499
2014-05-13 00:00:00+05:30,6.28,6.28,6.28,6.28,500
2014-05-14 00:00:00+05:30,6.59,6.59,6.59,6.59,100
2014-05-15 00:00:00+05:30,6.91,6.91,6.91,6.91,25
2014-05-16 00:00:00+05:30,7.25,7.25,7.25,7.25,25
2014-05-19 00:00:00+05:30,7.61,7.61,7.61,7.61,200
2014-05-20 00:00:00+05:30,7.99,7.99,7.99,7.99,610
2014-05-21 00:00:00+05:30,8.38,8.38,8.38,8.38,240
2014-05-22 00:00:00+05:30,8.78,8.78,8.78,8.78,51
2014-05-23 00:00:00+05:30,9.22,9.22,9.22,9.22,50
2014-05-26 00:00:00+05:30,9.6,9.68,9.6,9.68,500
2014-05-27 00:00:00+05:30,10.15,10.15,10.15,10.15,460
2014-05-30 00:00:00+05:30,10.25,10.25,9.94,9.94,304
2014-06-04 00:00:00+05:30,9.76,9.76,9.76,9.76,30
2014-06-06 00:00:00+05:30,9.57,9.57,9.57,9.57,500
2014-06-11 00:00:00+05:30,9.38,9.38,9.38,9.38,2
2014-06-17 00:00:00+05:30,9.19,9.19,9.19,9.19,5
2014-06-19 00:00:00+05:30,9.02,9.02,9.02,9.02,1400
2014-06-20 00:00:00+05:30,8.84,8.84,8.84,8.84,100
2014-06-23 00:00:00+05:30,8.67,8.67,8.67,8.67,100
2014-06-26 00:00:00+05:30,8.5,8.5,8.5,8.5,123
2014-06-27 00:00:00+05:30,8.33,8.33,8.33,8.33,50
2014-06-30 00:00:00+05:30,8.17,8.17,8.17,8.17,50
2014-07-01 00:00:00+05:30,8.01,8.01,8.01,8.01,50
2014-07-02 00:00:00+05:30,7.85,7.85,7.85,7.85,50
2014-07-03 00:00:00+05:30,7.7,7.7,7.7,7.7,100
2014-07-04 00:00:00+05:30,7.55,7.55,7.55,7.55,50
2014-07-07 00:00:00+05:30,7.18,7.75,7.18,7.75,300
2014-07-10 00:00:00+05:30,7.5,7.5,7.37,7.37,95
2014-07-11 00:00:00+05:30,7.5,7.73,7.01,7.01,1701
2014-07-15 00:00:00+05:30,6.66,6.66,6.66,6.66,1200
2014-07-17 00:00:00+05:30,6.33,6.33,6.33,6.33,100
2014-07-18 00:00:00+05:30,6.02,6.02,6.02,6.02,50
2014-07-21 00:00:00+05:30,5.72,5.72,5.72,5.72,100
2014-07-23 00:00:00+05:30,5.44,6.0,5.44,6.0,116
2014-07-24 00:00:00+05:30,5.7,5.7,5.7,5.7,100
2014-07-28 00:00:00+05:30,5.42,5.42,5.42,5.42,250
2014-08-07 00:00:00+05:30,5.69,5.69,5.69,5.69,1500
2014-08-11 00:00:00+05:30,5.41,5.41,5.41,5.41,100
2014-08-12 00:00:00+05:30,5.14,5.64,5.14,5.14,1800
2014-08-14 00:00:00+05:30,4.88,4.88,4.88,4.88,185
2014-08-18 00:00:00+05:30,5.0,5.0,4.65,4.65,2000
2014-08-19 00:00:00+05:30,4.42,4.42,4.42,4.42,100
2014-09-30 00:00:00+05:30,4.63,4.63,4.63,4.63,10
2014-10-01 00:00:00+05:30,4.87,4.87,4.41,4.41,3210
2014-10-08 00:00:00+05:30,4.63,4.63,4.63,4.63,60
2014-10-14 00:00:00+05:30,4.8,4.8,4.8,4.8,10
2014-10-16 00:00:00+05:30,4.97,5.04,4.97,5.04,600
2014-10-28 00:00:00+05:30,5.29,5.29,5.29,5.29,10
2014-10-29 00:00:00+05:30,5.55,5.55,5.55,5.55,10
2014-10-30 00:00:00+05:30,5.82,5.82,5.82,5.82,5
2014-11-03 00:00:00+05:30,6.11,6.11,6.11,6.11,80
2015-04-30 00:00:00+05:30,64.98,68.23,61.77,68.23,531
2015-05-04 00:00:00+05:30,71.59,71.59,71.59,71.59,21
2015-05-05 00:00:00+05:30,75.09,75.15,75.09,75.15,189
2015-05-06 00:00:00+05:30,78.84,78.9,78.84,78.9,346
2015-05-07 00:00:00+05:30,82.8,82.8,82.8,82.8,114
2015-05-08 00:00:00+05:30,82.8,86.9,82.8,86.9,400
2015-05-11 00:00:00+05:30,91.0,91.0,82.6,89.9,100
2015-05-12 00:00:00+05:30,94.0,94.3,90.9,94.3,203
2015-05-13 00:00:00+05:30,99.0,99.0,94.0,96.1,183
2015-05-14 00:00:00+05:30,91.3,91.3,91.3,91.3,11
2015-05-18 00:00:00+05:30,91.3,91.3,86.75,86.75,20
2015-05-19 00:00:00+05:30,82.45,82.45,82.45,82.45,5
2015-05-20 00:00:00+05:30,78.34,78.34,78.34,78.34,20
2015-05-21 00:00:00+05:30,74.45,74.45,74.45,74.45,100
2015-05-22 00:00:00+05:30,70.75,70.75,70.75,70.75,1
2015-05-25 00:00:00+05:30,73.0,73.0,67.25,69.55,15
2015-05-26 00:00:00+05:30,72.9,72.9,72.9,72.9,2
2015-05-28 00:00:00+05:30,69.3,69.3,69.3,69.3,15
2015-05-29 00:00:00+05:30,65.84,72.0,65.84,65.84,62
2015-06-01 00:00:00+05:30,62.7,68.0,62.7,63.0,111
2015-06-02 00:00:00+05:30,59.9,63.0,59.85,59.85,501
2015-06-04 00:00:00+05:30,57.1,57.1,57.05,57.1,78
2015-06-05 00:00:00+05:30,55.6,55.6,54.25,54.3,250
2015-06-10 00:00:00+05:30,51.7,51.7,51.65,51.65,10
