date,open,high,low,close,volume
2019-07-15 00:00:00+05:30,31.5,31.5,29.7,30.8,400
2019-07-16 00:00:00+05:30,30.2,30.6,30.2,30.5,5380
2019-07-17 00:00:00+05:30,30.7,30.7,29.0,30.55,4920
2019-07-18 00:00:00+05:30,30.05,30.05,30.05,30.05,810
2019-07-25 00:00:00+05:30,29.0,29.0,29.0,29.0,350
2019-07-29 00:00:00+05:30,29.1,29.15,29.0,29.15,230
2019-07-30 00:00:00+05:30,29.1,29.1,28.9,29.05,2790
2019-07-31 00:00:00+05:30,28.8,28.8,28.5,28.65,540
2019-08-01 00:00:00+05:30,28.55,28.55,28.2,28.2,330
2019-08-02 00:00:00+05:30,28.9,28.9,28.9,28.9,90
2019-08-05 00:00:00+05:30,28.8,28.8,27.3,27.3,3530
2019-08-07 00:00:00+05:30,28.0,28.4,28.0,28.0,2110
2019-08-08 00:00:00+05:30,28.5,28.5,27.0,27.0,2320
2019-08-09 00:00:00+05:30,28.4,29.0,28.4,28.6,30
2019-08-13 00:00:00+05:30,27.9,27.9,27.5,27.5,20
2019-08-16 00:00:00+05:30,28.05,28.05,27.9,28.0,6430
2019-08-20 00:00:00+05:30,27.85,27.85,27.85,27.85,590
2019-08-21 00:00:00+05:30,27.7,27.7,27.7,27.7,510
2019-08-22 00:00:00+05:30,27.5,27.5,27.0,27.05,26390
2019-08-23 00:00:00+05:30,26.7,27.1,26.55,27.1,310
2019-08-26 00:00:00+05:30,27.25,28.05,27.05,28.05,1510
2019-08-27 00:00:00+05:30,27.6,28.25,27.6,28.25,5070
2019-08-28 00:00:00+05:30,28.1,28.1,27.8,27.85,570
2019-08-29 00:00:00+05:30,27.5,27.5,27.25,27.25,20
2019-09-03 00:00:00+05:30,27.1,27.1,27.0,27.0,4520
2019-09-04 00:00:00+05:30,26.8,26.8,26.7,26.7,20
2019-09-05 00:00:00+05:30,26.9,26.9,26.9,26.9,20
2019-09-06 00:00:00+05:30,27.2,27.2,27.2,27.2,500
2019-09-09 00:00:00+05:30,27.1,27.5,27.1,27.5,2060
2019-09-11 00:00:00+05:30,27.5,27.9,27.5,27.9,1110
2019-09-12 00:00:00+05:30,28.0,28.0,27.9,27.9,1550
2019-09-13 00:00:00+05:30,27.8,28.25,27.8,28.1,3150
2019-09-16 00:00:00+05:30,28.15,28.15,28.15,28.15,170
2019-09-17 00:00:00+05:30,27.6,27.6,27.1,27.15,2970
2019-09-19 00:00:00+05:30,26.95,26.95,26.95,26.95,80
2019-09-20 00:00:00+05:30,27.6,29.0,27.6,29.0,24590
2019-09-23 00:00:00+05:30,29.5,30.65,28.0,28.75,47260
2019-09-24 00:00:00+05:30,30.4,30.4,29.9,30.35,6250
2019-09-25 00:00:00+05:30,29.6,30.35,29.5,29.75,940
2019-09-26 00:00:00+05:30,30.0,30.4,30.0,30.3,1930
2019-09-27 00:00:00+05:30,29.9,30.05,29.9,30.0,5590
2019-09-30 00:00:00+05:30,30.8,30.85,28.95,28.95,800
2019-10-01 00:00:00+05:30,29.4,29.4,28.25,28.5,160
2019-10-03 00:00:00+05:30,29.0,29.9,28.5,28.5,60
2019-10-04 00:00:00+05:30,29.0,29.9,27.5,27.5,8250
2019-10-07 00:00:00+05:30,28.0,28.1,27.65,27.65,70
2019-10-09 00:00:00+05:30,28.3,29.1,28.3,29.1,1370
2019-10-10 00:00:00+05:30,29.3,29.3,28.0,28.0,180
2019-10-11 00:00:00+05:30,28.0,28.1,27.6,27.6,520
2019-10-17 00:00:00+05:30,29.0,29.3,29.0,29.3,40
2019-10-18 00:00:00+05:30,29.2,29.2,29.2,29.2,500
2019-10-22 00:00:00+05:30,29.9,29.9,29.5,29.7,10120
2019-10-23 00:00:00+05:30,29.6,29.6,29.6,29.6,620
2019-10-24 00:00:00+05:30,29.55,29.55,29.0,29.3,70
2019-10-29 00:00:00+05:30,29.8,30.2,29.8,30.2,1070
2019-10-30 00:00:00+05:30,30.0,30.0,29.9,29.9,1180
2019-10-31 00:00:00+05:30,30.3,30.3,30.2,30.2,890
2019-11-01 00:00:00+05:30,30.35,30.35,30.05,30.3,1910
2019-11-04 00:00:00+05:30,30.5,30.5,30.5,30.5,2120
2019-11-05 00:00:00+05:30,30.5,30.5,29.5,30.2,40
2019-11-06 00:00:00+05:30,30.0,30.8,30.0,30.7,15810
2019-11-07 00:00:00+05:30,30.6,30.8,30.3,30.8,27950
2019-11-08 00:00:00+05:30,30.8,31.0,30.8,31.0,10790
2019-11-11 00:00:00+05:30,30.9,31.75,30.5,31.25,1140
2019-11-13 00:00:00+05:30,31.25,31.25,30.5,30.5,740
2019-11-14 00:00:00+05:30,30.5,30.8,30.5,30.8,20
2019-11-15 00:00:00+05:30,31.0,31.5,31.0,31.2,60
2019-11-18 00:00:00+05:30,31.2,31.2,31.2,31.2,10
2019-11-20 00:00:00+05:30,31.3,31.45,31.25,31.3,1290
2019-11-22 00:00:00+05:30,31.2,31.2,31.2,31.2,10
2019-11-25 00:00:00+05:30,31.35,31.7,31.3,31.55,690
2019-11-26 00:00:00+05:30,31.6,31.85,31.6,31.7,4390
2019-11-27 00:00:00+05:30,31.8,32.0,31.8,32.0,690
2019-11-28 00:00:00+05:30,31.85,32.4,31.85,32.35,790
2019-11-29 00:00:00+05:30,32.2,32.2,31.95,32.0,1720
2019-12-02 00:00:00+05:30,32.0,32.0,31.8,31.8,20
2019-12-03 00:00:00+05:30,32.0,32.0,31.55,31.55,90
2019-12-04 00:00:00+05:30,31.8,32.2,31.8,32.2,70
2019-12-05 00:00:00+05:30,32.0,32.0,31.6,31.6,820
2019-12-06 00:00:00+05:30,31.6,31.6,31.25,31.4,4040
2019-12-09 00:00:00+05:30,31.25,31.5,31.1,31.45,100
2019-12-10 00:00:00+05:30,31.5,31.5,31.15,31.15,80
2019-12-11 00:00:00+05:30,31.3,31.3,31.1,31.1,20
2019-12-12 00:00:00+05:30,31.35,31.85,31.35,31.85,2140
2019-12-13 00:00:00+05:30,31.8,32.2,31.8,32.2,5550
2019-12-16 00:00:00+05:30,32.2,32.3,31.95,32.15,2050
2019-12-17 00:00:00+05:30,32.1,32.1,32.1,32.1,650
2019-12-19 00:00:00+05:30,32.1,32.1,32.1,32.1,150
2019-12-20 00:00:00+05:30,32.3,32.5,32.3,32.5,2270
2019-12-23 00:00:00+05:30,32.3,32.4,32.3,32.3,12230
2019-12-24 00:00:00+05:30,32.3,32.3,32.3,32.3,640
2019-12-26 00:00:00+05:30,32.2,32.2,32.1,32.1,20
2019-12-27 00:00:00+05:30,32.3,32.7,32.3,32.7,560
2019-12-30 00:00:00+05:30,32.5,32.5,32.4,32.4,20
2019-12-31 00:00:00+05:30,32.4,32.55,32.4,32.45,2470
2020-01-01 00:00:00+05:30,32.5,32.5,32.05,32.1,2980
2020-01-02 00:00:00+05:30,32.5,32.6,32.5,32.6,270
2020-01-03 00:00:00+05:30,32.2,32.4,32.1,32.1,1770
