date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,409.95,428.8,409.0,418.4,674
2008-01-02 00:00:00+05:30,427.95,429.95,384.6,423.05,9164
2008-01-03 00:00:00+05:30,429.5,507.65,426.0,507.65,4111
2008-01-04 00:00:00+05:30,515.0,595.0,480.0,486.6,4502
2008-01-07 00:00:00+05:30,490.0,580.0,465.05,555.0,1497
2008-01-08 00:00:00+05:30,551.0,579.95,520.04,525.9,992
2008-01-09 00:00:00+05:30,527.04,528.04,510.05,519.0,230
2008-01-10 00:00:00+05:30,513.04,513.95,481.15,487.95,211
2008-01-11 00:00:00+05:30,481.15,500.0,476.05,476.95,371
2008-01-14 00:00:00+05:30,450.0,489.95,450.0,478.0,45
2008-01-15 00:00:00+05:30,475.0,487.25,455.0,455.0,76
2008-01-16 00:00:00+05:30,445.05,470.0,445.0,445.05,379
2008-01-17 00:00:00+05:30,470.0,470.0,442.0,465.0,2070
2008-01-18 00:00:00+05:30,465.0,465.0,450.55,450.55,51
2008-01-21 00:00:00+05:30,450.0,450.0,397.25,397.25,257
2008-01-22 00:00:00+05:30,321.05,390.0,321.05,345.05,77
2008-01-23 00:00:00+05:30,357.05,399.95,357.05,399.95,65
2008-01-25 00:00:00+05:30,378.8,413.35,378.8,413.35,1100
2008-01-28 00:00:00+05:30,379.0,400.0,379.0,400.0,83
2008-01-29 00:00:00+05:30,395.0,410.0,395.0,405.85,11
2008-01-30 00:00:00+05:30,414.95,414.95,410.95,410.95,4
2008-01-31 00:00:00+05:30,358.15,421.55,358.15,408.6,3111
2008-02-01 00:00:00+05:30,401.0,420.0,396.05,398.0,545
2008-02-04 00:00:00+05:30,396.55,415.0,396.5,404.55,227
2008-02-06 00:00:00+05:30,397.05,397.05,375.15,375.15,100
2008-02-07 00:00:00+05:30,390.0,390.0,390.0,390.0,1
2008-02-08 00:00:00+05:30,390.0,399.4,360.0,362.6,2686
2008-02-11 00:00:00+05:30,365.5,365.5,360.0,365.4,779
2008-02-12 00:00:00+05:30,360.0,360.0,352.2,352.2,30
2008-02-13 00:00:00+05:30,367.95,367.95,360.0,364.95,869
2008-02-14 00:00:00+05:30,368.95,370.0,368.95,370.0,90
2008-02-15 00:00:00+05:30,370.0,374.95,370.0,374.2,105
2008-02-18 00:00:00+05:30,375.0,380.05,375.0,379.0,203
2008-02-19 00:00:00+05:30,380.0,383.0,380.0,380.0,33
2008-02-20 00:00:00+05:30,386.85,386.85,379.9,379.9,105
2008-02-21 00:00:00+05:30,370.65,375.05,370.65,375.05,27
2008-02-22 00:00:00+05:30,380.0,380.0,380.0,380.0,6
2008-02-25 00:00:00+05:30,373.35,373.35,373.25,373.25,25
2008-02-27 00:00:00+05:30,390.0,400.0,390.0,400.0,15
