date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,26.1,28.7,26.0,28.35,12100
2008-01-02 00:00:00+05:30,28.35,29.75,28.0,29.65,19300
2008-01-03 00:00:00+05:30,31.0,31.1,28.7,30.8,12800
2008-01-04 00:00:00+05:30,32.29,32.29,29.3,32.0,11600
2008-01-07 00:00:00+05:30,32.0,32.0,30.45,30.45,7000
2008-01-08 00:00:00+05:30,31.95,31.95,28.95,29.9,6400
2008-01-09 00:00:00+05:30,28.45,28.45,28.45,28.45,1200
2008-01-10 00:00:00+05:30,27.05,28.0,27.05,27.05,6100
2008-01-11 00:00:00+05:30,25.75,27.7,25.7,26.45,2700
2008-01-14 00:00:00+05:30,25.2,27.0,25.2,27.0,2500
2008-01-15 00:00:00+05:30,25.7,28.25,25.7,25.7,4600
2008-01-16 00:00:00+05:30,24.45,24.45,24.45,24.45,6700
2008-01-17 00:00:00+05:30,24.0,25.65,23.5,25.65,3700
2008-01-18 00:00:00+05:30,26.9,26.9,25.5,26.9,3700
2008-01-21 00:00:00+05:30,27.85,28.2,26.0,26.0,5000
2008-01-22 00:00:00+05:30,24.75,24.75,24.75,24.75,1100
2008-01-23 00:00:00+05:30,23.6,23.6,23.55,23.55,300
2008-01-24 00:00:00+05:30,22.5,22.55,22.4,22.4,2500
2008-01-25 00:00:00+05:30,21.3,22.0,21.3,21.3,1700
2008-01-28 00:00:00+05:30,20.25,20.25,20.25,20.25,1200
2008-01-29 00:00:00+05:30,21.0,21.25,21.0,21.25,900
2008-01-30 00:00:00+05:30,20.3,22.3,20.3,22.3,1600
2008-01-31 00:00:00+05:30,23.4,23.4,23.4,23.4,1100
2008-02-01 00:00:00+05:30,24.55,24.55,24.55,24.55,1400
2008-02-04 00:00:00+05:30,25.75,25.75,25.75,25.75,900
2008-02-05 00:00:00+05:30,27.0,27.0,27.0,27.0,1200
2008-02-06 00:00:00+05:30,28.35,28.35,25.7,25.8,6900
2008-02-07 00:00:00+05:30,24.6,27.05,24.55,24.6,1600
2008-02-08 00:00:00+05:30,23.4,25.5,23.4,23.4,2200
2008-02-11 00:00:00+05:30,23.4,23.4,23.4,23.4,1000
2008-02-12 00:00:00+05:30,22.25,22.25,22.25,22.25,400
2008-02-13 00:00:00+05:30,21.35,21.35,21.15,21.15,1400
2008-02-14 00:00:00+05:30,20.1,20.1,20.1,20.1,2700
2008-02-15 00:00:00+05:30,20.0,21.1,19.14,20.2,1600
2008-02-18 00:00:00+05:30,19.2,19.2,19.2,19.2,100
2008-02-19 00:00:00+05:30,19.0,20.14,18.25,20.14,2500
2008-02-20 00:00:00+05:30,21.0,21.1,19.14,19.55,1300
2008-02-21 00:00:00+05:30,20.39,20.39,20.39,20.39,200
2008-02-22 00:00:00+05:30,20.0,20.0,20.0,20.0,500
2008-02-25 00:00:00+05:30,19.14,20.95,19.05,20.95,2700
2008-02-26 00:00:00+05:30,19.95,19.95,19.95,19.95,1600
2008-02-27 00:00:00+05:30,20.6,20.9,20.6,20.8,1400
2008-02-28 00:00:00+05:30,21.8,21.8,19.8,20.39,2800
2008-02-29 00:00:00+05:30,19.39,19.6,19.39,19.6,600
2008-03-03 00:00:00+05:30,18.7,20.55,18.64,18.75,42100
2008-03-04 00:00:00+05:30,18.0,19.64,18.0,18.0,35700
2008-03-05 00:00:00+05:30,17.2,17.2,17.2,17.2,100
2008-03-07 00:00:00+05:30,16.35,16.35,16.35,16.35,2900
2008-03-10 00:00:00+05:30,16.55,16.55,15.55,15.6,1700
2008-03-11 00:00:00+05:30,15.0,16.35,15.0,15.3,4700
2008-03-12 00:00:00+05:30,16.05,16.05,16.05,16.05,500
2008-03-13 00:00:00+05:30,16.85,16.85,16.8,16.8,600
2008-03-14 00:00:00+05:30,16.0,16.3,16.0,16.3,200
2008-03-18 00:00:00+05:30,15.5,15.5,15.5,15.5,100
2008-03-19 00:00:00+05:30,14.75,15.0,14.75,14.75,2600
2008-03-24 00:00:00+05:30,14.1,14.1,14.1,14.1,1100
2008-03-25 00:00:00+05:30,13.4,13.5,13.4,13.4,1500
2008-03-26 00:00:00+05:30,13.4,13.4,12.75,12.75,1400
2008-03-27 00:00:00+05:30,12.25,13.25,12.15,12.95,5700
2008-03-28 00:00:00+05:30,13.55,13.55,13.55,13.55,100
2008-03-31 00:00:00+05:30,12.95,13.5,12.95,13.5,200
2008-04-01 00:00:00+05:30,13.1,13.1,13.1,13.1,100
2008-04-02 00:00:00+05:30,13.7,13.75,13.7,13.75,300
2008-04-03 00:00:00+05:30,13.15,13.15,13.15,13.15,400
2008-04-04 00:00:00+05:30,13.8,13.8,13.8,13.8,300
2008-04-07 00:00:00+05:30,13.12,13.8,13.12,13.8,200
2008-04-08 00:00:00+05:30,13.2,14.49,13.2,14.49,300
2008-04-09 00:00:00+05:30,15.2,15.2,15.2,15.2,300
2008-04-10 00:00:00+05:30,15.2,15.95,15.2,15.95,200
2008-04-11 00:00:00+05:30,16.5,16.7,15.16,15.16,1600
2008-04-15 00:00:00+05:30,15.91,15.91,14.42,15.9,600
2008-04-21 00:00:00+05:30,16.69,16.69,16.69,16.69,100
2008-04-22 00:00:00+05:30,17.05,17.05,17.0,17.0,200
2008-04-23 00:00:00+05:30,17.85,17.85,16.2,16.55,1600
2008-04-24 00:00:00+05:30,16.0,16.0,16.0,16.0,1200
