date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,27.3,29.9,27.1,27.65,9100
2008-01-02 00:00:00+05:30,29.0,29.0,27.5,27.5,1200
2008-01-03 00:00:00+05:30,27.6,27.6,26.6,27.5,1600
2008-01-04 00:00:00+05:30,26.15,28.85,26.15,28.7,1200
2008-01-07 00:00:00+05:30,29.0,30.1,28.3,30.1,2300
2008-01-08 00:00:00+05:30,28.65,28.65,28.6,28.6,600
2008-01-15 00:00:00+05:30,29.7,29.7,27.2,27.45,2300
2008-01-16 00:00:00+05:30,28.45,28.45,26.1,26.1,1500
2008-01-17 00:00:00+05:30,27.4,27.4,27.4,27.4,200
2008-05-07 00:00:00+05:30,26.05,26.05,26.05,26.05,100
2008-05-08 00:00:00+05:30,24.75,24.75,24.75,24.75,100
2008-05-09 00:00:00+05:30,23.55,23.55,23.55,23.55,100
2008-07-25 00:00:00+05:30,22.4,24.7,22.4,22.4,12100
2008-07-28 00:00:00+05:30,21.3,21.3,21.3,21.3,100
2008-07-29 00:00:00+05:30,20.25,20.25,20.25,20.25,100
2008-07-30 00:00:00+05:30,19.25,21.25,19.25,19.25,13600
2008-07-31 00:00:00+05:30,18.3,20.0,18.3,19.39,2000
2008-08-01 00:00:00+05:30,18.45,20.2,18.45,20.2,2000
2008-08-06 00:00:00+05:30,20.8,21.0,20.8,20.85,2100
2008-08-07 00:00:00+05:30,19.85,19.85,19.85,19.85,200
2008-08-08 00:00:00+05:30,18.89,18.89,18.89,18.89,400
2008-08-11 00:00:00+05:30,18.0,18.0,18.0,18.0,300
2008-08-12 00:00:00+05:30,17.14,17.14,17.14,17.14,500
2008-08-13 00:00:00+05:30,16.3,16.3,16.3,16.3,100
2008-08-21 00:00:00+05:30,15.5,15.5,15.5,15.5,500
2008-08-22 00:00:00+05:30,15.5,15.5,14.75,14.75,200
2008-08-28 00:00:00+05:30,14.05,14.05,14.05,14.05,300
2008-08-29 00:00:00+05:30,13.35,13.35,13.35,13.35,200
2008-09-01 00:00:00+05:30,12.69,14.0,12.69,14.0,5000
2008-09-08 00:00:00+05:30,13.31,14.7,13.31,14.7,2100
2008-09-09 00:00:00+05:30,13.97,13.97,13.97,13.97,100
2008-09-11 00:00:00+05:30,13.28,14.0,13.28,13.28,300
2008-09-12 00:00:00+05:30,12.63,12.63,12.62,12.62,1000
2008-09-19 00:00:00+05:30,13.25,13.25,13.25,13.25,100
2008-09-25 00:00:00+05:30,13.6,13.6,13.6,13.6,100
2009-02-27 00:00:00+05:30,12.93,12.93,12.93,12.93,1100
2009-06-11 00:00:00+05:30,12.29,12.29,12.29,12.29,500
2009-06-23 00:00:00+05:30,11.68,11.68,11.68,11.68,100
2009-06-25 00:00:00+05:30,11.1,11.1,11.1,11.1,200
2009-07-06 00:00:00+05:30,10.55,10.55,10.55,10.55,500
2009-08-05 00:00:00+05:30,9.52,9.52,9.52,9.52,100
2009-08-06 00:00:00+05:30,9.06,9.06,9.06,9.06,100
2009-08-13 00:00:00+05:30,8.61,8.61,8.61,8.61,100
2009-08-18 00:00:00+05:30,8.18,8.18,8.18,8.18,100
2009-08-19 00:00:00+05:30,7.78,7.78,7.78,7.78,100
2009-08-21 00:00:00+05:30,7.87,7.87,7.87,7.87,200
2009-08-27 00:00:00+05:30,8.67,8.67,8.67,8.67,100
2009-08-31 00:00:00+05:30,8.66,8.66,7.85,7.85,800
2009-09-02 00:00:00+05:30,7.1,7.1,7.1,7.1,100
2009-09-09 00:00:00+05:30,7.04,7.04,7.04,7.04,1600
2009-09-10 00:00:00+05:30,7.39,7.39,7.39,7.39,100
2009-09-14 00:00:00+05:30,8.13,8.13,8.13,8.13,200
2009-09-15 00:00:00+05:30,8.52,8.52,8.52,8.52,200
2009-09-16 00:00:00+05:30,8.13,8.13,8.13,8.13,100
2009-09-18 00:00:00+05:30,8.0,8.0,8.0,8.0,100
2009-09-23 00:00:00+05:30,7.61,7.61,7.61,7.61,400
2009-09-24 00:00:00+05:30,7.23,7.23,7.23,7.23,200
2009-10-05 00:00:00+05:30,6.87,6.87,6.87,6.87,200
2009-10-06 00:00:00+05:30,6.53,6.53,6.53,6.53,1100
2009-10-07 00:00:00+05:30,6.21,6.21,6.21,6.21,1300
2009-10-09 00:00:00+05:30,6.52,6.52,6.52,6.52,100
2009-10-15 00:00:00+05:30,7.18,7.18,6.5,7.18,1700
2009-10-16 00:00:00+05:30,7.53,7.53,7.53,7.53,200
2009-10-20 00:00:00+05:30,8.27,8.27,7.54,7.54,200
2009-10-21 00:00:00+05:30,7.91,7.91,7.91,7.91,300
2009-10-22 00:00:00+05:30,8.28,8.28,8.28,8.28,100
2009-10-23 00:00:00+05:30,8.06,8.69,8.0,8.69,900
2009-10-29 00:00:00+05:30,8.98,8.99,8.98,8.98,600
2009-10-30 00:00:00+05:30,8.53,8.53,8.53,8.53,600
2009-11-03 00:00:00+05:30,8.11,8.19,8.11,8.11,500
2009-11-11 00:00:00+05:30,7.72,7.72,7.72,7.72,100
2009-11-17 00:00:00+05:30,7.34,7.36,7.34,7.36,600
2009-11-18 00:00:00+05:30,7.0,7.0,7.0,7.0,1200
2009-11-19 00:00:00+05:30,7.35,7.35,7.35,7.35,300
2009-11-23 00:00:00+05:30,7.71,7.71,7.01,7.01,200
2009-11-24 00:00:00+05:30,6.66,6.67,6.66,6.67,1200
2009-11-27 00:00:00+05:30,6.35,6.35,6.35,6.35,200
2009-12-01 00:00:00+05:30,6.1,6.1,6.1,6.1,100
2009-12-02 00:00:00+05:30,5.81,5.81,5.81,5.81,500
2009-12-16 00:00:00+05:30,5.53,5.53,5.53,5.53,300
2009-12-29 00:00:00+05:30,5.8,5.8,5.8,5.8,1000
2009-12-30 00:00:00+05:30,6.09,6.09,6.09,6.09,3100
2009-12-31 00:00:00+05:30,6.39,6.39,6.39,6.39,100
2010-01-04 00:00:00+05:30,6.7,6.7,6.7,6.7,100
2010-01-08 00:00:00+05:30,7.03,7.03,7.03,7.03,600
2010-01-11 00:00:00+05:30,7.38,7.38,7.38,7.38,1400
2010-01-12 00:00:00+05:30,7.74,7.74,7.74,7.74,1800
2010-01-13 00:00:00+05:30,7.36,7.36,7.36,7.36,500
2010-01-14 00:00:00+05:30,7.71,7.72,7.01,7.24,900
2010-01-15 00:00:00+05:30,7.6,7.6,7.6,7.6,400
2010-01-18 00:00:00+05:30,7.98,7.98,7.98,7.98,100
2010-01-20 00:00:00+05:30,8.27,8.27,8.27,8.27,100
2010-01-21 00:00:00+05:30,8.6,8.6,8.6,8.6,100
2010-02-01 00:00:00+05:30,8.42,8.42,8.42,8.42,1100
2010-02-03 00:00:00+05:30,8.0,8.0,8.0,8.0,100
2010-02-04 00:00:00+05:30,8.3,8.3,8.3,8.3,100
2010-02-10 00:00:00+05:30,8.69,8.69,8.69,8.69,100
2010-02-15 00:00:00+05:30,8.8,8.8,8.8,8.8,100
2010-02-17 00:00:00+05:30,9.19,9.19,9.19,9.19,100
2010-02-22 00:00:00+05:30,8.75,8.75,8.75,8.75,500
2010-03-03 00:00:00+05:30,8.32,8.32,8.32,8.32,100
