date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,9.2,9.6,9.2,9.45,147810
2008-01-02 00:00:00+05:30,9.45,9.55,8.75,9.1,280140
2008-01-03 00:00:00+05:30,9.3,9.45,8.8,9.1,331620
2008-01-04 00:00:00+05:30,9.45,9.45,8.95,9.15,256110
2008-01-07 00:00:00+05:30,8.75,9.4,8.75,9.1,174870
2008-01-08 00:00:00+05:30,8.95,9.15,8.6,8.6,74630
2008-01-09 00:00:00+05:30,7.9,9.1,7.9,8.25,95030
2008-01-10 00:00:00+05:30,8.3,8.45,7.9,8.05,129990
2008-01-11 00:00:00+05:30,7.9,8.05,7.45,7.7,156440
2008-01-14 00:00:00+05:30,8.2,8.25,7.95,8.05,31410
2008-01-15 00:00:00+05:30,8.05,8.4,8.05,8.15,56720
2008-01-16 00:00:00+05:30,8.1,8.15,7.7,7.85,228820
2008-01-17 00:00:00+05:30,8.05,8.15,7.9,8.0,52900
2008-01-18 00:00:00+05:30,8.0,8.2,7.1,7.45,85520
2008-01-21 00:00:00+05:30,7.2,7.45,6.6,7.1,146250
2008-01-22 00:00:00+05:30,6.85,6.85,5.8,6.3,31290
2008-01-23 00:00:00+05:30,6.15,7.2,5.8,6.6,81870
2008-01-24 00:00:00+05:30,7.55,7.55,6.0,6.1,115190
2008-01-25 00:00:00+05:30,5.7,6.65,5.7,6.4,40720
2008-01-28 00:00:00+05:30,5.2,6.8,5.2,6.65,42610
2008-01-29 00:00:00+05:30,6.9,6.9,6.1,6.7,65100
2008-01-30 00:00:00+05:30,6.9,6.9,6.2,6.25,73290
2008-01-31 00:00:00+05:30,6.9,6.9,6.3,6.4,30430
2008-02-01 00:00:00+05:30,6.4,6.5,5.8,6.3,116130
2008-02-04 00:00:00+05:30,6.5,6.7,6.25,6.6,58610
2008-02-05 00:00:00+05:30,6.45,6.9,6.45,6.8,44320
2008-02-06 00:00:00+05:30,6.5,6.9,6.15,6.75,46250
2008-02-07 00:00:00+05:30,6.4,6.9,6.4,6.4,45780
2008-02-08 00:00:00+05:30,6.45,6.45,6.15,6.25,31030
2008-02-11 00:00:00+05:30,6.2,6.2,5.65,5.8,25080
2008-02-12 00:00:00+05:30,5.85,5.85,5.8,5.8,19910
2008-02-13 00:00:00+05:30,5.65,6.4,5.6,5.6,35970
2008-02-14 00:00:00+05:30,5.5,6.0,5.5,5.8,131880
2008-02-15 00:00:00+05:30,6.05,6.3,5.8,6.15,18590
2008-02-18 00:00:00+05:30,6.3,6.3,6.0,6.15,31890
2008-02-19 00:00:00+05:30,6.4,6.4,5.9,5.95,61380
2008-02-20 00:00:00+05:30,5.9,5.95,5.6,5.75,72020
2008-02-21 00:00:00+05:30,5.85,5.95,5.75,5.85,14510
2008-02-22 00:00:00+05:30,5.95,6.15,5.85,6.0,41350
2008-02-25 00:00:00+05:30,6.0,6.1,5.9,6.1,59050
2008-02-26 00:00:00+05:30,6.15,6.25,5.9,6.0,24160
2008-02-27 00:00:00+05:30,6.25,6.25,5.9,5.9,35880
2008-02-28 00:00:00+05:30,6.3,6.3,5.95,6.15,23540
2008-02-29 00:00:00+05:30,6.05,6.35,5.9,5.95,32660
2008-03-03 00:00:00+05:30,5.95,6.05,5.7,5.8,66740
2008-03-04 00:00:00+05:30,6.4,6.4,5.55,5.6,27400
2008-03-05 00:00:00+05:30,5.7,6.05,5.35,5.8,60350
2008-03-07 00:00:00+05:30,5.7,5.8,5.15,5.15,92710
2008-03-10 00:00:00+05:30,5.1,5.2,4.7,5.1,85880
2008-03-11 00:00:00+05:30,5.1,5.5,5.05,5.35,37500
2008-03-12 00:00:00+05:30,5.8,5.8,5.0,5.1,18830
2008-03-13 00:00:00+05:30,4.95,4.95,4.6,4.65,61940
2008-03-14 00:00:00+05:30,4.7,5.15,4.7,4.95,17330
2008-03-17 00:00:00+05:30,4.95,5.0,4.5,4.6,302250
2008-03-18 00:00:00+05:30,4.6,4.8,4.6,4.65,261460
2008-03-19 00:00:00+05:30,4.8,5.0,4.8,4.85,58150
2008-03-24 00:00:00+05:30,4.8,4.8,3.9,4.15,188860
2008-03-25 00:00:00+05:30,4.55,4.55,4.25,4.55,51450
2008-03-26 00:00:00+05:30,4.55,4.55,4.2,4.25,61650
2008-03-27 00:00:00+05:30,4.25,4.35,4.2,4.35,90610
2008-03-28 00:00:00+05:30,4.2,4.65,4.1,4.55,63040
2008-03-31 00:00:00+05:30,4.55,4.7,4.4,4.6,56400
2008-04-01 00:00:00+05:30,4.55,4.65,4.45,4.55,16980
2008-04-02 00:00:00+05:30,4.75,5.4,4.6,5.0,37400
2008-04-03 00:00:00+05:30,4.9,5.05,4.75,5.0,10350
2008-04-04 00:00:00+05:30,5.1,5.1,4.65,4.7,22710
2008-04-07 00:00:00+05:30,4.75,4.9,4.55,4.75,16640
2008-04-08 00:00:00+05:30,4.8,5.0,4.8,4.95,18120
2008-04-09 00:00:00+05:30,4.95,5.25,4.8,4.9,54950
2008-04-10 00:00:00+05:30,5.15,5.15,5.0,5.15,15580
2008-04-11 00:00:00+05:30,5.1,5.25,5.0,5.2,22180
2008-04-15 00:00:00+05:30,5.25,5.3,5.15,5.25,11140
2008-04-16 00:00:00+05:30,5.3,5.4,5.2,5.3,39060
2008-04-17 00:00:00+05:30,5.25,5.35,5.0,5.15,52140
2008-04-21 00:00:00+05:30,5.35,6.05,5.15,5.7,64530
2008-04-22 00:00:00+05:30,5.5,5.7,5.25,5.5,27830
2008-04-23 00:00:00+05:30,5.35,5.5,5.35,5.45,28310
2008-04-24 00:00:00+05:30,5.25,5.65,5.25,5.5,10340
2008-04-25 00:00:00+05:30,5.25,5.45,4.8,5.15,22790
2008-04-28 00:00:00+05:30,5.6,5.6,5.15,5.2,29690
2008-04-29 00:00:00+05:30,5.5,5.5,5.05,5.3,12700
2008-04-30 00:00:00+05:30,5.45,5.45,5.15,5.25,9220
2008-05-02 00:00:00+05:30,5.6,5.6,5.2,5.3,16420
2008-05-05 00:00:00+05:30,5.7,5.7,5.2,5.4,20560
2008-05-06 00:00:00+05:30,5.6,5.6,5.15,5.3,15150
2008-05-07 00:00:00+05:30,5.1,5.5,5.1,5.5,32760
2008-05-08 00:00:00+05:30,5.1,5.4,5.1,5.4,5870
2008-05-09 00:00:00+05:30,5.3,5.35,5.05,5.1,22070
2008-05-12 00:00:00+05:30,4.95,5.3,4.95,5.15,21550
2008-05-13 00:00:00+05:30,5.45,5.45,5.15,5.15,5790
2008-05-14 00:00:00+05:30,5.25,5.25,5.0,5.0,7660
2008-05-15 00:00:00+05:30,5.0,5.45,5.0,5.05,11410
2008-05-16 00:00:00+05:30,5.05,5.15,5.05,5.1,4910
2008-05-20 00:00:00+05:30,5.2,5.35,5.1,5.15,16900
2008-05-21 00:00:00+05:30,5.5,5.5,5.1,5.3,18630
2008-05-22 00:00:00+05:30,5.35,5.35,5.1,5.1,11540
2008-05-23 00:00:00+05:30,5.0,5.15,4.95,5.0,29610
2008-05-26 00:00:00+05:30,5.15,5.15,4.95,5.1,30350
2008-05-27 00:00:00+05:30,5.1,5.1,4.85,4.95,23770
2008-05-28 00:00:00+05:30,4.9,5.1,4.9,5.05,14430
2008-05-29 00:00:00+05:30,5.1,5.1,4.95,5.0,14670
2008-05-30 00:00:00+05:30,4.9,5.1,4.75,4.8,36580
2008-06-02 00:00:00+05:30,5.1,5.15,4.9,4.9,18830
2008-06-03 00:00:00+05:30,4.9,4.9,4.6,4.65,23160
2008-06-04 00:00:00+05:30,4.7,4.8,4.6,4.7,23540
2008-06-05 00:00:00+05:30,4.55,4.75,4.45,4.65,39980
2008-06-06 00:00:00+05:30,4.6,4.75,4.6,4.6,24410
2008-06-09 00:00:00+05:30,4.0,4.6,3.95,4.4,20900
2008-06-10 00:00:00+05:30,4.4,4.65,4.4,4.6,39940
2008-06-11 00:00:00+05:30,4.05,5.05,4.05,5.0,17060
2008-06-12 00:00:00+05:30,4.9,5.0,4.7,4.75,24430
2008-06-13 00:00:00+05:30,4.5,4.8,4.5,4.8,16020
2008-06-16 00:00:00+05:30,4.4,5.0,4.4,4.85,15340
2008-06-17 00:00:00+05:30,4.65,4.95,4.65,4.75,21680
2008-06-18 00:00:00+05:30,5.25,5.25,4.7,4.75,11100
2008-06-19 00:00:00+05:30,4.8,4.8,4.65,4.65,7150
2008-06-20 00:00:00+05:30,4.4,4.75,4.4,4.5,38630
2008-06-23 00:00:00+05:30,4.7,4.7,4.2,4.45,14530
2008-06-24 00:00:00+05:30,4.35,4.55,4.2,4.25,66780
2008-06-26 00:00:00+05:30,4.05,4.2,4.05,4.15,4590
