date,open,high,low,close,volume
2016-04-01 00:00:00+05:30,47.35,47.5,45.0,45.4,1696605
2016-04-04 00:00:00+05:30,43.3,45.5,43.3,44.0,346131
2016-04-05 00:00:00+05:30,45.0,45.0,42.0,42.0,38118
2016-04-06 00:00:00+05:30,40.15,41.9,39.9,40.2,76286
2016-04-07 00:00:00+05:30,40.0,42.2,40.0,42.2,133566
2016-04-08 00:00:00+05:30,42.5,44.2,41.65,44.2,87581
2016-04-11 00:00:00+05:30,42.5,45.9,42.5,44.9,24740
2016-04-12 00:00:00+05:30,43.0,45.0,43.0,44.0,24492
2016-04-13 00:00:00+05:30,45.9,45.9,44.1,44.4,58446
2016-04-18 00:00:00+05:30,45.5,45.5,42.8,45.0,27491
2016-04-20 00:00:00+05:30,45.5,45.5,44.5,44.65,112733
2016-04-21 00:00:00+05:30,45.7,45.7,43.9,44.1,29325
2016-04-22 00:00:00+05:30,44.0,44.3,43.2,43.6,12041
2016-04-25 00:00:00+05:30,43.2,43.5,42.0,42.4,15199
2016-04-26 00:00:00+05:30,43.0,43.0,40.7,42.0,10569
2016-04-27 00:00:00+05:30,42.7,42.7,41.0,41.7,9226
2016-04-28 00:00:00+05:30,41.4,41.65,39.5,40.0,32473
2016-04-29 00:00:00+05:30,41.5,41.5,39.9,41.1,13407
2016-05-02 00:00:00+05:30,40.1,42.25,40.1,42.25,14705
2016-05-03 00:00:00+05:30,42.4,42.4,40.15,41.0,6249
2016-05-04 00:00:00+05:30,41.0,41.0,40.3,40.7,8900
2016-05-05 00:00:00+05:30,40.1,41.25,40.1,40.6,3345
2016-05-06 00:00:00+05:30,40.2,41.0,40.1,40.5,6914
2016-05-09 00:00:00+05:30,41.6,42.0,40.25,40.3,1624
2016-05-10 00:00:00+05:30,40.95,46.5,40.35,44.3,85095
2016-05-11 00:00:00+05:30,44.5,47.0,43.9,45.4,365611
2016-05-12 00:00:00+05:30,45.9,45.9,44.0,44.6,27298
2016-05-13 00:00:00+05:30,44.1,45.0,43.55,43.75,124580
2016-05-16 00:00:00+05:30,44.25,44.5,43.1,43.1,15802
2016-05-17 00:00:00+05:30,43.85,44.0,43.0,43.2,5201
2016-05-18 00:00:00+05:30,42.6,43.0,42.4,42.4,4880
2016-05-19 00:00:00+05:30,43.5,43.5,41.55,41.55,7637
2016-05-20 00:00:00+05:30,42.25,42.25,39.35,40.8,23533
2016-05-23 00:00:00+05:30,42.1,42.1,40.1,40.5,7279
2016-05-24 00:00:00+05:30,41.75,41.75,40.05,40.1,700
2016-05-25 00:00:00+05:30,41.4,42.0,40.1,40.6,4795
2016-05-26 00:00:00+05:30,40.65,42.15,40.6,40.9,15250
2016-05-27 00:00:00+05:30,42.0,42.9,41.5,42.9,6605
2016-05-30 00:00:00+05:30,43.0,43.5,40.05,41.75,10816
2016-05-31 00:00:00+05:30,40.6,41.0,38.0,40.0,12719
2016-06-01 00:00:00+05:30,40.7,41.0,40.35,40.35,1850
2016-06-02 00:00:00+05:30,41.0,43.0,40.1,41.95,40619
2016-06-03 00:00:00+05:30,41.5,42.3,40.55,41.7,36654
2016-06-06 00:00:00+05:30,41.0,44.0,40.2,41.6,48967
2016-06-07 00:00:00+05:30,42.0,43.3,41.5,43.3,26166
2016-06-08 00:00:00+05:30,43.0,45.9,43.0,43.8,84226
2016-06-09 00:00:00+05:30,46.45,46.45,44.15,44.55,314837
2016-06-10 00:00:00+05:30,45.6,45.65,44.15,44.85,15167
2016-06-13 00:00:00+05:30,44.0,44.0,43.1,44.0,11424
2016-06-14 00:00:00+05:30,44.0,44.2,43.25,43.5,15851
2016-06-15 00:00:00+05:30,44.0,45.5,43.5,43.5,127518
2016-06-16 00:00:00+05:30,44.05,45.5,43.45,43.65,126360
2016-06-17 00:00:00+05:30,44.5,44.8,43.2,43.7,6437
2016-06-20 00:00:00+05:30,43.25,44.0,42.55,42.55,10293
2016-06-21 00:00:00+05:30,43.2,43.2,42.0,42.1,5690
2016-06-22 00:00:00+05:30,42.0,43.3,41.25,41.25,10601
2016-06-23 00:00:00+05:30,41.65,43.0,41.5,41.5,46760
2016-06-24 00:00:00+05:30,41.05,42.35,40.0,41.0,8140
2016-06-27 00:00:00+05:30,41.95,43.0,41.4,42.0,44619
2016-06-28 00:00:00+05:30,42.5,43.75,42.5,42.8,38026
2016-06-29 00:00:00+05:30,43.35,43.7,42.85,43.0,11376
2016-06-30 00:00:00+05:30,43.85,44.85,43.7,44.45,22148
2016-07-01 00:00:00+05:30,44.95,45.9,44.45,44.6,24207
2016-07-04 00:00:00+05:30,45.0,45.1,44.2,44.8,13206
2016-07-05 00:00:00+05:30,44.4,44.5,43.8,43.8,4111
2016-07-07 00:00:00+05:30,43.7,44.9,43.6,43.6,5860
2016-07-08 00:00:00+05:30,44.5,44.5,43.5,43.55,2790
2016-07-11 00:00:00+05:30,44.95,44.95,43.45,43.45,2322
2016-07-12 00:00:00+05:30,44.1,44.2,43.6,43.95,1853
2016-07-13 00:00:00+05:30,44.0,46.0,43.1,44.0,57395
2016-07-14 00:00:00+05:30,44.05,44.5,43.2,44.0,3248
2016-07-15 00:00:00+05:30,44.45,44.55,43.75,43.8,2376
2016-07-18 00:00:00+05:30,43.0,44.75,43.0,43.1,2415
2016-07-19 00:00:00+05:30,43.05,43.25,42.5,42.5,1520
2016-07-20 00:00:00+05:30,42.6,43.5,42.6,43.0,288
2016-07-21 00:00:00+05:30,43.0,43.5,42.5,43.0,3730
2016-07-22 00:00:00+05:30,43.4,43.4,42.5,42.7,1642
2016-07-25 00:00:00+05:30,43.9,44.15,42.5,43.1,7440
2016-07-26 00:00:00+05:30,43.5,44.45,43.5,44.0,3373
2016-07-27 00:00:00+05:30,43.05,43.6,42.55,42.55,4452
2016-07-28 00:00:00+05:30,44.0,45.4,44.0,44.75,10500
2016-07-29 00:00:00+05:30,44.8,44.8,43.1,43.15,1593
2016-08-01 00:00:00+05:30,44.2,44.75,43.5,44.0,6071
2016-08-02 00:00:00+05:30,43.7,44.0,43.05,43.05,8468
2016-08-03 00:00:00+05:30,43.0,45.5,42.1,44.75,11433
2016-08-04 00:00:00+05:30,43.55,43.55,42.55,42.65,7090
