date,open,high,low,close,volume
2018-08-30 00:00:00+05:30,12.5,13.12,12.5,13.12,150
2018-08-31 00:00:00+05:30,13.77,13.77,13.77,13.77,100
2018-09-03 00:00:00+05:30,14.45,14.45,14.45,14.45,700
2018-09-04 00:00:00+05:30,15.17,15.17,15.17,15.17,220
2018-09-05 00:00:00+05:30,15.92,15.92,15.92,15.92,20
2018-09-07 00:00:00+05:30,16.71,16.71,16.71,16.71,50
2018-09-10 00:00:00+05:30,17.54,17.54,17.54,17.54,10
2018-09-11 00:00:00+05:30,18.41,18.41,18.41,18.41,450
2018-09-12 00:00:00+05:30,19.33,19.33,19.33,19.33,150
2018-09-14 00:00:00+05:30,20.29,20.29,20.29,20.29,90
2018-09-17 00:00:00+05:30,21.3,21.3,21.3,21.3,5
2018-09-18 00:00:00+05:30,22.36,22.36,22.36,22.36,5
2018-09-19 00:00:00+05:30,23.47,23.47,23.47,23.47,5
2018-09-21 00:00:00+05:30,24.64,24.64,24.64,24.64,650
2018-09-24 00:00:00+05:30,25.13,25.13,25.13,25.13,52
2018-09-26 00:00:00+05:30,25.63,25.63,25.63,25.63,102
2018-09-27 00:00:00+05:30,26.14,26.14,26.14,26.14,100
2018-09-28 00:00:00+05:30,26.66,26.66,26.66,26.66,100
2018-10-01 00:00:00+05:30,27.15,27.15,27.15,27.15,150
2018-10-03 00:00:00+05:30,27.65,27.65,27.65,27.65,1020
2018-10-04 00:00:00+05:30,28.2,28.2,28.2,28.2,1988
2018-10-05 00:00:00+05:30,28.75,28.75,27.65,27.65,2707
2018-10-08 00:00:00+05:30,27.1,28.2,27.1,27.1,1190
2018-10-09 00:00:00+05:30,26.6,27.1,26.6,26.6,580
2018-10-10 00:00:00+05:30,26.1,26.1,26.1,26.1,1005
2018-10-11 00:00:00+05:30,25.6,25.6,25.6,25.6,200
2018-10-12 00:00:00+05:30,25.1,25.1,25.1,25.1,100
2018-10-15 00:00:00+05:30,24.6,24.7,24.6,24.6,1210
2018-10-16 00:00:00+05:30,24.15,25.05,24.15,25.05,651
2018-10-17 00:00:00+05:30,24.55,25.05,24.55,25.05,435
2018-10-19 00:00:00+05:30,25.55,25.55,24.55,24.55,260
2018-10-23 00:00:00+05:30,24.1,24.95,24.1,24.95,800
2018-10-24 00:00:00+05:30,24.8,24.8,24.8,24.8,10
2018-11-02 00:00:00+05:30,24.35,24.35,24.35,24.35,12
2018-11-05 00:00:00+05:30,24.8,24.8,24.8,24.8,15
2018-11-06 00:00:00+05:30,24.35,24.35,24.35,24.35,50
2018-11-07 00:00:00+05:30,23.9,23.9,23.9,23.9,10
2018-11-09 00:00:00+05:30,23.45,23.45,23.45,23.45,154
2018-11-12 00:00:00+05:30,23.85,23.85,23.85,23.85,20
2018-11-13 00:00:00+05:30,23.4,23.4,23.4,23.4,800
2018-11-14 00:00:00+05:30,23.85,23.85,23.85,23.85,265
2018-11-15 00:00:00+05:30,24.3,24.3,24.3,24.3,6300
2018-11-16 00:00:00+05:30,24.75,24.75,24.75,24.75,2400
2018-11-19 00:00:00+05:30,25.2,25.2,25.2,25.2,6500
2018-11-20 00:00:00+05:30,25.65,25.65,25.15,25.65,2415
2018-11-21 00:00:00+05:30,24.75,25.7,24.75,24.75,176
2018-11-22 00:00:00+05:30,24.4,25.2,24.4,25.2,1602
2018-11-26 00:00:00+05:30,24.7,25.6,24.7,25.6,780
2018-11-27 00:00:00+05:30,26.1,26.1,25.15,25.15,945
2018-11-28 00:00:00+05:30,25.65,25.65,24.65,24.65,500
2018-11-29 00:00:00+05:30,25.1,25.1,24.3,24.3,206
2018-11-30 00:00:00+05:30,24.75,24.75,23.85,23.85,811
2018-12-03 00:00:00+05:30,24.2,24.2,24.2,24.2,587
2018-12-04 00:00:00+05:30,23.75,23.8,23.75,23.75,185
2018-12-06 00:00:00+05:30,23.5,23.75,23.3,23.3,572
2018-12-07 00:00:00+05:30,23.3,23.3,23.3,23.3,15
2018-12-10 00:00:00+05:30,24.45,24.45,22.2,22.2,90
2018-12-11 00:00:00+05:30,21.3,21.3,21.3,21.3,125
2018-12-13 00:00:00+05:30,21.55,21.55,21.55,21.55,1
