date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,34.1,34.15,33.0,34.15,75873
2008-01-02 00:00:00+05:30,35.79,35.85,32.45,35.1,188698
2008-01-03 00:00:00+05:30,35.0,35.0,33.35,33.35,86314
2008-01-04 00:00:00+05:30,33.0,33.9,31.7,31.8,118913
2008-01-07 00:00:00+05:30,31.8,31.8,30.25,30.85,62505
2008-01-08 00:00:00+05:30,29.35,31.8,29.35,29.35,51457
2008-01-09 00:00:00+05:30,27.9,28.75,27.9,28.1,35876
2008-01-10 00:00:00+05:30,27.9,28.5,26.7,26.8,42820
2008-01-11 00:00:00+05:30,27.5,27.5,25.5,26.6,32645
2008-01-14 00:00:00+05:30,27.5,27.5,25.3,27.25,16873
2008-01-15 00:00:00+05:30,28.6,28.6,27.25,27.75,35731
2008-01-16 00:00:00+05:30,27.95,28.5,26.4,27.25,49896
2008-01-17 00:00:00+05:30,27.05,28.6,26.35,28.6,41763
2008-01-18 00:00:00+05:30,30.0,30.0,27.2,27.25,41191
2008-01-21 00:00:00+05:30,26.05,27.9,25.9,25.9,11591
2008-01-22 00:00:00+05:30,24.95,24.95,24.65,24.65,250
2008-01-23 00:00:00+05:30,23.45,24.9,23.45,23.7,16805
2008-01-24 00:00:00+05:30,22.6,24.7,22.55,22.55,14158
2008-01-25 00:00:00+05:30,21.45,22.65,21.45,21.8,26940
2008-01-28 00:00:00+05:30,21.15,22.0,21.0,21.8,13588
2008-01-29 00:00:00+05:30,22.75,22.85,22.0,22.85,14719
2008-01-30 00:00:00+05:30,23.05,23.05,21.8,22.25,9527
2008-01-31 00:00:00+05:30,22.0,23.35,22.0,22.6,15464
2008-02-01 00:00:00+05:30,23.35,23.45,21.55,22.25,13203
2008-02-04 00:00:00+05:30,23.25,23.35,23.25,23.35,15312
2008-02-05 00:00:00+05:30,24.4,24.5,23.7,24.5,16143
2008-02-06 00:00:00+05:30,23.3,24.75,23.3,24.15,21417
2008-02-07 00:00:00+05:30,24.0,24.5,22.95,22.95,33904
2008-02-08 00:00:00+05:30,24.0,24.0,21.85,22.4,14695
2008-02-11 00:00:00+05:30,22.0,22.25,21.3,21.4,13163
2008-02-12 00:00:00+05:30,21.25,21.5,20.35,20.5,13441
2008-02-13 00:00:00+05:30,20.2,21.0,19.5,20.05,13122
2008-02-14 00:00:00+05:30,19.1,21.05,19.05,21.0,10345
2008-02-15 00:00:00+05:30,20.2,22.05,20.2,21.9,7112
2008-02-18 00:00:00+05:30,22.05,22.7,22.05,22.3,9727
2008-02-19 00:00:00+05:30,21.9,23.4,21.9,22.25,3918
2008-02-20 00:00:00+05:30,23.0,23.35,22.6,22.7,13230
2008-02-21 00:00:00+05:30,22.25,22.9,21.7,21.85,6584
2008-02-22 00:00:00+05:30,22.0,22.35,21.0,21.35,7784
2008-02-25 00:00:00+05:30,22.15,22.15,20.55,21.2,5770
2008-02-26 00:00:00+05:30,21.8,22.0,20.6,21.8,5910
2008-02-27 00:00:00+05:30,21.95,22.0,21.45,21.8,7517
2008-02-28 00:00:00+05:30,21.4,21.7,21.05,21.35,7516
