date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,92.35,96.0,92.3,93.9,47407
2008-01-02 00:00:00+05:30,97.9,103.25,95.0,103.25,121532
2008-01-03 00:00:00+05:30,108.0,113.2,106.0,109.15,100867
2008-01-04 00:00:00+05:30,112.95,120.05,109.0,120.05,169618
2008-01-07 00:00:00+05:30,119.9,124.8,114.05,123.65,109707
2008-01-08 00:00:00+05:30,123.85,123.85,117.5,117.5,36467
2008-01-09 00:00:00+05:30,111.65,123.35,111.65,122.8,140750
2008-01-10 00:00:00+05:30,122.8,122.8,116.7,116.7,16504
2008-01-11 00:00:00+05:30,111.0,111.0,110.9,110.9,2246
2008-01-14 00:00:00+05:30,105.5,107.85,105.4,105.4,4092
2008-01-15 00:00:00+05:30,100.15,102.0,100.15,100.15,48845
2008-01-16 00:00:00+05:30,95.15,102.0,95.15,101.35,1995
2008-01-17 00:00:00+05:30,97.0,101.0,96.3,100.0,6025
2008-01-18 00:00:00+05:30,95.35,100.0,95.05,95.05,2291
2008-01-21 00:00:00+05:30,90.3,90.3,90.3,90.3,969
2008-01-23 00:00:00+05:30,88.0,88.0,85.8,85.8,1270
2008-01-24 00:00:00+05:30,81.55,81.55,81.55,81.55,902
2008-01-25 00:00:00+05:30,77.5,77.9,77.5,77.9,2770
2008-01-28 00:00:00+05:30,74.05,74.05,74.05,74.05,1143
2008-01-29 00:00:00+05:30,70.34,73.75,70.34,70.34,6858
2008-01-30 00:00:00+05:30,66.84,68.2,66.84,68.2,4166
2008-01-31 00:00:00+05:30,65.0,67.0,64.8,64.8,1386
2008-02-01 00:00:00+05:30,64.8,68.0,61.7,68.0,3276
2008-02-04 00:00:00+05:30,71.4,71.4,67.5,70.0,2481
2008-02-05 00:00:00+05:30,73.5,73.5,72.0,73.5,1538
2008-02-06 00:00:00+05:30,70.0,76.84,70.0,72.05,1476
2008-02-07 00:00:00+05:30,72.65,75.65,70.0,71.34,1262
2008-02-08 00:00:00+05:30,67.8,70.0,67.8,67.8,1949
2008-02-11 00:00:00+05:30,67.8,67.8,66.75,66.75,125
2008-02-12 00:00:00+05:30,63.45,65.5,63.45,65.5,40150
2008-02-13 00:00:00+05:30,62.25,62.3,62.25,62.25,2461
2008-02-14 00:00:00+05:30,63.0,63.0,59.15,60.6,1636
2008-02-15 00:00:00+05:30,59.25,63.6,59.25,62.65,1510
2008-02-18 00:00:00+05:30,59.8,65.75,59.8,62.55,1993
2008-02-19 00:00:00+05:30,62.4,65.4,61.05,64.75,1338
2008-02-20 00:00:00+05:30,61.9,63.9,61.55,61.95,1848
2008-02-21 00:00:00+05:30,59.0,62.35,59.0,60.55,805
2008-02-22 00:00:00+05:30,58.0,62.95,58.0,59.2,342
2008-02-25 00:00:00+05:30,60.05,61.8,56.25,61.0,1571
2008-02-26 00:00:00+05:30,60.95,61.7,58.25,60.15,2005
2008-02-27 00:00:00+05:30,58.95,62.3,57.15,57.4,1002
