date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,3.96,3.96,3.96,3.96,724609
2008-01-02 00:00:00+05:30,4.16,4.16,4.16,4.16,1565982
2008-01-03 00:00:00+05:30,4.37,4.37,4.37,4.37,1418692
2008-01-04 00:00:00+05:30,4.58,4.58,4.58,4.58,1237251
2008-01-07 00:00:00+05:30,4.81,4.81,4.8,4.81,2082609
2008-01-08 00:00:00+05:30,5.04,5.04,4.57,4.57,6784775
2008-01-09 00:00:00+05:30,4.34,4.34,4.34,4.34,788330
2008-01-10 00:00:00+05:30,4.13,4.13,4.13,4.13,344736
2008-01-11 00:00:00+05:30,3.92,3.92,3.92,3.92,156869
2008-01-14 00:00:00+05:30,3.73,3.73,3.73,3.73,174611
2008-01-15 00:00:00+05:30,3.54,3.54,3.54,3.54,270193
2008-01-16 00:00:00+05:30,3.37,3.37,3.37,3.37,116913
2008-01-17 00:00:00+05:30,3.2,3.54,3.2,3.3,5470760
2008-01-18 00:00:00+05:30,3.13,3.13,3.13,3.13,1075089
2008-01-21 00:00:00+05:30,2.98,2.98,2.98,2.98,163767
2008-01-22 00:00:00+05:30,2.83,2.83,2.83,2.83,36896
2008-01-23 00:00:00+05:30,2.69,2.69,2.69,2.69,135162
2008-01-24 00:00:00+05:30,2.56,2.56,2.56,2.56,508606
2008-01-25 00:00:00+05:30,2.44,2.44,2.44,2.44,566102
2008-01-28 00:00:00+05:30,2.32,2.32,2.32,2.32,234519
2008-01-29 00:00:00+05:30,2.2,2.2,2.2,2.2,185200
2008-01-30 00:00:00+05:30,2.1,2.1,2.1,2.1,164370
2008-01-31 00:00:00+05:30,1.99,1.99,1.99,1.99,315772
2008-02-01 00:00:00+05:30,1.89,1.89,1.89,1.89,241979
2008-02-04 00:00:00+05:30,1.89,1.99,1.8,1.99,2496033
2008-02-05 00:00:00+05:30,2.09,2.09,2.02,2.09,582563
2008-02-06 00:00:00+05:30,2.19,2.19,2.08,2.19,939616
2008-02-07 00:00:00+05:30,2.3,2.3,2.3,2.3,829678
2008-02-08 00:00:00+05:30,2.4,2.4,2.19,2.2,1999070
2008-02-11 00:00:00+05:30,2.2,2.21,2.09,2.09,507091
2008-02-12 00:00:00+05:30,1.99,1.99,1.99,1.99,137899
2008-02-13 00:00:00+05:30,1.89,1.89,1.89,1.89,168743
2008-02-14 00:00:00+05:30,1.8,1.99,1.8,1.89,1336872
2008-02-15 00:00:00+05:30,1.81,1.99,1.8,1.99,902259
2008-02-18 00:00:00+05:30,2.08,2.08,1.9,2.08,681416
2008-02-19 00:00:00+05:30,2.18,2.19,2.02,2.08,723229
2008-02-20 00:00:00+05:30,2.11,2.18,1.98,2.14,716482
2008-02-21 00:00:00+05:30,2.25,2.25,2.06,2.11,706009
2008-02-22 00:00:00+05:30,2.0,2.15,2.0,2.05,434010
2008-02-25 00:00:00+05:30,1.97,2.14,1.95,2.01,529753
2008-02-26 00:00:00+05:30,1.93,2.08,1.92,2.0,448085
2008-02-27 00:00:00+05:30,1.91,2.08,1.91,1.97,559678
2008-02-28 00:00:00+05:30,1.9,2.04,1.89,1.92,595005
2008-02-29 00:00:00+05:30,1.97,1.97,1.83,1.88,402576
2008-03-03 00:00:00+05:30,1.8,1.83,1.8,1.8,388284
2008-03-04 00:00:00+05:30,1.86,1.86,1.71,1.71,244662
2008-03-05 00:00:00+05:30,1.63,1.67,1.63,1.63,221726
2008-03-07 00:00:00+05:30,1.55,1.55,1.55,1.55,212493
2008-03-10 00:00:00+05:30,1.4,1.71,1.4,1.68,800737
2008-03-11 00:00:00+05:30,1.8,1.85,1.57,1.85,532415
2008-03-12 00:00:00+05:30,2.04,2.04,1.93,2.01,1103425
2008-03-13 00:00:00+05:30,1.82,1.97,1.81,1.81,508855
2008-03-14 00:00:00+05:30,1.74,1.93,1.65,1.72,581425
2008-03-17 00:00:00+05:30,1.63,1.63,1.55,1.56,1016205
2008-03-18 00:00:00+05:30,1.63,1.68,1.41,1.45,631459
2008-03-19 00:00:00+05:30,1.59,1.59,1.31,1.37,1366739
2008-03-24 00:00:00+05:30,1.3,1.43,1.3,1.41,638159
2008-03-25 00:00:00+05:30,1.42,1.47,1.34,1.47,576942
2008-03-26 00:00:00+05:30,1.55,1.55,1.51,1.55,536872
2008-03-27 00:00:00+05:30,1.59,1.62,1.55,1.62,481974
2008-03-28 00:00:00+05:30,1.7,1.7,1.7,1.7,126567
2008-03-31 00:00:00+05:30,1.75,1.78,1.69,1.78,757376
2008-04-01 00:00:00+05:30,1.86,1.86,1.83,1.86,631966
2008-04-02 00:00:00+05:30,1.95,1.95,1.87,1.91,1115374
2008-04-03 00:00:00+05:30,1.83,1.99,1.82,1.82,811997
2008-04-04 00:00:00+05:30,1.72,1.85,1.72,1.75,802201
2008-04-07 00:00:00+05:30,1.76,1.78,1.68,1.74,375807
2008-04-08 00:00:00+05:30,1.78,1.78,1.68,1.72,380357
2008-04-09 00:00:00+05:30,1.68,1.78,1.66,1.72,380489
2008-04-10 00:00:00+05:30,1.72,1.77,1.72,1.74,584637
2008-04-11 00:00:00+05:30,1.8,1.8,1.7,1.72,609148
2008-04-15 00:00:00+05:30,1.75,1.76,1.68,1.72,646268
2008-04-16 00:00:00+05:30,1.68,1.78,1.68,1.68,553650
2008-04-17 00:00:00+05:30,1.75,1.75,1.68,1.71,654441
2008-04-21 00:00:00+05:30,1.72,1.74,1.68,1.69,729948
2008-04-22 00:00:00+05:30,1.75,1.77,1.67,1.7,531303
2008-04-23 00:00:00+05:30,1.72,1.72,1.65,1.68,689510
2008-04-24 00:00:00+05:30,1.7,1.77,1.63,1.73,753017
2008-04-25 00:00:00+05:30,1.78,1.78,1.7,1.73,449191
2008-04-28 00:00:00+05:30,1.78,1.82,1.67,1.68,834444
2008-04-29 00:00:00+05:30,1.74,1.74,1.65,1.68,420085
2008-04-30 00:00:00+05:30,1.74,1.74,1.65,1.67,516128
2008-05-02 00:00:00+05:30,1.72,1.72,1.67,1.69,495575
2008-05-05 00:00:00+05:30,1.7,1.71,1.66,1.69,416575
2008-05-06 00:00:00+05:30,1.65,1.7,1.63,1.65,372842
2008-05-07 00:00:00+05:30,1.62,1.68,1.62,1.65,317741
2008-05-08 00:00:00+05:30,1.62,1.67,1.62,1.63,310838
2008-05-09 00:00:00+05:30,1.59,1.68,1.53,1.57,401324
2008-05-12 00:00:00+05:30,1.55,1.7,1.42,1.66,491521
2008-05-13 00:00:00+05:30,1.72,1.72,1.59,1.59,311215
2008-05-14 00:00:00+05:30,1.67,1.68,1.55,1.57,195301
2008-05-15 00:00:00+05:30,1.53,1.65,1.53,1.56,295231
2008-05-16 00:00:00+05:30,1.59,1.61,1.48,1.56,301587
2008-05-20 00:00:00+05:30,1.63,1.63,1.52,1.59,294749
2008-05-21 00:00:00+05:30,1.55,1.74,1.55,1.65,546147
2008-05-22 00:00:00+05:30,1.66,1.68,1.59,1.61,625568
2008-05-23 00:00:00+05:30,1.63,1.67,1.53,1.56,703081
2008-05-26 00:00:00+05:30,1.5,1.59,1.49,1.56,293532
2008-05-27 00:00:00+05:30,1.41,1.62,1.41,1.53,419345
2008-05-28 00:00:00+05:30,1.53,1.63,1.5,1.53,336251
2008-05-29 00:00:00+05:30,1.59,1.63,1.5,1.52,309267
2008-05-30 00:00:00+05:30,1.42,1.55,1.42,1.44,381707
2008-06-02 00:00:00+05:30,1.53,1.55,1.44,1.47,370812
2008-06-03 00:00:00+05:30,1.42,1.5,1.34,1.4,348746
2008-06-04 00:00:00+05:30,1.37,1.46,1.31,1.33,334282
2008-06-05 00:00:00+05:30,1.33,1.35,1.26,1.3,414062
2008-06-06 00:00:00+05:30,1.29,1.42,1.29,1.33,399322
2008-06-09 00:00:00+05:30,1.21,1.29,1.21,1.26,365320
2008-06-10 00:00:00+05:30,1.25,1.31,1.2,1.22,350513
2008-06-11 00:00:00+05:30,1.2,1.27,1.16,1.23,464656
2008-06-12 00:00:00+05:30,1.29,1.29,1.2,1.21,347234
2008-06-13 00:00:00+05:30,1.33,1.33,1.33,1.33,171164
2008-06-16 00:00:00+05:30,1.46,1.46,1.46,1.46,149529
2008-06-17 00:00:00+05:30,1.6,1.6,1.46,1.6,2916788
2008-06-18 00:00:00+05:30,1.68,1.68,1.58,1.66,3915584
2008-06-19 00:00:00+05:30,1.66,1.74,1.62,1.69,1661232
2008-06-20 00:00:00+05:30,1.61,1.75,1.61,1.63,1015290
2008-06-23 00:00:00+05:30,1.56,1.63,1.56,1.56,220090
2008-06-24 00:00:00+05:30,1.48,1.55,1.48,1.48,175060
2008-06-26 00:00:00+05:30,1.34,1.44,1.34,1.35,594598
2008-06-27 00:00:00+05:30,1.29,1.42,1.29,1.39,374922
2008-06-30 00:00:00+05:30,1.32,1.44,1.32,1.32,357588
2008-07-01 00:00:00+05:30,1.25,1.34,1.25,1.26,215221
2008-07-02 00:00:00+05:30,1.29,1.31,1.2,1.29,432432
2008-07-03 00:00:00+05:30,1.28,1.28,1.23,1.23,337389
2008-07-04 00:00:00+05:30,1.23,1.28,1.17,1.17,426103
2008-07-07 00:00:00+05:30,1.22,1.22,1.17,1.22,304627
2008-07-08 00:00:00+05:30,1.17,1.28,1.16,1.28,275560
2008-07-09 00:00:00+05:30,1.33,1.34,1.23,1.33,590795
2008-07-10 00:00:00+05:30,1.34,1.37,1.26,1.31,330256
2008-07-11 00:00:00+05:30,1.35,1.35,1.25,1.28,331740
2008-07-14 00:00:00+05:30,1.34,1.34,1.22,1.28,178046
2008-07-15 00:00:00+05:30,1.22,1.29,1.22,1.25,104340
2008-07-16 00:00:00+05:30,1.29,1.29,1.19,1.23,221903
2008-07-17 00:00:00+05:30,1.18,1.28,1.18,1.24,239081
2008-07-18 00:00:00+05:30,1.28,1.28,1.2,1.25,213042
2008-07-21 00:00:00+05:30,1.2,1.31,1.2,1.25,277508
2008-07-22 00:00:00+05:30,1.25,1.31,1.25,1.3,314027
2008-07-23 00:00:00+05:30,1.37,1.37,1.27,1.34,457460
2008-07-24 00:00:00+05:30,1.39,1.4,1.29,1.34,419622
2008-07-25 00:00:00+05:30,1.29,1.35,1.28,1.32,313364
2008-07-28 00:00:00+05:30,1.26,1.38,1.26,1.37,229094
2008-07-29 00:00:00+05:30,1.38,1.44,1.32,1.36,269632
2008-07-30 00:00:00+05:30,1.42,1.43,1.3,1.35,311439
2008-07-31 00:00:00+05:30,1.31,1.4,1.31,1.32,253385
2008-08-01 00:00:00+05:30,1.29,1.37,1.29,1.31,293704
2008-08-04 00:00:00+05:30,1.29,1.37,1.27,1.33,293313
2008-08-05 00:00:00+05:30,1.37,1.37,1.3,1.33,407908
2008-08-06 00:00:00+05:30,1.37,1.37,1.29,1.31,483252
2008-08-07 00:00:00+05:30,1.35,1.35,1.27,1.3,221172
2008-08-08 00:00:00+05:30,1.29,1.34,1.28,1.31,259664
2008-08-11 00:00:00+05:30,1.29,1.33,1.29,1.29,299267
2008-08-12 00:00:00+05:30,1.31,1.33,1.29,1.3,260023
2008-08-13 00:00:00+05:30,1.3,1.33,1.27,1.29,162390
2008-08-14 00:00:00+05:30,1.29,1.32,1.23,1.23,391253
2008-08-18 00:00:00+05:30,1.29,1.29,1.18,1.25,275472
2008-08-19 00:00:00+05:30,1.25,1.28,1.2,1.25,117418
2008-08-20 00:00:00+05:30,1.29,1.3,1.23,1.27,144069
2008-08-21 00:00:00+05:30,1.23,1.28,1.23,1.24,179230
2008-08-22 00:00:00+05:30,1.22,1.28,1.22,1.23,183157
2008-08-25 00:00:00+05:30,1.25,1.29,1.22,1.29,399981
2008-08-26 00:00:00+05:30,1.25,1.33,1.25,1.26,168441
2008-08-27 00:00:00+05:30,1.25,1.31,1.24,1.25,223478
2008-08-28 00:00:00+05:30,1.22,1.29,1.22,1.24,253869
2008-08-29 00:00:00+05:30,1.29,1.29,1.22,1.25,249121
2008-09-01 00:00:00+05:30,1.28,1.28,1.22,1.24,111928
2008-09-02 00:00:00+05:30,1.22,1.27,1.22,1.22,223776
2008-09-04 00:00:00+05:30,1.2,1.26,1.19,1.22,195275
2008-09-05 00:00:00+05:30,1.19,1.24,1.19,1.22,208060
2008-09-08 00:00:00+05:30,1.21,1.25,1.16,1.19,241283
2008-09-09 00:00:00+05:30,1.18,1.22,1.17,1.18,272553
2008-09-10 00:00:00+05:30,1.17,1.22,1.16,1.19,268022
2008-09-11 00:00:00+05:30,1.19,1.2,1.12,1.13,264968
2008-09-12 00:00:00+05:30,1.13,1.16,1.09,1.11,364959
2008-09-15 00:00:00+05:30,1.07,1.12,1.01,1.02,550064
2008-09-16 00:00:00+05:30,0.95,1.09,0.95,1.07,229897
2008-09-17 00:00:00+05:30,1.12,1.12,1.01,1.04,267810
2008-09-18 00:00:00+05:30,0.97,1.07,0.95,0.99,251225
2008-09-19 00:00:00+05:30,1.04,1.09,0.97,0.98,250706
2008-09-22 00:00:00+05:30,0.95,1.04,0.93,0.98,118388
2008-09-23 00:00:00+05:30,0.98,0.98,0.95,0.97,101904
2008-09-24 00:00:00+05:30,0.97,1.03,0.95,0.97,150278
2008-09-25 00:00:00+05:30,0.93,0.98,0.93,0.95,330358
2008-09-26 00:00:00+05:30,0.95,0.95,0.89,0.9,269320
2008-09-29 00:00:00+05:30,0.88,0.89,0.82,0.85,598235
2008-09-30 00:00:00+05:30,0.81,0.87,0.77,0.85,445276
2008-10-01 00:00:00+05:30,0.79,0.92,0.79,0.89,285873
2008-10-03 00:00:00+05:30,0.86,0.94,0.86,0.91,130237
2008-10-06 00:00:00+05:30,0.86,0.92,0.82,0.82,484090
2008-10-07 00:00:00+05:30,0.79,0.86,0.75,0.83,194449
2008-10-08 00:00:00+05:30,0.77,0.81,0.75,0.78,580829
2008-10-10 00:00:00+05:30,0.7,0.81,0.7,0.71,525701
2008-10-13 00:00:00+05:30,0.65,0.75,0.64,0.69,415286
2008-10-14 00:00:00+05:30,0.73,0.76,0.73,0.76,231496
2008-10-15 00:00:00+05:30,0.8,0.83,0.73,0.79,391591
2008-10-16 00:00:00+05:30,0.79,0.79,0.72,0.73,379226
2008-10-17 00:00:00+05:30,0.7,0.79,0.67,0.71,488409
2008-10-20 00:00:00+05:30,0.77,0.77,0.67,0.69,309342
2008-10-21 00:00:00+05:30,0.74,0.74,0.67,0.69,218900
2008-10-22 00:00:00+05:30,0.73,0.73,0.64,0.66,337587
2008-10-23 00:00:00+05:30,0.62,0.68,0.62,0.64,439511
2008-10-24 00:00:00+05:30,0.62,0.71,0.58,0.59,508867
2008-10-27 00:00:00+05:30,0.62,0.62,0.53,0.56,324637
2008-10-28 00:00:00+05:30,0.57,0.61,0.57,0.61,87388
2008-10-29 00:00:00+05:30,0.62,0.67,0.6,0.61,199006
2008-10-31 00:00:00+05:30,0.66,0.67,0.61,0.66,260616
2008-11-03 00:00:00+05:30,0.72,0.72,0.65,0.72,385682
2008-11-04 00:00:00+05:30,0.74,0.79,0.74,0.79,173168
2008-11-05 00:00:00+05:30,0.83,0.83,0.83,0.83,462166
2008-11-06 00:00:00+05:30,0.83,0.86,0.79,0.84,526685
2008-11-07 00:00:00+05:30,0.84,0.88,0.81,0.87,490762
2008-11-10 00:00:00+05:30,0.89,0.91,0.84,0.89,384148
2008-11-11 00:00:00+05:30,0.86,0.92,0.86,0.87,313277
2008-11-12 00:00:00+05:30,0.87,0.89,0.83,0.86,158345
2008-11-17 00:00:00+05:30,0.86,0.86,0.83,0.83,65534
2008-11-18 00:00:00+05:30,0.79,0.81,0.79,0.79,150343
2008-11-19 00:00:00+05:30,0.82,0.82,0.75,0.75,84083
2008-11-20 00:00:00+05:30,0.72,0.72,0.72,0.72,41604
2008-11-21 00:00:00+05:30,0.7,0.75,0.68,0.73,179249
2008-11-24 00:00:00+05:30,0.75,0.75,0.7,0.7,113662
2008-11-25 00:00:00+05:30,0.7,0.73,0.66,0.68,160209
2008-11-26 00:00:00+05:30,0.69,0.71,0.65,0.7,198587
2008-11-28 00:00:00+05:30,0.69,0.74,0.67,0.67,104885
2008-12-01 00:00:00+05:30,0.65,0.7,0.64,0.64,189329
2008-12-02 00:00:00+05:30,0.62,0.67,0.62,0.67,134878
2008-12-03 00:00:00+05:30,0.7,0.7,0.67,0.69,113613
2008-12-04 00:00:00+05:30,0.66,0.72,0.66,0.72,84642
2008-12-05 00:00:00+05:30,0.72,0.76,0.69,0.72,136900
2008-12-08 00:00:00+05:30,0.75,0.75,0.7,0.7,83262
2008-12-10 00:00:00+05:30,0.69,0.73,0.66,0.7,254493
2008-12-11 00:00:00+05:30,0.69,0.73,0.69,0.73,114118
2008-12-12 00:00:00+05:30,0.75,0.75,0.7,0.7,131201
2008-12-15 00:00:00+05:30,0.69,0.74,0.69,0.73,259434
2008-12-16 00:00:00+05:30,0.76,0.76,0.73,0.76,221363
2008-12-17 00:00:00+05:30,0.74,0.79,0.73,0.76,118938
2008-12-18 00:00:00+05:30,0.73,0.79,0.73,0.74,102911
2008-12-19 00:00:00+05:30,0.77,0.77,0.73,0.77,129795
2008-12-22 00:00:00+05:30,0.77,0.77,0.73,0.74,161573
2008-12-23 00:00:00+05:30,0.73,0.76,0.71,0.74,162562
2008-12-24 00:00:00+05:30,0.72,0.75,0.71,0.72,103863
2008-12-26 00:00:00+05:30,0.72,0.74,0.68,0.71,122215
2008-12-29 00:00:00+05:30,0.69,0.73,0.67,0.72,138420
2008-12-30 00:00:00+05:30,0.69,0.76,0.69,0.73,111229
2008-12-31 00:00:00+05:30,0.7,0.75,0.7,0.72,143175
2009-01-01 00:00:00+05:30,0.75,0.76,0.71,0.74,214872
2009-01-02 00:00:00+05:30,0.77,0.78,0.73,0.77,205011
2009-01-05 00:00:00+05:30,0.75,0.81,0.75,0.78,184912
2009-01-06 00:00:00+05:30,0.81,0.81,0.74,0.78,298322
2009-01-07 00:00:00+05:30,0.75,0.79,0.74,0.74,78793
2009-01-09 00:00:00+05:30,0.71,0.75,0.7,0.72,201678
2009-01-12 00:00:00+05:30,0.69,0.73,0.69,0.69,172295
2009-01-13 00:00:00+05:30,0.67,0.72,0.67,0.67,160723
2009-01-14 00:00:00+05:30,0.65,0.7,0.64,0.67,167959
2009-01-15 00:00:00+05:30,0.68,0.68,0.64,0.67,173819
2009-01-16 00:00:00+05:30,0.68,0.7,0.64,0.66,127132
2009-01-19 00:00:00+05:30,0.64,0.68,0.64,0.67,134750
2009-01-20 00:00:00+05:30,0.68,0.68,0.65,0.65,109649
2009-01-21 00:00:00+05:30,0.64,0.67,0.62,0.63,132422
2009-01-22 00:00:00+05:30,0.61,0.66,0.6,0.63,74159
2009-01-23 00:00:00+05:30,0.61,0.64,0.6,0.61,140454
2009-01-27 00:00:00+05:30,0.62,0.64,0.58,0.62,126674
2009-01-28 00:00:00+05:30,0.63,0.64,0.59,0.62,93576
2009-01-29 00:00:00+05:30,0.6,0.65,0.59,0.63,170722
2009-01-30 00:00:00+05:30,0.64,0.66,0.61,0.62,133186
2009-02-02 00:00:00+05:30,0.6,0.64,0.6,0.61,121682
2009-02-03 00:00:00+05:30,0.58,0.64,0.58,0.63,102209
2009-02-04 00:00:00+05:30,0.63,0.64,0.61,0.62,135257
2009-02-05 00:00:00+05:30,0.6,0.65,0.6,0.65,205281
2009-02-06 00:00:00+05:30,0.68,0.68,0.65,0.67,252703
2009-02-09 00:00:00+05:30,0.7,0.7,0.7,0.7,104594
2009-02-10 00:00:00+05:30,0.7,0.73,0.7,0.73,200174
2009-02-11 00:00:00+05:30,0.76,0.76,0.73,0.76,219610
2009-02-12 00:00:00+05:30,0.79,0.8,0.79,0.8,175272
2009-02-13 00:00:00+05:30,0.84,0.84,0.82,0.84,256783
2009-02-17 00:00:00+05:30,0.84,0.84,0.83,0.83,94403
2009-02-18 00:00:00+05:30,0.79,0.87,0.79,0.8,199153
2009-02-19 00:00:00+05:30,0.79,0.84,0.77,0.81,128108
2009-02-20 00:00:00+05:30,0.78,0.82,0.77,0.78,116678
2009-02-24 00:00:00+05:30,0.75,0.81,0.74,0.77,84809
2009-02-25 00:00:00+05:30,0.79,0.8,0.73,0.73,95711
2009-02-26 00:00:00+05:30,0.7,0.75,0.7,0.72,77629
2009-02-27 00:00:00+05:30,0.7,0.76,0.69,0.71,138069
2009-03-02 00:00:00+05:30,0.73,0.74,0.69,0.73,109717
2009-03-03 00:00:00+05:30,0.74,0.74,0.69,0.7,102581
2009-03-04 00:00:00+05:30,0.7,0.73,0.66,0.71,93614
2009-03-05 00:00:00+05:30,0.72,0.73,0.67,0.67,74241
2009-03-06 00:00:00+05:30,0.68,0.7,0.64,0.67,138346
2009-03-09 00:00:00+05:30,0.69,0.69,0.64,0.65,109670
2009-03-12 00:00:00+05:30,0.66,0.66,0.62,0.62,112400
2009-03-13 00:00:00+05:30,0.59,0.65,0.59,0.62,227819
2009-03-16 00:00:00+05:30,0.64,0.64,0.61,0.63,148972
2009-03-18 00:00:00+05:30,0.67,0.67,0.63,0.64,69707
2009-03-19 00:00:00+05:30,0.62,0.67,0.61,0.65,143387
2009-03-20 00:00:00+05:30,0.65,0.67,0.63,0.66,116082
2009-03-23 00:00:00+05:30,0.65,0.69,0.65,0.69,141006
2009-03-24 00:00:00+05:30,0.7,0.72,0.67,0.71,193351
2009-03-26 00:00:00+05:30,0.66,0.7,0.66,0.7,318521
2009-03-27 00:00:00+05:30,0.73,0.74,0.67,0.72,238534
2009-03-30 00:00:00+05:30,0.74,0.75,0.69,0.7,137787
2009-03-31 00:00:00+05:30,0.68,0.73,0.67,0.69,117106
2009-04-01 00:00:00+05:30,0.66,0.73,0.66,0.73,96558
2009-04-02 00:00:00+05:30,0.7,0.76,0.7,0.76,175511
2009-04-06 00:00:00+05:30,0.79,0.79,0.73,0.79,214648
2009-04-08 00:00:00+05:30,0.75,0.82,0.75,0.82,354227
2009-04-09 00:00:00+05:30,0.82,0.86,0.79,0.86,236156
2009-04-13 00:00:00+05:30,0.86,0.86,0.82,0.84,346547
2009-04-15 00:00:00+05:30,0.84,0.88,0.82,0.88,329313
2009-04-16 00:00:00+05:30,0.92,0.92,0.84,0.84,464279
2009-04-17 00:00:00+05:30,0.82,0.88,0.82,0.85,240533
2009-04-20 00:00:00+05:30,0.86,0.88,0.81,0.82,328736
2009-04-21 00:00:00+05:30,0.79,0.84,0.78,0.8,158971
2009-04-22 00:00:00+05:30,0.78,0.84,0.76,0.83,200714
2009-04-23 00:00:00+05:30,0.79,0.86,0.79,0.82,244264
2009-04-24 00:00:00+05:30,0.86,0.86,0.79,0.82,242204
2009-04-27 00:00:00+05:30,0.8,0.86,0.79,0.8,195448
2009-04-28 00:00:00+05:30,0.82,0.84,0.78,0.8,178178
2009-04-29 00:00:00+05:30,0.82,0.83,0.76,0.8,153529
2009-05-04 00:00:00+05:30,0.84,0.84,0.78,0.79,262303
2009-05-05 00:00:00+05:30,0.81,0.83,0.77,0.81,234608
2009-05-06 00:00:00+05:30,0.83,0.85,0.81,0.82,182407
2009-05-07 00:00:00+05:30,0.81,0.84,0.79,0.79,170761
2009-05-08 00:00:00+05:30,0.82,0.83,0.79,0.82,164968
2009-05-11 00:00:00+05:30,0.82,0.83,0.79,0.79,157863
2009-05-12 00:00:00+05:30,0.82,0.82,0.76,0.77,137706
2009-05-13 00:00:00+05:30,0.77,0.78,0.75,0.77,169833
2009-05-14 00:00:00+05:30,0.79,0.79,0.75,0.76,79103
2009-05-19 00:00:00+05:30,0.77,0.79,0.75,0.79,396369
2009-05-20 00:00:00+05:30,0.77,0.83,0.76,0.83,533367
2009-05-21 00:00:00+05:30,0.87,0.87,0.87,0.87,191303
2009-05-22 00:00:00+05:30,0.9,0.92,0.9,0.92,257076
2009-05-25 00:00:00+05:30,0.96,0.96,0.96,0.96,231957
2009-05-26 00:00:00+05:30,1.01,1.01,1.01,1.01,289473
2009-05-27 00:00:00+05:30,1.05,1.05,1.05,1.05,114655
2009-05-28 00:00:00+05:30,1.1,1.1,1.1,1.1,131126
2009-05-29 00:00:00+05:30,1.16,1.16,1.16,1.16,236109
2009-06-01 00:00:00+05:30,1.21,1.21,1.21,1.21,105134
2009-06-02 00:00:00+05:30,1.27,1.27,1.27,1.27,493187
2009-06-03 00:00:00+05:30,1.33,1.33,1.33,1.33,296395
2009-06-04 00:00:00+05:30,1.4,1.4,1.4,1.4,180713
2009-06-05 00:00:00+05:30,1.47,1.47,1.47,1.47,1006181
2009-06-08 00:00:00+05:30,1.54,1.54,1.39,1.39,878087
2009-06-09 00:00:00+05:30,1.35,1.35,1.32,1.32,237519
2009-06-10 00:00:00+05:30,1.27,1.29,1.26,1.26,326883
2009-06-11 00:00:00+05:30,1.2,1.2,1.2,1.2,139677
2009-06-12 00:00:00+05:30,1.14,1.14,1.14,1.14,137654
2009-06-15 00:00:00+05:30,1.08,1.08,1.08,1.08,81760
2009-06-16 00:00:00+05:30,1.04,1.14,1.04,1.14,393104
2009-06-17 00:00:00+05:30,1.14,1.14,1.08,1.08,273803
2009-06-18 00:00:00+05:30,1.08,1.08,1.03,1.03,46871
2009-06-19 00:00:00+05:30,0.98,0.98,0.98,0.98,108872
2009-06-22 00:00:00+05:30,1.03,1.03,0.94,0.96,360265
2009-06-23 00:00:00+05:30,0.95,1.01,0.91,0.96,176563
2009-06-24 00:00:00+05:30,1.01,1.01,0.92,1.0,235113
2009-06-25 00:00:00+05:30,1.04,1.05,0.96,1.05,157716
2009-06-26 00:00:00+05:30,1.1,1.1,0.99,1.08,304331
2009-06-29 00:00:00+05:30,1.13,1.13,1.03,1.12,312468
2009-06-30 00:00:00+05:30,1.12,1.15,1.07,1.07,202122
2009-07-01 00:00:00+05:30,1.09,1.09,1.01,1.03,202239
2009-07-02 00:00:00+05:30,1.07,1.07,0.98,1.05,301655
2009-07-03 00:00:00+05:30,1.03,1.09,1.01,1.04,209968
2009-07-06 00:00:00+05:30,0.98,1.08,0.98,0.99,169467
2009-07-08 00:00:00+05:30,0.91,0.98,0.91,0.91,126904
2009-07-09 00:00:00+05:30,0.88,0.9,0.86,0.87,237948
2009-07-10 00:00:00+05:30,0.9,0.9,0.84,0.88,174234
