date,open,high,low,close,volume
2025-01-15 00:00:00+05:30,7.38,7.74,7.38,7.74,1688
2025-01-16 00:00:00+05:30,8.13,8.13,8.13,8.13,2709
2025-01-17 00:00:00+05:30,8.53,8.53,8.53,8.53,688
2025-01-20 00:00:00+05:30,8.95,8.95,8.95,8.95,722
2025-01-21 00:00:00+05:30,9.4,9.4,9.4,9.4,489
2025-01-22 00:00:00+05:30,9.87,9.87,9.87,9.87,487
2025-01-23 00:00:00+05:30,10.36,10.36,10.36,10.36,228
2025-01-27 00:00:00+05:30,10.87,10.87,10.87,10.87,703
2025-02-03 00:00:00+05:30,11.41,11.41,11.41,11.41,626
2025-02-10 00:00:00+05:30,11.97,11.97,11.97,11.97,390
2025-02-17 00:00:00+05:30,12.57,12.57,12.57,12.57,751
2025-02-24 00:00:00+05:30,13.19,13.19,13.19,13.19,1782
2025-03-03 00:00:00+05:30,13.85,13.85,13.85,13.85,15478
2025-03-04 00:00:00+05:30,14.54,14.54,14.54,14.54,45
2025-03-05 00:00:00+05:30,15.26,15.26,15.26,15.26,105
2025-03-06 00:00:00+05:30,16.02,16.02,16.02,16.02,14
2025-03-07 00:00:00+05:30,16.82,16.82,16.82,16.82,200
2025-03-10 00:00:00+05:30,17.65,17.65,17.65,17.65,3093
2025-03-11 00:00:00+05:30,18.54,18.54,18.54,18.54,125
2025-03-17 00:00:00+05:30,18.54,19.46,18.54,19.46,769
2025-03-24 00:00:00+05:30,20.43,20.43,20.43,20.43,2737
2025-04-01 00:00:00+05:30,21.45,21.45,21.45,21.45,2319
2025-04-07 00:00:00+05:30,22.52,22.52,22.52,22.52,2521
2025-04-15 00:00:00+05:30,23.64,23.64,23.64,23.64,5165
2025-04-21 00:00:00+05:30,23.64,24.82,23.64,24.82,1056
2025-04-28 00:00:00+05:30,26.06,26.06,26.06,26.06,503
2025-05-02 00:00:00+05:30,26.06,27.36,26.06,27.36,23167
2025-05-05 00:00:00+05:30,27.36,28.72,27.36,28.72,316
2025-05-06 00:00:00+05:30,30.15,30.15,30.15,30.15,59
2025-05-07 00:00:00+05:30,31.66,31.66,31.66,31.66,13525
2025-05-08 00:00:00+05:30,33.24,33.24,33.24,33.24,2874
2025-05-09 00:00:00+05:30,34.9,34.9,34.9,34.9,26867
2025-05-12 00:00:00+05:30,36.65,36.65,36.65,36.65,4840
2025-05-19 00:00:00+05:30,38.47,38.47,34.82,35.16,76528
2025-05-26 00:00:00+05:30,33.4,36.9,33.4,35.03,28045
2025-06-02 00:00:00+05:30,33.28,36.78,33.28,33.28,20453
2025-06-09 00:00:00+05:30,32.61,32.61,31.62,32.46,7057
2025-06-16 00:00:00+05:30,33.4,34.08,30.85,33.27,35699
2025-06-23 00:00:00+05:30,32.61,34.93,32.43,34.7,28611
2025-06-30 00:00:00+05:30,36.45,36.45,36.35,36.45,68914
2025-07-01 00:00:00+05:30,38.27,38.27,38.27,38.27,819
2025-07-02 00:00:00+05:30,40.18,40.18,40.18,40.18,1627
2025-07-03 00:00:00+05:30,42.18,42.18,42.18,42.18,10765
2025-07-04 00:00:00+05:30,44.28,44.28,44.28,44.28,15785
2025-07-07 00:00:00+05:30,46.45,46.45,42.07,42.07,30125
2025-07-08 00:00:00+05:30,40.0,44.17,39.97,42.21,58184
2025-07-09 00:00:00+05:30,40.55,43.9,40.4,43.0,17576
2025-07-10 00:00:00+05:30,43.0,43.0,41.01,41.38,6667
2025-07-11 00:00:00+05:30,41.58,43.44,39.32,43.03,19920
2025-07-14 00:00:00+05:30,43.4,45.18,42.02,42.27,8566
2025-07-15 00:00:00+05:30,40.16,42.3,40.16,40.16,23245
2025-07-16 00:00:00+05:30,40.16,40.16,38.16,38.16,16486
