date,open,high,low,close,volume
2020-07-13 00:00:00+05:30,21.0,21.5,21.0,21.5,32000
2020-07-14 00:00:00+05:30,22.55,22.55,22.55,22.55,12000
2020-07-15 00:00:00+05:30,23.65,23.65,23.65,23.65,4000
2020-07-16 00:00:00+05:30,24.8,24.8,24.8,24.8,4000
2020-07-20 00:00:00+05:30,26.0,26.0,26.0,26.0,4000
2020-07-21 00:00:00+05:30,25.5,26.5,24.7,26.5,16000
2020-07-22 00:00:00+05:30,25.5,25.5,25.2,25.2,16000
2020-07-23 00:00:00+05:30,24.05,25.9,23.95,24.95,28000
2020-07-24 00:00:00+05:30,25.95,25.95,25.95,25.95,4000
2020-07-27 00:00:00+05:30,22.85,24.6,22.4,22.4,12000
2020-07-28 00:00:00+05:30,23.25,23.25,23.25,23.25,4000
2020-07-31 00:00:00+05:30,21.25,21.25,21.25,21.25,4000
2020-08-04 00:00:00+05:30,20.5,20.5,20.5,20.5,20000
2020-08-05 00:00:00+05:30,20.0,20.0,20.0,20.0,4000
2020-08-07 00:00:00+05:30,16.15,16.15,16.15,16.15,4000
2020-08-10 00:00:00+05:30,17.75,17.75,17.75,17.75,12000
2020-08-14 00:00:00+05:30,17.75,18.0,16.0,17.75,16000
2020-08-17 00:00:00+05:30,17.75,17.75,17.75,17.75,4000
2020-08-18 00:00:00+05:30,18.25,18.25,18.25,18.25,4000
2020-08-21 00:00:00+05:30,17.75,17.75,17.75,17.75,4000
2020-08-31 00:00:00+05:30,17.75,17.75,17.75,17.75,4000
2020-09-01 00:00:00+05:30,18.0,18.0,18.0,18.0,4000
2020-09-14 00:00:00+05:30,17.0,17.5,16.8,16.8,24000
2020-09-15 00:00:00+05:30,16.8,16.8,16.8,16.8,4000
2020-09-24 00:00:00+05:30,17.0,17.0,17.0,17.0,4000
2020-09-25 00:00:00+05:30,17.0,17.0,17.0,17.0,4000
2020-10-12 00:00:00+05:30,16.5,16.5,16.5,16.5,8000
2020-10-15 00:00:00+05:30,18.0,18.0,18.0,18.0,4000
2020-10-19 00:00:00+05:30,17.0,18.0,17.0,18.0,8000
2020-10-23 00:00:00+05:30,21.6,21.6,21.6,21.6,16000
2020-10-26 00:00:00+05:30,25.9,25.9,22.25,25.5,32000
2020-10-27 00:00:00+05:30,26.4,26.4,26.4,26.4,4000
2020-10-28 00:00:00+05:30,23.9,23.9,23.8,23.8,8000
2020-10-29 00:00:00+05:30,21.45,21.5,21.45,21.5,8000
2020-11-17 00:00:00+05:30,20.9,20.9,20.9,20.9,4000
2021-01-27 00:00:00+05:30,18.0,18.0,18.0,18.0,4000
2021-02-08 00:00:00+05:30,18.0,18.0,18.0,18.0,4000
2021-03-10 00:00:00+05:30,18.0,18.0,18.0,18.0,4000
2021-03-12 00:00:00+05:30,18.1,18.1,18.1,18.1,28000
2021-03-19 00:00:00+05:30,18.0,18.0,18.0,18.0,4000
2021-03-25 00:00:00+05:30,18.05,18.05,18.0,18.0,8000
2021-03-26 00:00:00+05:30,18.1,18.1,18.1,18.1,40000
2021-03-31 00:00:00+05:30,18.2,18.25,18.15,18.2,260000
2021-04-08 00:00:00+05:30,19.5,19.5,19.5,19.5,4000
2021-04-09 00:00:00+05:30,19.5,19.5,19.5,19.5,4000
2021-04-15 00:00:00+05:30,19.5,19.5,19.5,19.5,4000
2021-05-21 00:00:00+05:30,21.0,21.0,21.0,21.0,4000
2021-05-24 00:00:00+05:30,21.0,22.0,21.0,22.0,8000
2021-06-17 00:00:00+05:30,23.0,23.0,23.0,23.0,4000
2021-06-22 00:00:00+05:30,22.5,23.0,21.5,23.0,12000
2021-06-23 00:00:00+05:30,22.5,22.5,22.5,22.5,4000
2021-06-25 00:00:00+05:30,21.5,21.5,21.5,21.5,4000
2021-07-06 00:00:00+05:30,21.6,21.6,21.6,21.6,64000
2021-07-12 00:00:00+05:30,21.5,21.5,21.5,21.5,4000
2021-07-13 00:00:00+05:30,21.5,21.5,21.5,21.5,4000
2021-07-26 00:00:00+05:30,22.0,25.75,22.0,23.0,20000
2021-08-05 00:00:00+05:30,24.0,24.0,24.0,24.0,4000
2021-08-16 00:00:00+05:30,23.5,23.5,23.5,23.5,4000
2021-09-14 00:00:00+05:30,22.5,22.5,22.5,22.5,4000
2021-09-28 00:00:00+05:30,21.5,21.5,21.5,21.5,4000
2021-09-30 00:00:00+05:30,20.5,20.5,20.5,20.5,4000
2021-10-12 00:00:00+05:30,21.0,22.0,21.0,22.0,8000
2021-10-18 00:00:00+05:30,21.5,21.5,21.5,21.5,4000
2021-10-28 00:00:00+05:30,20.5,20.5,20.5,20.5,4000
2021-12-07 00:00:00+05:30,19.5,19.5,19.5,19.5,4000
2021-12-13 00:00:00+05:30,20.0,21.0,20.0,21.0,24000
2021-12-15 00:00:00+05:30,21.0,21.0,21.0,21.0,4000
2022-01-10 00:00:00+05:30,22.0,22.0,22.0,22.0,4000
2022-01-11 00:00:00+05:30,23.0,23.0,23.0,23.0,4000
2022-01-14 00:00:00+05:30,24.0,24.0,24.0,24.0,4000
2022-01-17 00:00:00+05:30,25.0,25.0,25.0,25.0,4000
2022-01-18 00:00:00+05:30,24.5,24.5,24.5,24.5,4000
2022-02-01 00:00:00+05:30,24.0,24.0,24.0,24.0,4000
2022-02-14 00:00:00+05:30,24.0,25.0,24.0,25.0,8000
