date,open,high,low,close,volume
2025-07-31 00:00:00+05:30,82.0,87.8,81.49,85.4,2135253
2025-08-01 00:00:00+05:30,84.51,87.29,83.94,84.19,279983
2025-08-04 00:00:00+05:30,84.01,85.0,81.45,82.45,161859
2025-08-05 00:00:00+05:30,82.15,83.08,80.14,80.32,86560
2025-08-06 00:00:00+05:30,80.96,82.37,77.45,81.23,210351
2025-08-07 00:00:00+05:30,79.0,82.29,79.0,81.06,126231
2025-08-08 00:00:00+05:30,80.04,87.4,80.04,82.94,401589
2025-08-11 00:00:00+05:30,85.39,87.1,83.48,85.86,270392
2025-08-12 00:00:00+05:30,87.49,87.5,84.28,84.54,248958
2025-08-13 00:00:00+05:30,85.3,85.91,83.18,83.5,90990
2025-08-14 00:00:00+05:30,83.51,84.38,82.38,83.0,90359
2025-08-18 00:00:00+05:30,83.76,87.3,83.45,85.53,215436
2025-08-19 00:00:00+05:30,85.52,91.74,85.14,90.87,1117339
2025-08-20 00:00:00+05:30,91.04,91.04,85.5,85.97,517295
2025-08-21 00:00:00+05:30,86.65,87.5,85.65,86.08,79175
2025-08-22 00:00:00+05:30,85.11,88.5,85.11,86.34,172511
2025-08-25 00:00:00+05:30,86.98,87.0,83.52,83.77,83136
2025-08-26 00:00:00+05:30,83.11,85.3,82.53,83.29,128244
2025-08-28 00:00:00+05:30,81.67,85.29,81.67,84.19,177339
2025-08-29 00:00:00+05:30,85.9,87.54,84.35,87.03,133679
2025-09-01 00:00:00+05:30,87.49,87.49,86.05,86.72,41746
2025-09-02 00:00:00+05:30,86.72,89.29,85.8,86.05,78261
2025-09-03 00:00:00+05:30,86.05,87.81,85.2,85.57,56732
2025-09-04 00:00:00+05:30,86.07,87.0,83.9,83.97,66514
2025-09-05 00:00:00+05:30,84.75,84.99,84.0,84.54,36430
2025-09-08 00:00:00+05:30,83.67,84.78,82.77,83.07,85440
2025-09-09 00:00:00+05:30,83.92,83.92,82.52,82.77,37706
2025-09-10 00:00:00+05:30,82.91,83.43,82.0,82.36,29819
2025-09-11 00:00:00+05:30,82.36,84.25,82.0,83.58,45106
2025-09-12 00:00:00+05:30,83.5,84.22,82.19,83.34,59701
2025-09-15 00:00:00+05:30,83.01,85.19,82.89,84.83,54503
2025-09-16 00:00:00+05:30,85.07,88.25,85.07,85.72,113703
2025-09-17 00:00:00+05:30,85.99,86.22,84.1,85.24,47536
2025-09-18 00:00:00+05:30,84.32,85.96,84.2,84.35,37228
2025-09-19 00:00:00+05:30,84.01,84.92,84.01,84.16,12173
