date,open,high,low,close,volume
2011-09-05 00:00:00+05:30,108.93,129.83,57.19,59.62,30644360
2011-09-06 00:00:00+05:30,57.44,61.1,50.6,52.93,5844049
2011-09-07 00:00:00+05:30,52.49,52.49,42.39,42.39,4659369
2011-09-08 00:00:00+05:30,38.17,43.03,38.17,40.9,2218070
2011-09-09 00:00:00+05:30,40.6,43.47,39.86,41.69,1288005
2011-09-12 00:00:00+05:30,40.5,41.1,37.78,38.57,444668
2011-09-13 00:00:00+05:30,39.51,39.51,36.1,36.43,445035
2011-09-14 00:00:00+05:30,36.0,36.64,33.27,33.57,446783
2011-09-15 00:00:00+05:30,32.78,33.62,31.94,32.09,316096
2011-09-16 00:00:00+05:30,31.69,33.46,31.69,32.22,275852
2011-09-19 00:00:00+05:30,31.89,32.18,30.7,30.85,155948
2011-09-20 00:00:00+05:30,30.85,31.64,30.7,31.05,161849
2011-09-21 00:00:00+05:30,31.15,31.59,30.15,30.25,132243
2011-09-22 00:00:00+05:30,29.81,30.06,28.77,28.77,133632
2011-09-23 00:00:00+05:30,28.32,28.32,27.33,27.33,88732
2011-09-26 00:00:00+05:30,27.33,27.33,26.0,26.0,77609
2011-09-27 00:00:00+05:30,25.95,26.0,24.76,25.01,135709
2011-09-28 00:00:00+05:30,25.2,26.09,24.76,25.45,132888
2011-09-29 00:00:00+05:30,24.81,25.95,24.21,24.21,75620
2011-09-30 00:00:00+05:30,24.16,24.21,23.02,23.02,97621
2011-10-03 00:00:00+05:30,22.98,22.98,21.89,21.89,61755
2011-10-04 00:00:00+05:30,21.09,22.03,20.8,20.8,99218
2011-10-05 00:00:00+05:30,20.75,20.8,19.81,19.81,84259
2011-10-07 00:00:00+05:30,19.76,20.8,19.76,20.8,105328
2011-10-10 00:00:00+05:30,21.84,21.84,21.59,21.84,22961
2011-10-11 00:00:00+05:30,22.93,22.93,22.93,22.93,13859
2011-10-12 00:00:00+05:30,24.06,24.06,23.37,24.06,144450
2011-10-13 00:00:00+05:30,25.15,25.25,24.76,25.25,65305
2011-10-14 00:00:00+05:30,26.24,26.34,24.01,24.61,206052
2011-10-17 00:00:00+05:30,24.96,24.96,23.42,23.42,38691
2011-10-18 00:00:00+05:30,22.78,22.78,22.28,22.33,36361
2011-10-19 00:00:00+05:30,21.84,22.98,21.84,22.58,41707
2011-10-20 00:00:00+05:30,22.58,22.63,21.59,21.84,22966
2011-10-21 00:00:00+05:30,21.89,22.53,20.9,21.24,43606
2011-10-24 00:00:00+05:30,21.19,21.59,20.55,20.7,25943
2011-10-25 00:00:00+05:30,20.75,20.75,19.81,19.94,30821
2011-10-26 00:00:00+05:30,20.19,20.94,20.19,20.85,14469
2011-10-28 00:00:00+05:30,21.89,21.89,21.19,21.89,43462
2011-10-31 00:00:00+05:30,21.98,22.98,21.79,22.78,55505
2011-11-01 00:00:00+05:30,22.13,23.22,21.89,22.33,52839
2011-11-02 00:00:00+05:30,22.33,22.58,21.34,21.64,34068
2011-11-03 00:00:00+05:30,22.58,22.58,20.94,21.44,9432
2011-11-04 00:00:00+05:30,21.74,21.98,21.44,21.54,22030
2011-11-08 00:00:00+05:30,20.85,21.64,20.8,20.99,25729
2011-11-09 00:00:00+05:30,20.94,21.89,20.4,20.75,44916
2011-11-11 00:00:00+05:30,21.69,22.43,20.6,22.18,107355
2011-11-14 00:00:00+05:30,22.38,23.82,22.18,22.48,94190
2011-11-15 00:00:00+05:30,21.79,22.53,20.4,20.7,42776
2011-11-16 00:00:00+05:30,20.3,20.99,19.61,19.81,47335
2011-11-17 00:00:00+05:30,20.15,20.19,18.95,19.26,29927
2011-11-18 00:00:00+05:30,19.2,19.2,18.17,18.62,40294
2011-11-21 00:00:00+05:30,18.82,19.31,18.07,18.21,32605
2011-11-22 00:00:00+05:30,19.31,19.31,16.84,17.22,37369
2011-11-23 00:00:00+05:30,17.28,17.28,15.6,16.44,49008
2011-11-24 00:00:00+05:30,16.64,16.69,15.6,16.23,46658
2011-11-25 00:00:00+05:30,15.84,17.53,15.05,16.54,45061
2011-11-28 00:00:00+05:30,17.22,17.92,16.84,17.83,40973
2011-11-29 00:00:00+05:30,18.37,18.37,16.73,16.79,30221
2011-11-30 00:00:00+05:30,16.64,17.03,16.59,16.64,11293
2011-12-01 00:00:00+05:30,17.33,17.47,16.84,16.97,21436
2011-12-02 00:00:00+05:30,16.84,17.33,16.34,16.88,11906
2011-12-05 00:00:00+05:30,16.73,17.13,16.34,16.97,11094
2011-12-07 00:00:00+05:30,16.88,17.13,16.64,16.73,20303
2011-12-08 00:00:00+05:30,16.69,16.84,16.14,16.39,16775
2011-12-09 00:00:00+05:30,16.64,16.64,15.8,15.98,11391
2011-12-12 00:00:00+05:30,16.84,16.84,15.2,15.6,22643
2011-12-13 00:00:00+05:30,15.35,15.4,14.61,14.9,21641
2011-12-14 00:00:00+05:30,14.76,15.45,14.76,15.05,26523
2011-12-15 00:00:00+05:30,14.56,14.66,13.77,13.91,42972
2011-12-16 00:00:00+05:30,13.91,14.26,13.67,13.81,23366
2011-12-19 00:00:00+05:30,13.37,15.0,13.12,14.26,42723
2011-12-20 00:00:00+05:30,13.91,15.35,13.91,14.46,33600
2011-12-21 00:00:00+05:30,14.51,15.1,13.86,14.9,32340
2011-12-22 00:00:00+05:30,15.35,15.35,14.21,14.95,37255
2011-12-23 00:00:00+05:30,15.55,16.09,15.05,15.4,44921
2011-12-26 00:00:00+05:30,15.15,15.84,15.15,15.55,8357
2011-12-27 00:00:00+05:30,15.65,15.65,15.2,15.25,35654
2011-12-28 00:00:00+05:30,15.05,15.05,14.46,14.61,18993
2011-12-29 00:00:00+05:30,13.22,14.36,13.17,13.17,119934
2011-12-30 00:00:00+05:30,12.68,14.36,12.38,12.68,58880
2012-01-02 00:00:00+05:30,12.63,13.37,12.38,12.93,24504
2012-01-03 00:00:00+05:30,13.17,13.42,12.92,13.22,11396
2012-01-04 00:00:00+05:30,13.02,13.42,13.02,13.16,11817
2012-01-05 00:00:00+05:30,13.61,13.61,12.88,13.18,11881
2012-01-06 00:00:00+05:30,13.12,13.62,12.97,13.42,10367
2012-01-09 00:00:00+05:30,13.67,13.86,13.07,13.65,33253
2012-01-10 00:00:00+05:30,14.11,14.61,13.67,14.3,60593
2012-01-11 00:00:00+05:30,14.76,15.15,14.61,14.98,49776
2012-01-12 00:00:00+05:30,14.85,14.95,14.37,14.46,21613
2012-01-13 00:00:00+05:30,14.56,14.95,14.41,14.65,16379
2012-01-16 00:00:00+05:30,15.4,15.4,14.33,14.44,35411
2012-01-17 00:00:00+05:30,14.9,14.9,14.41,14.51,30363
2012-01-18 00:00:00+05:30,14.43,14.71,14.11,14.32,18995
2012-01-19 00:00:00+05:30,14.08,14.46,13.96,14.07,28596
2012-01-20 00:00:00+05:30,14.16,14.36,13.37,13.53,37195
2012-01-23 00:00:00+05:30,13.57,13.83,13.42,13.67,20064
2012-01-24 00:00:00+05:30,13.62,13.86,13.56,13.67,17794
2012-01-25 00:00:00+05:30,13.67,14.04,13.53,13.82,24203
2012-01-27 00:00:00+05:30,13.28,14.75,13.28,14.33,38452
2012-01-30 00:00:00+05:30,14.61,14.61,13.86,13.92,11278
2012-01-31 00:00:00+05:30,14.11,14.31,13.77,13.94,20798
2012-02-01 00:00:00+05:30,13.96,13.97,13.67,13.76,19389
2012-02-02 00:00:00+05:30,14.01,14.01,13.64,13.74,26569
2012-02-03 00:00:00+05:30,13.86,13.96,13.47,13.83,27213
2012-02-06 00:00:00+05:30,13.86,15.05,13.81,14.62,47049
2012-02-07 00:00:00+05:30,15.3,15.35,14.46,14.56,41873
2012-02-08 00:00:00+05:30,14.46,14.96,14.37,14.68,24903
2012-02-09 00:00:00+05:30,15.0,17.61,15.0,17.61,181619
2012-02-10 00:00:00+05:30,19.45,21.12,18.42,21.12,549435
2012-02-13 00:00:00+05:30,22.23,23.23,21.29,23.23,293049
2012-02-14 00:00:00+05:30,24.06,25.55,23.77,25.55,342806
2012-02-15 00:00:00+05:30,26.84,28.08,26.59,27.12,415496
2012-02-16 00:00:00+05:30,26.24,27.72,25.78,25.78,75685
2012-02-17 00:00:00+05:30,24.49,24.81,24.49,24.49,29881
2012-02-21 00:00:00+05:30,23.32,24.25,23.27,23.27,100285
2012-02-22 00:00:00+05:30,22.11,22.11,22.11,22.11,8619
2012-02-23 00:00:00+05:30,21.01,22.08,21.01,21.01,34950
2012-02-24 00:00:00+05:30,19.96,21.47,19.96,20.01,123070
2012-02-27 00:00:00+05:30,19.02,19.56,19.01,19.01,19316
2012-02-28 00:00:00+05:30,18.08,19.96,18.07,19.96,128367
2012-02-29 00:00:00+05:30,20.95,20.95,20.0,20.72,156344
2012-03-01 00:00:00+05:30,20.99,20.99,19.7,19.7,67306
2012-03-02 00:00:00+05:30,19.31,20.05,18.77,18.91,28064
2012-03-05 00:00:00+05:30,18.82,18.82,18.12,18.27,20489
2012-03-06 00:00:00+05:30,17.68,18.42,17.38,17.43,16158
2012-03-07 00:00:00+05:30,17.28,17.33,16.59,16.79,22709
2012-03-09 00:00:00+05:30,17.22,17.58,16.79,17.58,10629
2012-03-12 00:00:00+05:30,18.42,18.42,17.88,18.42,12938
2012-03-13 00:00:00+05:30,19.2,19.31,18.82,19.31,24002
2012-03-14 00:00:00+05:30,20.15,20.19,18.71,18.82,25273
2012-03-15 00:00:00+05:30,18.21,18.52,17.92,17.92,16137
2012-03-16 00:00:00+05:30,17.92,18.32,17.08,17.28,11084
2012-03-19 00:00:00+05:30,17.83,18.12,16.59,16.69,11286
2012-03-20 00:00:00+05:30,17.22,17.47,16.84,17.18,10457
2012-03-21 00:00:00+05:30,16.64,17.78,16.54,17.22,9972
2012-03-22 00:00:00+05:30,16.48,17.72,16.39,16.48,14601
2012-03-23 00:00:00+05:30,17.28,17.28,16.09,16.64,7158
2012-03-26 00:00:00+05:30,16.84,16.84,15.84,15.98,13697
2012-03-27 00:00:00+05:30,15.35,16.59,15.2,15.5,22020
2012-03-28 00:00:00+05:30,14.95,15.7,14.76,14.76,35211
2012-03-29 00:00:00+05:30,14.36,15.45,14.06,15.45,8189
2012-03-30 00:00:00+05:30,15.84,16.19,15.84,16.19,8183
2012-04-02 00:00:00+05:30,16.79,16.97,16.79,16.97,9162
2012-04-03 00:00:00+05:30,17.68,17.83,17.68,17.83,12014
2012-04-04 00:00:00+05:30,18.42,18.42,17.03,17.83,21614
2012-04-09 00:00:00+05:30,18.57,18.57,17.38,17.88,13900
2012-04-10 00:00:00+05:30,18.02,18.02,17.43,17.72,5102
2012-04-11 00:00:00+05:30,17.28,17.63,16.88,17.08,9602
2012-04-12 00:00:00+05:30,16.84,17.72,16.84,17.22,7723
2012-04-13 00:00:00+05:30,16.88,17.53,16.84,17.03,5869
2012-04-16 00:00:00+05:30,17.43,17.63,16.64,16.84,3052
2012-04-17 00:00:00+05:30,16.14,16.84,16.14,16.73,4707
2012-04-18 00:00:00+05:30,16.84,17.53,16.39,17.47,10468
2012-04-19 00:00:00+05:30,16.88,17.63,16.88,17.18,7359
2012-04-20 00:00:00+05:30,16.48,17.53,16.48,16.93,10742
2012-04-23 00:00:00+05:30,16.73,17.08,16.14,16.79,6848
2012-04-24 00:00:00+05:30,16.79,16.79,16.09,16.73,6423
2012-04-25 00:00:00+05:30,16.23,16.39,15.94,15.94,8186
2012-04-26 00:00:00+05:30,15.25,16.19,15.25,15.5,9838
2012-04-27 00:00:00+05:30,15.45,16.09,15.45,15.65,6922
2012-04-30 00:00:00+05:30,15.89,15.89,15.6,15.89,2240
2012-05-02 00:00:00+05:30,16.34,16.39,15.65,15.94,4441
2012-05-03 00:00:00+05:30,15.15,16.34,15.15,15.84,5031
2012-05-04 00:00:00+05:30,15.75,16.34,15.25,15.55,10940
2012-05-07 00:00:00+05:30,15.55,15.94,15.35,15.45,6143
2012-05-08 00:00:00+05:30,16.09,16.19,15.4,15.5,5411
