date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,15.6,17.0,15.6,16.95,74884
2008-01-02 00:00:00+05:30,18.6,18.6,17.05,18.6,92650
2008-01-03 00:00:00+05:30,19.55,20.45,19.55,20.45,73198
2008-01-04 00:00:00+05:30,21.45,21.45,20.65,21.15,105035
2008-01-07 00:00:00+05:30,22.2,22.2,20.1,20.65,78331
2008-01-08 00:00:00+05:30,21.6,21.65,19.64,21.6,100175
2008-01-09 00:00:00+05:30,22.6,22.65,20.6,20.7,31549
2008-01-10 00:00:00+05:30,20.1,21.0,19.7,19.7,15775
2008-01-11 00:00:00+05:30,19.0,19.0,18.75,18.75,5650
2008-01-14 00:00:00+05:30,17.89,18.14,17.85,17.85,9550
2008-01-15 00:00:00+05:30,17.3,17.8,17.0,17.0,12550
2008-01-16 00:00:00+05:30,16.25,16.7,16.2,16.2,27100
2008-01-17 00:00:00+05:30,15.4,17.0,15.4,17.0,12620
2008-01-18 00:00:00+05:30,17.8,17.85,16.2,16.5,21644
2008-01-21 00:00:00+05:30,15.7,16.39,15.7,15.7,11300
2008-01-23 00:00:00+05:30,15.2,15.2,15.1,15.1,601
2008-01-24 00:00:00+05:30,15.1,15.6,14.35,14.35,1500
2008-01-25 00:00:00+05:30,13.65,13.65,13.65,13.65,1651
2008-01-28 00:00:00+05:30,14.3,14.3,13.05,13.45,4206
2008-01-29 00:00:00+05:30,14.0,14.1,13.1,13.6,4298
2008-01-30 00:00:00+05:30,13.1,13.9,13.1,13.85,700
2008-01-31 00:00:00+05:30,13.5,14.3,13.2,13.2,4525
2008-02-01 00:00:00+05:30,13.73,13.73,12.55,12.76,3418
2008-02-04 00:00:00+05:30,12.75,13.39,12.75,13.39,2542
2008-02-05 00:00:00+05:30,13.1,14.05,13.1,14.05,6178
2008-02-06 00:00:00+05:30,14.5,14.69,13.46,14.41,2712
2008-02-07 00:00:00+05:30,14.25,14.7,14.0,14.7,500
2008-02-08 00:00:00+05:30,14.49,14.49,14.1,14.1,689
2008-02-11 00:00:00+05:30,14.0,14.0,14.0,14.0,925
2008-02-12 00:00:00+05:30,13.31,13.31,13.31,13.31,100
2008-02-13 00:00:00+05:30,13.0,13.3,12.65,13.11,2600
2008-02-14 00:00:00+05:30,12.47,13.7,12.46,12.48,3640
2008-02-15 00:00:00+05:30,11.91,12.49,11.86,11.9,3091
2008-02-18 00:00:00+05:30,11.7,12.0,11.7,12.0,2050
2008-02-19 00:00:00+05:30,12.01,12.44,12.0,12.4,1400
2008-02-20 00:00:00+05:30,12.0,12.0,12.0,12.0,500
2008-02-21 00:00:00+05:30,11.6,12.35,11.6,12.35,585
2008-02-22 00:00:00+05:30,11.75,11.75,11.75,11.75,600
2008-02-25 00:00:00+05:30,11.21,11.75,11.21,11.45,650
2008-02-26 00:00:00+05:30,10.91,10.91,10.9,10.9,1500
2008-02-27 00:00:00+05:30,11.2,11.35,10.5,10.71,4000
2008-02-28 00:00:00+05:30,10.3,10.3,10.3,10.3,1923
2008-02-29 00:00:00+05:30,9.9,10.45,9.9,10.01,2109
2008-03-03 00:00:00+05:30,9.56,9.56,9.56,9.56,400
2008-03-04 00:00:00+05:30,9.21,9.21,9.21,9.21,50
2008-03-05 00:00:00+05:30,9.0,9.44,8.81,8.99,1606
2008-03-10 00:00:00+05:30,8.55,9.19,8.55,9.19,2170
2008-03-11 00:00:00+05:30,8.75,9.19,8.75,9.19,1289
2008-03-12 00:00:00+05:30,9.19,9.19,8.85,8.85,1150
2008-03-13 00:00:00+05:30,8.44,8.75,8.41,8.41,25899
2008-03-14 00:00:00+05:30,8.01,8.78,8.01,8.02,522
2008-03-17 00:00:00+05:30,7.62,8.41,7.62,7.63,3050
2008-03-18 00:00:00+05:30,7.25,7.26,7.25,7.26,550
2008-03-19 00:00:00+05:30,7.0,7.61,6.91,6.91,220
2008-03-24 00:00:00+05:30,6.75,6.75,6.57,6.57,14600
2008-03-25 00:00:00+05:30,6.25,6.89,6.25,6.89,2800
2008-03-26 00:00:00+05:30,7.23,7.23,6.9,7.23,3536
2008-03-27 00:00:00+05:30,7.58,7.59,7.3,7.3,3350
2008-04-01 00:00:00+05:30,7.66,7.66,7.66,7.66,1000
2008-04-03 00:00:00+05:30,8.03,8.03,8.03,8.03,10
2008-04-04 00:00:00+05:30,8.05,8.4,8.05,8.21,600
2008-04-07 00:00:00+05:30,8.61,8.61,8.61,8.61,500
2008-04-08 00:00:00+05:30,9.05,9.05,8.19,8.19,500
2008-04-09 00:00:00+05:30,8.61,8.61,8.61,8.61,50
2008-04-10 00:00:00+05:30,9.03,9.03,9.03,9.03,100
2008-04-11 00:00:00+05:30,9.49,9.49,9.49,9.49,200
2008-04-15 00:00:00+05:30,9.96,9.96,9.23,9.84,4650
2008-04-16 00:00:00+05:30,10.32,10.32,10.32,10.32,250
2008-04-17 00:00:00+05:30,9.91,9.91,9.9,9.9,600
2008-04-21 00:00:00+05:30,10.3,10.38,10.3,10.38,225
2008-04-22 00:00:00+05:30,10.25,10.3,10.15,10.3,1211
2008-04-23 00:00:00+05:30,9.85,10.81,9.81,10.81,2505
2008-04-24 00:00:00+05:30,11.0,11.0,10.81,10.85,800
2008-04-25 00:00:00+05:30,11.38,11.38,10.31,10.4,2220
2008-04-28 00:00:00+05:30,9.94,9.94,9.94,9.94,500
2008-04-29 00:00:00+05:30,10.36,10.36,10.33,10.34,1003
2008-04-30 00:00:00+05:30,10.28,10.28,10.27,10.27,101
2008-05-02 00:00:00+05:30,10.77,10.77,10.75,10.75,4
2008-05-05 00:00:00+05:30,10.98,10.98,10.76,10.78,590
2008-05-06 00:00:00+05:30,11.27,11.27,11.17,11.17,532
2008-05-07 00:00:00+05:30,10.7,11.37,10.7,11.31,841
2008-05-08 00:00:00+05:30,11.0,11.0,10.93,10.93,12
2008-05-09 00:00:00+05:30,11.3,11.3,10.39,11.25,1023
2008-05-12 00:00:00+05:30,10.97,10.97,10.94,10.94,11
2008-05-13 00:00:00+05:30,10.45,10.45,10.4,10.45,312
2008-05-14 00:00:00+05:30,10.87,10.87,9.93,9.93,937
2008-05-15 00:00:00+05:30,9.44,9.47,9.44,9.46,821
2008-05-16 00:00:00+05:30,9.5,9.5,9.5,9.5,750
