date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,78.95,79.15,76.0,78.9,83794
2008-01-02 00:00:00+05:30,79.09,81.0,75.0,77.5,38144
2008-01-03 00:00:00+05:30,77.9,78.25,74.4,75.05,31490
2008-01-04 00:00:00+05:30,76.0,78.4,74.45,75.45,49747
2008-01-07 00:00:00+05:30,77.7,77.8,72.5,73.0,20234
2008-01-08 00:00:00+05:30,75.3,75.3,69.4,69.4,39805
2008-01-09 00:00:00+05:30,70.0,71.09,68.9,70.0,23782
2008-01-10 00:00:00+05:30,70.0,70.0,66.55,66.9,14542
2008-01-11 00:00:00+05:30,66.09,66.09,63.6,64.34,11007
2008-01-14 00:00:00+05:30,65.0,67.4,63.15,64.09,10331
2008-01-15 00:00:00+05:30,65.5,65.95,63.1,63.7,8083
2008-01-16 00:00:00+05:30,63.0,64.9,61.0,61.8,13297
2008-01-17 00:00:00+05:30,63.65,64.8,62.0,62.95,8080
2008-01-18 00:00:00+05:30,65.0,65.0,60.8,61.6,13242
2008-01-21 00:00:00+05:30,61.45,61.6,58.55,58.55,10890
2008-01-22 00:00:00+05:30,55.65,55.65,55.65,55.65,1547
2008-01-23 00:00:00+05:30,56.8,56.8,52.9,52.9,17365
2008-01-24 00:00:00+05:30,55.5,55.5,50.3,50.3,11007
2008-01-25 00:00:00+05:30,52.1,52.8,48.15,52.8,11393
2008-01-28 00:00:00+05:30,52.0,54.4,50.25,52.95,11898
2008-01-29 00:00:00+05:30,55.3,55.3,52.0,52.95,4909
2008-01-30 00:00:00+05:30,55.55,55.55,50.35,50.75,10745
2008-01-31 00:00:00+05:30,48.25,51.0,48.25,50.0,7506
2008-02-01 00:00:00+05:30,51.0,51.0,47.55,48.75,10637
2008-02-04 00:00:00+05:30,48.6,51.15,48.6,50.55,6225
2008-02-05 00:00:00+05:30,51.0,52.45,50.1,51.05,6954
2008-02-06 00:00:00+05:30,50.05,51.75,50.0,50.5,11428
2008-02-07 00:00:00+05:30,50.5,52.35,48.25,50.05,27230
2008-02-08 00:00:00+05:30,51.5,51.5,47.55,49.6,56061
2008-02-11 00:00:00+05:30,48.0,50.9,47.15,47.2,20531
2008-02-12 00:00:00+05:30,47.0,47.0,44.85,44.85,11496
2008-02-13 00:00:00+05:30,43.05,45.95,42.65,42.7,10669
2008-02-14 00:00:00+05:30,43.95,44.75,42.1,44.25,11636
2008-02-15 00:00:00+05:30,44.95,45.95,44.2,45.25,26507
2008-02-18 00:00:00+05:30,45.5,46.9,45.1,46.5,2788
2008-02-19 00:00:00+05:30,46.05,48.8,46.05,48.8,5898
2008-02-20 00:00:00+05:30,47.2,50.0,47.2,48.45,6439
2008-02-21 00:00:00+05:30,47.05,49.7,47.05,48.2,11449
2008-02-22 00:00:00+05:30,47.1,48.8,47.0,47.75,4961
2008-02-25 00:00:00+05:30,47.0,47.85,46.55,46.95,5039
2008-02-26 00:00:00+05:30,46.65,49.25,46.65,48.35,13091
2008-02-27 00:00:00+05:30,49.0,49.3,46.75,47.0,6352
2008-02-28 00:00:00+05:30,46.7,47.65,46.5,46.9,10751
2008-02-29 00:00:00+05:30,47.75,48.8,46.35,47.4,8914
2008-03-03 00:00:00+05:30,45.1,48.0,45.1,45.3,10741
2008-03-04 00:00:00+05:30,45.05,46.25,44.75,45.0,16601
2008-03-05 00:00:00+05:30,43.35,44.75,42.8,42.8,4696
2008-03-07 00:00:00+05:30,43.1,43.1,40.7,40.7,13073
2008-03-10 00:00:00+05:30,40.7,40.7,36.65,38.25,12557
2008-03-11 00:00:00+05:30,41.0,42.05,38.5,39.15,37485
2008-03-12 00:00:00+05:30,41.0,42.3,38.85,39.29,7230
2008-03-13 00:00:00+05:30,40.85,40.85,38.0,38.9,8335
2008-03-14 00:00:00+05:30,35.2,39.5,35.15,37.54,18656
2008-03-17 00:00:00+05:30,35.95,35.95,33.79,34.6,14278
2008-03-18 00:00:00+05:30,35.0,35.0,32.9,33.65,26743
2008-03-19 00:00:00+05:30,33.75,34.75,32.1,33.35,6773
2008-03-24 00:00:00+05:30,31.1,33.79,30.05,30.35,12546
2008-03-25 00:00:00+05:30,32.7,32.7,30.05,31.55,5990
2008-03-26 00:00:00+05:30,32.0,33.0,31.8,32.29,20467
2008-03-27 00:00:00+05:30,32.79,33.85,30.2,32.7,18864
2008-03-28 00:00:00+05:30,34.5,35.95,34.5,35.95,3646
2008-03-31 00:00:00+05:30,39.5,39.5,39.5,39.5,9435
2008-04-01 00:00:00+05:30,41.45,41.45,41.45,41.45,7655
2008-04-02 00:00:00+05:30,43.5,43.5,43.5,43.5,3445
2008-04-03 00:00:00+05:30,45.65,45.65,43.65,45.65,67329
2008-04-04 00:00:00+05:30,47.85,47.85,43.9,44.3,49107
2008-04-07 00:00:00+05:30,44.3,44.8,43.35,43.95,7309
2008-04-08 00:00:00+05:30,44.0,45.95,43.55,44.8,6715
2008-04-09 00:00:00+05:30,45.9,45.9,44.0,45.25,5807
2008-04-10 00:00:00+05:30,44.8,45.0,44.6,44.8,3258
2008-04-11 00:00:00+05:30,44.05,45.0,43.3,44.5,4832
2008-04-15 00:00:00+05:30,44.8,44.9,43.55,43.9,4979
2008-04-16 00:00:00+05:30,44.0,44.85,43.4,43.5,4911
2008-04-17 00:00:00+05:30,43.5,44.1,42.55,43.6,2880
2008-04-21 00:00:00+05:30,45.35,45.75,43.6,45.5,11342
2008-04-22 00:00:00+05:30,44.55,46.0,44.55,45.15,2739
2008-04-23 00:00:00+05:30,43.55,45.95,43.55,44.2,6385
2008-04-24 00:00:00+05:30,45.4,45.5,43.9,44.05,2717
2008-04-25 00:00:00+05:30,44.05,45.4,43.6,44.05,2636
2008-04-28 00:00:00+05:30,42.25,46.25,42.25,42.7,58345
2008-04-29 00:00:00+05:30,43.85,43.95,42.3,42.75,10209
2008-04-30 00:00:00+05:30,43.8,43.8,42.0,42.35,12522
2008-05-02 00:00:00+05:30,43.9,43.9,40.75,43.05,14053
2008-05-05 00:00:00+05:30,44.0,44.0,41.2,42.1,9391
2008-05-06 00:00:00+05:30,42.5,44.2,41.65,44.2,12022
2008-05-07 00:00:00+05:30,46.35,46.4,45.0,46.4,24032
2008-05-08 00:00:00+05:30,48.7,48.7,47.0,48.7,40469
2008-05-09 00:00:00+05:30,49.9,51.1,46.35,47.25,35877
2008-05-12 00:00:00+05:30,45.2,46.8,44.9,45.3,12766
2008-05-13 00:00:00+05:30,45.0,46.4,43.05,43.2,13575
2008-05-14 00:00:00+05:30,42.5,43.9,42.5,43.0,6658
2008-05-15 00:00:00+05:30,44.65,44.65,43.2,43.3,4286
2008-05-16 00:00:00+05:30,44.5,44.9,42.0,43.0,7089
2008-05-20 00:00:00+05:30,43.1,45.15,43.0,44.75,13135
2008-05-21 00:00:00+05:30,45.7,45.7,43.25,43.8,3280
2008-05-22 00:00:00+05:30,45.85,45.85,43.0,43.75,2763
2008-05-23 00:00:00+05:30,43.1,44.5,42.0,42.7,7984
2008-05-26 00:00:00+05:30,43.25,43.25,40.65,41.05,2461
2008-05-27 00:00:00+05:30,39.1,42.85,39.1,40.04,6029
2008-05-28 00:00:00+05:30,41.0,41.0,39.0,39.04,2547
2008-05-29 00:00:00+05:30,40.0,40.5,38.25,38.7,4558
