date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,184.1,194.0,184.1,187.45,161160
2008-01-02 00:00:00+05:30,187.0,199.0,187.0,189.95,104520
2008-01-03 00:00:00+05:30,189.0,191.05,184.5,185.85,26739
2008-01-04 00:00:00+05:30,187.0,189.0,179.2,181.75,44267
2008-01-07 00:00:00+05:30,178.2,184.95,178.0,180.6,21042
2008-01-08 00:00:00+05:30,178.0,184.0,173.5,175.15,32816
2008-01-09 00:00:00+05:30,165.0,173.4,165.0,170.95,19040
2008-01-10 00:00:00+05:30,169.0,181.0,169.0,174.05,72354
2008-01-11 00:00:00+05:30,179.4,179.4,168.05,169.4,22214
2008-01-14 00:00:00+05:30,170.0,172.0,166.1,170.5,28131
2008-01-15 00:00:00+05:30,171.1,173.0,164.0,165.35,17091
2008-01-16 00:00:00+05:30,164.15,167.0,161.3,162.94,9873
2008-01-17 00:00:00+05:30,163.5,168.0,162.5,165.1,13668
2008-01-18 00:00:00+05:30,163.0,163.0,155.25,157.35,19755
2008-01-21 00:00:00+05:30,155.35,155.35,135.1,137.65,22011
2008-01-22 00:00:00+05:30,132.0,141.0,121.0,131.44,22523
2008-01-23 00:00:00+05:30,133.0,137.94,133.0,136.05,35827
2008-01-24 00:00:00+05:30,146.8,146.8,125.0,129.55,29953
2008-01-25 00:00:00+05:30,128.1,133.5,128.0,132.35,11221
2008-01-28 00:00:00+05:30,132.0,133.44,128.5,131.5,11073
2008-01-29 00:00:00+05:30,134.0,137.0,129.0,131.19,20596
2008-01-30 00:00:00+05:30,132.9,132.9,129.0,129.69,7495
2008-01-31 00:00:00+05:30,130.0,131.69,128.0,128.5,7847
2008-02-01 00:00:00+05:30,131.4,131.4,125.1,128.05,6144
2008-02-04 00:00:00+05:30,130.0,134.0,130.0,132.8,6102
2008-02-05 00:00:00+05:30,132.8,135.0,131.5,134.55,9905
2008-02-06 00:00:00+05:30,131.0,135.8,130.0,134.0,4134
2008-02-07 00:00:00+05:30,134.0,136.65,130.69,131.55,6550
2008-02-08 00:00:00+05:30,130.8,131.55,126.6,127.6,8649
2008-02-11 00:00:00+05:30,126.3,129.0,123.15,124.8,6254
2008-02-12 00:00:00+05:30,128.0,128.0,115.0,124.7,30249
2008-02-13 00:00:00+05:30,126.75,128.75,121.45,123.8,9559
2008-02-14 00:00:00+05:30,126.65,127.5,123.25,126.3,3237
2008-02-15 00:00:00+05:30,126.3,129.3,126.3,128.8,3025
2008-02-18 00:00:00+05:30,130.0,130.6,128.05,129.19,8871
2008-02-19 00:00:00+05:30,129.35,135.0,126.0,129.1,14040
2008-02-20 00:00:00+05:30,129.9,131.0,125.0,126.2,24040
2008-02-21 00:00:00+05:30,128.69,130.5,126.4,128.65,7445
2008-02-22 00:00:00+05:30,123.25,131.5,123.0,128.8,9808
2008-02-25 00:00:00+05:30,127.15,129.75,126.85,129.1,6956
2008-02-26 00:00:00+05:30,129.94,131.44,128.0,130.19,7135
2008-02-27 00:00:00+05:30,128.1,131.0,126.15,128.3,19005
2008-02-28 00:00:00+05:30,127.05,129.0,126.75,127.15,12794
2008-02-29 00:00:00+05:30,128.9,129.0,125.6,126.5,7453
2008-03-03 00:00:00+05:30,120.1,128.4,120.0,125.15,16061
2008-03-04 00:00:00+05:30,123.9,125.0,121.0,124.3,11806
2008-03-05 00:00:00+05:30,123.05,123.05,120.05,122.0,11809
2008-03-07 00:00:00+05:30,118.25,123.0,117.35,119.85,26907
2008-03-10 00:00:00+05:30,118.8,123.05,112.2,121.25,46048
2008-03-11 00:00:00+05:30,118.05,128.55,117.5,127.9,24358
2008-03-12 00:00:00+05:30,129.9,132.0,123.1,124.0,16742
2008-03-13 00:00:00+05:30,120.15,123.5,120.0,120.3,11791
2008-03-14 00:00:00+05:30,118.0,122.0,117.0,117.8,8886
2008-03-17 00:00:00+05:30,116.3,118.85,110.1,111.15,12640
2008-03-18 00:00:00+05:30,109.1,112.6,103.8,104.75,64586
2008-03-19 00:00:00+05:30,109.9,110.0,101.05,103.3,15633
2008-03-24 00:00:00+05:30,106.4,107.5,95.15,97.9,26946
2008-03-25 00:00:00+05:30,99.5,105.95,99.5,104.45,31617
2008-03-26 00:00:00+05:30,104.0,105.4,102.15,102.8,95248
2008-03-27 00:00:00+05:30,100.25,103.5,100.25,102.25,15783
2008-03-28 00:00:00+05:30,101.0,111.0,100.55,107.85,17369
2008-03-31 00:00:00+05:30,107.85,110.0,107.55,108.35,17169
2008-04-01 00:00:00+05:30,109.0,109.9,107.5,108.4,5288
2008-04-02 00:00:00+05:30,110.0,111.5,109.2,110.85,3639
2008-04-03 00:00:00+05:30,110.1,112.75,110.1,110.95,3112
2008-04-04 00:00:00+05:30,110.2,111.5,106.15,107.85,6932
2008-04-07 00:00:00+05:30,107.05,108.5,106.25,106.3,14102
2008-04-08 00:00:00+05:30,107.4,107.4,102.0,102.6,23581
2008-04-09 00:00:00+05:30,103.9,107.5,103.9,107.25,8320
2008-04-10 00:00:00+05:30,107.75,116.9,107.75,112.8,15073
2008-04-11 00:00:00+05:30,109.0,115.15,109.0,114.2,6481
2008-04-15 00:00:00+05:30,114.0,120.7,112.1,119.45,10482
2008-04-16 00:00:00+05:30,120.0,122.0,119.45,120.4,6336
2008-04-17 00:00:00+05:30,121.0,124.1,120.3,122.4,5807
2008-04-21 00:00:00+05:30,125.5,125.5,121.0,122.75,2241
2008-04-22 00:00:00+05:30,113.55,126.7,113.55,125.35,7064
2008-04-23 00:00:00+05:30,123.25,131.0,123.1,129.25,15239
2008-04-24 00:00:00+05:30,128.9,128.9,123.5,125.85,5231
2008-04-25 00:00:00+05:30,124.05,125.55,119.1,120.95,9080
2008-04-28 00:00:00+05:30,122.9,123.7,118.0,118.65,8719
2008-04-29 00:00:00+05:30,118.0,123.5,118.0,121.5,4127
2008-04-30 00:00:00+05:30,121.15,124.5,120.6,123.6,6716
2008-05-02 00:00:00+05:30,123.5,127.5,123.25,126.55,7895
2008-05-05 00:00:00+05:30,127.0,130.5,127.0,128.3,13178
2008-05-06 00:00:00+05:30,125.0,125.0,120.3,121.4,16495
2008-05-07 00:00:00+05:30,120.6,121.9,118.65,119.4,8781
2008-05-08 00:00:00+05:30,118.2,119.7,115.05,117.65,8830
2008-05-09 00:00:00+05:30,118.5,119.5,117.05,118.1,2543
2008-05-12 00:00:00+05:30,117.9,117.9,115.0,115.75,5546
