date,open,high,low,close,volume
2024-12-27 00:00:00+05:30,832.0,859.95,800.5,828.45,674307
2024-12-30 00:00:00+05:30,820.05,822.15,745.0,751.7,210748
2024-12-31 00:00:00+05:30,753.0,786.75,736.6,744.05,442975
2025-01-01 00:00:00+05:30,744.1,753.05,731.0,739.35,191706
2025-01-02 00:00:00+05:30,740.05,823.95,735.5,812.4,258992
2025-01-03 00:00:00+05:30,809.1,814.8,779.25,789.6,51195
2025-01-06 00:00:00+05:30,788.95,788.95,728.7,741.85,78816
2025-01-07 00:00:00+05:30,745.05,783.25,742.0,777.15,46419
2025-01-08 00:00:00+05:30,771.3,780.0,736.9,759.8,38709
2025-01-09 00:00:00+05:30,759.5,763.15,739.85,743.65,31243
2025-01-10 00:00:00+05:30,747.4,747.4,695.0,700.85,30366
2025-01-13 00:00:00+05:30,685.0,701.5,632.9,638.25,47750
2025-01-14 00:00:00+05:30,664.95,690.0,641.0,680.35,56113
2025-01-15 00:00:00+05:30,694.65,694.65,662.25,668.2,17922
2025-01-16 00:00:00+05:30,693.6,716.35,681.0,690.6,45138
2025-01-17 00:00:00+05:30,697.8,735.0,671.1,677.5,48054
2025-01-20 00:00:00+05:30,766.05,772.0,713.6,722.3,84502
2025-01-21 00:00:00+05:30,727.5,730.0,692.4,722.35,29434
2025-01-22 00:00:00+05:30,735.3,735.3,688.0,702.6,32902
2025-01-23 00:00:00+05:30,697.95,697.95,658.65,669.95,19874
2025-01-24 00:00:00+05:30,665.75,675.85,637.0,643.85,21926
2025-01-27 00:00:00+05:30,643.8,643.8,579.0,586.15,22075
2025-01-28 00:00:00+05:30,588.05,680.0,560.0,657.05,86078
2025-01-29 00:00:00+05:30,660.75,688.65,645.65,680.05,36932
2025-01-30 00:00:00+05:30,675.05,721.0,670.05,688.15,23826
2025-01-31 00:00:00+05:30,682.05,699.85,669.05,683.3,9488
2025-02-01 00:00:00+05:30,694.6,706.95,657.3,668.95,18801
2025-02-03 00:00:00+05:30,651.1,668.35,621.0,639.95,7619
2025-02-04 00:00:00+05:30,652.75,667.45,646.0,661.05,12862
2025-02-05 00:00:00+05:30,674.8,687.55,663.55,675.6,15907
2025-02-06 00:00:00+05:30,674.7,677.75,648.05,654.0,4300
2025-02-07 00:00:00+05:30,665.35,703.0,652.25,666.5,57335
2025-02-10 00:00:00+05:30,666.0,680.55,643.3,648.1,24330
2025-02-11 00:00:00+05:30,640.05,650.8,619.55,635.0,21132
2025-02-12 00:00:00+05:30,640.0,650.6,610.2,642.2,14131
2025-02-13 00:00:00+05:30,647.6,662.75,637.9,653.8,8937
2025-02-14 00:00:00+05:30,560.5,565.0,523.05,523.05,101331
2025-02-17 00:00:00+05:30,472.2,494.85,451.0,468.55,128142
2025-02-18 00:00:00+05:30,477.95,482.25,445.05,453.0,45840
2025-02-19 00:00:00+05:30,451.15,473.75,448.0,460.6,6403
2025-02-20 00:00:00+05:30,452.05,485.0,442.85,479.5,10940
2025-02-21 00:00:00+05:30,478.0,492.15,452.0,463.55,11017
2025-02-24 00:00:00+05:30,448.9,453.5,431.8,434.1,20072
2025-02-25 00:00:00+05:30,430.05,443.0,424.35,436.05,5534
2025-02-27 00:00:00+05:30,437.8,441.85,415.55,434.65,8879
2025-02-28 00:00:00+05:30,449.95,449.95,420.0,439.15,4565
2025-03-03 00:00:00+05:30,430.4,448.5,424.25,431.5,3720
2025-03-04 00:00:00+05:30,409.05,445.95,409.05,443.45,2888
2025-03-05 00:00:00+05:30,443.45,477.0,443.45,472.85,5460
2025-03-06 00:00:00+05:30,473.05,520.1,464.0,503.3,20510
2025-03-07 00:00:00+05:30,500.5,513.0,496.6,502.5,6056
2025-03-10 00:00:00+05:30,485.5,518.3,485.5,513.55,7320
2025-03-11 00:00:00+05:30,490.05,554.2,490.05,538.05,13987
2025-03-12 00:00:00+05:30,544.95,548.0,525.55,532.35,5129
2025-03-13 00:00:00+05:30,530.9,539.4,508.4,515.15,3916
2025-03-17 00:00:00+05:30,514.75,522.2,500.7,508.8,5988
2025-03-18 00:00:00+05:30,514.35,533.5,505.6,526.25,7217
2025-03-19 00:00:00+05:30,533.8,533.8,515.0,518.1,3635
2025-03-20 00:00:00+05:30,508.8,529.0,508.8,521.2,7415
2025-03-21 00:00:00+05:30,527.0,548.0,515.8,537.85,14075
2025-03-24 00:00:00+05:30,554.1,567.1,512.7,519.1,9528
2025-03-25 00:00:00+05:30,520.0,535.85,504.5,509.95,15483
2025-03-26 00:00:00+05:30,510.15,526.3,498.0,504.85,8969
2025-03-27 00:00:00+05:30,487.05,528.0,487.05,507.7,9743
2025-03-28 00:00:00+05:30,515.05,518.55,491.3,495.0,7555
2025-04-01 00:00:00+05:30,475.3,500.4,475.3,486.15,6765
2025-04-02 00:00:00+05:30,493.0,509.05,479.0,490.3,10506
2025-04-03 00:00:00+05:30,489.8,539.3,480.0,539.3,19013
2025-04-04 00:00:00+05:30,539.35,585.95,532.05,539.85,41995
2025-04-07 00:00:00+05:30,490.0,524.05,481.3,514.85,8099
2025-04-08 00:00:00+05:30,535.0,542.8,514.25,536.45,11185
2025-04-09 00:00:00+05:30,536.2,537.75,514.7,519.35,11112
2025-04-11 00:00:00+05:30,525.6,553.05,511.25,516.5,17605
2025-04-15 00:00:00+05:30,521.55,539.1,520.9,526.55,6280
2025-04-16 00:00:00+05:30,528.65,535.5,526.35,529.7,4530
2025-04-17 00:00:00+05:30,527.45,558.5,524.95,553.4,15407
2025-04-21 00:00:00+05:30,570.5,574.15,557.35,560.45,5334
2025-04-22 00:00:00+05:30,562.0,565.15,540.85,545.8,9025
2025-04-23 00:00:00+05:30,552.0,552.5,531.0,540.3,14292
2025-04-24 00:00:00+05:30,539.3,545.0,525.0,526.9,3291
2025-04-25 00:00:00+05:30,527.0,528.95,503.25,510.1,8004
2025-04-28 00:00:00+05:30,502.0,524.75,502.0,514.85,13222
2025-04-29 00:00:00+05:30,524.4,527.15,516.25,518.3,1370
2025-04-30 00:00:00+05:30,516.0,516.05,501.55,505.7,2850
2025-05-02 00:00:00+05:30,498.0,513.25,494.0,497.4,14173
2025-05-05 00:00:00+05:30,495.0,508.4,495.0,504.65,12669
2025-05-06 00:00:00+05:30,504.2,506.5,491.25,493.6,6622
2025-05-07 00:00:00+05:30,488.85,503.55,487.75,500.8,2707
2025-05-08 00:00:00+05:30,500.6,513.55,492.0,493.05,3241
2025-05-09 00:00:00+05:30,475.0,491.4,475.0,486.3,1564
2025-05-12 00:00:00+05:30,504.35,515.0,502.8,512.15,2335
2025-05-13 00:00:00+05:30,518.95,527.45,511.95,515.0,4723
2025-05-14 00:00:00+05:30,519.35,535.7,518.05,527.6,7044
2025-05-15 00:00:00+05:30,527.65,545.0,527.65,543.1,16882
2025-05-16 00:00:00+05:30,533.05,605.0,533.05,584.0,23666
2025-05-19 00:00:00+05:30,593.55,622.0,593.55,604.9,16247
2025-05-20 00:00:00+05:30,610.0,617.6,584.5,588.7,5317
2025-05-21 00:00:00+05:30,601.15,623.9,596.6,617.2,8276
2025-05-22 00:00:00+05:30,614.9,620.0,607.05,610.85,5597
2025-05-23 00:00:00+05:30,614.1,649.5,611.25,644.7,13080
2025-05-26 00:00:00+05:30,664.6,664.6,591.7,598.95,44001
2025-05-27 00:00:00+05:30,606.95,608.2,595.35,599.0,12062
2025-05-28 00:00:00+05:30,600.05,606.7,592.0,594.95,4475
2025-05-29 00:00:00+05:30,604.95,605.25,592.0,594.6,17263
2025-05-30 00:00:00+05:30,605.95,605.95,585.85,587.45,17138
2025-06-02 00:00:00+05:30,588.0,595.0,586.0,588.75,12091
