date,open,high,low,close,volume
2018-06-25 00:00:00+05:30,6.25,6.25,6.25,6.25,2002
2018-07-13 00:00:00+05:30,7.5,7.5,7.5,7.5,2
2018-07-16 00:00:00+05:30,9.0,9.0,9.0,9.0,2
2018-07-17 00:00:00+05:30,9.45,9.45,9.45,9.45,2
2018-07-18 00:00:00+05:30,9.9,9.9,9.9,9.9,2
2018-07-19 00:00:00+05:30,10.4,10.4,10.4,10.4,2
2018-07-20 00:00:00+05:30,10.95,10.95,10.95,10.95,2
2018-07-23 00:00:00+05:30,11.5,11.5,11.5,11.5,2
2018-07-24 00:00:00+05:30,12.05,12.05,12.05,12.05,2
2018-07-25 00:00:00+05:30,12.65,12.65,12.65,12.65,2
2018-07-26 00:00:00+05:30,13.3,13.3,13.3,13.3,4
2018-07-27 00:00:00+05:30,13.95,13.95,13.95,13.95,2
2018-07-30 00:00:00+05:30,14.65,14.65,14.65,14.65,2
2018-08-09 00:00:00+05:30,15.35,15.35,15.35,15.35,20
2018-08-13 00:00:00+05:30,16.1,16.1,16.1,16.1,100
2018-08-14 00:00:00+05:30,16.9,16.9,16.9,16.9,100
2018-08-27 00:00:00+05:30,17.7,17.7,17.7,17.7,206
2018-09-03 00:00:00+05:30,18.6,18.6,18.6,18.6,200
2018-09-10 00:00:00+05:30,19.5,19.5,19.5,19.5,202
2018-09-17 00:00:00+05:30,20.5,20.5,20.5,20.5,200
2018-10-01 00:00:00+05:30,21.5,21.5,21.5,21.5,200
2019-05-23 00:00:00+05:30,22.6,22.6,22.6,22.6,2
2019-06-20 00:00:00+05:30,23.7,23.7,23.7,23.7,2
2019-08-16 00:00:00+05:30,24.9,24.9,24.9,24.9,6
2019-08-28 00:00:00+05:30,26.1,26.1,26.1,26.1,2
2019-09-09 00:00:00+05:30,27.35,27.35,27.35,27.35,10
2019-09-26 00:00:00+05:30,28.7,28.7,28.7,28.7,2
2019-09-30 00:00:00+05:30,29.95,29.95,29.95,29.95,2
2019-10-11 00:00:00+05:30,31.25,31.45,31.25,31.45,4
2019-12-02 00:00:00+05:30,33.0,33.0,33.0,33.0,100
2020-01-27 00:00:00+05:30,31.35,31.35,31.35,31.35,200
2020-04-15 00:00:00+05:30,31.35,31.35,31.35,31.35,40
2020-05-15 00:00:00+05:30,29.8,29.8,29.8,29.8,2
2020-06-08 00:00:00+05:30,30.95,30.95,30.95,30.95,2
2020-07-20 00:00:00+05:30,30.35,30.35,30.35,30.35,2
2020-07-21 00:00:00+05:30,28.85,28.85,28.85,28.85,2
2020-07-27 00:00:00+05:30,27.4,27.4,27.4,27.4,2
2020-07-29 00:00:00+05:30,26.05,26.05,26.05,26.05,2
2020-07-31 00:00:00+05:30,24.75,24.75,24.75,24.75,2
2020-08-03 00:00:00+05:30,23.55,24.85,23.55,24.85,112
2020-08-05 00:00:00+05:30,23.65,23.65,23.65,23.65,2
2020-08-06 00:00:00+05:30,22.45,24.8,22.45,23.65,340
2020-08-12 00:00:00+05:30,23.65,23.65,23.65,23.65,2
2020-08-13 00:00:00+05:30,23.65,23.65,23.65,23.65,2
2020-08-26 00:00:00+05:30,23.65,23.65,23.65,23.65,2
2020-10-30 00:00:00+05:30,22.45,22.45,22.45,22.45,2
2020-11-17 00:00:00+05:30,21.35,21.35,21.35,21.35,600
2020-11-18 00:00:00+05:30,21.35,21.35,21.35,21.35,2
2020-11-25 00:00:00+05:30,20.3,20.3,20.3,20.3,600
2020-12-08 00:00:00+05:30,19.3,19.3,19.3,19.3,600
2020-12-09 00:00:00+05:30,18.35,18.35,18.35,18.35,600
2021-02-19 00:00:00+05:30,19.25,19.25,17.45,19.25,101822
2021-03-02 00:00:00+05:30,18.35,18.35,18.35,18.35,100000
2021-03-09 00:00:00+05:30,17.6,17.6,17.6,17.6,34000
2021-03-18 00:00:00+05:30,16.75,16.75,16.75,16.75,68000
2021-04-07 00:00:00+05:30,16.0,16.0,16.0,16.0,104740
2021-04-26 00:00:00+05:30,16.0,16.0,16.0,16.0,14896
2021-05-10 00:00:00+05:30,16.8,16.8,16.8,16.8,4
2021-05-17 00:00:00+05:30,17.65,17.65,17.65,17.65,2
2021-05-31 00:00:00+05:30,18.5,18.5,18.5,18.5,73436
2021-07-14 00:00:00+05:30,19.45,19.45,19.45,19.45,2
2021-08-09 00:00:00+05:30,20.4,20.4,20.4,20.4,50
2021-08-11 00:00:00+05:30,21.4,21.4,21.4,21.4,50
2021-09-07 00:00:00+05:30,22.45,22.45,22.45,22.45,20
2021-10-26 00:00:00+05:30,23.55,23.55,23.55,23.55,2
2021-10-27 00:00:00+05:30,24.7,24.7,24.7,24.7,2
2021-11-01 00:00:00+05:30,25.95,25.95,25.95,25.95,4
2021-11-02 00:00:00+05:30,27.2,27.2,27.2,27.2,400
2021-11-03 00:00:00+05:30,28.55,28.55,28.55,28.55,2
2021-11-04 00:00:00+05:30,30.0,30.0,30.0,30.0,2
2021-11-11 00:00:00+05:30,31.5,31.5,31.5,31.5,2
2021-12-01 00:00:00+05:30,33.05,33.05,33.05,33.05,2
2021-12-15 00:00:00+05:30,34.7,34.7,34.7,34.7,2
2022-02-16 00:00:00+05:30,36.45,36.45,36.45,36.45,2
2022-03-21 00:00:00+05:30,38.25,38.25,38.25,38.25,2
2022-03-22 00:00:00+05:30,40.15,40.15,40.15,40.15,2
2022-03-23 00:00:00+05:30,42.15,42.15,42.15,42.15,2
2022-03-24 00:00:00+05:30,44.25,44.25,44.25,44.25,2
2022-03-25 00:00:00+05:30,46.45,46.45,46.45,46.45,38
2022-03-28 00:00:00+05:30,48.75,48.75,48.75,48.75,2
2022-03-29 00:00:00+05:30,51.15,51.15,51.15,51.15,2
2022-03-30 00:00:00+05:30,53.7,53.7,53.7,53.7,2
2022-03-31 00:00:00+05:30,56.4,56.4,56.4,56.4,2
2022-04-05 00:00:00+05:30,59.2,59.2,59.2,59.2,2
2022-04-20 00:00:00+05:30,62.15,62.15,62.15,62.15,2
2022-04-25 00:00:00+05:30,65.25,65.25,65.25,65.25,2
2022-04-26 00:00:00+05:30,68.5,68.5,68.5,68.5,2
2022-04-27 00:00:00+05:30,71.9,71.9,71.9,71.9,2
2022-06-10 00:00:00+05:30,75.5,75.5,75.5,75.5,10
2022-06-23 00:00:00+05:30,79.25,79.25,79.25,79.25,2
2022-07-01 00:00:00+05:30,83.2,83.2,83.2,83.2,716116
2022-07-06 00:00:00+05:30,87.35,87.35,87.35,87.35,2
2022-08-22 00:00:00+05:30,91.7,91.7,91.7,91.7,100
2022-09-13 00:00:00+05:30,96.3,96.3,96.3,96.3,4
2022-09-14 00:00:00+05:30,101.1,101.1,101.1,101.1,2
2022-09-15 00:00:00+05:30,106.15,106.15,106.15,106.15,2
2022-09-19 00:00:00+05:30,111.45,111.45,111.45,111.45,2
2022-09-22 00:00:00+05:30,117.0,117.0,117.0,117.0,2
2022-09-23 00:00:00+05:30,122.85,122.85,122.85,122.85,2
2022-09-26 00:00:00+05:30,128.95,128.95,128.95,128.95,2
2022-09-27 00:00:00+05:30,135.4,135.4,135.4,135.4,2
2022-10-04 00:00:00+05:30,142.15,142.15,142.15,142.15,17286
2022-10-06 00:00:00+05:30,149.25,149.25,149.25,149.25,6000
2022-10-07 00:00:00+05:30,156.7,156.7,156.7,156.7,100
2022-10-10 00:00:00+05:30,164.5,164.5,164.5,164.5,140
2022-10-11 00:00:00+05:30,172.75,172.75,172.75,172.75,10
2022-10-12 00:00:00+05:30,181.35,181.35,181.35,181.35,2010
2022-10-13 00:00:00+05:30,190.4,190.4,190.4,190.4,2000
2022-10-14 00:00:00+05:30,199.5,199.9,199.5,199.9,734
2022-10-17 00:00:00+05:30,209.9,209.9,209.9,209.9,40
2022-10-18 00:00:00+05:30,220.35,220.35,220.35,220.35,40
2022-10-19 00:00:00+05:30,231.35,231.35,231.35,231.35,40
2022-10-20 00:00:00+05:30,242.9,242.9,242.9,242.9,1240
2022-10-21 00:00:00+05:30,255.05,255.05,255.05,255.05,2704
2022-10-24 00:00:00+05:30,267.8,267.8,267.8,267.8,2314
2022-10-25 00:00:00+05:30,281.15,281.15,279.85,281.15,5800
2022-10-27 00:00:00+05:30,295.2,295.2,295.2,295.2,126
2022-10-28 00:00:00+05:30,309.95,309.95,309.95,309.95,2864
2022-10-31 00:00:00+05:30,325.45,325.45,325.45,325.45,376
2022-11-01 00:00:00+05:30,341.7,341.7,341.7,341.7,478
2022-11-02 00:00:00+05:30,358.75,358.75,358.75,358.75,88
2022-11-03 00:00:00+05:30,376.7,376.7,376.7,376.7,2
2022-11-04 00:00:00+05:30,395.5,395.5,395.5,395.5,49
2022-11-07 00:00:00+05:30,415.25,415.25,403.45,415.25,12003
2022-11-09 00:00:00+05:30,436.0,436.0,430.0,436.0,13000
2022-11-10 00:00:00+05:30,457.8,457.8,457.8,457.8,2888
2022-11-11 00:00:00+05:30,480.65,480.65,480.65,480.65,566
2022-11-14 00:00:00+05:30,504.65,504.65,504.65,504.65,4307
2022-11-15 00:00:00+05:30,529.85,529.85,479.45,506.45,26029
2022-11-16 00:00:00+05:30,481.15,481.15,481.15,481.15,4080
2022-11-17 00:00:00+05:30,457.1,457.1,457.1,457.1,706
