date,open,high,low,close,volume
2017-09-11 00:00:00+05:30,10.0,10.0,10.0,10.0,5
2017-09-12 00:00:00+05:30,10.0,10.5,10.0,10.5,10
2017-09-13 00:00:00+05:30,11.0,11.0,11.0,11.0,5
2017-09-14 00:00:00+05:30,11.55,11.55,11.55,11.55,5
2017-09-15 00:00:00+05:30,12.12,12.12,12.12,12.12,5
2017-09-18 00:00:00+05:30,12.72,12.72,12.72,12.72,5
2017-09-19 00:00:00+05:30,13.35,13.35,13.35,13.35,5
2017-09-20 00:00:00+05:30,14.01,14.01,14.01,14.01,5
2017-09-26 00:00:00+05:30,14.71,14.71,14.71,14.71,100
2017-10-04 00:00:00+05:30,15.44,15.44,15.44,15.44,5
2017-10-05 00:00:00+05:30,16.2,16.2,16.2,16.2,5
2017-11-02 00:00:00+05:30,17.0,17.0,17.0,17.0,60
2017-11-24 00:00:00+05:30,17.0,17.0,17.0,17.0,100
2018-01-30 00:00:00+05:30,17.85,17.85,17.85,17.85,1
2018-07-12 00:00:00+05:30,17.85,17.85,17.85,17.85,10
2018-10-03 00:00:00+05:30,17.0,17.0,17.0,17.0,15
2018-10-08 00:00:00+05:30,16.15,16.15,16.15,16.15,1
2019-08-08 00:00:00+05:30,16.15,16.15,16.15,16.15,1
2019-08-27 00:00:00+05:30,15.35,15.35,15.35,15.35,1
2019-09-03 00:00:00+05:30,14.6,14.6,14.6,14.6,2
2019-09-19 00:00:00+05:30,13.9,13.9,13.9,13.9,1
2019-10-11 00:00:00+05:30,13.9,13.9,13.9,13.9,10
2019-10-23 00:00:00+05:30,13.9,13.9,13.9,13.9,10
2019-10-29 00:00:00+05:30,13.9,13.9,13.9,13.9,25
2019-11-01 00:00:00+05:30,13.35,13.35,13.35,13.35,2
2019-11-06 00:00:00+05:30,12.69,12.69,12.69,12.69,10
2019-12-02 00:00:00+05:30,12.1,12.1,12.1,12.1,2
2019-12-03 00:00:00+05:30,11.55,11.55,11.5,11.5,105
2020-01-02 00:00:00+05:30,11.0,11.0,11.0,11.0,14
2020-01-06 00:00:00+05:30,11.0,11.0,11.0,11.0,1
2020-02-06 00:00:00+05:30,10.5,10.5,10.5,10.5,5
2020-03-11 00:00:00+05:30,10.05,10.05,10.05,10.05,5
2020-03-19 00:00:00+05:30,9.6,9.6,9.6,9.6,5
2020-03-31 00:00:00+05:30,9.25,9.25,9.25,9.25,10
2020-05-18 00:00:00+05:30,8.8,8.8,8.8,8.8,10
2020-07-02 00:00:00+05:30,8.8,8.8,8.8,8.8,200
2020-07-10 00:00:00+05:30,8.4,8.4,8.4,8.4,2
2020-08-04 00:00:00+05:30,8.05,8.05,8.05,8.05,1
2020-08-21 00:00:00+05:30,8.05,8.05,8.05,8.05,10
