date,open,high,low,close,volume
2019-05-23 00:00:00+05:30,62.0,62.9,58.9,61.5,720000
2019-05-24 00:00:00+05:30,60.0,62.5,59.75,61.8,740000
2019-05-27 00:00:00+05:30,62.4,62.4,59.9,61.4,852000
2019-05-28 00:00:00+05:30,61.9,62.1,60.05,61.45,918000
2019-05-29 00:00:00+05:30,60.95,61.0,60.95,61.0,36000
2019-05-30 00:00:00+05:30,60.5,60.5,60.45,60.45,296000
2019-05-31 00:00:00+05:30,60.4,60.4,60.0,60.4,80000
2019-06-04 00:00:00+05:30,60.0,60.0,57.4,58.6,22000
2019-06-06 00:00:00+05:30,60.0,60.0,59.75,59.75,28000
2019-06-10 00:00:00+05:30,56.55,59.75,56.55,59.75,4000
2019-06-11 00:00:00+05:30,56.5,59.7,56.5,59.7,4000
2019-06-13 00:00:00+05:30,58.75,58.75,58.75,58.75,24000
2019-06-14 00:00:00+05:30,58.7,59.9,58.7,59.9,20000
2019-06-17 00:00:00+05:30,59.7,59.7,59.5,59.65,24000
2019-06-18 00:00:00+05:30,58.7,58.7,58.7,58.7,2000
2019-06-19 00:00:00+05:30,59.5,59.5,59.4,59.4,24000
2019-06-20 00:00:00+05:30,59.25,59.25,59.25,59.25,20000
2019-06-21 00:00:00+05:30,57.75,57.75,57.75,57.75,50000
2019-06-24 00:00:00+05:30,59.0,59.25,59.0,59.1,100000
2019-06-25 00:00:00+05:30,56.5,59.0,54.0,58.0,32000
2019-06-26 00:00:00+05:30,54.0,58.0,53.0,57.9,18000
2019-06-27 00:00:00+05:30,57.0,57.0,57.0,57.0,16000
2019-07-02 00:00:00+05:30,56.9,56.9,56.9,56.9,4000
2019-07-03 00:00:00+05:30,56.4,56.4,56.4,56.4,10000
2019-07-04 00:00:00+05:30,55.9,55.9,55.9,55.9,20000
2019-07-05 00:00:00+05:30,54.0,56.9,54.0,56.9,4000
2019-07-08 00:00:00+05:30,54.0,57.0,54.0,57.0,4000
2019-07-09 00:00:00+05:30,57.5,57.5,57.5,57.5,2000
2019-07-15 00:00:00+05:30,54.0,56.9,54.0,56.9,4000
2019-07-16 00:00:00+05:30,53.0,56.9,53.0,56.9,4000
2019-07-17 00:00:00+05:30,53.0,53.0,53.0,53.0,2000
2019-07-18 00:00:00+05:30,56.9,56.9,56.9,56.9,2000
2019-07-24 00:00:00+05:30,51.0,53.9,51.0,53.9,4000
2019-07-26 00:00:00+05:30,51.0,56.5,51.0,53.75,4000
2019-07-29 00:00:00+05:30,50.0,50.0,50.0,50.0,2000
2019-07-30 00:00:00+05:30,48.0,56.5,48.0,56.5,4000
2019-08-07 00:00:00+05:30,48.5,48.5,48.5,48.5,2000
2019-08-08 00:00:00+05:30,49.5,49.5,49.5,49.5,2000
2019-08-14 00:00:00+05:30,47.0,49.75,47.0,48.4,4000
2019-08-16 00:00:00+05:30,52.0,52.25,47.0,47.0,6000
2019-08-19 00:00:00+05:30,50.0,52.0,50.0,52.0,8000
2019-08-21 00:00:00+05:30,48.5,54.0,48.5,54.0,4000
2019-08-23 00:00:00+05:30,47.0,47.0,47.0,47.0,2000
2019-09-06 00:00:00+05:30,45.5,45.5,44.5,44.5,4000
2019-09-09 00:00:00+05:30,45.5,45.55,41.5,45.55,16000
2019-09-11 00:00:00+05:30,42.5,42.5,36.45,36.45,14000
2019-09-12 00:00:00+05:30,33.25,33.25,29.2,29.2,14000
2019-09-13 00:00:00+05:30,27.25,27.25,26.3,26.3,6000
2019-09-16 00:00:00+05:30,26.95,28.5,25.0,25.0,14000
2019-09-17 00:00:00+05:30,23.5,23.5,23.5,23.5,2000
2019-09-18 00:00:00+05:30,21.15,21.15,21.15,21.15,4000
2019-09-19 00:00:00+05:30,20.1,20.15,20.1,20.1,12000
2019-09-20 00:00:00+05:30,19.1,19.1,19.1,19.1,4000
2019-09-23 00:00:00+05:30,19.5,20.05,19.5,20.05,4000
2019-09-24 00:00:00+05:30,19.1,19.1,19.05,19.05,4000
2019-09-25 00:00:00+05:30,18.1,18.1,18.1,18.1,4000
2019-09-26 00:00:00+05:30,17.3,17.3,17.2,17.2,6000
2019-09-27 00:00:00+05:30,17.5,18.05,17.5,18.05,4000
2019-09-30 00:00:00+05:30,18.25,18.95,18.25,18.95,10000
2019-10-01 00:00:00+05:30,18.95,18.95,18.95,18.95,2000
2019-10-03 00:00:00+05:30,18.7,18.7,18.15,18.15,4000
2019-10-04 00:00:00+05:30,18.4,18.4,17.25,17.25,14000
2019-10-07 00:00:00+05:30,17.5,17.5,17.2,17.2,8000
2019-10-09 00:00:00+05:30,17.0,18.2,17.0,17.7,14000
2019-10-11 00:00:00+05:30,16.9,16.9,16.9,16.9,2000
2019-10-14 00:00:00+05:30,18.0,18.35,18.0,18.0,12000
