date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,8.11,8.11,8.11,8.11,200
2008-01-02 00:00:00+05:30,8.52,8.52,8.52,8.52,499
2008-01-03 00:00:00+05:30,8.94,8.94,8.94,8.94,300
2008-01-07 00:00:00+05:30,9.38,9.38,9.3,9.38,2011
2008-01-08 00:00:00+05:30,9.0,9.84,9.0,9.84,2300
2008-01-09 00:00:00+05:30,10.25,10.25,9.35,9.35,500
2008-01-10 00:00:00+05:30,9.8,9.8,9.8,9.8,50
2008-01-11 00:00:00+05:30,9.32,9.32,9.32,9.32,20
2008-01-17 00:00:00+05:30,9.69,9.69,9.69,9.69,50
2008-01-23 00:00:00+05:30,9.22,9.22,9.22,9.22,1
2008-01-24 00:00:00+05:30,8.76,8.76,8.76,8.76,100
2008-01-25 00:00:00+05:30,8.33,8.33,8.33,8.33,110
2008-01-28 00:00:00+05:30,7.92,7.92,7.92,7.92,300
2008-01-29 00:00:00+05:30,7.53,7.53,7.53,7.53,301
2008-01-30 00:00:00+05:30,7.16,7.16,7.16,7.16,1
2008-01-31 00:00:00+05:30,6.81,6.81,6.81,6.81,250
2008-02-01 00:00:00+05:30,6.47,6.47,6.47,6.47,151
2008-02-05 00:00:00+05:30,6.15,6.15,6.15,6.15,1
2008-02-06 00:00:00+05:30,5.85,5.85,5.85,5.85,1
2008-02-07 00:00:00+05:30,6.14,6.14,6.14,6.14,100
2008-02-08 00:00:00+05:30,6.44,6.44,6.44,6.44,100
2008-02-11 00:00:00+05:30,6.12,6.12,6.12,6.12,1
2008-02-12 00:00:00+05:30,5.82,6.42,5.82,6.42,100
2008-02-13 00:00:00+05:30,6.74,6.74,6.74,6.74,121
2008-02-14 00:00:00+05:30,7.0,7.0,7.0,7.0,168
2008-02-20 00:00:00+05:30,7.35,7.35,7.35,7.35,1
2008-02-21 00:00:00+05:30,6.99,6.99,6.99,6.99,110
2008-02-22 00:00:00+05:30,7.33,7.33,6.65,6.65,800
2008-02-25 00:00:00+05:30,6.32,6.98,6.32,6.98,427
2008-02-26 00:00:00+05:30,7.0,7.0,6.9,6.9,200
2008-02-28 00:00:00+05:30,7.0,7.0,7.0,7.0,200
2008-02-29 00:00:00+05:30,7.0,7.0,7.0,7.0,200
2008-03-04 00:00:00+05:30,6.66,6.66,6.66,6.66,43
2008-03-05 00:00:00+05:30,6.33,6.33,6.33,6.33,202
2008-03-07 00:00:00+05:30,6.02,6.02,6.02,6.02,200
2008-03-13 00:00:00+05:30,6.32,6.32,6.32,6.32,89
2008-03-19 00:00:00+05:30,6.3,6.3,6.3,6.3,200
2008-04-01 00:00:00+05:30,6.61,6.61,6.61,6.61,1
2008-04-04 00:00:00+05:30,6.94,6.94,6.94,6.94,102
2008-04-11 00:00:00+05:30,6.6,6.6,6.6,6.6,84
2008-04-22 00:00:00+05:30,6.93,6.93,6.93,6.93,200
2008-04-23 00:00:00+05:30,7.25,7.26,7.25,7.26,101
2008-04-24 00:00:00+05:30,7.62,7.62,7.62,7.62,54
2008-04-28 00:00:00+05:30,7.25,7.3,7.25,7.3,300
2008-04-30 00:00:00+05:30,6.95,7.24,6.95,7.24,201
2008-05-05 00:00:00+05:30,7.5,7.5,7.5,7.5,1
2008-05-06 00:00:00+05:30,7.7,7.7,7.13,7.13,201
2008-05-09 00:00:00+05:30,6.78,7.45,6.78,7.45,201
2008-05-12 00:00:00+05:30,7.1,7.8,7.1,7.8,203
2008-05-13 00:00:00+05:30,7.42,8.15,7.42,8.15,201
2008-05-14 00:00:00+05:30,7.75,8.5,7.75,8.5,103
