date,open,high,low,close,volume
2012-09-24 00:00:00+05:30,10.3,10.8,10.1,10.8,280000
2012-09-25 00:00:00+05:30,10.6,11.3,10.55,11.3,140000
2012-09-26 00:00:00+05:30,11.85,11.85,11.1,11.5,140000
2012-09-27 00:00:00+05:30,11.8,11.8,11.5,11.5,40000
2012-09-28 00:00:00+05:30,11.8,11.85,11.65,11.65,30000
2012-10-01 00:00:00+05:30,11.45,11.45,11.45,11.45,20000
2012-10-03 00:00:00+05:30,11.8,11.8,11.35,11.35,40000
2012-10-04 00:00:00+05:30,11.45,11.45,11.45,11.45,20000
2012-10-05 00:00:00+05:30,11.7,11.85,11.7,11.85,30000
2012-10-08 00:00:00+05:30,12.05,12.2,11.5,11.85,40000
2012-10-09 00:00:00+05:30,12.2,12.2,12.2,12.2,50000
2012-10-10 00:00:00+05:30,11.7,12.65,11.65,12.65,70000
2012-10-11 00:00:00+05:30,12.05,13.05,12.05,12.7,60000
2012-10-12 00:00:00+05:30,12.4,12.4,12.4,12.4,30000
2012-10-15 00:00:00+05:30,12.8,14.0,12.55,14.0,70000
2012-10-16 00:00:00+05:30,14.15,16.8,14.15,16.6,100000
2012-10-17 00:00:00+05:30,17.5,19.89,17.5,19.7,110000
2012-10-18 00:00:00+05:30,20.0,21.6,18.64,21.5,80000
2012-10-19 00:00:00+05:30,23.55,23.6,23.5,23.6,50000
2012-10-22 00:00:00+05:30,23.5,25.65,21.4,24.7,60000
2012-10-23 00:00:00+05:30,23.8,23.8,23.8,23.8,10000
2012-10-25 00:00:00+05:30,23.5,23.5,22.65,22.75,70000
2012-10-26 00:00:00+05:30,22.0,22.0,22.0,22.0,10000
2012-10-29 00:00:00+05:30,21.0,21.0,21.0,21.0,40000
2012-10-30 00:00:00+05:30,20.1,20.1,20.0,20.0,30000
2012-10-31 00:00:00+05:30,19.25,19.25,19.1,19.1,60000
2012-11-01 00:00:00+05:30,18.2,18.2,18.2,18.2,10000
2012-11-02 00:00:00+05:30,17.35,17.35,17.35,17.35,10000
2012-11-13 00:00:00+05:30,16.55,16.55,16.55,16.55,10000
2012-11-19 00:00:00+05:30,15.75,16.39,15.75,16.39,20000
2012-12-14 00:00:00+05:30,16.1,17.2,16.0,16.0,70000
2012-12-19 00:00:00+05:30,16.0,16.0,16.0,16.0,10000
2013-01-23 00:00:00+05:30,17.55,17.55,17.55,17.55,10000
2013-02-11 00:00:00+05:30,19.25,19.25,19.25,19.25,10000
2013-02-13 00:00:00+05:30,20.5,21.1,20.5,21.1,20000
2013-02-14 00:00:00+05:30,23.2,23.2,23.2,23.2,10000
2013-02-15 00:00:00+05:30,22.05,23.0,22.05,23.0,30000
2013-02-18 00:00:00+05:30,23.8,23.8,23.8,23.8,10000
2013-02-20 00:00:00+05:30,24.65,24.65,24.65,24.65,10000
