date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,33.95,33.95,33.95,33.95,51692
2008-01-02 00:00:00+05:30,35.6,35.6,35.6,35.6,149608
2008-01-03 00:00:00+05:30,37.35,37.35,37.35,37.35,47046
2008-01-04 00:00:00+05:30,39.2,39.2,39.2,39.2,31052
2008-01-07 00:00:00+05:30,41.15,41.15,41.15,41.15,69360
2008-01-08 00:00:00+05:30,43.2,43.2,39.1,41.15,1030744
2008-01-09 00:00:00+05:30,41.1,43.2,39.1,43.2,404475
2008-01-10 00:00:00+05:30,45.35,45.35,41.05,41.05,325709
2008-01-11 00:00:00+05:30,39.1,43.1,39.0,42.7,401266
2008-01-14 00:00:00+05:30,41.5,44.5,40.6,40.6,174218
2008-01-15 00:00:00+05:30,39.0,40.79,38.6,38.6,32710
2008-01-16 00:00:00+05:30,36.7,39.5,36.7,38.7,123845
2008-01-17 00:00:00+05:30,39.0,40.6,37.2,38.15,114341
2008-01-18 00:00:00+05:30,38.0,38.7,36.25,36.25,61209
2008-01-21 00:00:00+05:30,34.45,34.9,34.45,34.45,20680
2008-01-22 00:00:00+05:30,32.75,32.75,32.75,32.75,100
2008-01-23 00:00:00+05:30,31.15,31.15,31.15,31.15,281
2008-01-24 00:00:00+05:30,29.6,29.6,29.6,29.6,2015
2008-01-25 00:00:00+05:30,28.15,30.7,28.15,28.85,77191
2008-01-28 00:00:00+05:30,27.45,28.5,27.45,27.5,46044
2008-01-29 00:00:00+05:30,26.5,28.75,26.15,26.15,31633
2008-01-30 00:00:00+05:30,25.1,26.5,24.85,24.95,49126
2008-01-31 00:00:00+05:30,25.9,25.9,23.75,23.75,32458
2008-02-01 00:00:00+05:30,23.0,23.65,22.6,22.6,29805
2008-02-04 00:00:00+05:30,23.7,23.7,23.4,23.7,17413
2008-02-05 00:00:00+05:30,24.85,24.85,23.0,24.85,25542
2008-02-06 00:00:00+05:30,25.85,25.95,23.7,25.5,50466
2008-02-07 00:00:00+05:30,26.6,26.6,24.25,24.3,39380
2008-02-08 00:00:00+05:30,24.75,24.75,23.1,23.1,17007
2008-02-11 00:00:00+05:30,22.0,22.1,21.95,21.95,5675
2008-02-12 00:00:00+05:30,21.0,21.0,20.9,20.9,11000
2008-02-13 00:00:00+05:30,19.89,20.3,19.89,19.89,10980
2008-02-14 00:00:00+05:30,20.65,20.85,18.95,20.75,44335
2008-02-15 00:00:00+05:30,20.0,21.75,20.0,21.75,13719
2008-02-18 00:00:00+05:30,22.8,22.8,22.8,22.8,8653
2008-02-19 00:00:00+05:30,23.9,23.9,23.0,23.85,59065
2008-02-20 00:00:00+05:30,24.0,25.0,23.5,24.5,51705
2008-02-21 00:00:00+05:30,25.0,25.65,24.0,24.95,17070
2008-02-22 00:00:00+05:30,24.15,24.9,24.1,24.4,9790
2008-02-25 00:00:00+05:30,23.85,23.85,23.2,23.2,17708
2008-02-26 00:00:00+05:30,22.25,24.35,22.25,23.55,74698
2008-02-27 00:00:00+05:30,24.5,24.7,23.25,24.45,23471
2008-02-28 00:00:00+05:30,23.6,24.85,23.55,23.75,11673
2008-02-29 00:00:00+05:30,23.6,24.3,22.6,22.6,20933
2008-03-03 00:00:00+05:30,21.75,22.95,21.5,21.5,13256
2008-03-04 00:00:00+05:30,22.0,22.0,20.45,20.8,7959
2008-03-05 00:00:00+05:30,20.25,20.3,19.8,19.95,24580
2008-03-07 00:00:00+05:30,19.35,19.35,19.0,19.0,3470
2008-03-10 00:00:00+05:30,17.14,20.45,17.14,20.0,102093
2008-03-11 00:00:00+05:30,21.05,21.05,19.85,20.7,23816
2008-03-12 00:00:00+05:30,20.05,21.5,20.05,20.6,5634
2008-03-13 00:00:00+05:30,20.0,21.3,18.55,18.75,14257
2008-03-14 00:00:00+05:30,18.1,20.0,16.89,18.75,41143
2008-03-17 00:00:00+05:30,16.89,17.75,16.89,17.3,92025
2008-03-18 00:00:00+05:30,16.95,18.3,15.6,15.8,57844
2008-03-19 00:00:00+05:30,16.89,16.89,14.8,15.2,10638
2008-03-24 00:00:00+05:30,14.55,15.65,14.45,14.45,6925
2008-03-25 00:00:00+05:30,14.0,14.55,13.9,14.05,94582
2008-03-26 00:00:00+05:30,14.0,14.15,13.5,13.75,85661
2008-03-27 00:00:00+05:30,14.0,14.4,13.8,14.4,50199
2008-03-28 00:00:00+05:30,14.0,15.1,14.0,14.85,21353
2008-03-31 00:00:00+05:30,15.3,15.55,15.2,15.4,6198
2008-04-01 00:00:00+05:30,15.05,16.14,15.05,16.14,2433
2008-04-02 00:00:00+05:30,16.6,16.95,16.6,16.95,6227
2008-04-03 00:00:00+05:30,17.5,17.75,17.5,17.75,13545
2008-04-04 00:00:00+05:30,18.25,18.3,17.0,17.45,22370
2008-04-07 00:00:00+05:30,16.64,17.39,16.64,17.0,2280
2008-04-08 00:00:00+05:30,17.0,17.3,16.5,16.85,5784
2008-04-09 00:00:00+05:30,17.2,17.39,17.0,17.05,3808
2008-04-10 00:00:00+05:30,16.64,17.89,16.64,17.89,6863
2008-04-11 00:00:00+05:30,18.2,18.7,17.75,18.3,6762
2008-04-15 00:00:00+05:30,19.2,19.2,18.14,18.14,7072
2008-04-16 00:00:00+05:30,18.0,19.05,18.0,19.05,7954
2008-04-17 00:00:00+05:30,20.0,20.0,19.3,19.55,12770
2008-04-21 00:00:00+05:30,20.5,20.5,19.85,20.5,31332
2008-04-22 00:00:00+05:30,21.5,21.5,21.5,21.5,3552
2008-04-23 00:00:00+05:30,22.55,22.55,22.55,22.55,2439
2008-04-24 00:00:00+05:30,23.65,23.65,23.0,23.65,99847
2008-04-25 00:00:00+05:30,24.8,24.8,24.8,24.8,46169
2008-04-28 00:00:00+05:30,26.0,26.0,24.3,25.1,38426
2008-04-29 00:00:00+05:30,26.0,26.2,25.0,25.7,26227
2008-04-30 00:00:00+05:30,26.15,26.5,24.85,25.25,35716
2008-05-02 00:00:00+05:30,25.7,26.5,25.0,26.5,48589
2008-05-05 00:00:00+05:30,27.8,27.8,27.7,27.8,15413
2008-05-06 00:00:00+05:30,29.15,29.15,28.0,29.15,64641
2008-05-07 00:00:00+05:30,30.6,30.6,29.15,29.6,88092
2008-05-08 00:00:00+05:30,29.25,29.45,28.15,28.15,39476
2008-05-09 00:00:00+05:30,28.2,28.4,26.75,26.85,50867
2008-05-12 00:00:00+05:30,26.25,27.8,25.55,27.05,85899
2008-05-13 00:00:00+05:30,27.6,28.4,25.8,27.1,82501
2008-05-14 00:00:00+05:30,28.45,28.45,25.75,26.95,125870
2008-05-15 00:00:00+05:30,27.4,27.75,26.5,27.5,57068
2008-05-16 00:00:00+05:30,28.0,28.85,27.35,28.85,101149
2008-05-20 00:00:00+05:30,29.45,30.25,29.2,30.25,64096
2008-05-21 00:00:00+05:30,31.75,31.75,31.7,31.75,27444
2008-05-22 00:00:00+05:30,33.29,33.29,32.1,33.29,196534
2008-05-23 00:00:00+05:30,34.95,34.95,33.6,34.0,123675
2008-05-26 00:00:00+05:30,33.75,34.9,32.35,32.35,45632
2008-05-27 00:00:00+05:30,32.79,32.79,30.75,30.8,32135
2008-05-28 00:00:00+05:30,32.29,32.29,30.05,32.29,71161
2008-05-29 00:00:00+05:30,33.9,33.9,33.9,33.9,17520
2008-05-30 00:00:00+05:30,35.54,35.54,35.54,35.54,14142
2008-06-02 00:00:00+05:30,37.29,37.29,35.25,36.35,286209
2008-06-03 00:00:00+05:30,35.0,37.04,34.54,34.65,95802
2008-06-04 00:00:00+05:30,33.25,36.35,32.95,36.25,206733
2008-06-05 00:00:00+05:30,37.25,37.7,34.75,36.75,132570
2008-06-06 00:00:00+05:30,38.54,38.54,35.29,36.2,503877
2008-06-09 00:00:00+05:30,34.4,34.4,34.4,34.4,25000
2008-06-10 00:00:00+05:30,32.7,32.7,32.7,32.7,8100
2008-06-11 00:00:00+05:30,31.1,32.75,31.1,31.1,234981
2008-06-12 00:00:00+05:30,29.55,29.55,29.55,29.55,7017
2008-06-13 00:00:00+05:30,28.1,31.0,28.1,31.0,99310
2008-06-16 00:00:00+05:30,32.5,32.5,29.75,30.9,32104
2008-06-17 00:00:00+05:30,31.85,31.85,29.5,29.9,8069
2008-06-18 00:00:00+05:30,30.1,30.1,28.45,28.45,34322
2008-06-19 00:00:00+05:30,27.05,29.7,27.05,29.15,42251
2008-06-20 00:00:00+05:30,29.25,29.5,27.7,27.7,24776
2008-06-23 00:00:00+05:30,26.35,26.4,26.35,26.35,11625
2008-06-24 00:00:00+05:30,25.05,25.05,25.05,25.05,1835
2008-06-26 00:00:00+05:30,22.75,24.85,22.65,23.8,94582
2008-06-27 00:00:00+05:30,22.65,24.1,22.65,22.65,26851
2008-06-30 00:00:00+05:30,21.75,22.4,21.55,21.55,15604
2008-07-01 00:00:00+05:30,20.9,21.85,20.5,20.5,7889
2008-07-02 00:00:00+05:30,19.7,21.5,19.5,20.95,52806
2008-07-03 00:00:00+05:30,20.0,20.95,19.95,19.95,13446
2008-07-04 00:00:00+05:30,19.2,20.9,19.2,20.9,10401
2008-07-07 00:00:00+05:30,21.7,21.9,20.65,21.9,9099
2008-07-08 00:00:00+05:30,21.05,22.9,20.9,22.85,11116
2008-07-09 00:00:00+05:30,23.4,23.55,22.3,23.5,19478
2008-07-10 00:00:00+05:30,23.45,23.5,22.65,23.0,8660
2008-07-11 00:00:00+05:30,22.05,23.6,22.0,22.0,7214
2008-07-14 00:00:00+05:30,21.1,22.7,21.0,21.5,6590
2008-07-15 00:00:00+05:30,21.05,22.5,20.5,20.6,7564
2008-07-16 00:00:00+05:30,21.25,21.5,20.0,20.25,6968
