date,open,high,low,close,volume
2025-01-01 00:00:00+05:30,12.0,12.45,11.72,12.23,40755
2025-01-02 00:00:00+05:30,11.95,12.18,11.94,12.17,7986
2025-01-03 00:00:00+05:30,12.17,12.33,12.13,12.27,21170
2025-01-06 00:00:00+05:30,12.48,12.48,11.8,11.84,94689
2025-01-07 00:00:00+05:30,11.85,12.0,11.81,11.81,6563
2025-01-08 00:00:00+05:30,11.84,11.84,11.58,11.67,4104
2025-01-09 00:00:00+05:30,11.63,11.63,11.52,11.56,14200
2025-01-10 00:00:00+05:30,11.75,11.75,11.34,11.37,28158
2025-01-13 00:00:00+05:30,11.62,11.62,10.9,10.9,15916
2025-01-14 00:00:00+05:30,11.12,11.12,10.95,11.04,18528
2025-01-15 00:00:00+05:30,11.1,11.22,11.05,11.17,2758
2025-01-16 00:00:00+05:30,11.28,11.28,11.22,11.22,2334
2025-01-17 00:00:00+05:30,11.43,11.43,11.15,11.24,14562
2025-01-20 00:00:00+05:30,11.48,11.48,11.18,11.25,593
2025-01-21 00:00:00+05:30,11.48,11.48,10.85,10.9,92572
2025-01-22 00:00:00+05:30,11.12,11.38,10.64,10.78,8584
2025-01-23 00:00:00+05:30,10.55,10.99,10.55,10.93,4066
2025-01-24 00:00:00+05:30,11.15,11.15,10.74,10.75,2411
2025-01-27 00:00:00+05:30,10.97,10.97,10.52,10.53,19577
2025-01-28 00:00:00+05:30,10.55,10.69,10.43,10.57,14701
2025-01-29 00:00:00+05:30,10.37,10.78,10.37,10.77,541
2025-01-30 00:00:00+05:30,10.99,10.99,10.69,10.73,21555
2025-01-31 00:00:00+05:30,10.52,10.94,10.52,10.89,17264
2025-02-01 00:00:00+05:30,11.11,11.3,10.87,11.24,44047
2025-02-03 00:00:00+05:30,11.5,12.2,11.14,11.27,27682
2025-02-04 00:00:00+05:30,11.04,11.99,11.04,11.25,22210
2025-02-05 00:00:00+05:30,11.45,11.45,11.23,11.25,35978
2025-02-06 00:00:00+05:30,11.29,11.29,11.05,11.06,871
2025-02-07 00:00:00+05:30,11.06,11.19,11.03,11.14,25846
2025-02-10 00:00:00+05:30,11.3,11.31,10.88,10.92,19184
2025-02-11 00:00:00+05:30,11.13,11.13,10.6,10.63,29882
2025-02-12 00:00:00+05:30,10.42,10.84,10.4,10.59,73439
2025-02-13 00:00:00+05:30,10.8,10.8,10.53,10.6,33143
2025-02-14 00:00:00+05:30,10.81,10.81,10.27,10.41,21952
2025-02-17 00:00:00+05:30,10.62,10.62,10.19,10.4,23855
2025-02-18 00:00:00+05:30,10.59,10.59,10.23,10.32,18488
2025-02-19 00:00:00+05:30,10.2,10.47,10.11,10.45,23731
2025-02-20 00:00:00+05:30,10.41,10.52,10.38,10.52,5559
2025-02-21 00:00:00+05:30,10.74,10.74,10.39,10.41,498
2025-02-24 00:00:00+05:30,10.33,10.35,10.28,10.33,6499
2025-02-25 00:00:00+05:30,10.32,10.42,10.31,10.34,18508
2025-02-27 00:00:00+05:30,10.55,10.55,10.2,10.24,11590
2025-02-28 00:00:00+05:30,10.12,10.12,9.91,9.94,46559
2025-03-03 00:00:00+05:30,10.16,10.16,9.81,10.01,3958
2025-03-04 00:00:00+05:30,10.2,10.2,9.85,9.96,9341
2025-03-05 00:00:00+05:30,9.0,10.19,9.0,10.19,558
2025-03-06 00:00:00+05:30,10.38,10.38,10.13,10.22,7876
2025-03-07 00:00:00+05:30,10.2,10.25,10.14,10.14,8801
2025-03-10 00:00:00+05:30,10.34,10.34,9.96,10.02,25384
2025-03-11 00:00:00+05:30,9.82,10.1,9.82,10.1,18516
2025-03-12 00:00:00+05:30,10.1,10.1,9.98,10.07,8767
2025-03-13 00:00:00+05:30,10.05,10.09,9.97,9.97,4003
2025-03-17 00:00:00+05:30,9.77,10.49,9.77,10.03,9231
2025-03-18 00:00:00+05:30,10.24,10.27,10.04,10.25,20221
2025-03-19 00:00:00+05:30,10.48,10.48,10.34,10.47,1357
2025-03-20 00:00:00+05:30,10.68,10.68,10.41,10.57,7242
2025-03-21 00:00:00+05:30,10.75,10.75,10.52,10.64,6420
2025-03-24 00:00:00+05:30,10.54,10.75,10.43,10.71,19020
2025-03-25 00:00:00+05:30,10.71,10.74,10.5,10.55,23243
2025-03-26 00:00:00+05:30,10.59,10.64,10.53,10.53,12503
2025-03-27 00:00:00+05:30,10.53,10.58,10.47,10.57,34710
2025-03-28 00:00:00+05:30,10.6,10.6,10.47,10.5,88
2025-04-01 00:00:00+05:30,10.49,10.56,10.33,10.42,12348
2025-04-02 00:00:00+05:30,10.43,10.62,10.43,10.62,570
2025-04-03 00:00:00+05:30,10.6,10.69,10.54,10.6,18197
2025-04-04 00:00:00+05:30,10.47,10.48,10.27,10.35,12370
2025-04-07 00:00:00+05:30,9.88,10.5,9.02,9.94,54835
2025-04-08 00:00:00+05:30,10.15,10.21,10.04,10.16,987
2025-04-09 00:00:00+05:30,10.06,10.12,10.04,10.1,12608
2025-04-11 00:00:00+05:30,10.28,10.34,10.24,10.31,9259
2025-04-15 00:00:00+05:30,10.58,10.63,10.58,10.6,173
2025-04-21 00:00:00+05:30,10.85,11.01,10.8,11.01,4257
2025-04-22 00:00:00+05:30,11.0,11.1,11.0,11.09,26801
2025-04-23 00:00:00+05:30,11.13,11.2,11.01,11.19,127843
2025-04-24 00:00:00+05:30,11.15,11.15,11.09,11.1,63948
2025-04-25 00:00:00+05:30,11.18,11.18,10.78,10.8,2583
2025-04-28 00:00:00+05:30,10.87,10.94,10.86,10.94,594
2025-04-29 00:00:00+05:30,11.0,11.03,10.88,10.93,46898
2025-04-30 00:00:00+05:30,10.94,10.96,10.88,10.92,8912
2025-05-02 00:00:00+05:30,11.14,11.14,10.82,10.87,20434
2025-05-05 00:00:00+05:30,10.98,11.04,10.88,11.03,15152
2025-05-06 00:00:00+05:30,10.99,11.04,10.85,10.88,695
2025-05-07 00:00:00+05:30,10.88,11.05,10.53,10.94,26415
2025-05-08 00:00:00+05:30,10.99,11.01,10.8,10.81,2405
2025-05-09 00:00:00+05:30,10.73,10.75,10.6,10.74,9176
2025-05-12 00:00:00+05:30,11.0,11.18,11.0,11.15,33952
2025-05-13 00:00:00+05:30,11.45,11.45,11.03,11.04,9719
2025-05-14 00:00:00+05:30,11.04,11.18,10.91,11.18,4818
2025-05-15 00:00:00+05:30,11.18,11.4,11.02,11.35,19958
2025-05-16 00:00:00+05:30,11.36,11.47,11.36,11.46,32055
2025-05-19 00:00:00+05:30,11.62,11.68,11.41,11.41,22653
2025-05-20 00:00:00+05:30,11.44,11.45,11.23,11.25,4502
2025-05-21 00:00:00+05:30,11.25,11.35,11.25,11.33,5610
2025-05-22 00:00:00+05:30,11.51,11.54,11.15,11.27,5185
2025-05-23 00:00:00+05:30,11.07,11.36,11.07,11.35,5782
2025-05-26 00:00:00+05:30,11.35,11.4,11.34,11.36,20153
2025-05-27 00:00:00+05:30,11.32,11.35,11.26,11.3,15684
2025-05-28 00:00:00+05:30,11.32,11.32,11.26,11.31,2675
2025-05-29 00:00:00+05:30,11.36,11.38,11.26,11.38,10408
2025-05-30 00:00:00+05:30,11.38,11.38,11.26,11.32,3245
2025-06-02 00:00:00+05:30,11.54,11.54,11.21,11.31,54614
2025-06-03 00:00:00+05:30,11.4,11.41,11.24,11.25,2075
2025-06-04 00:00:00+05:30,11.35,11.36,11.29,11.36,336
2025-06-05 00:00:00+05:30,11.44,11.5,11.44,11.5,162
2025-06-06 00:00:00+05:30,11.24,11.69,11.24,11.66,22558
2025-06-09 00:00:00+05:30,11.67,11.74,11.67,11.72,22603
2025-06-10 00:00:00+05:30,11.96,11.96,11.65,11.68,8004
2025-06-11 00:00:00+05:30,11.72,11.72,11.63,11.66,5359
2025-06-12 00:00:00+05:30,11.66,11.66,11.43,11.44,23433
2025-06-13 00:00:00+05:30,11.33,11.37,11.28,11.37,10457
2025-06-16 00:00:00+05:30,11.48,11.49,11.31,11.49,412
2025-06-17 00:00:00+05:30,11.48,11.51,11.39,11.43,8087
2025-06-18 00:00:00+05:30,11.41,11.52,11.4,11.42,100276
2025-06-19 00:00:00+05:30,11.48,11.51,11.38,11.38,7652
2025-06-20 00:00:00+05:30,11.33,11.57,11.33,11.56,35540
2025-06-23 00:00:00+05:30,11.56,11.63,11.37,11.61,68572
