date,open,high,low,close,volume
2012-01-13 00:00:00+05:30,4.0,4.7,4.0,4.7,3000
2012-01-16 00:00:00+05:30,4.5,4.5,4.5,4.5,1000
2012-01-17 00:00:00+05:30,4.6,4.6,4.6,4.6,1000
2012-01-19 00:00:00+05:30,4.39,4.39,4.39,4.39,1000
2012-01-20 00:00:00+05:30,4.2,4.2,4.2,4.2,1000
2012-01-23 00:00:00+05:30,4.0,4.0,4.0,4.0,1000
2012-01-24 00:00:00+05:30,4.18,4.18,4.18,4.18,1000
2012-01-25 00:00:00+05:30,3.99,3.99,3.99,3.99,1000
2012-01-27 00:00:00+05:30,3.79,3.79,3.79,3.79,1000
2012-01-31 00:00:00+05:30,3.6,3.6,3.6,3.6,1000
2012-02-01 00:00:00+05:30,3.42,3.42,3.42,3.42,1000
2012-02-08 00:00:00+05:30,3.45,3.5,3.45,3.5,2000
2012-02-15 00:00:00+05:30,3.58,3.58,3.58,3.58,1000
2012-02-17 00:00:00+05:30,3.59,3.6,3.59,3.6,2000
2012-02-21 00:00:00+05:30,3.6,3.6,3.6,3.6,1000
2012-02-28 00:00:00+05:30,3.61,3.61,3.61,3.61,1000
2012-03-13 00:00:00+05:30,3.54,3.54,3.54,3.54,20000
2012-03-14 00:00:00+05:30,3.62,3.62,3.62,3.62,40000
2012-03-15 00:00:00+05:30,3.59,3.62,3.5,3.62,4000
2012-03-29 00:00:00+05:30,3.6,3.6,3.6,3.6,1000
2012-04-02 00:00:00+05:30,3.64,3.64,3.64,3.64,10000
2012-04-03 00:00:00+05:30,3.65,3.65,3.65,3.65,10000
2012-04-10 00:00:00+05:30,3.62,3.63,3.62,3.63,2000
2012-04-11 00:00:00+05:30,3.7,3.7,3.7,3.7,1000
2012-04-12 00:00:00+05:30,3.68,3.68,3.55,3.68,5000
2012-04-16 00:00:00+05:30,3.68,3.72,3.68,3.7,21000
2012-04-17 00:00:00+05:30,3.66,3.7,3.66,3.7,10000
2012-04-18 00:00:00+05:30,3.62,3.62,3.62,3.62,1000
2012-04-19 00:00:00+05:30,3.6,3.6,3.6,3.6,2000
2012-04-20 00:00:00+05:30,3.63,3.63,3.63,3.63,1000
2012-04-23 00:00:00+05:30,3.58,3.7,3.57,3.69,408000
2012-04-24 00:00:00+05:30,3.51,3.7,3.51,3.69,31000
2012-04-25 00:00:00+05:30,3.66,3.66,3.66,3.66,1000
2012-04-26 00:00:00+05:30,3.65,3.65,3.65,3.65,1000
2012-04-30 00:00:00+05:30,3.65,3.68,3.47,3.68,402000
2012-05-02 00:00:00+05:30,3.68,3.68,3.68,3.68,26000
2012-05-03 00:00:00+05:30,3.86,3.86,3.85,3.86,103000
2012-05-04 00:00:00+05:30,4.05,4.05,4.05,4.05,2000
2012-05-07 00:00:00+05:30,4.25,4.25,4.25,4.25,6000
2012-05-08 00:00:00+05:30,4.46,4.46,4.46,4.46,11000
2012-05-09 00:00:00+05:30,4.68,4.68,4.68,4.68,4000
2012-05-10 00:00:00+05:30,4.91,4.91,4.91,4.91,21000
2012-05-11 00:00:00+05:30,5.16,5.16,5.16,5.16,18000
2012-05-14 00:00:00+05:30,5.41,5.41,5.4,5.4,23000
2012-05-15 00:00:00+05:30,5.68,5.68,5.67,5.68,41000
2012-05-16 00:00:00+05:30,5.94,5.96,5.94,5.95,9000
2012-05-17 00:00:00+05:30,6.24,6.24,5.79,5.79,16000
2012-05-18 00:00:00+05:30,5.98,5.98,5.98,5.98,2000
2012-05-21 00:00:00+05:30,6.28,6.28,6.28,6.28,2000
2012-05-22 00:00:00+05:30,6.58,6.58,5.96,5.96,5000
2012-05-24 00:00:00+05:30,5.96,5.96,5.96,5.96,2000
2012-05-29 00:00:00+05:30,6.26,6.26,6.26,6.26,1000
2012-05-30 00:00:00+05:30,5.95,5.95,5.95,5.95,2000
2012-06-04 00:00:00+05:30,5.66,5.66,5.66,5.66,1000
2012-06-05 00:00:00+05:30,5.38,5.94,5.38,5.94,8000
2012-06-06 00:00:00+05:30,6.23,6.23,6.23,6.23,1000
2012-06-11 00:00:00+05:30,6.54,6.54,6.54,6.54,1000
2012-06-12 00:00:00+05:30,6.86,6.86,6.86,6.86,2000
2012-06-27 00:00:00+05:30,7.2,7.2,7.2,7.2,1000
2012-06-29 00:00:00+05:30,6.84,6.84,6.84,6.84,1000
2012-07-03 00:00:00+05:30,6.5,7.18,6.5,6.5,8250
2012-07-11 00:00:00+05:30,6.81,6.81,6.81,6.81,2000
2012-07-12 00:00:00+05:30,6.47,7.15,6.47,7.14,3060
2012-07-13 00:00:00+05:30,7.5,7.5,7.5,7.5,1050
2012-07-16 00:00:00+05:30,7.82,7.84,7.13,7.13,1920
2012-07-19 00:00:00+05:30,6.78,6.78,6.78,6.78,100
2012-07-25 00:00:00+05:30,7.09,7.09,7.09,7.09,1040
2012-07-26 00:00:00+05:30,7.4,7.4,7.4,7.4,220
2012-07-27 00:00:00+05:30,7.03,7.03,7.03,7.03,3560
2012-08-02 00:00:00+05:30,7.38,7.38,7.38,7.38,80
2012-08-03 00:00:00+05:30,7.75,7.75,7.02,7.02,260
2012-08-06 00:00:00+05:30,7.36,7.36,6.67,6.67,120
2012-08-09 00:00:00+05:30,6.34,6.34,6.34,6.34,250
2012-08-10 00:00:00+05:30,6.02,6.02,6.02,6.02,70
2012-08-22 00:00:00+05:30,5.72,6.32,5.72,5.74,21550
2012-08-27 00:00:00+05:30,5.45,6.02,5.45,6.02,15500
2012-08-29 00:00:00+05:30,5.72,6.32,5.72,6.32,20130
2012-08-31 00:00:00+05:30,6.61,6.63,6.61,6.63,1150
2012-09-03 00:00:00+05:30,6.3,6.96,6.3,6.95,6090
2012-09-04 00:00:00+05:30,7.3,7.3,7.3,7.3,330
2012-09-06 00:00:00+05:30,6.93,7.25,6.93,6.93,8510
2012-09-12 00:00:00+05:30,7.19,7.19,7.19,7.19,20
2012-09-13 00:00:00+05:30,7.54,7.54,7.54,7.54,40
2012-09-14 00:00:00+05:30,7.84,7.84,7.7,7.7,70
2012-09-18 00:00:00+05:30,8.0,8.0,8.0,8.0,70
2012-09-20 00:00:00+05:30,8.4,8.4,8.4,8.4,20
2012-09-21 00:00:00+05:30,8.82,8.82,8.82,8.82,20
2012-09-24 00:00:00+05:30,9.25,9.25,9.25,9.25,100
2012-09-25 00:00:00+05:30,9.7,9.71,9.6,9.6,360
