date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,297.45,300.7,290.7,292.0,36816
2008-01-02 00:00:00+05:30,294.95,295.55,285.0,290.6,30092
2008-01-03 00:00:00+05:30,288.55,294.3,287.3,288.65,373684
2008-01-04 00:00:00+05:30,290.7,293.55,287.85,289.8,247671
2008-01-07 00:00:00+05:30,288.55,292.1,284.45,285.3,35245
2008-01-08 00:00:00+05:30,285.7,290.7,280.7,282.05,22810
2008-01-09 00:00:00+05:30,282.15,286.15,278.2,279.95,16114
2008-01-10 00:00:00+05:30,283.55,284.1,269.3,272.5,21645
2008-01-11 00:00:00+05:30,272.15,275.0,267.15,272.5,20119
2008-01-14 00:00:00+05:30,275.0,276.35,270.05,274.05,13797
2008-01-15 00:00:00+05:30,279.3,279.3,265.2,268.05,35385
2008-01-16 00:00:00+05:30,260.7,266.45,257.95,263.95,38905
2008-01-17 00:00:00+05:30,264.3,265.7,257.85,260.35,63342
2008-01-18 00:00:00+05:30,254.3,264.3,240.35,245.8,90570
2008-01-21 00:00:00+05:30,240.7,240.85,217.85,232.7,97339
2008-01-22 00:00:00+05:30,250.0,250.0,192.85,223.65,49504
2008-01-23 00:00:00+05:30,245.0,250.0,225.05,240.55,1239781
2008-01-24 00:00:00+05:30,271.45,271.45,218.6,223.95,40519
2008-01-25 00:00:00+05:30,228.55,235.0,218.55,233.0,25536
2008-01-28 00:00:00+05:30,249.3,250.0,221.45,225.55,43061
2008-01-29 00:00:00+05:30,228.5,239.3,228.5,237.1,89092
2008-01-30 00:00:00+05:30,241.45,242.85,232.15,237.6,32346
2008-01-31 00:00:00+05:30,242.15,249.95,226.55,241.65,150678
2008-02-01 00:00:00+05:30,232.15,248.55,224.65,244.55,57231
2008-02-04 00:00:00+05:30,243.55,250.0,243.55,248.75,12544
2008-02-05 00:00:00+05:30,247.85,257.15,245.2,255.55,122811
2008-02-06 00:00:00+05:30,243.65,252.7,243.55,246.85,14417
2008-02-07 00:00:00+05:30,247.85,251.95,236.45,237.85,10861
2008-02-08 00:00:00+05:30,238.55,245.7,230.0,240.8,9989
2008-02-11 00:00:00+05:30,242.85,242.85,223.55,229.8,6944
2008-02-12 00:00:00+05:30,227.15,232.85,217.95,223.4,14238
2008-02-13 00:00:00+05:30,230.7,237.15,224.3,231.2,30983
2008-02-14 00:00:00+05:30,235.7,239.2,232.9,236.6,36553
2008-02-15 00:00:00+05:30,232.15,239.3,230.7,237.9,61149
2008-02-18 00:00:00+05:30,238.55,240.7,232.95,235.0,11127
2008-02-19 00:00:00+05:30,235.7,240.0,234.35,235.0,58649
2008-02-20 00:00:00+05:30,233.05,239.3,231.8,235.35,7638
2008-02-21 00:00:00+05:30,237.8,247.65,232.85,234.8,980783
2008-02-22 00:00:00+05:30,234.3,235.5,232.85,233.85,8239
2008-02-25 00:00:00+05:30,233.55,237.7,231.1,236.65,8499
2008-02-26 00:00:00+05:30,239.15,244.25,233.6,243.3,14389
2008-02-27 00:00:00+05:30,246.45,251.45,242.15,245.75,61335
2008-02-28 00:00:00+05:30,244.3,248.35,237.85,245.4,64180
2008-02-29 00:00:00+05:30,242.9,246.45,236.5,241.1,42785
2008-03-03 00:00:00+05:30,237.15,242.8,235.0,239.0,87093
2008-03-04 00:00:00+05:30,238.55,238.55,230.5,233.45,6793
2008-03-05 00:00:00+05:30,232.5,235.7,223.55,227.3,66122
2008-03-07 00:00:00+05:30,225.0,225.0,221.45,222.8,14045
2008-03-10 00:00:00+05:30,222.85,222.85,215.0,220.25,75022
2008-03-11 00:00:00+05:30,210.7,230.7,210.7,228.75,18957
2008-03-12 00:00:00+05:30,230.0,237.85,225.95,229.8,53185
2008-03-13 00:00:00+05:30,227.15,227.7,215.35,220.4,13569
2008-03-14 00:00:00+05:30,220.0,225.0,217.15,223.35,33286
2008-03-17 00:00:00+05:30,214.3,221.45,193.55,198.35,22732
2008-03-18 00:00:00+05:30,196.45,212.15,190.0,209.5,46516
2008-03-19 00:00:00+05:30,216.65,220.55,200.0,202.2,37677
2008-03-24 00:00:00+05:30,206.45,207.15,189.3,201.55,85281
