date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,49.0,53.0,42.0,50.8,42018
2008-01-02 00:00:00+05:30,50.4,50.4,48.0,49.05,26095
2008-01-03 00:00:00+05:30,49.0,51.9,47.2,47.75,18699
2008-01-04 00:00:00+05:30,50.0,50.0,47.0,47.45,17112
2008-01-07 00:00:00+05:30,47.15,49.45,44.0,45.45,22308
2008-01-08 00:00:00+05:30,41.2,49.0,41.2,42.5,15021
2008-01-09 00:00:00+05:30,42.4,43.4,39.1,39.65,21295
2008-01-10 00:00:00+05:30,39.25,43.8,39.25,39.45,3267
2008-01-11 00:00:00+05:30,41.8,47.25,36.04,38.79,9075
2008-01-14 00:00:00+05:30,41.8,44.9,38.79,40.29,8538
2008-01-15 00:00:00+05:30,42.0,42.0,37.15,38.4,26707
2008-01-16 00:00:00+05:30,37.0,40.79,36.04,36.85,9366
2008-01-17 00:00:00+05:30,38.65,39.0,37.75,38.04,980
2008-01-18 00:00:00+05:30,38.15,39.7,33.75,37.2,3518
2008-01-21 00:00:00+05:30,36.04,37.45,30.0,30.55,7832
2008-01-22 00:00:00+05:30,27.6,27.6,24.5,27.5,11928
2008-01-23 00:00:00+05:30,31.65,32.9,28.1,31.7,11841
2008-01-24 00:00:00+05:30,31.6,32.75,31.0,31.5,15298
2008-01-25 00:00:00+05:30,31.55,31.55,30.5,30.75,1650
2008-01-28 00:00:00+05:30,29.75,31.5,29.3,31.4,770
2008-01-29 00:00:00+05:30,31.5,35.79,29.35,31.2,12589
2008-01-30 00:00:00+05:30,30.95,31.85,30.6,30.9,1530
2008-01-31 00:00:00+05:30,30.0,30.65,30.0,30.55,1450
2008-02-01 00:00:00+05:30,29.05,31.9,29.05,31.85,1001
2008-02-04 00:00:00+05:30,30.85,34.0,30.85,31.25,2051
2008-02-05 00:00:00+05:30,29.1,35.5,25.15,33.25,202385
2008-02-06 00:00:00+05:30,29.0,33.0,29.0,31.55,1259
2008-02-07 00:00:00+05:30,32.9,35.0,31.6,32.4,4198
2008-02-08 00:00:00+05:30,29.5,34.0,29.5,31.3,2455
2008-02-11 00:00:00+05:30,31.0,34.7,30.75,30.8,2221
2008-02-12 00:00:00+05:30,30.5,30.5,27.0,27.85,7734
2008-02-13 00:00:00+05:30,29.0,30.95,28.5,29.0,4050
2008-02-14 00:00:00+05:30,28.65,30.35,28.65,29.15,248
2008-02-15 00:00:00+05:30,29.0,30.0,29.0,30.0,1080
2008-02-18 00:00:00+05:30,31.7,31.75,31.0,31.0,901
2008-02-19 00:00:00+05:30,30.05,31.5,30.05,30.2,1375
2008-02-20 00:00:00+05:30,30.0,31.3,30.0,30.1,949
