date,open,high,low,close,volume
2010-02-24 00:00:00+05:30,430.0,466.2,412.5,455.4,20920602
2010-02-25 00:00:00+05:30,456.9,473.0,443.6,450.85,3285723
2010-02-26 00:00:00+05:30,451.0,468.0,425.0,436.9,1123363
2010-03-02 00:00:00+05:30,434.65,457.8,407.0,447.85,1652686
2010-03-03 00:00:00+05:30,450.0,461.55,441.0,445.05,596244
2010-03-04 00:00:00+05:30,447.1,460.0,444.0,457.85,376038
2010-03-05 00:00:00+05:30,461.25,468.0,435.0,439.1,544708
2010-03-08 00:00:00+05:30,444.55,460.0,438.0,455.0,924689
2010-03-09 00:00:00+05:30,457.0,473.4,455.0,465.75,741440
2010-03-10 00:00:00+05:30,468.8,471.0,460.05,464.5,214493
2010-03-11 00:00:00+05:30,464.0,468.0,452.3,458.55,68372
2010-03-12 00:00:00+05:30,448.5,468.7,448.5,463.55,78571
2010-03-15 00:00:00+05:30,462.0,464.8,455.0,455.8,45815
2010-03-16 00:00:00+05:30,457.9,465.0,455.0,455.65,35311
2010-03-17 00:00:00+05:30,458.0,462.0,455.0,455.7,25715
2010-03-18 00:00:00+05:30,458.9,458.9,455.0,455.15,10400
2010-03-19 00:00:00+05:30,459.0,467.5,445.0,457.7,144471
2010-03-22 00:00:00+05:30,440.0,461.55,440.0,452.1,112075
2010-03-23 00:00:00+05:30,452.5,461.9,446.0,450.5,39203
2010-03-25 00:00:00+05:30,452.2,457.9,448.0,450.05,30900
2010-03-26 00:00:00+05:30,455.0,455.0,449.0,452.1,82239
2010-03-29 00:00:00+05:30,452.0,457.0,450.0,454.0,1041296
2010-03-30 00:00:00+05:30,455.0,461.9,445.3,450.1,163368
2010-03-31 00:00:00+05:30,540.1,540.1,450.25,458.5,524827
2010-04-01 00:00:00+05:30,455.1,457.4,452.1,454.15,6157
2010-04-05 00:00:00+05:30,455.95,455.95,450.0,452.1,10099
2010-04-06 00:00:00+05:30,451.1,456.9,448.2,453.1,10073
2010-04-07 00:00:00+05:30,453.0,457.0,450.0,452.8,5868
2010-04-08 00:00:00+05:30,451.05,473.0,451.0,456.1,60713
2010-04-09 00:00:00+05:30,450.0,463.0,450.0,458.6,12812
2010-04-12 00:00:00+05:30,457.0,469.95,450.3,457.7,18963
2010-04-13 00:00:00+05:30,459.0,460.0,450.35,451.35,3558
2010-04-15 00:00:00+05:30,455.0,463.0,450.0,450.3,19263
2010-04-16 00:00:00+05:30,455.5,458.0,450.1,453.4,22676
2010-04-19 00:00:00+05:30,450.0,452.0,441.0,444.75,13298
2010-04-20 00:00:00+05:30,447.0,456.0,445.1,452.25,7242
2010-04-21 00:00:00+05:30,456.9,457.0,451.15,452.55,14852
2010-04-22 00:00:00+05:30,451.6,453.5,448.0,450.35,15427
2010-04-23 00:00:00+05:30,450.0,454.0,450.0,450.25,19224
2010-04-26 00:00:00+05:30,459.85,459.85,443.0,453.9,25846
2010-04-27 00:00:00+05:30,458.45,458.5,438.1,442.2,38341
2010-04-28 00:00:00+05:30,440.0,445.0,430.15,439.35,30276
2010-04-29 00:00:00+05:30,435.0,444.5,433.0,435.9,18523
2010-04-30 00:00:00+05:30,440.0,440.0,430.0,434.9,15930
2010-05-03 00:00:00+05:30,439.95,445.5,432.05,433.55,23370
2010-05-04 00:00:00+05:30,435.0,439.0,433.05,435.9,15117
2010-05-05 00:00:00+05:30,425.0,438.25,421.0,430.6,76798
2010-05-06 00:00:00+05:30,427.0,439.0,427.0,430.35,53556
2010-05-07 00:00:00+05:30,430.0,436.5,415.05,429.7,18200
2010-05-10 00:00:00+05:30,428.0,428.0,415.0,419.2,20599
2010-05-11 00:00:00+05:30,422.0,439.8,422.0,431.5,12449
2010-05-12 00:00:00+05:30,437.0,437.0,412.0,416.0,64403
2010-05-13 00:00:00+05:30,420.0,420.0,415.0,417.25,102886
2010-05-14 00:00:00+05:30,418.65,419.9,398.0,411.5,31160
2010-05-17 00:00:00+05:30,404.9,430.0,393.0,419.25,50405
2010-05-18 00:00:00+05:30,415.1,419.0,411.0,415.65,24706
2010-05-19 00:00:00+05:30,419.0,419.0,398.0,411.45,24804
2010-05-20 00:00:00+05:30,421.0,421.0,405.0,410.5,26253
