date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,170.0,173.0,160.0,165.75,66208
2008-01-02 00:00:00+05:30,169.0,171.9,165.0,166.45,43585
2008-01-03 00:00:00+05:30,170.0,170.0,165.0,167.4,17186
2008-01-04 00:00:00+05:30,169.7,169.9,163.1,163.69,16499
2008-01-07 00:00:00+05:30,164.0,165.0,160.25,161.5,16951
2008-01-08 00:00:00+05:30,162.0,165.0,158.05,159.75,16465
2008-01-09 00:00:00+05:30,163.8,163.8,157.0,159.5,16391
2008-01-10 00:00:00+05:30,160.0,162.0,152.0,153.55,8290
2008-01-11 00:00:00+05:30,154.94,155.0,151.0,151.8,9874
2008-01-14 00:00:00+05:30,155.69,159.0,150.1,152.85,2990
2008-01-15 00:00:00+05:30,151.69,154.0,150.0,151.65,6835
2008-01-16 00:00:00+05:30,144.0,150.0,144.0,145.8,15038
2008-01-17 00:00:00+05:30,145.0,147.9,140.25,141.6,5580
2008-01-18 00:00:00+05:30,141.0,148.69,135.0,138.94,16335
2008-01-21 00:00:00+05:30,129.0,139.69,112.0,119.3,5997
2008-01-22 00:00:00+05:30,96.25,114.0,95.45,98.8,122649
2008-01-23 00:00:00+05:30,117.75,117.75,101.0,108.35,10180
2008-01-24 00:00:00+05:30,108.35,118.0,98.0,99.1,14509
2008-01-25 00:00:00+05:30,110.0,110.0,100.0,104.7,55064
2008-01-28 00:00:00+05:30,105.0,105.0,85.4,99.35,8653
2008-01-29 00:00:00+05:30,107.5,108.0,98.0,100.7,14646
2008-01-30 00:00:00+05:30,102.95,102.95,95.0,96.3,7922
2008-01-31 00:00:00+05:30,92.15,100.0,91.15,94.25,10551
2008-02-01 00:00:00+05:30,96.0,96.95,91.5,94.2,14572
2008-02-04 00:00:00+05:30,100.0,101.0,93.55,98.35,10067
2008-02-05 00:00:00+05:30,97.3,99.0,96.05,97.2,20345
2008-02-06 00:00:00+05:30,102.0,102.0,94.65,98.3,11879
2008-02-07 00:00:00+05:30,100.0,101.0,95.6,97.55,18306
2008-02-08 00:00:00+05:30,99.5,99.8,92.45,95.8,17239
2008-02-11 00:00:00+05:30,92.45,96.0,85.1,90.4,6727
2008-02-12 00:00:00+05:30,82.65,87.9,81.0,84.05,9441
2008-02-13 00:00:00+05:30,89.0,89.85,78.0,80.8,21867
2008-02-14 00:00:00+05:30,80.05,87.8,80.0,83.35,9955
2008-02-15 00:00:00+05:30,85.75,85.75,81.15,84.9,5523
2008-02-18 00:00:00+05:30,88.0,88.0,84.4,85.5,4353
2008-02-19 00:00:00+05:30,89.7,89.7,84.0,84.5,35242
2008-02-20 00:00:00+05:30,85.0,87.0,80.0,81.25,278577
2008-02-21 00:00:00+05:30,84.0,87.7,81.5,82.75,43327
2008-02-22 00:00:00+05:30,81.55,83.4,79.5,80.4,6287
2008-02-25 00:00:00+05:30,84.4,84.4,72.55,73.65,21735
2008-02-26 00:00:00+05:30,75.45,76.59,71.55,72.95,35477
2008-02-27 00:00:00+05:30,75.0,76.0,72.0,72.95,41585
2008-02-28 00:00:00+05:30,73.7,75.0,72.45,73.59,9268
2008-02-29 00:00:00+05:30,73.3,74.95,71.25,72.75,6130
2008-03-03 00:00:00+05:30,70.0,73.0,70.0,70.5,16983
2008-03-04 00:00:00+05:30,72.5,76.0,70.0,70.59,28849
2008-03-05 00:00:00+05:30,71.0,71.55,67.05,68.0,7823
2008-03-07 00:00:00+05:30,67.0,67.0,63.0,64.09,21411
2008-03-10 00:00:00+05:30,62.1,62.1,57.0,58.25,14089
2008-03-11 00:00:00+05:30,61.0,62.8,59.4,61.75,28558
2008-03-12 00:00:00+05:30,62.15,68.0,62.1,63.2,12355
2008-03-13 00:00:00+05:30,61.35,63.0,55.0,56.55,58794
2008-03-14 00:00:00+05:30,54.7,59.9,54.7,57.85,41670
2008-03-17 00:00:00+05:30,55.1,59.0,52.05,52.95,9071
2008-03-18 00:00:00+05:30,54.0,54.5,43.6,47.95,68961
2008-03-19 00:00:00+05:30,54.0,54.0,47.5,48.55,22484
2008-03-24 00:00:00+05:30,47.0,49.9,45.0,46.0,8586
2008-03-25 00:00:00+05:30,48.5,52.95,47.35,51.65,6161
2008-03-26 00:00:00+05:30,52.0,54.0,46.5,52.15,8863
2008-03-27 00:00:00+05:30,49.35,53.45,49.35,51.1,9050
2008-03-28 00:00:00+05:30,51.55,61.3,48.2,61.3,72501
2008-03-31 00:00:00+05:30,66.0,67.65,59.0,62.25,38803
2008-04-01 00:00:00+05:30,63.1,69.0,62.85,65.3,18339
2008-04-02 00:00:00+05:30,70.0,75.0,65.0,66.9,317382
2008-04-03 00:00:00+05:30,67.25,67.8,63.55,64.34,10195
2008-04-04 00:00:00+05:30,62.6,66.0,62.05,62.6,8663
2008-04-07 00:00:00+05:30,63.0,63.0,60.1,61.55,5300
2008-04-08 00:00:00+05:30,61.4,63.95,59.5,62.45,3175
2008-04-09 00:00:00+05:30,63.9,63.9,61.0,62.85,7226
2008-04-10 00:00:00+05:30,62.0,65.5,62.0,63.75,5835
2008-04-11 00:00:00+05:30,63.0,65.0,62.65,63.75,14110
2008-04-15 00:00:00+05:30,60.15,65.3,60.1,64.25,1980
2008-04-16 00:00:00+05:30,64.0,75.75,64.0,67.45,12617
2008-04-17 00:00:00+05:30,65.25,70.15,65.25,67.45,7995
2008-04-21 00:00:00+05:30,66.0,73.5,66.0,70.45,10963
2008-04-22 00:00:00+05:30,70.0,71.5,69.34,70.55,6373
2008-04-23 00:00:00+05:30,71.9,72.7,69.09,70.75,7709
2008-04-24 00:00:00+05:30,71.9,74.5,71.0,71.55,5214
2008-04-25 00:00:00+05:30,70.0,72.95,68.0,70.55,17381
2008-04-28 00:00:00+05:30,68.5,72.65,68.5,69.95,1815
2008-04-29 00:00:00+05:30,69.95,71.9,69.25,70.9,5618
2008-04-30 00:00:00+05:30,69.5,71.5,69.5,70.0,4079
2008-05-02 00:00:00+05:30,71.0,72.0,69.5,70.05,3417
2008-05-05 00:00:00+05:30,69.0,71.25,69.0,70.2,4696
2008-05-06 00:00:00+05:30,67.5,70.5,67.09,68.05,6921
