date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,45.15,45.15,42.0,44.1,71072
2008-01-02 00:00:00+05:30,46.1,46.2,43.0,44.9,48457
2008-01-03 00:00:00+05:30,46.5,46.5,43.0,44.1,47683
2008-01-04 00:00:00+05:30,44.8,45.0,42.7,43.0,23356
2008-01-07 00:00:00+05:30,42.15,46.0,42.1,45.1,71494
2008-01-08 00:00:00+05:30,45.9,45.95,43.05,43.15,46444
2008-01-09 00:00:00+05:30,43.7,43.7,40.6,41.15,23908
2008-01-10 00:00:00+05:30,41.7,41.7,38.75,40.35,20959
2008-01-11 00:00:00+05:30,40.0,41.15,39.0,39.54,56335
2008-01-14 00:00:00+05:30,42.8,42.8,39.2,41.3,57438
2008-01-15 00:00:00+05:30,42.7,42.8,39.9,40.04,72817
2008-01-16 00:00:00+05:30,40.35,40.4,38.2,38.2,2571
2008-01-17 00:00:00+05:30,40.0,40.6,38.6,39.15,19261
2008-01-18 00:00:00+05:30,40.0,40.29,37.0,38.25,16497
2008-01-21 00:00:00+05:30,37.0,38.0,34.45,34.45,8562
2008-01-22 00:00:00+05:30,31.05,34.45,31.05,34.45,350
2008-01-23 00:00:00+05:30,34.45,34.45,31.05,31.05,12050
2008-01-24 00:00:00+05:30,29.3,30.9,27.95,27.95,21585
2008-01-25 00:00:00+05:30,26.6,27.55,26.6,26.7,6990
2008-01-28 00:00:00+05:30,27.75,27.75,25.4,25.4,13800
2008-01-29 00:00:00+05:30,25.9,26.4,24.15,24.65,16620
2008-01-30 00:00:00+05:30,24.6,24.85,23.45,23.45,11857
2008-01-31 00:00:00+05:30,23.5,23.5,22.3,22.3,14851
2008-02-01 00:00:00+05:30,23.0,23.0,21.2,21.2,10354
2008-02-04 00:00:00+05:30,20.14,22.25,20.14,22.25,12952
2008-02-05 00:00:00+05:30,22.0,23.35,22.0,23.35,10431
2008-02-06 00:00:00+05:30,23.85,24.5,23.65,24.5,6642
2008-02-07 00:00:00+05:30,24.95,25.7,24.6,25.35,11386
2008-02-08 00:00:00+05:30,25.55,26.55,24.1,24.65,9404
2008-02-11 00:00:00+05:30,23.55,24.75,23.45,23.45,3626
2008-02-12 00:00:00+05:30,24.5,24.5,22.3,22.3,1978
2008-02-13 00:00:00+05:30,21.2,22.65,21.2,21.85,3416
2008-02-14 00:00:00+05:30,21.6,22.0,21.0,21.5,2846
2008-02-15 00:00:00+05:30,20.45,22.0,20.45,21.6,3624
2008-02-18 00:00:00+05:30,20.6,21.9,20.6,21.65,1747
2008-02-19 00:00:00+05:30,21.8,22.45,21.5,22.0,4440
2008-02-20 00:00:00+05:30,21.1,22.3,21.1,21.7,2520
2008-02-21 00:00:00+05:30,21.75,22.5,21.3,21.85,1668
2008-02-22 00:00:00+05:30,21.2,22.05,21.2,21.25,2286
2008-02-25 00:00:00+05:30,22.0,22.0,20.2,20.2,8564
2008-02-26 00:00:00+05:30,20.95,20.95,19.2,19.2,14536
2008-02-27 00:00:00+05:30,19.14,20.14,19.14,19.89,3639
2008-02-28 00:00:00+05:30,20.1,20.5,19.45,20.25,3643
2008-02-29 00:00:00+05:30,20.65,21.25,20.55,20.65,18952
2008-03-03 00:00:00+05:30,20.85,20.9,19.64,19.64,6046
2008-03-04 00:00:00+05:30,19.14,19.39,18.7,18.8,5552
2008-03-05 00:00:00+05:30,19.0,19.35,17.89,17.89,12350
2008-03-07 00:00:00+05:30,17.89,18.2,17.05,17.5,3000
2008-03-10 00:00:00+05:30,17.5,17.5,16.1,17.35,8118
2008-03-11 00:00:00+05:30,16.05,17.5,16.05,17.39,3275
2008-03-12 00:00:00+05:30,17.14,18.3,16.5,17.14,5769
2008-03-13 00:00:00+05:30,16.1,16.85,16.1,16.8,1200
2008-03-14 00:00:00+05:30,15.5,16.5,15.15,15.15,11345
2008-03-17 00:00:00+05:30,14.55,15.45,13.75,14.65,3185
2008-03-18 00:00:00+05:30,13.25,14.0,13.2,13.4,67962
