date,open,high,low,close,volume
2009-10-26 00:00:00+05:30,100.0,170.0,100.0,164.3,17924873
2009-10-27 00:00:00+05:30,163.69,197.15,160.1,195.9,12135685
2009-10-28 00:00:00+05:30,200.0,216.0,181.5,212.05,13579089
2009-10-29 00:00:00+05:30,210.0,223.4,200.0,220.5,7391343
2009-10-30 00:00:00+05:30,225.0,231.4,221.0,226.7,3808771
2009-11-03 00:00:00+05:30,224.8,229.85,200.0,227.1,4644827
2009-11-04 00:00:00+05:30,227.0,248.0,218.7,235.3,5436652
2009-11-05 00:00:00+05:30,233.0,244.2,207.3,215.95,6469229
2009-11-06 00:00:00+05:30,209.05,221.4,205.0,215.75,2785316
2009-11-09 00:00:00+05:30,216.0,231.4,213.0,229.9,2069267
2009-11-10 00:00:00+05:30,234.0,244.35,231.0,242.15,2230789
2009-11-11 00:00:00+05:30,243.0,258.55,242.1,254.2,2212641
2009-11-12 00:00:00+05:30,280.0,280.0,243.25,250.05,2958785
2009-11-13 00:00:00+05:30,254.0,265.0,245.1,253.65,1482482
2009-11-16 00:00:00+05:30,255.1,261.89,255.1,259.7,911202
2009-11-17 00:00:00+05:30,268.1,268.89,255.0,259.75,568065
2009-11-18 00:00:00+05:30,263.7,263.7,247.2,254.75,945521
2009-11-19 00:00:00+05:30,254.0,265.25,254.0,263.25,1077123
2009-11-20 00:00:00+05:30,264.0,293.39,262.1,279.95,3341782
2009-11-23 00:00:00+05:30,283.8,296.5,280.0,293.85,1718631
2009-11-24 00:00:00+05:30,295.0,305.6,293.1,298.1,1418346
2009-11-25 00:00:00+05:30,299.0,302.89,293.0,294.85,564428
2009-11-26 00:00:00+05:30,294.85,304.64,291.0,303.1,855010
2009-11-27 00:00:00+05:30,301.39,320.6,298.0,319.2,2330553
2009-12-01 00:00:00+05:30,303.55,309.8,288.05,290.05,1939851
2009-12-02 00:00:00+05:30,288.1,302.8,280.55,300.5,2198849
2009-12-03 00:00:00+05:30,303.14,309.8,301.0,303.25,1231556
2009-12-04 00:00:00+05:30,305.0,310.89,301.05,302.55,911464
2009-12-07 00:00:00+05:30,305.1,312.3,256.6,260.05,3583037
2009-12-08 00:00:00+05:30,264.39,266.0,239.1,260.2,3169690
2009-12-09 00:00:00+05:30,259.8,268.0,254.1,263.3,1492506
2009-12-10 00:00:00+05:30,265.1,267.39,258.75,265.8,848537
2009-12-11 00:00:00+05:30,268.8,275.0,258.1,261.2,429686
2009-12-14 00:00:00+05:30,263.0,282.0,253.0,279.05,2040463
2009-12-15 00:00:00+05:30,279.0,296.5,275.0,285.25,2399741
2009-12-16 00:00:00+05:30,285.05,295.8,285.05,291.6,1292122
2009-12-17 00:00:00+05:30,293.0,303.0,291.3,294.2,676704
2009-12-18 00:00:00+05:30,297.8,299.89,290.1,292.05,356705
2009-12-21 00:00:00+05:30,294.0,295.89,286.89,293.25,384518
2009-12-22 00:00:00+05:30,294.89,303.7,294.0,298.89,672839
2009-12-23 00:00:00+05:30,301.0,314.89,298.0,306.14,1494837
2009-12-24 00:00:00+05:30,308.89,314.45,304.5,307.25,696723
2009-12-29 00:00:00+05:30,309.0,316.0,302.6,304.5,1033826
2009-12-30 00:00:00+05:30,306.8,332.4,304.89,329.2,2088197
2009-12-31 00:00:00+05:30,339.0,339.4,322.3,324.55,1146777
2010-01-04 00:00:00+05:30,328.8,351.5,321.05,349.25,2137901
2010-01-05 00:00:00+05:30,350.1,369.25,350.1,353.1,1812370
2010-01-06 00:00:00+05:30,355.9,360.2,346.0,349.45,831878
2010-01-07 00:00:00+05:30,351.0,355.4,345.1,348.4,390359
2010-01-08 00:00:00+05:30,350.8,363.9,346.0,362.15,1242701
