date,open,high,low,close,volume
2021-08-16 00:00:00+05:30,12.6,13.23,12.6,13.23,46332330
2021-08-17 00:00:00+05:30,12.72,13.19,12.72,12.8,8293940
2021-08-18 00:00:00+05:30,12.51,12.8,12.16,12.2,14225230
2021-08-20 00:00:00+05:30,12.2,12.39,12.0,12.3,7616130
2021-08-23 00:00:00+05:30,12.51,12.58,12.2,12.2,2208720
2021-08-24 00:00:00+05:30,12.2,12.4,12.2,12.24,3975170
2021-08-25 00:00:00+05:30,12.2,12.5,12.2,12.38,2137400
2021-08-26 00:00:00+05:30,12.3,12.6,12.3,12.48,2248040
2021-08-27 00:00:00+05:30,12.5,13.1,12.5,13.1,5178090
2021-08-30 00:00:00+05:30,13.76,13.76,13.76,13.76,940650
2021-08-31 00:00:00+05:30,14.4,14.5,13.16,13.65,28096050
2021-09-01 00:00:00+05:30,13.85,13.95,13.01,13.22,4874430
2021-09-02 00:00:00+05:30,13.24,13.68,13.2,13.28,3684040
2021-09-03 00:00:00+05:30,13.22,13.5,12.89,13.01,3164730
2021-09-06 00:00:00+05:30,13.05,14.1,13.05,13.68,10642310
2021-09-07 00:00:00+05:30,13.68,14.05,13.33,13.66,9443790
2021-09-08 00:00:00+05:30,13.69,14.8,13.6,14.1,18578720
2021-09-09 00:00:00+05:30,14.2,14.65,14.0,14.06,11201680
2021-09-13 00:00:00+05:30,14.14,15.54,14.12,15.4,26332120
2021-09-14 00:00:00+05:30,15.59,16.24,15.42,15.58,18009600
2021-09-15 00:00:00+05:30,15.61,16.83,15.61,16.26,17454310
2021-09-16 00:00:00+05:30,16.46,16.74,15.8,15.91,7941130
2021-09-17 00:00:00+05:30,16.02,16.43,14.74,15.57,8458030
2021-09-20 00:00:00+05:30,15.07,15.94,15.0,15.08,4256600
2021-09-21 00:00:00+05:30,15.0,15.39,14.68,15.04,5679720
2021-09-22 00:00:00+05:30,15.09,15.48,14.98,15.1,3635520
2021-09-23 00:00:00+05:30,15.38,16.2,15.22,15.77,10944880
