date,open,high,low,close,volume
2012-01-12 00:00:00+05:30,34.0,34.15,25.0,28.05,4343
2012-01-13 00:00:00+05:30,27.0,28.9,26.65,26.65,630
2012-01-16 00:00:00+05:30,27.9,27.9,25.35,25.35,1527
2012-01-17 00:00:00+05:30,24.15,24.15,24.1,24.1,1800
2012-01-18 00:00:00+05:30,22.95,22.95,22.95,22.95,10
2012-01-19 00:00:00+05:30,24.05,24.05,24.05,24.05,100
2012-01-20 00:00:00+05:30,25.25,25.25,25.25,25.25,99
2012-01-23 00:00:00+05:30,26.5,26.5,26.5,26.5,200
2012-01-24 00:00:00+05:30,27.8,27.8,27.8,27.8,10
2012-01-25 00:00:00+05:30,29.15,29.15,29.15,29.15,3950
2012-01-27 00:00:00+05:30,31.2,33.9,29.5,32.0,3375
2012-01-30 00:00:00+05:30,30.0,30.0,27.3,27.55,2750
2012-01-31 00:00:00+05:30,30.5,32.04,28.1,29.1,1923
2012-02-01 00:00:00+05:30,30.0,33.85,30.0,33.0,2264
2012-02-02 00:00:00+05:30,33.1,39.25,33.1,38.45,88496
2012-02-03 00:00:00+05:30,33.04,43.65,33.04,36.5,74344
2012-02-06 00:00:00+05:30,40.9,41.3,34.04,34.65,4534
2012-02-07 00:00:00+05:30,37.0,38.0,30.5,33.9,31436
2012-02-08 00:00:00+05:30,30.3,37.9,28.2,31.05,15868
2012-02-09 00:00:00+05:30,32.0,32.0,28.35,28.9,2914
2012-02-10 00:00:00+05:30,29.0,30.0,25.25,28.35,733
2012-02-13 00:00:00+05:30,27.0,28.6,27.0,27.15,1181
2012-02-14 00:00:00+05:30,27.0,27.0,27.0,27.0,50
2012-02-15 00:00:00+05:30,27.05,29.0,26.0,26.5,262
2012-02-16 00:00:00+05:30,25.7,29.0,22.5,26.65,996
2012-02-17 00:00:00+05:30,27.0,29.0,27.0,27.05,202
2012-02-21 00:00:00+05:30,25.05,27.0,25.05,25.6,6760
2012-02-22 00:00:00+05:30,25.3,27.9,25.3,26.5,609
2012-02-23 00:00:00+05:30,25.9,27.85,25.9,26.3,70
2012-02-24 00:00:00+05:30,24.2,24.2,24.2,24.2,10
2012-02-27 00:00:00+05:30,26.0,27.8,24.05,25.4,127
2012-02-28 00:00:00+05:30,25.0,26.1,25.0,26.1,2418
2012-02-29 00:00:00+05:30,26.1,28.85,26.1,27.35,475
2012-03-01 00:00:00+05:30,28.6,28.6,26.25,26.4,891
2012-03-02 00:00:00+05:30,27.9,28.0,26.05,26.05,211
2012-03-05 00:00:00+05:30,25.8,30.3,25.8,26.85,712
2012-03-06 00:00:00+05:30,27.35,27.35,27.35,27.35,10
2012-03-07 00:00:00+05:30,27.35,27.35,23.05,25.5,1936
2012-03-09 00:00:00+05:30,27.35,27.35,26.0,26.0,172
2012-03-12 00:00:00+05:30,23.05,27.0,23.05,24.2,820
2012-03-13 00:00:00+05:30,22.55,27.85,22.55,25.0,341
2012-03-14 00:00:00+05:30,24.05,28.8,24.05,28.6,1237
2012-03-15 00:00:00+05:30,27.5,28.45,24.7,25.95,3456
2012-03-16 00:00:00+05:30,26.0,27.5,25.05,26.85,570
2012-03-19 00:00:00+05:30,23.6,23.6,23.6,23.6,100
2012-03-20 00:00:00+05:30,23.55,27.4,22.6,23.4,4096
2012-03-21 00:00:00+05:30,23.0,25.85,20.35,24.35,107380
2012-03-22 00:00:00+05:30,24.85,24.85,22.6,22.65,1601
2012-03-23 00:00:00+05:30,22.2,22.2,21.7,21.7,180
2012-03-26 00:00:00+05:30,21.05,23.7,20.5,23.35,79016
2012-03-27 00:00:00+05:30,22.0,22.0,22.0,22.0,200
2012-03-28 00:00:00+05:30,21.5,24.3,21.5,21.55,496
2012-03-29 00:00:00+05:30,25.7,25.8,23.0,24.45,1202
2012-03-30 00:00:00+05:30,27.5,27.5,23.25,23.25,202
2012-04-02 00:00:00+05:30,26.35,27.9,25.65,26.2,3806
2012-04-03 00:00:00+05:30,26.0,30.0,24.65,27.4,153
2012-04-04 00:00:00+05:30,25.0,30.0,25.0,27.0,348
2012-04-09 00:00:00+05:30,27.0,27.0,27.0,27.0,570
2012-04-11 00:00:00+05:30,29.0,29.0,29.0,29.0,50
2012-04-12 00:00:00+05:30,26.2,28.0,26.0,26.45,6227
2012-04-13 00:00:00+05:30,26.6,27.75,26.6,27.4,1170
2012-04-16 00:00:00+05:30,28.7,28.75,26.05,28.75,402
2012-04-17 00:00:00+05:30,29.95,30.15,29.95,30.0,850
2012-04-18 00:00:00+05:30,31.45,31.5,29.2,31.5,537
2012-04-19 00:00:00+05:30,32.85,33.0,30.25,33.0,676
2012-04-20 00:00:00+05:30,31.4,31.4,31.4,31.4,775
2012-04-23 00:00:00+05:30,30.0,32.95,30.0,31.0,1982
2012-04-24 00:00:00+05:30,29.55,29.55,29.5,29.5,1000
2012-04-25 00:00:00+05:30,30.9,30.9,30.9,30.9,500
2012-04-27 00:00:00+05:30,31.95,31.95,31.95,31.95,50
2012-04-30 00:00:00+05:30,32.5,32.5,30.4,30.4,2050
2012-05-02 00:00:00+05:30,29.05,29.05,28.9,28.9,1125
2012-05-08 00:00:00+05:30,28.9,28.9,27.5,27.5,30
2012-05-09 00:00:00+05:30,26.15,26.15,26.15,26.15,502
2012-05-10 00:00:00+05:30,24.9,24.9,24.85,24.85,1261
2012-05-11 00:00:00+05:30,25.0,25.0,24.0,24.0,1210
2012-05-15 00:00:00+05:30,25.0,25.0,22.95,22.95,1001
2012-05-21 00:00:00+05:30,21.85,21.85,21.85,21.85,280
2012-05-22 00:00:00+05:30,22.9,22.9,21.85,22.0,17
2012-05-24 00:00:00+05:30,21.25,21.25,21.25,21.25,2
2012-05-25 00:00:00+05:30,22.3,22.3,22.3,22.3,100
2012-05-28 00:00:00+05:30,23.4,23.4,23.4,23.4,227
2012-06-08 00:00:00+05:30,22.4,22.4,22.4,22.4,10
2012-06-11 00:00:00+05:30,22.4,22.7,21.55,22.7,31
2012-06-18 00:00:00+05:30,21.7,22.2,21.7,22.2,20
