date,open,high,low,close,volume
2015-10-19 00:00:00+05:30,3.78,3.78,3.78,3.78,800
2015-12-28 00:00:00+05:30,3.96,3.96,3.96,3.96,100
2016-02-25 00:00:00+05:30,4.15,4.15,4.15,4.15,100
2016-03-14 00:00:00+05:30,4.34,4.34,4.34,4.34,400
2016-03-21 00:00:00+05:30,4.56,4.56,4.56,4.56,10700
2016-05-11 00:00:00+05:30,4.78,4.78,4.78,4.78,100
2016-05-17 00:00:00+05:30,5.01,5.01,5.01,5.01,100
2016-05-18 00:00:00+05:30,5.26,5.26,5.26,5.26,200
2016-06-13 00:00:00+05:30,5.52,5.52,5.52,5.52,200
2016-07-11 00:00:00+05:30,5.79,5.79,5.79,5.79,100
2016-08-11 00:00:00+05:30,6.07,6.07,6.07,6.07,200
2016-08-24 00:00:00+05:30,6.37,6.37,6.37,6.37,200
2016-08-30 00:00:00+05:30,6.68,6.68,6.68,6.68,100
2016-09-19 00:00:00+05:30,7.01,7.01,7.01,7.01,100
2016-09-20 11:00:00+05:30,7.2,7.2,7.2,7.2,100
2016-09-22 00:00:00+05:30,7.2,7.2,7.2,7.2,200
2016-11-17 00:00:00+05:30,7.56,7.56,7.56,7.56,100
2016-11-29 00:00:00+05:30,7.93,7.93,7.93,7.93,200
2016-12-02 00:00:00+05:30,8.32,8.32,8.32,8.32,100
2017-01-10 00:00:00+05:30,8.73,8.73,8.73,8.73,300
2017-01-11 00:00:00+05:30,9.16,9.16,9.16,9.16,400
2017-01-12 00:00:00+05:30,9.61,9.61,9.61,9.61,400
2017-01-16 00:00:00+05:30,10.09,10.09,10.09,10.09,600
2017-01-17 00:00:00+05:30,10.59,10.59,10.59,10.59,600
2017-01-24 00:00:00+05:30,10.81,10.81,10.81,10.81,500
2017-02-13 00:00:00+05:30,11.35,11.35,11.35,11.35,100
2017-02-16 00:00:00+05:30,11.91,11.91,11.91,11.91,200
2017-02-22 00:00:00+05:30,12.5,12.5,12.5,12.5,100
2017-03-10 00:00:00+05:30,13.12,13.12,13.12,13.12,100
2017-03-20 00:00:00+05:30,13.31,13.31,13.31,13.31,100
2017-03-30 00:00:00+05:30,13.31,13.31,13.31,13.31,100
2017-04-18 00:00:00+05:30,13.97,13.97,13.97,13.97,1800
2017-05-08 00:00:00+05:30,14.66,14.66,14.66,14.66,100
2017-05-09 00:00:00+05:30,15.39,15.39,15.39,15.39,100
2017-05-10 00:00:00+05:30,16.15,16.15,16.15,16.15,100
2017-05-11 00:00:00+05:30,16.95,16.95,16.95,16.95,100
2017-05-25 00:00:00+05:30,17.56,17.56,17.56,17.56,100
2017-05-29 00:00:00+05:30,17.56,17.56,17.56,17.56,100
2017-06-19 00:00:00+05:30,17.6,17.6,17.6,17.6,200
2017-07-19 00:00:00+05:30,17.6,17.6,17.6,17.6,500
2017-07-27 00:00:00+05:30,17.6,17.6,17.6,17.6,100
2017-08-31 00:00:00+05:30,17.6,17.6,17.6,17.6,100
2017-09-08 00:00:00+05:30,17.6,17.6,17.6,17.6,100
2017-09-11 00:00:00+05:30,17.6,17.6,17.6,17.6,100
2017-09-20 00:00:00+05:30,17.6,17.6,17.6,17.6,100
2017-09-22 00:00:00+05:30,17.6,17.6,17.6,17.6,100
2017-10-04 00:00:00+05:30,18.45,18.45,18.45,18.45,100
2017-10-11 00:00:00+05:30,19.35,19.35,19.35,19.35,100
2017-10-13 00:00:00+05:30,20.3,20.3,20.3,20.3,100
2017-10-17 00:00:00+05:30,21.3,21.3,21.3,21.3,600
2017-10-18 00:00:00+05:30,22.35,22.35,22.35,22.35,200
2017-10-27 00:00:00+05:30,22.85,22.85,22.85,22.85,200
