date,open,high,low,close,volume
2015-12-16 00:00:00+05:30,12.5,13.12,12.5,13.12,10
2015-12-17 00:00:00+05:30,13.77,13.77,13.77,13.77,5
2015-12-18 00:00:00+05:30,14.45,14.45,14.45,14.45,1
2015-12-21 00:00:00+05:30,15.17,15.17,15.17,15.17,5
2015-12-22 00:00:00+05:30,15.92,15.92,15.92,15.92,1
2015-12-23 00:00:00+05:30,16.71,16.71,16.71,16.71,2
2015-12-24 00:00:00+05:30,17.05,17.05,17.05,17.05,1
2015-12-29 00:00:00+05:30,17.05,17.05,17.05,17.05,8
2015-12-30 00:00:00+05:30,17.05,17.05,17.05,17.05,3
2016-01-01 00:00:00+05:30,17.89,17.89,17.7,17.7,1124
2016-01-04 00:00:00+05:30,18.55,18.55,18.55,18.55,1
2016-01-05 00:00:00+05:30,19.45,19.45,19.45,19.45,1
2016-02-29 00:00:00+05:30,20.39,20.39,20.39,20.39,10
2016-03-02 00:00:00+05:30,21.4,21.4,21.4,21.4,8
2016-06-24 00:00:00+05:30,22.45,22.45,22.45,22.45,1
2016-07-13 00:00:00+05:30,23.55,23.55,23.55,23.55,31
2016-07-14 00:00:00+05:30,24.7,24.7,24.7,24.7,69
2016-09-14 00:00:00+05:30,23.7,23.7,23.7,23.7,5100
2016-09-16 00:00:00+05:30,22.7,22.7,22.7,22.7,100
2016-10-04 00:00:00+05:30,21.6,21.6,21.6,21.6,10000
2016-10-14 00:00:00+05:30,20.6,20.6,20.6,20.6,45000
2017-07-19 00:00:00+05:30,21.6,21.6,21.6,21.6,50
2019-12-23 00:00:00+05:30,21.6,21.6,20.95,21.3,10
2020-07-14 00:00:00+05:30,21.0,21.0,21.0,21.0,21
2022-02-07 00:00:00+05:30,22.05,22.05,22.05,22.05,1
2022-02-23 00:00:00+05:30,23.15,23.15,23.15,23.15,50
2022-05-12 00:00:00+05:30,24.3,24.3,24.3,24.3,5000
2022-05-13 00:00:00+05:30,25.5,25.5,25.5,25.5,100
2022-05-16 00:00:00+05:30,26.75,26.75,26.75,26.75,100
2022-05-17 00:00:00+05:30,28.05,28.05,28.05,28.05,100
2022-05-18 00:00:00+05:30,29.45,29.45,29.45,29.45,100
2022-05-19 00:00:00+05:30,30.9,30.9,30.9,30.9,100
2022-05-20 00:00:00+05:30,32.4,32.4,32.4,32.4,100
2022-05-23 00:00:00+05:30,34.0,34.0,34.0,34.0,1
2022-05-24 00:00:00+05:30,35.7,35.7,35.7,35.7,1
2022-05-25 00:00:00+05:30,37.45,37.45,37.45,37.45,1
2022-05-26 00:00:00+05:30,39.3,39.3,39.3,39.3,1
2022-05-27 00:00:00+05:30,41.25,41.25,41.25,41.25,1
2022-05-30 00:00:00+05:30,43.3,43.3,43.3,43.3,703
2022-05-31 00:00:00+05:30,45.45,45.45,45.45,45.45,1
2022-06-01 00:00:00+05:30,47.7,47.7,47.7,47.7,1
2022-06-03 00:00:00+05:30,50.05,50.05,50.05,50.05,10
2022-06-06 00:00:00+05:30,52.55,52.55,52.55,52.55,40
2022-06-07 00:00:00+05:30,55.15,55.15,55.15,55.15,1
2022-06-08 00:00:00+05:30,57.9,57.9,57.9,57.9,1
2022-06-09 00:00:00+05:30,60.75,60.75,55.05,60.75,62124
2022-06-10 00:00:00+05:30,63.75,63.75,62.0,63.75,28740
2022-06-13 00:00:00+05:30,66.9,66.9,66.9,66.9,44194
2022-06-14 00:00:00+05:30,70.2,70.2,63.6,63.6,64504
2022-06-15 00:00:00+05:30,60.45,60.45,60.45,60.45,662
2022-06-16 00:00:00+05:30,57.45,62.9,57.45,59.0,42401
2022-06-17 00:00:00+05:30,56.05,60.5,56.05,56.05,3077
2022-06-20 00:00:00+05:30,53.25,53.25,53.25,53.25,349
2022-06-21 00:00:00+05:30,50.6,50.6,50.6,50.6,554
2022-06-22 00:00:00+05:30,48.1,48.1,48.1,48.1,78
2022-06-23 00:00:00+05:30,45.7,45.7,45.7,45.7,232
2022-06-24 00:00:00+05:30,43.45,43.45,43.45,43.45,517
2022-06-27 00:00:00+05:30,41.3,45.6,41.3,41.5,26449
2022-06-28 00:00:00+05:30,43.5,43.55,39.45,43.0,17422
2022-06-29 00:00:00+05:30,44.0,44.3,40.85,44.25,16356
2022-06-30 00:00:00+05:30,45.85,45.85,42.05,42.05,3890
2022-07-01 00:00:00+05:30,44.0,44.0,39.95,41.9,1396
2022-07-04 00:00:00+05:30,39.85,39.85,39.85,39.85,735
2022-07-05 00:00:00+05:30,37.9,41.6,37.9,38.45,27779
2022-07-06 00:00:00+05:30,38.1,40.35,37.6,40.35,3581
2022-07-07 00:00:00+05:30,42.3,42.3,38.35,41.65,3339
2022-07-08 00:00:00+05:30,43.0,43.0,41.0,42.0,860
2022-07-11 00:00:00+05:30,42.2,42.2,39.9,39.95,2147
2022-07-12 00:00:00+05:30,39.5,39.5,38.0,38.0,1912
2022-07-13 00:00:00+05:30,36.1,36.1,36.1,36.1,774
2022-07-14 00:00:00+05:30,34.3,37.9,34.3,37.9,17853
2022-07-15 00:00:00+05:30,39.75,39.75,36.05,39.45,6748
2022-07-18 00:00:00+05:30,41.4,41.4,38.25,41.15,5276
2022-07-19 00:00:00+05:30,43.15,43.15,40.1,40.2,4141
2022-07-20 00:00:00+05:30,42.15,42.2,42.0,42.2,9930
2022-07-21 00:00:00+05:30,44.3,44.3,40.25,42.9,5860
2022-07-22 00:00:00+05:30,43.75,44.8,40.85,42.9,4499
2022-07-25 00:00:00+05:30,42.9,45.0,42.0,44.4,10630
2022-07-26 00:00:00+05:30,44.0,46.55,42.2,46.35,27443
2022-07-27 00:00:00+05:30,46.6,47.85,44.05,46.9,10367
2022-07-28 00:00:00+05:30,47.8,47.8,44.6,44.75,5406
2022-07-29 00:00:00+05:30,43.9,46.75,42.55,45.6,2457
2022-08-01 00:00:00+05:30,43.55,44.7,43.35,43.35,825
2022-08-02 00:00:00+05:30,41.55,45.0,41.2,42.35,5428
2022-08-03 00:00:00+05:30,43.3,43.3,40.25,41.7,1579
2022-08-04 00:00:00+05:30,41.6,41.7,39.65,39.65,338
2022-08-05 00:00:00+05:30,39.6,41.6,37.7,41.6,9955
2022-08-08 00:00:00+05:30,43.65,43.65,39.55,43.4,13046
2022-08-10 00:00:00+05:30,43.5,45.55,41.25,43.65,24090
2022-08-11 00:00:00+05:30,41.55,43.45,41.5,41.5,3167
2022-08-12 00:00:00+05:30,41.45,41.45,39.45,39.45,10206
2022-08-16 00:00:00+05:30,37.5,37.5,37.5,37.5,1277
2022-08-17 00:00:00+05:30,35.65,35.65,35.65,35.65,792
2022-08-18 00:00:00+05:30,33.9,35.6,33.9,33.9,23988
2022-08-19 00:00:00+05:30,32.25,32.25,32.25,32.25,898
2022-08-22 00:00:00+05:30,30.65,30.65,30.65,30.65,2266
2022-08-23 00:00:00+05:30,29.15,29.15,29.15,29.15,1184
2022-08-24 00:00:00+05:30,27.7,30.6,27.7,29.9,8972
2022-08-25 00:00:00+05:30,31.2,31.35,29.0,31.35,3827
2022-08-26 00:00:00+05:30,32.9,32.9,29.8,29.8,11201
2022-08-29 00:00:00+05:30,30.95,30.95,28.35,29.25,12087
2022-08-30 00:00:00+05:30,28.05,29.8,27.8,29.05,4045
2022-09-01 00:00:00+05:30,29.05,30.35,28.4,29.7,3214
2022-09-02 00:00:00+05:30,30.4,30.7,29.15,30.3,2701
2022-09-05 00:00:00+05:30,31.65,31.65,30.35,30.9,1839
2022-09-06 00:00:00+05:30,32.3,32.3,29.4,30.15,13215
2022-09-07 00:00:00+05:30,30.4,30.4,29.05,29.95,1653
2022-09-08 00:00:00+05:30,30.7,31.0,29.3,30.7,2628
2022-09-09 00:00:00+05:30,31.2,31.2,29.25,29.8,6173
2022-09-12 00:00:00+05:30,30.4,30.7,29.0,30.3,5201
2022-09-13 00:00:00+05:30,30.9,30.9,28.8,29.65,15789
2022-09-14 00:00:00+05:30,30.4,30.75,28.9,30.75,2942
2022-09-15 00:00:00+05:30,31.85,31.85,29.3,30.15,5551
2022-09-16 00:00:00+05:30,30.9,30.9,28.65,29.6,2022
2022-09-19 00:00:00+05:30,30.4,30.8,28.15,29.0,8315
2022-09-20 00:00:00+05:30,29.9,30.05,29.1,29.65,1769
2022-09-21 00:00:00+05:30,30.45,30.45,28.2,28.2,5010
2022-09-22 00:00:00+05:30,28.9,28.9,26.8,28.25,2251
2022-09-23 00:00:00+05:30,28.9,28.9,27.05,27.6,2977
2022-09-26 00:00:00+05:30,28.4,28.9,26.25,27.65,2344
2022-09-27 00:00:00+05:30,27.9,28.3,26.5,27.9,713
2022-09-28 00:00:00+05:30,27.95,27.95,26.55,26.55,1741
2022-09-29 00:00:00+05:30,27.45,27.45,25.4,26.6,815
2022-09-30 00:00:00+05:30,26.9,27.8,26.0,27.45,1984
2022-10-03 00:00:00+05:30,27.9,28.75,27.7,28.7,10633
2022-10-04 00:00:00+05:30,29.8,29.8,27.3,27.45,1591
2022-10-06 00:00:00+05:30,28.4,28.8,28.0,28.75,3014
2022-10-07 00:00:00+05:30,29.9,30.15,29.8,30.15,4282
2022-10-10 00:00:00+05:30,31.45,31.65,31.25,31.65,4434
2022-10-11 00:00:00+05:30,33.2,33.2,33.2,33.2,2489
2022-10-12 00:00:00+05:30,34.85,34.85,31.9,34.85,10936
2022-10-13 00:00:00+05:30,35.8,35.85,33.2,34.85,4062
2022-10-14 00:00:00+05:30,33.5,35.45,33.15,33.15,5640
2022-10-17 00:00:00+05:30,33.85,34.6,31.5,33.85,13302
2022-10-18 00:00:00+05:30,33.9,33.9,32.2,33.05,7553
2022-10-19 00:00:00+05:30,32.85,32.85,31.4,32.8,4295
2022-10-20 00:00:00+05:30,33.0,33.0,31.2,31.25,1759
2022-10-21 00:00:00+05:30,32.45,32.75,30.1,32.15,6148
2022-10-24 00:00:00+05:30,32.95,33.65,32.35,33.65,931
2022-10-25 00:00:00+05:30,33.95,34.4,32.2,33.65,2574
2022-10-27 00:00:00+05:30,33.65,33.65,32.05,32.1,1471
