date,open,high,low,close,volume
2017-10-10 00:00:00+05:30,3.79,3.79,3.77,3.77,3383
2017-10-11 00:00:00+05:30,3.59,3.59,3.59,3.59,38235
2017-10-13 00:00:00+05:30,3.41,3.77,3.41,3.77,487861
2017-10-16 00:00:00+05:30,3.92,3.95,3.58,3.58,26202
2017-10-17 00:00:00+05:30,3.58,3.76,3.47,3.76,90768
2017-10-18 00:00:00+05:30,3.73,3.73,3.58,3.62,306
2017-10-23 00:00:00+05:30,3.44,3.62,3.44,3.44,191199
2017-10-24 00:00:00+05:30,3.27,3.27,3.27,3.27,37
2017-10-25 00:00:00+05:30,3.11,3.11,3.11,3.11,8
2017-10-26 00:00:00+05:30,2.96,2.96,2.96,2.96,1529
2017-10-30 00:00:00+05:30,2.81,2.81,2.81,2.81,10706
2017-10-31 00:00:00+05:30,2.67,2.67,2.67,2.67,4588
2017-11-02 00:00:00+05:30,2.54,2.54,2.54,2.54,3
2017-11-03 00:00:00+05:30,2.42,2.42,2.42,2.42,1071
2017-11-07 00:00:00+05:30,2.3,2.3,2.3,2.3,2
2017-11-08 00:00:00+05:30,2.19,2.19,2.19,2.19,29
2017-11-09 00:00:00+05:30,2.09,2.09,2.09,2.09,15
2017-11-10 00:00:00+05:30,1.99,1.99,1.99,1.99,44
2017-11-13 00:00:00+05:30,1.89,1.89,1.89,1.89,17269
2017-11-14 00:00:00+05:30,1.8,1.8,1.8,1.8,5965
2017-11-15 00:00:00+05:30,1.77,1.8,1.72,1.8,4191
2017-11-16 00:00:00+05:30,1.89,1.89,1.72,1.89,29112
2017-11-17 00:00:00+05:30,1.97,1.98,1.8,1.98,11149
2017-11-20 00:00:00+05:30,1.99,1.99,1.99,1.99,956
2017-11-21 00:00:00+05:30,1.89,1.89,1.89,1.89,2
2017-11-22 00:00:00+05:30,1.83,1.83,1.83,1.83,95
2017-11-24 00:00:00+05:30,1.74,1.88,1.74,1.88,15309
2017-11-27 00:00:00+05:30,1.96,1.96,1.96,1.96,4922
2017-11-28 00:00:00+05:30,1.96,2.06,1.86,2.06,5775
2017-11-29 00:00:00+05:30,2.14,2.14,1.96,1.96,21736
2017-11-30 00:00:00+05:30,2.12,2.12,2.12,2.12,5657
2017-12-01 00:00:00+05:30,2.22,2.23,2.12,2.23,36594
2017-12-04 00:00:00+05:30,2.34,2.34,2.12,2.31,24608
2017-12-05 00:00:00+05:30,2.42,2.42,2.23,2.36,10489
2017-12-06 00:00:00+05:30,2.24,2.36,2.24,2.36,4022
2017-12-07 00:00:00+05:30,2.24,2.24,2.24,2.24,1682
2017-12-08 00:00:00+05:30,2.33,2.33,2.33,2.33,153
2017-12-12 00:00:00+05:30,2.22,2.22,2.22,2.22,6
2017-12-14 00:00:00+05:30,2.16,2.16,2.11,2.12,37059
2017-12-15 00:00:00+05:30,2.22,2.22,2.16,2.16,15085
2017-12-18 00:00:00+05:30,2.26,2.26,2.26,2.26,4769
2017-12-20 00:00:00+05:30,2.37,2.37,2.37,2.37,24
2017-12-21 00:00:00+05:30,2.49,2.49,2.49,2.49,702
2017-12-22 00:00:00+05:30,2.62,2.62,2.62,2.62,194
2017-12-26 00:00:00+05:30,2.75,2.75,2.75,2.75,4756
2017-12-27 00:00:00+05:30,2.88,2.88,2.88,2.88,3161
2017-12-28 00:00:00+05:30,3.03,3.03,3.03,3.03,433
2017-12-29 00:00:00+05:30,3.18,3.18,3.18,3.18,3449
2018-01-01 00:00:00+05:30,3.33,3.33,3.33,3.33,5354
2018-01-02 00:00:00+05:30,3.5,3.5,3.5,3.5,8689
2018-01-03 00:00:00+05:30,3.67,3.67,3.67,3.67,3135
2018-01-04 00:00:00+05:30,3.85,3.85,3.85,3.85,2
2018-01-05 00:00:00+05:30,4.04,4.04,4.04,4.04,18677
2018-01-08 00:00:00+05:30,4.24,4.24,4.24,4.24,5974
2018-01-09 00:00:00+05:30,4.45,4.45,4.45,4.45,5709
2018-01-10 00:00:00+05:30,4.67,4.67,4.45,4.67,2274930
2018-01-11 00:00:00+05:30,4.9,4.9,4.67,4.9,1166493
2018-01-12 00:00:00+05:30,5.14,5.14,5.14,5.14,434998
2018-01-15 00:00:00+05:30,5.39,5.39,5.39,5.39,805604
2018-01-16 00:00:00+05:30,5.66,5.66,5.13,5.38,1001286
2018-01-17 00:00:00+05:30,5.39,5.66,5.13,5.66,502901
2018-01-18 00:00:00+05:30,5.92,5.92,5.36,5.36,180698
2018-01-19 00:00:00+05:30,5.63,5.63,5.23,5.63,267090
2018-01-22 00:00:00+05:30,5.91,5.91,5.45,5.68,131855
2018-01-23 00:00:00+05:30,5.69,5.96,5.69,5.96,273945
2018-01-24 00:00:00+05:30,6.17,6.25,5.69,5.88,169538
2018-01-25 00:00:00+05:30,5.71,5.99,5.43,5.92,160888
2018-01-29 00:00:00+05:30,6.15,6.15,6.15,6.15,240786
2018-01-30 00:00:00+05:30,6.45,6.45,6.45,6.45,60554
2018-01-31 00:00:00+05:30,6.77,6.77,6.77,6.77,20948
2018-02-01 00:00:00+05:30,7.11,7.11,6.47,7.11,629651
2018-02-02 00:00:00+05:30,6.75,6.75,6.75,6.75,35062
2018-02-05 00:00:00+05:30,6.42,6.42,6.42,6.42,6768
2018-02-06 00:00:00+05:30,6.1,6.1,6.1,6.1,1471
