date,open,high,low,close,volume
2018-06-28 00:00:00+05:30,10.9,10.9,10.4,10.4,8588
2018-06-29 00:00:00+05:30,9.9,9.9,9.9,9.9,2126
2018-07-02 00:00:00+05:30,9.41,9.41,9.41,9.41,439
2018-07-03 00:00:00+05:30,8.94,8.94,8.94,8.94,551
2018-07-04 00:00:00+05:30,8.5,8.5,8.5,8.5,1400
2018-07-05 00:00:00+05:30,8.08,8.08,8.08,8.08,200
2018-07-06 00:00:00+05:30,7.68,7.68,7.68,7.68,2382
2018-07-09 00:00:00+05:30,7.3,7.3,7.3,7.3,540
2018-07-10 00:00:00+05:30,6.94,6.94,6.94,6.94,1530
2018-07-11 00:00:00+05:30,6.6,6.6,6.6,6.6,591
2018-07-12 00:00:00+05:30,6.27,6.27,6.27,6.27,1155
2018-07-13 00:00:00+05:30,5.96,5.96,5.96,5.96,460
2018-07-16 00:00:00+05:30,5.67,5.67,5.67,5.67,240
2018-07-17 00:00:00+05:30,5.39,5.39,5.39,5.39,750
2018-07-18 00:00:00+05:30,5.13,5.13,5.13,5.13,1305
2018-07-19 00:00:00+05:30,4.88,4.88,4.88,4.88,2020
2018-07-20 00:00:00+05:30,4.64,4.64,4.64,4.64,155
2018-07-23 00:00:00+05:30,4.41,4.41,4.41,4.41,3738
2018-07-24 00:00:00+05:30,4.19,4.19,4.19,4.19,34101
2018-07-25 00:00:00+05:30,3.99,3.99,3.99,3.99,21424
2018-07-26 00:00:00+05:30,3.8,3.8,3.8,3.8,5495
2018-07-27 00:00:00+05:30,3.61,3.61,3.61,3.61,13172
2018-07-30 00:00:00+05:30,3.43,3.79,3.43,3.43,1315931
2018-07-31 00:00:00+05:30,3.3,3.6,3.26,3.26,87374
2018-08-01 00:00:00+05:30,3.1,3.1,3.1,3.1,136437
2018-08-02 00:00:00+05:30,2.95,2.95,2.95,2.95,12540
2018-08-03 00:00:00+05:30,2.81,2.81,2.81,2.81,63395
2018-08-06 00:00:00+05:30,2.67,2.67,2.67,2.67,17297
