date,open,high,low,close,volume
2010-05-04 00:00:00+05:30,50.0,50.0,28.0,36.5,15588
2010-05-05 00:00:00+05:30,35.1,37.4,29.25,30.5,20554
2010-05-06 00:00:00+05:30,30.5,31.8,24.5,25.45,15126
2010-05-07 00:00:00+05:30,27.0,27.0,22.95,23.85,9074
2010-05-10 00:00:00+05:30,22.75,24.0,21.5,22.3,1339
2010-05-11 00:00:00+05:30,20.3,24.15,20.3,24.15,301
2010-05-12 00:00:00+05:30,24.15,24.15,21.75,21.75,2616
2010-05-13 00:00:00+05:30,20.95,21.0,19.6,19.6,2924
2010-05-14 00:00:00+05:30,18.64,18.64,18.64,18.64,3003
2010-05-17 00:00:00+05:30,17.75,18.75,17.75,17.75,2805
2010-05-18 00:00:00+05:30,17.3,18.3,16.89,17.8,9698
2010-05-19 00:00:00+05:30,18.1,18.64,17.0,17.75,4125
2010-05-20 00:00:00+05:30,17.5,17.6,16.89,17.1,1225
2010-05-21 00:00:00+05:30,17.0,17.0,16.25,16.25,70
2010-05-24 00:00:00+05:30,16.25,17.05,16.25,17.05,290
2010-05-25 00:00:00+05:30,17.0,17.0,16.35,16.35,675
2010-05-26 00:00:00+05:30,16.35,17.14,15.6,15.7,333
2010-05-27 00:00:00+05:30,16.45,16.45,16.45,16.45,110
2010-05-31 00:00:00+05:30,16.0,16.25,15.65,15.65,560
2010-06-01 00:00:00+05:30,16.39,16.39,16.39,16.39,155
2010-06-02 00:00:00+05:30,16.64,16.64,16.0,16.0,558
2010-06-03 00:00:00+05:30,15.3,16.75,15.25,16.5,1059
2010-06-04 00:00:00+05:30,15.7,16.5,15.7,16.5,31
2010-06-07 00:00:00+05:30,17.0,17.0,17.0,17.0,10
2010-06-08 00:00:00+05:30,16.2,16.25,16.2,16.2,115
2010-06-09 00:00:00+05:30,15.45,15.45,15.45,15.45,55
2010-06-10 00:00:00+05:30,14.8,14.8,14.7,14.8,60
2010-06-11 00:00:00+05:30,15.5,15.5,14.1,14.1,520
2010-06-14 00:00:00+05:30,14.6,14.6,14.6,14.6,100
2010-06-15 00:00:00+05:30,15.3,15.3,14.0,14.15,866
