date,open,high,low,close,volume
2023-02-24 00:00:00+05:30,55.8,55.8,55.71,55.71,443
2023-02-27 00:00:00+05:30,56.11,56.11,55.0,56.11,120
2023-02-28 00:00:00+05:30,55.5,55.5,55.34,55.34,2
2023-03-01 00:00:00+05:30,55.5,55.79,55.5,55.79,2
2023-03-02 00:00:00+05:30,56.0,56.0,55.61,55.79,4
2023-03-03 00:00:00+05:30,55.94,55.94,55.94,55.94,1
2023-03-06 00:00:00+05:30,57.33,57.33,55.99,55.99,10
2023-03-08 00:00:00+05:30,55.29,55.5,54.5,54.99,245
2023-03-09 00:00:00+05:30,55.0,55.04,54.11,54.36,114
2023-03-10 00:00:00+05:30,55.5,56.24,55.5,56.24,5
2023-03-13 00:00:00+05:30,56.5,58.39,56.5,58.39,42
2023-03-14 00:00:00+05:30,56.5,57.5,55.75,57.0,13
2023-03-15 00:00:00+05:30,57.5,59.94,57.0,58.69,22
2023-03-16 00:00:00+05:30,57.5,59.0,57.5,58.04,26
2023-03-17 00:00:00+05:30,57.75,58.19,57.5,57.8,429
2023-03-20 00:00:00+05:30,58.5,62.0,58.5,59.33,73
2023-03-21 00:00:00+05:30,59.75,59.75,58.0,59.58,384
2023-03-22 00:00:00+05:30,59.0,59.0,58.5,58.5,33
2023-03-27 00:00:00+05:30,59.19,59.19,59.19,59.19,2
2023-03-28 00:00:00+05:30,58.75,58.75,58.25,58.46,40
2023-03-31 00:00:00+05:30,59.44,59.49,59.44,59.49,2
2023-04-03 00:00:00+05:30,59.26,59.26,59.26,59.26,2
2023-04-05 00:00:00+05:30,59.5,61.6,59.5,60.71,40
2023-04-06 00:00:00+05:30,60.75,60.75,60.11,60.11,6
2023-04-10 00:00:00+05:30,60.0,60.0,59.99,59.99,158
2023-04-11 00:00:00+05:30,60.0,60.3,60.0,60.25,3
2023-04-12 00:00:00+05:30,60.5,61.1,60.5,60.56,12
2023-04-13 00:00:00+05:30,62.07,62.07,60.46,60.94,11
2023-04-17 00:00:00+05:30,60.25,61.35,60.0,60.74,191
2023-04-19 00:00:00+05:30,60.74,61.25,59.81,59.81,90
2023-04-21 00:00:00+05:30,60.25,61.4,60.11,60.44,10
2023-04-24 00:00:00+05:30,60.5,62.0,60.0,60.69,1707
2023-04-25 00:00:00+05:30,60.5,60.68,59.96,59.96,4
2023-04-26 00:00:00+05:30,60.25,60.54,60.25,60.54,2
2023-04-27 00:00:00+05:30,60.29,60.59,60.16,60.16,16
2023-04-28 00:00:00+05:30,60.25,60.25,59.81,59.95,7
