date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,19.35,19.35,18.4,19.35,436375
2008-01-02 00:00:00+05:30,20.3,20.35,18.4,19.55,609870
2008-01-03 00:00:00+05:30,19.45,20.5,19.25,19.75,602780
2008-01-04 00:00:00+05:30,20.4,20.4,19.05,19.7,555940
2008-01-07 00:00:00+05:30,20.0,20.55,19.0,19.35,417580
2008-01-08 00:00:00+05:30,20.0,20.0,18.4,18.4,309895
2008-01-09 00:00:00+05:30,17.5,17.95,17.5,17.5,203205
2008-01-10 00:00:00+05:30,17.8,18.35,16.6,16.6,182700
2008-01-11 00:00:00+05:30,16.0,16.9,15.8,15.85,175535
2008-01-14 00:00:00+05:30,16.65,16.65,16.45,16.65,497975
2008-01-15 00:00:00+05:30,17.3,17.3,15.8,15.8,307940
2008-01-16 00:00:00+05:30,16.0,16.0,15.0,15.0,182765
2008-01-17 00:00:00+05:30,14.6,15.75,14.25,15.2,1118045
2008-01-18 00:00:00+05:30,15.4,15.8,14.45,14.45,496250
2008-01-21 00:00:00+05:30,13.7,14.45,13.7,13.7,161320
2008-01-22 00:00:00+05:30,13.05,13.05,13.05,13.05,19975
2008-01-23 00:00:00+05:30,12.4,12.4,12.4,12.4,123255
2008-01-24 00:00:00+05:30,12.4,13.0,11.75,11.8,277195
2008-01-25 00:00:00+05:30,11.25,12.35,11.2,12.25,314125
2008-01-28 00:00:00+05:30,11.65,12.85,11.65,11.7,210250
2008-01-29 00:00:00+05:30,12.3,12.3,11.15,11.65,190625
2008-01-30 00:00:00+05:30,11.8,12.15,11.7,11.95,116555
2008-01-31 00:00:00+05:30,11.8,12.0,11.5,11.55,83070
2008-02-01 00:00:00+05:30,11.6,11.95,11.3,11.45,130330
2008-02-04 00:00:00+05:30,11.9,12.05,11.6,11.8,140875
2008-02-05 00:00:00+05:30,12.1,12.15,11.65,11.95,84335
2008-02-06 00:00:00+05:30,11.4,11.95,11.4,11.8,78105
2008-02-07 00:00:00+05:30,11.6,12.15,11.4,11.65,122720
2008-02-08 00:00:00+05:30,11.4,11.8,11.25,11.3,109335
2008-02-11 00:00:00+05:30,11.2,11.55,10.75,10.8,92910
2008-02-12 00:00:00+05:30,10.8,11.0,10.25,10.25,41145
2008-02-13 00:00:00+05:30,10.3,10.55,9.75,9.85,110960
2008-02-14 00:00:00+05:30,10.2,10.35,9.8,10.35,109405
2008-02-15 00:00:00+05:30,10.6,10.85,10.2,10.75,75095
2008-02-18 00:00:00+05:30,11.25,11.25,11.25,11.25,46095
2008-02-19 00:00:00+05:30,11.85,11.85,11.85,11.85,19685
2008-02-20 00:00:00+05:30,12.4,12.4,12.3,12.4,251330
2008-02-21 00:00:00+05:30,13.05,13.05,13.0,13.05,39385
2008-02-22 00:00:00+05:30,13.7,13.7,13.1,13.35,200945
2008-02-25 00:00:00+05:30,13.55,13.55,12.7,13.0,92105
2008-02-26 00:00:00+05:30,13.3,13.5,12.35,12.5,125185
2008-02-27 00:00:00+05:30,12.1,12.5,12.0,12.1,91650
2008-02-28 00:00:00+05:30,11.8,12.0,11.55,11.7,100330
2008-02-29 00:00:00+05:30,11.35,12.0,11.25,11.65,90265
2008-03-03 00:00:00+05:30,11.6,11.6,11.05,11.1,59465
2008-03-04 00:00:00+05:30,10.95,11.15,10.55,10.55,90425
2008-03-05 00:00:00+05:30,10.05,10.7,10.05,10.65,133285
2008-03-07 00:00:00+05:30,10.15,10.4,10.15,10.15,114070
2008-03-10 00:00:00+05:30,9.65,9.95,9.65,9.85,153380
2008-03-11 00:00:00+05:30,9.6,10.35,9.45,10.35,57470
2008-03-12 00:00:00+05:30,10.85,10.85,10.85,10.85,65940
2008-03-13 00:00:00+05:30,10.8,11.0,10.35,10.35,54615
2008-03-14 00:00:00+05:30,10.35,10.45,9.85,9.9,197670
