date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,12.79,12.84,11.85,12.84,24119905
2008-01-02 00:00:00+05:30,13.48,13.48,12.51,13.48,41971495
2008-01-03 00:00:00+05:30,14.0,14.15,13.48,14.15,31644762
2008-01-04 00:00:00+05:30,14.74,14.85,14.54,14.85,10192518
2008-01-07 00:00:00+05:30,15.58,15.59,14.85,15.59,12609678
2008-01-08 00:00:00+05:30,16.36,16.36,14.82,14.82,22093579
2008-01-09 00:00:00+05:30,14.08,14.08,14.08,14.08,1286246
2008-01-10 00:00:00+05:30,13.38,13.38,13.38,13.38,701522
2008-01-11 00:00:00+05:30,12.72,12.72,12.72,12.72,416995
2008-01-14 00:00:00+05:30,12.09,12.09,12.09,12.09,479180
2008-01-15 00:00:00+05:30,11.49,12.69,11.49,11.93,10792273
2008-01-16 00:00:00+05:30,11.34,11.34,11.34,11.34,1589967
2008-01-17 00:00:00+05:30,10.78,11.9,10.78,11.53,9687455
2008-01-18 00:00:00+05:30,10.96,11.35,10.96,10.96,3986446
2008-01-21 00:00:00+05:30,10.42,10.42,10.42,10.42,395825
2008-01-22 00:00:00+05:30,9.9,9.9,9.9,9.9,60437
2008-01-23 00:00:00+05:30,9.41,9.41,9.41,9.41,367757
2008-01-24 00:00:00+05:30,8.94,8.94,8.94,8.94,325147
2008-01-25 00:00:00+05:30,8.5,8.5,8.5,8.5,330812
2008-01-28 00:00:00+05:30,8.08,8.08,8.08,8.08,228935
2008-01-29 00:00:00+05:30,7.68,8.39,7.68,8.06,5144901
2008-01-30 00:00:00+05:30,7.9,8.0,7.66,7.66,2231036
2008-01-31 00:00:00+05:30,7.28,7.85,7.28,7.32,1885093
2008-02-01 00:00:00+05:30,6.96,7.45,6.96,7.33,1978380
2008-02-04 00:00:00+05:30,7.46,7.69,7.37,7.69,1406717
2008-02-05 00:00:00+05:30,8.0,8.07,7.8,8.07,1693752
2008-02-06 00:00:00+05:30,8.03,8.47,7.67,8.47,2252688
2008-02-07 00:00:00+05:30,8.8,8.89,8.25,8.44,2717036
2008-02-08 00:00:00+05:30,8.44,8.5,8.02,8.02,1303513
2008-02-11 00:00:00+05:30,7.63,7.95,7.63,7.63,495680
2008-02-12 00:00:00+05:30,7.25,7.49,7.25,7.25,261036
2008-02-13 00:00:00+05:30,6.89,7.05,6.89,6.89,1143686
2008-02-14 00:00:00+05:30,6.55,7.18,6.55,7.09,1893323
2008-02-15 00:00:00+05:30,6.9,7.44,6.76,7.4,1380251
2008-02-18 00:00:00+05:30,7.4,7.77,7.4,7.75,1086219
2008-02-19 00:00:00+05:30,8.1,8.13,7.51,7.61,1175704
2008-02-20 00:00:00+05:30,7.35,7.51,7.23,7.23,749623
2008-02-21 00:00:00+05:30,7.3,7.49,6.95,7.05,792661
2008-02-22 00:00:00+05:30,6.81,7.25,6.81,7.02,800785
