date,open,high,low,close,volume
2018-04-25 00:00:00+05:30,0.36,0.36,0.36,0.36,24640000
2018-04-26 00:00:00+05:30,0.36,0.36,0.36,0.36,560000
2018-04-27 00:00:00+05:30,0.32,0.36,0.32,0.36,560000
2018-04-30 00:00:00+05:30,0.36,0.36,0.32,0.36,6160000
2018-05-02 00:00:00+05:30,0.36,0.36,0.32,0.36,14000000
2018-05-03 00:00:00+05:30,0.32,0.36,0.32,0.32,3360000
2018-05-04 00:00:00+05:30,0.32,0.32,0.32,0.32,840000
2018-05-07 00:00:00+05:30,0.32,0.32,0.32,0.32,560000
2018-05-08 00:00:00+05:30,0.29,0.29,0.29,0.29,280000
2018-05-09 00:00:00+05:30,0.32,0.32,0.32,0.32,280000
2018-05-10 00:00:00+05:30,0.32,0.32,0.32,0.32,280000
2018-05-11 00:00:00+05:30,0.29,0.29,0.29,0.29,280000
2018-05-16 00:00:00+05:30,0.29,0.29,0.29,0.29,840000
2018-05-18 00:00:00+05:30,0.29,0.29,0.29,0.29,280000
2018-05-21 00:00:00+05:30,0.29,0.32,0.29,0.32,1680000
2018-06-01 00:00:00+05:30,0.29,0.29,0.29,0.29,1960000
2018-06-04 00:00:00+05:30,0.29,0.29,0.29,0.29,2800000
2018-06-06 00:00:00+05:30,0.29,0.29,0.29,0.29,3360000
2018-06-07 00:00:00+05:30,0.29,0.29,0.29,0.29,280000
2018-06-08 00:00:00+05:30,0.29,0.29,0.29,0.29,560000
2018-06-11 00:00:00+05:30,0.25,0.25,0.25,0.25,560000
2018-06-21 00:00:00+05:30,0.25,0.25,0.25,0.25,280000
2018-06-22 00:00:00+05:30,0.25,0.25,0.25,0.25,840000
2018-06-29 00:00:00+05:30,0.29,0.29,0.29,0.29,280000
2018-07-02 00:00:00+05:30,0.25,0.25,0.25,0.25,280000
2018-07-12 00:00:00+05:30,0.29,0.29,0.29,0.29,560000
2018-07-17 00:00:00+05:30,0.29,0.29,0.25,0.25,3640000
2018-07-23 00:00:00+05:30,0.25,0.25,0.25,0.25,280000
2018-07-24 00:00:00+05:30,0.29,0.32,0.29,0.32,3360000
