date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,11.18,11.18,11.18,11.18,36017
2008-01-02 00:00:00+05:30,11.73,11.73,11.73,11.73,64092
2008-01-03 00:00:00+05:30,12.31,12.31,12.31,12.31,35402
2008-01-04 00:00:00+05:30,12.92,12.92,12.92,12.92,41119
2008-01-07 00:00:00+05:30,13.56,13.56,13.56,13.56,24766
2008-01-08 00:00:00+05:30,14.23,14.23,12.89,12.89,100446
2008-01-09 00:00:00+05:30,12.25,13.0,12.25,12.25,49395
2008-01-10 00:00:00+05:30,11.64,11.64,11.64,11.64,7935
2008-01-11 00:00:00+05:30,11.06,11.06,11.06,11.06,3778
2008-01-14 00:00:00+05:30,10.51,10.51,10.51,10.51,17770
2008-01-15 00:00:00+05:30,9.99,9.99,9.99,9.99,10161
2008-01-16 00:00:00+05:30,9.5,9.5,9.5,9.5,3250
2008-01-17 00:00:00+05:30,9.02,9.02,9.02,9.02,18001
2008-01-18 00:00:00+05:30,9.0,9.0,8.58,8.58,16051
2008-01-21 00:00:00+05:30,8.19,8.19,8.16,8.16,3000
2008-01-23 00:00:00+05:30,7.76,7.76,7.76,7.76,101
2008-01-28 00:00:00+05:30,7.38,7.38,7.38,7.38,100
2008-01-29 00:00:00+05:30,7.02,7.02,7.02,7.02,500
2008-01-30 00:00:00+05:30,6.67,6.67,6.67,6.67,1230
2008-01-31 00:00:00+05:30,7.0,7.0,6.34,6.34,1726
2008-02-01 00:00:00+05:30,6.3,6.3,6.03,6.03,1651
2008-02-04 00:00:00+05:30,5.74,6.33,5.73,6.0,14135
2008-02-05 00:00:00+05:30,6.29,6.3,6.28,6.3,1550
2008-02-06 00:00:00+05:30,6.2,6.6,5.99,6.6,5249
2008-02-07 00:00:00+05:30,6.93,6.93,6.85,6.92,5550
2008-02-08 00:00:00+05:30,6.8,6.9,6.58,6.89,1387
2008-02-11 00:00:00+05:30,6.55,6.55,6.55,6.55,877
2008-02-12 00:00:00+05:30,6.4,6.4,6.4,6.4,2000
2008-02-13 00:00:00+05:30,6.09,6.09,6.09,6.09,959
2008-02-14 00:00:00+05:30,5.79,5.99,5.79,5.79,3950
2008-02-15 00:00:00+05:30,6.0,6.0,5.51,5.87,13340
2008-02-18 00:00:00+05:30,5.87,5.9,5.58,5.9,5535
2008-02-19 00:00:00+05:30,5.85,5.9,5.63,5.89,11480
2008-02-20 00:00:00+05:30,5.89,5.89,5.62,5.74,3154
2008-02-21 00:00:00+05:30,5.46,6.02,5.46,5.47,13740
2008-02-22 00:00:00+05:30,5.5,5.52,5.27,5.49,1640
2008-02-25 00:00:00+05:30,5.22,5.64,5.22,5.26,5072
2008-02-26 00:00:00+05:30,5.22,5.52,5.03,5.47,4916
2008-02-27 00:00:00+05:30,5.22,5.23,5.22,5.22,1915
2008-02-28 00:00:00+05:30,5.09,5.4,4.96,5.01,5930
2008-02-29 00:00:00+05:30,5.24,5.24,4.88,4.88,1150
2008-03-03 00:00:00+05:30,4.75,5.0,4.66,4.91,3097
2008-03-04 00:00:00+05:30,5.11,5.11,4.67,4.69,6316
2008-03-05 00:00:00+05:30,4.5,4.62,4.46,4.55,3750
2008-03-07 00:00:00+05:30,4.34,4.66,4.33,4.33,1700
2008-03-10 00:00:00+05:30,4.34,4.51,4.12,4.12,3123
2008-03-11 00:00:00+05:30,4.0,4.32,4.0,4.3,9290
2008-03-12 00:00:00+05:30,4.51,4.51,4.36,4.51,10901
2008-03-13 00:00:00+05:30,4.51,4.51,4.3,4.51,5650
2008-03-14 00:00:00+05:30,4.63,4.63,4.29,4.29,6391
2008-03-17 00:00:00+05:30,4.08,4.11,4.08,4.08,1720
2008-03-18 00:00:00+05:30,3.91,4.0,3.89,4.0,2725
2008-03-19 00:00:00+05:30,4.0,4.0,3.82,3.95,3878
2008-03-24 00:00:00+05:30,3.92,4.13,3.8,3.91,6280
2008-03-25 00:00:00+05:30,3.85,4.04,3.85,4.01,4771
2008-03-26 00:00:00+05:30,4.0,4.15,3.97,4.05,4054
2008-03-27 00:00:00+05:30,3.88,4.23,3.88,4.21,3040
2008-03-28 00:00:00+05:30,4.25,4.42,4.25,4.4,4422
2008-03-31 00:00:00+05:30,4.59,4.62,4.59,4.62,5564
2008-04-01 00:00:00+05:30,4.84,4.84,4.84,4.84,2183
2008-04-02 00:00:00+05:30,5.0,5.09,5.0,5.09,3460
2008-04-03 00:00:00+05:30,5.29,5.34,4.84,5.25,4396
2008-04-04 00:00:00+05:30,5.51,5.51,4.99,4.99,9704
2008-04-07 00:00:00+05:30,5.09,5.11,4.75,4.76,4674
2008-04-08 00:00:00+05:30,4.59,4.97,4.59,4.7,7160
2008-04-09 00:00:00+05:30,4.61,4.61,4.61,4.61,220
2008-04-10 00:00:00+05:30,4.84,4.84,4.84,4.84,630
2008-04-11 00:00:00+05:30,5.08,5.08,4.76,4.96,980
2008-04-15 00:00:00+05:30,5.0,5.0,5.0,5.0,370
2008-04-16 00:00:00+05:30,4.8,5.2,4.8,4.98,3545
2008-04-17 00:00:00+05:30,5.2,5.22,4.94,5.04,5280
