date,open,high,low,close,volume
2008-01-01 00:00:00+05:30,285.0,288.0,283.0,285.2,21474
2008-01-02 00:00:00+05:30,285.2,287.0,275.0,280.05,8958
2008-01-03 00:00:00+05:30,280.0,285.0,270.0,280.1,12233
2008-01-04 00:00:00+05:30,277.5,283.0,277.45,282.05,11411
2008-01-07 00:00:00+05:30,281.95,284.8,274.0,278.2,15123
2008-01-08 00:00:00+05:30,299.95,299.95,260.1,265.05,4830
2008-01-09 00:00:00+05:30,262.14,274.64,250.0,251.3,14026
2008-01-10 00:00:00+05:30,255.0,271.0,236.1,242.8,20448
2008-01-11 00:00:00+05:30,250.0,260.0,245.0,258.45,40439
2008-01-14 00:00:00+05:30,260.0,266.0,250.0,252.9,5160
2008-01-15 00:00:00+05:30,251.0,253.8,237.15,239.95,11476
2008-01-16 00:00:00+05:30,243.0,244.9,230.0,236.45,11479
2008-01-17 00:00:00+05:30,240.95,240.95,225.5,229.15,17010
2008-01-18 00:00:00+05:30,228.0,237.9,223.1,227.1,12999
2008-01-21 00:00:00+05:30,233.0,233.0,202.2,206.55,11174
2008-01-22 00:00:00+05:30,208.0,209.0,163.0,171.65,8643
2008-01-23 00:00:00+05:30,201.0,208.0,192.5,197.25,245248
2008-01-24 00:00:00+05:30,200.0,202.5,189.05,190.3,9380
2008-01-25 00:00:00+05:30,192.2,197.0,186.0,194.8,46086
2008-01-28 00:00:00+05:30,200.0,207.0,180.3,203.05,6584
2008-01-29 00:00:00+05:30,219.0,219.9,199.15,200.4,51572
2008-01-30 00:00:00+05:30,201.0,208.0,200.0,201.0,3710
2008-01-31 00:00:00+05:30,219.0,219.0,193.0,199.25,4981
2008-02-01 00:00:00+05:30,192.0,204.0,192.0,199.9,4161
2008-02-04 00:00:00+05:30,209.75,211.0,200.0,210.35,6478
2008-02-05 00:00:00+05:30,207.0,211.0,205.0,207.8,4986
2008-02-06 00:00:00+05:30,201.1,209.0,200.2,206.45,4089
2008-02-07 00:00:00+05:30,211.7,211.7,199.0,202.65,6998
2008-02-08 00:00:00+05:30,201.0,204.8,190.1,196.7,1939
2008-02-11 00:00:00+05:30,194.0,207.0,181.45,197.5,5523
2008-02-12 00:00:00+05:30,192.75,201.5,182.05,191.65,3552
2008-02-13 00:00:00+05:30,195.0,196.9,189.0,189.5,809
2008-02-14 00:00:00+05:30,192.0,202.75,192.0,200.35,7279
2008-02-15 00:00:00+05:30,204.0,204.0,199.1,200.25,2450
2008-02-18 00:00:00+05:30,204.0,204.0,184.0,188.65,13051
2008-02-19 00:00:00+05:30,192.0,199.5,185.6,195.05,15998
2008-02-20 00:00:00+05:30,193.0,197.6,187.15,191.7,7390
2008-02-21 00:00:00+05:30,192.05,204.9,192.05,203.1,9615
2008-02-22 00:00:00+05:30,205.0,206.1,199.0,202.9,5452
2008-02-25 00:00:00+05:30,220.0,220.0,200.0,212.8,8346
2008-02-26 00:00:00+05:30,215.75,215.8,204.0,208.8,6413
2008-02-27 00:00:00+05:30,215.0,215.8,210.0,213.15,3934
2008-02-28 00:00:00+05:30,210.0,219.0,206.1,214.1,7792
2008-02-29 00:00:00+05:30,218.0,218.0,204.0,213.05,5474
2008-03-03 00:00:00+05:30,210.0,213.7,205.0,207.5,4313
2008-03-04 00:00:00+05:30,209.0,215.5,199.3,213.5,9332
2008-03-05 00:00:00+05:30,210.0,210.0,199.15,204.5,6729
2008-03-07 00:00:00+05:30,201.95,202.1,186.1,195.6,5231
2008-03-10 00:00:00+05:30,181.15,203.6,180.1,200.85,8078
2008-03-11 00:00:00+05:30,190.5,209.95,190.5,208.6,5845
2008-03-12 00:00:00+05:30,215.0,215.0,198.6,200.7,3951
2008-03-13 00:00:00+05:30,189.1,193.0,174.7,180.45,80004
2008-03-14 00:00:00+05:30,187.85,187.85,172.0,181.65,19443
2008-03-17 00:00:00+05:30,174.05,178.0,148.0,152.9,17689
2008-03-18 00:00:00+05:30,159.0,176.0,155.05,171.8,16585
2008-03-19 00:00:00+05:30,179.0,179.0,168.15,172.05,6863
2008-03-24 00:00:00+05:30,175.5,175.5,153.05,162.5,17132
2008-03-25 00:00:00+05:30,167.8,175.0,163.1,172.8,16560
2008-03-26 00:00:00+05:30,173.85,176.8,162.8,164.6,62713
2008-03-27 00:00:00+05:30,163.0,167.9,161.0,164.55,14033
2008-03-28 00:00:00+05:30,165.0,166.5,163.0,164.6,39154
2008-03-31 00:00:00+05:30,163.05,169.95,158.75,160.4,30426
2008-04-01 00:00:00+05:30,163.0,165.0,158.3,159.55,6374
2008-04-02 00:00:00+05:30,165.5,170.0,159.0,159.94,16666
2008-04-03 00:00:00+05:30,162.0,167.0,161.3,162.69,10074
2008-04-04 00:00:00+05:30,162.19,166.65,162.0,165.3,4647
2008-04-07 00:00:00+05:30,168.95,168.95,160.0,161.15,4962
2008-04-08 00:00:00+05:30,163.69,167.0,160.0,160.0,575343
2008-04-09 00:00:00+05:30,162.1,163.75,156.0,158.15,4781
2008-04-10 00:00:00+05:30,160.0,162.0,155.3,156.9,9223
2008-04-11 00:00:00+05:30,159.0,170.9,156.5,167.0,32575
2008-04-15 00:00:00+05:30,167.8,173.5,163.05,172.25,635865
2008-04-16 00:00:00+05:30,173.0,182.0,173.0,180.1,25166
2008-04-17 00:00:00+05:30,183.0,192.0,183.0,190.15,33627
2008-04-21 00:00:00+05:30,199.95,199.95,192.15,195.05,37905
2008-04-22 00:00:00+05:30,187.0,199.95,187.0,196.6,209969
2008-04-23 00:00:00+05:30,202.5,205.0,196.7,200.35,8196
2008-04-24 00:00:00+05:30,202.0,205.0,187.35,192.3,36744
2008-04-25 00:00:00+05:30,193.0,193.9,186.2,189.8,11880
2008-04-28 00:00:00+05:30,190.15,197.0,190.1,195.7,6911
2008-04-29 00:00:00+05:30,193.25,208.0,193.25,200.55,26202
2008-04-30 00:00:00+05:30,201.25,201.8,195.0,199.6,4243
2008-05-02 00:00:00+05:30,200.0,210.6,200.0,202.35,16041
2008-05-05 00:00:00+05:30,202.1,204.0,195.0,200.2,5622
2008-05-06 00:00:00+05:30,201.0,203.45,200.0,201.8,5578
2008-05-07 00:00:00+05:30,203.0,208.4,202.1,203.95,11982
2008-05-08 00:00:00+05:30,202.0,203.0,198.0,201.35,3130
2008-05-09 00:00:00+05:30,203.0,207.9,200.0,202.25,6871
2008-05-12 00:00:00+05:30,201.0,201.95,197.05,199.95,123310
2008-05-13 00:00:00+05:30,204.75,205.0,192.0,195.25,216790
2008-05-14 00:00:00+05:30,193.3,198.0,193.3,195.55,3690
2008-05-15 00:00:00+05:30,200.85,202.0,186.5,193.6,96390
2008-05-16 00:00:00+05:30,197.5,197.5,183.1,186.65,61711
2008-05-20 00:00:00+05:30,176.25,189.0,176.25,186.0,63014
2008-05-21 00:00:00+05:30,185.0,186.0,181.0,183.45,9344
2008-05-22 00:00:00+05:30,180.5,184.9,176.0,180.35,15588
2008-05-23 00:00:00+05:30,183.9,183.95,175.55,178.3,18600
2008-05-26 00:00:00+05:30,179.95,180.0,177.0,178.9,4360
2008-05-27 00:00:00+05:30,176.3,180.5,176.3,179.8,4808
2008-05-28 00:00:00+05:30,182.9,182.9,175.0,176.55,4276
2008-05-29 00:00:00+05:30,178.3,178.9,171.25,173.3,9366
2008-05-30 00:00:00+05:30,172.2,176.0,165.0,166.25,10949
2008-06-02 00:00:00+05:30,164.55,171.0,155.1,155.9,12247
2008-06-03 00:00:00+05:30,155.3,160.8,152.55,157.8,8526
2008-06-04 00:00:00+05:30,159.94,162.65,155.5,156.25,4841
2008-06-05 00:00:00+05:30,157.0,162.25,154.0,155.8,18348
2008-06-06 00:00:00+05:30,157.0,163.8,157.0,162.55,17833
2008-06-09 00:00:00+05:30,156.05,162.0,156.0,160.6,2125
2008-06-10 00:00:00+05:30,160.8,162.65,155.19,160.4,7827
2008-06-11 00:00:00+05:30,162.0,164.0,150.0,155.0,10617
2008-06-12 00:00:00+05:30,154.94,154.94,149.0,151.25,7642
2008-06-13 00:00:00+05:30,153.0,157.94,151.0,154.5,6606
2008-06-16 00:00:00+05:30,156.15,158.69,153.0,154.5,4123
2008-06-17 00:00:00+05:30,155.5,155.85,152.0,153.9,2996
2008-06-18 00:00:00+05:30,159.9,159.9,154.19,154.55,4961
2008-06-19 00:00:00+05:30,155.1,155.1,136.0,138.25,41558
2008-06-20 00:00:00+05:30,141.5,144.8,136.0,140.0,25072
2008-06-23 00:00:00+05:30,142.19,142.19,127.0,129.8,17903
2008-06-24 00:00:00+05:30,128.5,134.85,128.1,131.25,8094
2008-06-26 00:00:00+05:30,135.85,137.8,129.19,131.35,14415
2008-06-27 00:00:00+05:30,121.0,139.8,121.0,136.85,13449
2008-06-30 00:00:00+05:30,140.0,142.0,133.0,138.1,15741
2008-07-01 00:00:00+05:30,139.44,140.5,129.1,129.75,9081
2008-07-02 00:00:00+05:30,132.0,135.0,125.5,130.69,12422
2008-07-03 00:00:00+05:30,131.55,131.55,124.5,125.2,9640
2008-07-04 00:00:00+05:30,132.0,132.0,124.1,125.85,23610
2008-07-07 00:00:00+05:30,130.0,134.0,128.5,131.05,27161
2008-07-08 00:00:00+05:30,131.05,131.5,127.55,130.5,6464
2008-07-09 00:00:00+05:30,133.0,135.0,129.15,132.44,14642
2008-07-10 00:00:00+05:30,132.69,134.9,130.3,131.6,14018
2008-07-11 00:00:00+05:30,135.69,135.69,127.5,128.75,8553
2008-07-14 00:00:00+05:30,126.15,130.0,124.5,127.55,5312
2008-07-15 00:00:00+05:30,126.0,127.4,125.1,125.55,4655
2008-07-16 00:00:00+05:30,124.25,126.85,122.05,123.4,3594
2008-07-17 00:00:00+05:30,125.0,126.0,121.5,123.5,12091
2008-07-18 00:00:00+05:30,124.7,127.5,121.15,126.5,4078
2008-07-21 00:00:00+05:30,127.0,127.0,123.6,126.7,1422
2008-07-22 00:00:00+05:30,121.1,129.65,121.1,128.44,5077
2008-07-23 00:00:00+05:30,134.69,134.69,128.55,129.85,15675
2008-07-24 00:00:00+05:30,131.0,134.0,129.0,130.0,155334
2008-07-25 00:00:00+05:30,129.75,130.0,127.0,129.8,153627
2008-07-28 00:00:00+05:30,130.0,131.0,122.85,125.0,151445
2008-07-29 00:00:00+05:30,125.0,125.0,119.1,120.7,27032
2008-07-30 00:00:00+05:30,129.69,129.69,122.0,124.2,5677
2008-07-31 00:00:00+05:30,122.95,126.0,122.95,125.0,157991
2008-08-01 00:00:00+05:30,124.0,124.0,121.05,122.0,15438
2008-08-04 00:00:00+05:30,123.0,124.0,120.05,120.7,14159
2008-08-05 00:00:00+05:30,122.9,122.9,120.0,120.55,13226
2008-08-06 00:00:00+05:30,122.95,125.0,120.0,120.35,183123
2008-08-07 00:00:00+05:30,122.9,125.45,121.3,124.05,17127
2008-08-08 00:00:00+05:30,123.5,126.9,123.0,124.5,10980
2008-08-11 00:00:00+05:30,126.0,126.0,121.35,122.45,22761
2008-08-12 00:00:00+05:30,123.85,124.4,121.5,121.8,42596
2008-08-13 00:00:00+05:30,126.0,130.0,118.7,119.45,237077
2008-08-14 00:00:00+05:30,120.6,121.0,118.1,118.9,62915
2008-08-18 00:00:00+05:30,120.2,122.45,118.65,119.75,94369
2008-08-19 00:00:00+05:30,120.5,120.5,116.15,117.1,60147
2008-08-20 00:00:00+05:30,118.0,120.0,117.5,119.2,60233
2008-08-21 00:00:00+05:30,120.05,120.5,115.15,115.65,56810
2008-08-22 00:00:00+05:30,116.9,116.9,115.0,115.4,28298
2008-08-25 00:00:00+05:30,116.95,119.85,114.25,118.8,36787
2008-08-26 00:00:00+05:30,118.8,118.95,116.7,117.85,16372
2008-08-27 00:00:00+05:30,117.0,117.5,114.3,115.2,13953
2008-08-28 00:00:00+05:30,114.05,115.7,113.4,113.85,10925
2008-08-29 00:00:00+05:30,113.15,119.65,113.15,119.0,45364
2008-09-01 00:00:00+05:30,116.6,119.1,116.05,116.7,7488
2008-09-02 00:00:00+05:30,118.5,120.45,117.05,119.75,60580
2008-09-04 00:00:00+05:30,118.2,119.0,116.3,117.35,28856
2008-09-05 00:00:00+05:30,117.0,117.0,113.4,114.7,24344
2008-09-08 00:00:00+05:30,117.0,117.8,109.3,109.75,77616
2008-09-09 00:00:00+05:30,109.05,110.9,108.15,110.3,37652
2008-09-10 00:00:00+05:30,108.2,110.9,108.2,109.35,16685
2008-09-11 00:00:00+05:30,110.0,110.0,106.45,106.75,15244
2008-09-12 00:00:00+05:30,108.0,108.35,105.0,105.35,54824
2008-09-15 00:00:00+05:30,103.25,103.25,97.25,100.25,54983
2008-09-16 00:00:00+05:30,98.0,101.45,97.5,100.3,16937
2008-09-17 00:00:00+05:30,100.05,101.9,96.5,97.85,31818
2008-09-18 00:00:00+05:30,98.95,98.95,93.9,95.85,310551
2008-09-19 00:00:00+05:30,96.05,98.6,93.0,96.9,234998
2008-09-22 00:00:00+05:30,99.0,102.5,98.0,99.55,28087
2008-09-23 00:00:00+05:30,101.85,103.85,99.5,101.1,14182
2008-09-24 00:00:00+05:30,101.95,105.0,101.0,103.9,23729
2008-09-25 00:00:00+05:30,103.6,112.3,102.8,108.05,93262
2008-09-26 00:00:00+05:30,108.0,111.0,102.1,102.7,14333
2008-09-29 00:00:00+05:30,104.05,104.05,98.0,99.05,23571
2008-09-30 00:00:00+05:30,98.0,104.5,93.1,102.6,10352
2008-10-01 00:00:00+05:30,102.0,104.8,101.55,104.0,11863
2008-10-03 00:00:00+05:30,105.0,106.6,102.0,104.45,14823
2008-10-06 00:00:00+05:30,104.0,104.0,96.0,100.0,27640
2008-10-07 00:00:00+05:30,100.4,104.8,99.5,101.15,16093
2008-10-08 00:00:00+05:30,96.1,100.9,90.0,98.2,10902
2008-10-10 00:00:00+05:30,96.0,96.95,90.0,91.15,21458
2008-10-13 00:00:00+05:30,90.2,97.4,90.2,95.3,14405
2008-10-14 00:00:00+05:30,99.0,101.9,94.0,95.4,39842
2008-10-15 00:00:00+05:30,93.45,97.0,90.3,91.5,24707
