date,open,high,low,close,volume
2022-08-11 00:00:00+05:30,42.0,42.04,41.9,41.94,370
2022-08-12 00:00:00+05:30,41.61,41.7,41.05,41.06,4750
2022-08-16 00:00:00+05:30,40.91,41.79,40.91,41.79,6180
2022-08-17 00:00:00+05:30,41.51,42.5,41.51,41.83,7490
2022-08-18 00:00:00+05:30,42.0,42.17,41.96,42.15,1640
2022-08-19 00:00:00+05:30,42.15,42.15,41.21,41.32,5220
2022-08-22 00:00:00+05:30,41.5,42.75,41.5,42.14,30230
2022-08-23 00:00:00+05:30,42.31,42.7,42.0,42.55,10440
2022-08-24 00:00:00+05:30,42.5,42.74,42.32,42.32,5600
2022-08-25 00:00:00+05:30,42.5,43.5,42.1,43.17,17930
2022-08-26 00:00:00+05:30,43.25,43.25,42.91,43.0,420
2022-08-30 00:00:00+05:30,43.0,43.72,43.0,43.72,1680
2022-09-01 00:00:00+05:30,43.4,44.0,43.3,43.49,880
2022-09-02 00:00:00+05:30,44.0,44.4,43.62,43.62,1160
2022-09-05 00:00:00+05:30,43.51,44.2,43.2,43.83,970
2022-09-06 00:00:00+05:30,43.51,44.35,43.51,44.14,3520
2022-09-07 00:00:00+05:30,44.3,44.3,43.71,44.0,4880
2022-09-08 00:00:00+05:30,44.32,44.5,44.02,44.18,100
2022-09-09 00:00:00+05:30,44.4,44.7,44.06,44.5,210
2022-09-12 00:00:00+05:30,44.7,45.2,44.11,44.8,140
2022-09-13 00:00:00+05:30,44.5,45.7,44.5,44.61,2050
2022-09-14 00:00:00+05:30,45.0,45.4,44.7,45.22,5090
2022-09-15 00:00:00+05:30,45.3,45.53,45.15,45.53,80
2022-09-16 00:00:00+05:30,45.22,45.22,44.8,44.8,180
2022-09-19 00:00:00+05:30,44.51,44.51,44.0,44.1,3120
2022-09-20 00:00:00+05:30,44.9,45.5,44.51,44.92,3110
2022-09-21 00:00:00+05:30,44.8,45.2,44.1,44.9,500
2022-09-22 00:00:00+05:30,44.3,45.5,44.0,44.12,1820
2022-09-23 00:00:00+05:30,44.4,44.4,44.0,44.3,530
2022-09-26 00:00:00+05:30,43.01,43.38,42.09,42.55,14580
2022-09-27 00:00:00+05:30,42.7,42.7,42.68,42.68,210
2022-09-28 00:00:00+05:30,42.6,42.9,42.07,42.11,60
2022-09-29 00:00:00+05:30,42.3,42.7,42.3,42.41,140
2022-09-30 00:00:00+05:30,42.3,42.5,42.0,42.05,220
2022-10-03 00:00:00+05:30,42.5,42.68,41.21,41.26,3020
2022-10-04 00:00:00+05:30,42.0,43.0,42.0,42.52,480
2022-10-06 00:00:00+05:30,42.5,43.1,42.5,43.08,550
2022-10-07 00:00:00+05:30,42.9,42.99,42.9,42.99,20
2022-10-10 00:00:00+05:30,42.62,42.8,42.62,42.8,50
2022-10-11 00:00:00+05:30,42.5,42.7,41.22,41.49,510
2022-10-12 00:00:00+05:30,41.9,42.0,41.31,41.8,180
2022-10-13 00:00:00+05:30,42.07,42.07,40.91,41.07,80
2022-10-14 00:00:00+05:30,41.8,42.7,41.17,41.88,190
2022-10-17 00:00:00+05:30,41.7,41.83,41.5,41.6,720
2022-10-18 00:00:00+05:30,41.9,42.02,41.71,41.71,50
2022-10-19 00:00:00+05:30,42.3,42.5,41.91,41.91,150
2022-10-20 00:00:00+05:30,42.4,42.4,41.9,42.26,140
2022-10-21 00:00:00+05:30,42.5,42.7,41.0,41.26,390
2022-10-24 00:00:00+05:30,42.0,43.0,42.0,42.66,100
2022-10-25 00:00:00+05:30,42.33,42.49,42.1,42.1,80
2022-10-27 00:00:00+05:30,42.49,42.52,41.86,42.0,110
2022-10-28 00:00:00+05:30,42.49,43.0,42.01,42.01,1460
2022-10-31 00:00:00+05:30,42.49,42.6,41.9,42.22,440
2022-11-01 00:00:00+05:30,42.5,43.42,42.5,42.66,590
2022-11-02 00:00:00+05:30,43.0,43.02,43.0,43.02,20
2022-11-03 00:00:00+05:30,42.9,42.9,42.6,42.7,280
2022-11-04 00:00:00+05:30,43.12,43.57,43.12,43.57,30
2022-11-07 00:00:00+05:30,43.4,43.5,43.02,43.05,4980
2022-11-09 00:00:00+05:30,43.4,43.5,43.15,43.24,140
2022-11-10 00:00:00+05:30,43.4,43.4,42.5,42.5,780
2022-11-11 00:00:00+05:30,42.9,43.7,42.9,43.5,1810
2022-11-14 00:00:00+05:30,43.49,43.51,43.49,43.51,20
2022-11-15 00:00:00+05:30,43.49,43.49,43.49,43.49,20
2022-11-16 00:00:00+05:30,43.62,43.62,43.02,43.02,120
2022-11-17 00:00:00+05:30,43.3,43.46,43.3,43.4,40
2022-11-18 00:00:00+05:30,43.16,43.16,42.31,42.34,460
2022-11-21 00:00:00+05:30,42.8,42.8,42.2,42.2,720
2022-11-22 00:00:00+05:30,42.8,42.89,42.49,42.6,360
2022-11-23 00:00:00+05:30,43.1,43.1,43.0,43.0,20
2022-11-24 00:00:00+05:30,43.3,43.49,43.3,43.49,20
2022-11-25 00:00:00+05:30,43.01,43.1,42.68,42.68,690
2022-11-28 00:00:00+05:30,43.49,43.6,43.4,43.4,1270
2022-11-29 00:00:00+05:30,43.49,43.78,42.8,43.78,90
2022-11-30 00:00:00+05:30,43.52,43.66,43.19,43.49,1090
2022-12-01 00:00:00+05:30,44.0,44.0,43.73,43.73,130
2022-12-02 00:00:00+05:30,43.82,44.43,43.82,44.0,110
2022-12-05 00:00:00+05:30,44.12,44.12,44.12,44.12,420
2022-12-06 00:00:00+05:30,44.1,44.1,43.46,43.46,160
2022-12-07 00:00:00+05:30,44.1,44.31,42.6,43.12,130
2022-12-08 00:00:00+05:30,43.75,43.98,43.75,43.98,20
2022-12-09 00:00:00+05:30,43.99,44.0,43.32,43.42,1060
2022-12-12 00:00:00+05:30,43.99,43.99,43.8,43.99,740
2022-12-13 00:00:00+05:30,43.9,43.9,43.61,43.65,60
2022-12-14 00:00:00+05:30,43.65,43.65,43.65,43.65,100
2022-12-16 00:00:00+05:30,43.61,43.61,43.01,43.11,140
2022-12-19 00:00:00+05:30,43.61,43.61,43.02,43.02,130
2022-12-20 00:00:00+05:30,43.61,43.61,42.9,42.95,2120
2022-12-21 00:00:00+05:30,43.49,43.5,42.89,42.89,5040
2022-12-22 00:00:00+05:30,42.71,42.71,42.0,42.29,290
2022-12-23 00:00:00+05:30,41.81,41.81,41.01,41.02,880
2022-12-26 00:00:00+05:30,41.4,42.04,41.4,41.99,100
2022-12-27 00:00:00+05:30,42.3,42.3,42.3,42.3,220
2022-12-28 00:00:00+05:30,42.49,42.49,42.3,42.42,30
2022-12-29 00:00:00+05:30,42.3,43.5,41.9,42.41,190
2022-12-30 00:00:00+05:30,42.49,42.79,42.49,42.79,40
2023-01-02 00:00:00+05:30,42.49,42.96,42.36,42.96,420
2023-01-03 00:00:00+05:30,42.5,42.5,42.3,42.3,40
2023-01-04 00:00:00+05:30,42.3,42.3,41.91,41.91,60
2023-01-05 00:00:00+05:30,42.3,42.3,42.3,42.3,40
2023-01-06 00:00:00+05:30,42.48,42.48,42.48,42.48,480
2023-01-09 00:00:00+05:30,42.1,42.4,42.1,42.1,280
2023-01-10 00:00:00+05:30,42.4,42.49,42.0,42.0,70
2023-01-12 00:00:00+05:30,42.1,42.49,41.81,41.85,120
2023-01-13 00:00:00+05:30,42.0,42.24,42.0,42.24,160
2023-01-16 00:00:00+05:30,42.49,42.68,42.49,42.68,230
2023-01-17 00:00:00+05:30,42.5,42.65,42.31,42.4,580
2023-01-18 00:00:00+05:30,42.11,42.11,41.55,41.92,30
2023-01-19 00:00:00+05:30,42.11,42.11,41.81,41.82,30
2023-01-20 00:00:00+05:30,41.81,41.88,41.55,41.76,220
2023-01-23 00:00:00+05:30,42.32,42.32,42.3,42.3,50
2023-01-24 00:00:00+05:30,42.3,42.3,42.3,42.3,20
2023-01-25 00:00:00+05:30,41.9,41.9,40.97,41.0,180
2023-01-27 00:00:00+05:30,40.5,50.3,39.11,43.95,350
2023-01-30 00:00:00+05:30,40.01,41.94,38.6,40.03,3430
2023-01-31 00:00:00+05:30,39.6,40.0,38.87,39.27,7480
2023-02-01 00:00:00+05:30,39.6,40.39,37.6,37.6,520
2023-02-02 00:00:00+05:30,39.22,39.22,38.38,38.38,5800
2023-02-03 00:00:00+05:30,38.8,38.8,38.21,38.21,20
2023-02-06 00:00:00+05:30,38.79,38.92,38.4,38.89,1350
2023-02-07 00:00:00+05:30,39.2,39.49,38.63,38.63,4120
2023-02-08 00:00:00+05:30,39.0,39.0,39.0,39.0,40
2023-02-09 00:00:00+05:30,39.1,39.18,39.1,39.18,20
2023-02-10 00:00:00+05:30,39.09,39.49,38.51,38.52,700
2023-02-13 00:00:00+05:30,38.9,38.9,38.5,38.6,320
2023-02-14 00:00:00+05:30,38.3,38.3,38.03,38.03,580
2023-02-15 00:00:00+05:30,38.3,38.7,38.0,38.2,3250
2023-02-16 00:00:00+05:30,38.49,39.04,38.49,38.99,80
2023-02-17 00:00:00+05:30,38.7,38.77,38.51,38.77,40
2023-02-20 00:00:00+05:30,38.6,39.0,38.4,39.0,130
2023-02-21 00:00:00+05:30,38.7,38.7,38.22,38.29,110
2023-02-22 00:00:00+05:30,38.21,38.5,37.9,38.38,640
2023-02-23 00:00:00+05:30,38.3,38.3,37.55,37.84,1310
2023-02-24 00:00:00+05:30,37.91,40.04,37.82,39.07,230
2023-02-27 00:00:00+05:30,38.31,38.31,37.21,37.21,390
2023-02-28 00:00:00+05:30,37.41,37.41,36.9,37.09,210
2023-03-01 00:00:00+05:30,37.49,38.22,37.49,38.22,80
2023-03-02 00:00:00+05:30,37.7,37.87,37.6,37.81,310
2023-03-03 00:00:00+05:30,38.1,38.3,38.02,38.3,40
2023-03-06 00:00:00+05:30,38.49,38.7,38.2,38.25,1340
2023-03-08 00:00:00+05:30,38.5,38.84,38.5,38.84,20
2023-03-09 00:00:00+05:30,38.7,38.7,38.02,38.25,60
2023-03-10 00:00:00+05:30,38.21,38.23,38.2,38.23,50
2023-03-13 00:00:00+05:30,37.91,37.91,37.51,37.51,20
2023-03-14 00:00:00+05:30,37.65,37.65,37.3,37.5,840
2023-03-15 00:00:00+05:30,37.8,37.88,37.8,37.88,20
2023-03-16 00:00:00+05:30,37.6,38.28,37.3,37.8,810
2023-03-17 00:00:00+05:30,37.99,38.24,37.99,38.24,200
2023-03-20 00:00:00+05:30,37.9,38.0,37.61,37.61,140
2023-03-21 00:00:00+05:30,37.9,43.0,37.52,40.66,1310
2023-03-22 00:00:00+05:30,37.9,38.49,37.7,38.39,330
2023-03-27 00:00:00+05:30,37.9,38.09,37.57,37.58,70
2023-03-28 00:00:00+05:30,37.5,38.14,37.08,38.14,960
2023-03-29 00:00:00+05:30,38.05,38.05,38.05,38.05,250
2023-03-31 00:00:00+05:30,38.49,38.82,37.86,37.92,4310
2023-04-03 00:00:00+05:30,38.02,38.02,38.0,38.0,140
2023-04-05 00:00:00+05:30,38.02,38.2,37.9,38.0,70
2023-04-06 00:00:00+05:30,38.3,38.48,38.3,38.48,20
2023-04-10 00:00:00+05:30,38.8,38.8,38.2,38.28,1160
2023-04-11 00:00:00+05:30,38.49,38.59,38.49,38.59,150
2023-04-12 00:00:00+05:30,38.49,38.77,38.49,38.77,20
2023-04-13 00:00:00+05:30,38.5,38.5,37.91,38.45,760
2023-04-17 00:00:00+05:30,38.5,38.5,38.21,38.46,500
2023-04-18 00:00:00+05:30,38.8,38.98,38.75,38.98,1490
