date,open,high,low,close,volume
2022-09-29 00:00:00+05:30,39.9,39.9,37.52,37.58,5715
2022-09-30 00:00:00+05:30,37.3,37.3,37.0,37.1,3956
2022-10-03 00:00:00+05:30,37.5,39.5,37.31,37.36,3730
2022-10-04 00:00:00+05:30,37.5,38.5,37.5,38.48,3076
2022-10-06 00:00:00+05:30,37.81,37.85,37.81,37.85,142
2022-10-10 00:00:00+05:30,38.5,39.0,36.7,37.7,4413
2022-10-11 00:00:00+05:30,38.1,38.42,37.25,37.49,2066
2022-10-12 00:00:00+05:30,37.21,37.88,37.21,37.25,2606
2022-10-13 00:00:00+05:30,37.5,37.8,37.01,37.3,133
2022-10-14 00:00:00+05:30,37.8,38.24,37.5,37.5,11
2022-10-17 00:00:00+05:30,38.0,38.0,37.4,37.4,113
2022-10-18 00:00:00+05:30,38.0,38.5,37.46,37.65,703
2022-10-21 00:00:00+05:30,39.4,39.4,37.91,38.07,34
2022-10-25 00:00:00+05:30,38.51,38.51,37.82,38.0,7
2022-10-27 00:00:00+05:30,38.01,39.04,37.9,38.88,1365
2022-10-28 00:00:00+05:30,38.31,38.41,38.31,38.33,600
2022-10-31 00:00:00+05:30,38.9,38.9,38.25,38.8,2882
2022-11-01 00:00:00+05:30,38.85,39.52,38.85,39.41,302
2022-11-02 00:00:00+05:30,39.21,39.21,39.2,39.2,2
2022-11-03 00:00:00+05:30,39.3,39.3,39.05,39.05,5
2022-11-04 00:00:00+05:30,39.01,39.01,38.61,39.0,326
2022-11-07 00:00:00+05:30,39.2,39.9,39.05,39.05,1038
2022-11-09 00:00:00+05:30,39.2,39.24,39.05,39.1,298
2022-11-11 00:00:00+05:30,39.1,39.25,39.1,39.2,482
2022-11-14 00:00:00+05:30,39.2,39.43,39.2,39.43,2
2022-11-15 00:00:00+05:30,39.4,39.65,39.4,39.64,102
2022-11-16 00:00:00+05:30,39.4,39.4,39.0,39.13,3
2022-11-17 00:00:00+05:30,39.4,39.8,39.02,39.25,2621
2022-11-18 00:00:00+05:30,39.05,39.05,38.81,38.95,152
2022-11-21 00:00:00+05:30,38.8,38.8,38.8,38.8,11
2022-11-23 00:00:00+05:30,39.0,39.45,38.81,38.81,116
2022-11-24 00:00:00+05:30,39.0,39.5,38.81,38.82,162
2022-11-25 00:00:00+05:30,38.91,39.06,38.91,39.0,131
2022-11-28 00:00:00+05:30,39.43,39.43,39.43,39.43,2072
2022-11-29 00:00:00+05:30,39.63,40.38,39.38,40.38,126
2022-11-30 00:00:00+05:30,40.21,40.21,39.62,39.62,17
2022-12-01 00:00:00+05:30,40.4,40.45,40.4,40.45,2
2022-12-02 00:00:00+05:30,40.47,40.47,39.41,39.8,4776
2022-12-05 00:00:00+05:30,39.76,39.76,39.61,39.75,1297
2022-12-06 00:00:00+05:30,39.75,39.75,39.75,39.75,1
2022-12-07 00:00:00+05:30,39.7,40.0,39.7,40.0,9
2022-12-08 00:00:00+05:30,39.81,40.74,39.41,39.99,3092
2022-12-09 00:00:00+05:30,40.8,40.8,39.41,39.6,1138
2022-12-12 00:00:00+05:30,39.63,39.77,39.01,39.23,226
2022-12-13 00:00:00+05:30,39.4,39.55,38.81,39.55,183
2022-12-14 00:00:00+05:30,39.5,39.69,39.5,39.69,2
2022-12-15 00:00:00+05:30,38.5,39.49,38.5,39.16,268
2022-12-16 00:00:00+05:30,39.11,39.3,38.99,38.99,29
2022-12-19 00:00:00+05:30,39.1,39.18,38.87,38.87,17
2022-12-20 00:00:00+05:30,38.81,38.81,38.63,38.63,6
2022-12-21 00:00:00+05:30,39.1,39.27,39.1,39.27,2
2022-12-22 00:00:00+05:30,39.1,39.2,38.42,38.42,8
2022-12-26 00:00:00+05:30,38.3,38.3,38.23,38.23,2
2022-12-27 00:00:00+05:30,38.7,38.7,38.08,38.08,111
2022-12-28 00:00:00+05:30,38.1,38.4,38.1,38.4,2
2022-12-29 00:00:00+05:30,38.5,38.8,38.2,38.55,36
2022-12-30 00:00:00+05:30,38.5,38.65,38.04,38.65,18
2023-01-02 00:00:00+05:30,38.4,38.84,38.22,38.22,89
2023-01-04 00:00:00+05:30,38.4,38.6,38.02,38.07,84
2023-01-05 00:00:00+05:30,38.2,38.69,38.2,38.69,65
2023-01-06 00:00:00+05:30,38.1,38.1,37.92,37.92,4
2023-01-10 00:00:00+05:30,38.2,38.35,38.2,38.35,7
2023-01-11 00:00:00+05:30,38.2,38.45,37.68,38.05,128
2023-01-12 00:00:00+05:30,38.2,38.35,37.65,37.96,400
2023-01-13 00:00:00+05:30,38.2,38.4,38.2,38.35,6
2023-01-16 00:00:00+05:30,38.21,38.21,37.81,37.84,10
2023-01-17 00:00:00+05:30,38.2,39.9,38.2,38.3,20860
2023-01-18 00:00:00+05:30,38.6,38.79,38.6,38.6,4
2023-01-19 00:00:00+05:30,38.61,38.61,38.61,38.61,1
2023-01-23 00:00:00+05:30,38.9,39.0,38.5,38.85,90
2023-01-24 00:00:00+05:30,38.5,38.5,38.41,38.47,4
2023-01-25 00:00:00+05:30,38.55,38.55,38.25,38.25,3
2023-01-27 00:00:00+05:30,38.21,45.36,37.4,38.44,128
2023-01-31 00:00:00+05:30,38.01,38.01,38.0,38.0,26
2023-02-01 00:00:00+05:30,38.2,39.4,38.2,38.2,478
2023-02-02 00:00:00+05:30,39.15,39.15,38.4,38.71,665
2023-02-06 00:00:00+05:30,39.6,39.6,38.7,39.1,3
2023-02-07 00:00:00+05:30,38.75,38.75,38.15,38.57,184
2023-02-08 00:00:00+05:30,38.57,38.57,38.5,38.56,16
2023-02-09 00:00:00+05:30,38.8,39.33,38.8,39.0,120
2023-02-10 00:00:00+05:30,38.9,38.9,38.41,38.51,36
2023-02-13 00:00:00+05:30,38.7,38.99,38.45,38.7,128
