date,open,high,low,close,volume
2022-09-07 00:00:00+05:30,52.55,54.5,52.31,54.38,1471
2022-09-08 00:00:00+05:30,53.0,55.5,53.0,54.63,2290
2022-09-09 00:00:00+05:30,56.26,56.26,52.85,54.06,6871
2022-09-12 00:00:00+05:30,55.0,55.95,54.2,55.5,1997
2022-09-13 00:00:00+05:30,55.69,56.8,55.69,56.5,1255
2022-09-14 00:00:00+05:30,56.2,56.2,55.77,55.77,212
2022-09-15 00:00:00+05:30,56.5,57.39,55.7,57.39,514
2022-09-16 00:00:00+05:30,56.5,56.75,54.61,54.62,2245
2022-09-19 00:00:00+05:30,55.5,56.4,55.5,56.0,2151
2022-09-20 00:00:00+05:30,56.0,57.0,55.1,56.16,3799
2022-09-21 00:00:00+05:30,56.5,56.99,55.5,55.95,230
2022-09-22 00:00:00+05:30,56.3,56.95,56.1,56.9,1201
2022-09-23 00:00:00+05:30,57.0,58.0,56.41,57.33,1174
2022-09-26 00:00:00+05:30,57.0,57.0,54.73,55.0,2721
2022-09-27 00:00:00+05:30,56.65,56.65,54.5,55.15,750
2022-09-28 00:00:00+05:30,54.8,55.0,53.85,54.01,1735
2022-09-29 00:00:00+05:30,54.25,56.0,54.1,55.7,2231
2022-09-30 00:00:00+05:30,55.2,56.65,55.2,56.02,1276
2022-10-03 00:00:00+05:30,57.7,58.0,56.79,57.6,4619
2022-10-04 00:00:00+05:30,57.75,62.0,57.75,60.85,2257
2022-10-06 00:00:00+05:30,60.9,61.49,59.03,60.34,3079
2022-10-07 00:00:00+05:30,61.0,61.0,60.0,60.01,10589
2022-10-10 00:00:00+05:30,60.75,61.5,57.7,57.94,187
2022-10-11 00:00:00+05:30,57.95,57.95,57.1,57.22,1064
2022-10-12 00:00:00+05:30,57.0,58.2,56.1,57.95,473
2022-10-13 00:00:00+05:30,59.68,59.68,55.85,57.15,1063
2022-10-14 00:00:00+05:30,57.0,57.0,55.4,55.7,1046
2022-10-17 00:00:00+05:30,57.37,57.37,55.05,55.45,7936
2022-10-18 00:00:00+05:30,56.0,56.5,55.7,55.7,2685
2022-10-19 00:00:00+05:30,56.0,57.0,55.65,56.5,346
2022-10-20 00:00:00+05:30,58.19,58.19,55.55,55.99,37
2022-10-21 00:00:00+05:30,56.31,56.31,55.15,55.36,2847
2022-10-24 00:00:00+05:30,57.02,58.5,56.0,57.53,11160
2022-10-25 00:00:00+05:30,59.25,59.25,56.26,57.09,232
2022-10-27 00:00:00+05:30,58.8,58.8,57.0,57.0,1409
2022-10-28 00:00:00+05:30,58.71,58.71,56.63,57.91,3530
2022-10-31 00:00:00+05:30,59.64,59.64,56.18,57.49,1127
2022-11-01 00:00:00+05:30,57.5,59.5,57.01,59.48,8014
2022-11-02 00:00:00+05:30,61.26,61.26,58.1,58.24,1785
2022-11-03 00:00:00+05:30,58.2,58.49,56.61,57.4,2929
2022-11-04 00:00:00+05:30,57.5,59.0,57.5,58.04,286
2022-11-07 00:00:00+05:30,59.01,59.99,58.61,59.41,14308
2022-11-09 00:00:00+05:30,60.0,61.25,59.6,60.93,3644
2022-11-10 00:00:00+05:30,62.75,62.75,60.1,60.5,222
2022-11-11 00:00:00+05:30,62.0,74.0,60.0,62.6,5875
2022-11-14 00:00:00+05:30,60.73,62.5,60.73,61.5,455
2022-11-15 00:00:00+05:30,61.01,63.34,61.01,62.1,887
2022-11-16 00:00:00+05:30,61.7,62.0,61.0,61.46,2077
2022-11-17 00:00:00+05:30,62.7,62.7,60.01,60.51,6440
2022-11-18 00:00:00+05:30,62.32,62.32,60.41,60.41,380
2022-11-21 00:00:00+05:30,62.22,62.22,59.85,60.25,1747
2022-11-22 00:00:00+05:30,60.5,61.17,60.1,61.06,649
2022-11-23 00:00:00+05:30,60.5,61.5,60.2,61.0,506
2022-11-24 00:00:00+05:30,61.01,62.1,61.01,61.11,899
2022-11-25 00:00:00+05:30,62.0,62.0,61.01,61.79,18
2022-11-28 00:00:00+05:30,59.75,63.64,59.75,61.72,12488
2022-11-29 00:00:00+05:30,63.57,63.57,60.8,61.49,5474
2022-11-30 00:00:00+05:30,63.33,63.33,61.0,61.89,430
2022-12-01 00:00:00+05:30,61.61,63.0,61.61,62.51,3251
2022-12-02 00:00:00+05:30,62.97,64.25,62.97,63.89,2768
2022-12-05 00:00:00+05:30,65.8,65.8,64.1,65.1,4649
2022-12-06 00:00:00+05:30,63.12,66.5,63.12,66.27,4154
2022-12-07 00:00:00+05:30,64.0,64.35,63.1,63.9,1297
2022-12-08 00:00:00+05:30,64.5,65.48,63.6,65.2,1474
2022-12-09 00:00:00+05:30,66.8,66.8,64.5,65.12,1489
2022-12-12 00:00:00+05:30,63.17,66.5,63.17,66.2,3120
2022-12-13 00:00:00+05:30,66.5,66.55,66.0,66.23,5397
2022-12-14 00:00:00+05:30,66.69,67.19,66.69,66.91,2135
2022-12-15 00:00:00+05:30,66.4,66.5,65.52,65.8,5508
2022-12-16 00:00:00+05:30,66.05,66.05,64.9,64.9,4378
2022-12-19 00:00:00+05:30,66.84,66.84,64.84,66.05,58
2022-12-20 00:00:00+05:30,68.03,68.03,65.48,67.21,26686
2022-12-21 00:00:00+05:30,65.2,68.4,65.2,67.5,7819
2022-12-22 00:00:00+05:30,67.06,68.43,66.87,67.15,11883
2022-12-23 00:00:00+05:30,67.1,69.9,66.67,69.9,2753
2022-12-26 00:00:00+05:30,67.81,67.81,66.7,67.55,1286
2022-12-27 00:00:00+05:30,69.57,69.57,67.0,68.16,12461
2022-12-28 00:00:00+05:30,67.7,67.7,66.81,67.02,412
2022-12-29 00:00:00+05:30,66.44,67.0,66.44,66.98,32
2022-12-30 00:00:00+05:30,67.5,68.0,67.5,67.5,468
2023-01-02 00:00:00+05:30,68.25,68.25,67.49,67.69,805
2023-01-03 00:00:00+05:30,68.0,69.0,68.0,68.88,3638
2023-01-04 00:00:00+05:30,70.1,70.1,68.01,68.69,18044
2023-01-05 00:00:00+05:30,66.63,67.56,66.5,66.93,23812
2023-01-06 00:00:00+05:30,67.05,67.05,66.1,66.17,7133
2023-01-09 00:00:00+05:30,67.5,69.5,67.5,68.19,20645
2023-01-10 00:00:00+05:30,67.6,67.6,66.71,66.84,5233
2023-01-11 00:00:00+05:30,67.42,68.2,67.1,67.53,897
2023-01-12 00:00:00+05:30,67.23,67.31,66.6,67.18,8439
2023-01-13 00:00:00+05:30,67.26,67.34,67.05,67.19,107
2023-01-16 00:00:00+05:30,69.2,69.2,66.3,68.36,440
2023-01-17 00:00:00+05:30,68.36,68.36,67.8,67.99,1762
2023-01-18 00:00:00+05:30,67.6,68.1,67.6,68.06,6633
2023-01-19 00:00:00+05:30,66.3,67.6,66.3,66.86,948
2023-01-20 00:00:00+05:30,66.99,68.0,66.99,67.31,4418
2023-01-23 00:00:00+05:30,69.32,69.32,67.35,67.53,4269
2023-01-24 00:00:00+05:30,67.36,68.9,67.1,68.23,7687
2023-01-25 00:00:00+05:30,68.0,68.0,66.6,67.21,3645
2023-01-27 00:00:00+05:30,67.5,67.6,67.0,67.37,2599
2023-01-30 00:00:00+05:30,67.1,67.66,66.9,67.3,76
2023-01-31 00:00:00+05:30,67.2,68.4,67.07,67.08,2498
2023-02-01 00:00:00+05:30,67.46,68.9,67.46,68.85,16145
2023-02-02 00:00:00+05:30,70.9,70.9,68.96,70.0,5638
2023-02-03 00:00:00+05:30,69.25,69.25,68.5,68.74,7279
2023-02-06 00:00:00+05:30,70.8,70.8,66.5,66.78,1700
2023-02-07 00:00:00+05:30,66.78,67.39,65.61,66.6,1296
2023-02-08 00:00:00+05:30,66.6,67.0,66.41,67.0,806
2023-02-09 00:00:00+05:30,67.0,68.36,66.12,68.36,595
2023-02-10 00:00:00+05:30,70.06,70.06,65.55,65.61,1810
2023-02-13 00:00:00+05:30,67.25,67.25,64.61,65.57,241
2023-02-14 00:00:00+05:30,66.0,66.5,65.25,65.66,366
2023-02-15 00:00:00+05:30,65.2,65.99,64.6,65.13,1037
2023-02-16 00:00:00+05:30,63.51,66.0,63.51,64.95,1213
2023-02-17 00:00:00+05:30,64.7,65.49,64.15,64.63,642
2023-02-20 00:00:00+05:30,62.95,65.5,62.95,65.26,769
2023-02-21 00:00:00+05:30,66.49,66.49,64.61,64.83,1022
